"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
0.1 8.5 11.1 6.4 5.4 7.6 49.8 22.4 36.1 12.4 10.8 5.5
16.3 6.8 2.8 13.6 2.8 31 18.6 38.1 52.4 15.4 10.2 17.9
17.2 14 1.9 9.8 3.8 12.1 46.8 31.1 7 24.4 18.7 25
15.6 22.3 2.9 7.1 18.4 39.7 40.5 8.7 29.9 8.3 29.4 27.3
0.1 6.6 6.5 12.5 10.8 56.2 17.4 44.5 32.4 13.2 22 16.7
0.1 3.6 14.5 6.3 17.2 57.5 41.8 0.1 21.5 44.5 11.8 22
0.1 3.9 15.9 21.5 14.3 27.7 45.2 59 10.4 30.1 12.1 16.3
17.7 23 0.1 15.4 18.3 46 84.9 41.1 14.2 32.7 13.8 0.1
13.2 3 4.5 12.8 22.7 65.1 25 32.2 16.8 35.3 23.3 0.1
18.8 7.2 0.1 3.3 21.9 50.4 0.1 45.1 32.3 44.1 25.5 0.1
3 3.8 6.8 7.8 5.7 20.8 21.1 46.4 20.1 20.2 19.2 5.8
14.2 2.7 3.9 7.4 11 34.3 21.6 39.1 32.1 25.1 18.1 17.1
12.1 11.1 13.1 15.1 18.1 35.1 35.1 43.4 34.3 25.1 18.1 17.1
12.1 10.9 13.1 15.1 18.1 35.1 35.1 39.1 32.1 25.4 10.7 13.8
11.5 7.4 2.6 4.2 8.4 31.8 9.4 24.3 25.5 21.8 13.8 13.7
4.6 6.7 3.8 2.9 7.8 27.1 133.7 21.8 4.9 18.6 9.1 5.1
6 9.5 1.9 3 5.4 35.1 89.9 35.8 15.5 17.7 9.3 5.1
0.8 3.9 2.9 3.9 14.2 70.3 31.6 31.5 25.6 37.4 13.6 24.1
14.1 2.4 2.9 3.7 3.4 14.8 34 72.4 14.3 18.1 5.8 3.5
3.8 6.5 4.3 3.7 4.7 15.8 35 49.8 17.1 11.1 5 6
4.5 6.8 6.4 2.9 3.5 41.5 34.4 122 56.4 15 6.3 16.4
10.8 5.9 7.9 14.5 17 40.3 106.4 28 33.7 21.5 6.9 3
0.6 5.6 2.5 19.5 16.3 46.9 53 49.5 33.7 31.6 15.7 0.8
30.9 21.3 3.1 8.2 13.9 36.4 80.1 62.7 40.7 14.9 5.8 9.6
5.8 7.1 2 6.7 16.9 23.2 20.5 72.8 45.1 10.6 3.9 3.9
12.1 5.1 5.4 8.7 22.6 30.9 27.9 75.9 41.9 43.6 22.5 14.9
13.3 15.3 8.6 6.1 34.5 23.3 33.8 64.6 25.3 18.4 9.4 21.1
4.6 8.3 9.8 17.8 11.3 36 20.9 38.4 37.2 14.1 14.4 10
4 3.2 3 6.1 11.2 46.8 32 40.9 22.9 22.8 4.6 7.4
9.3 5.5 2.9 5.4 18.9 11.3 30.7 39.6 21.4 24.4 7.8 3.4
4.7 5.8 9.3 4.5 13 20.6 31.8 21 13 22 9.4 18.3
4.1 5.8 4.7 2.4 4.4 69.5 44.1 29.1 10.8 31.9 16.7 9.8
7.2 1.5 2.6 3.1 8.7 26.2 61.2 67.3 13.7 16.4 10.6 6.1
5.1 6.5 2.9 5.3 8.5 28 65.7 81.2 30.8 13.8 9 5.8
2.2 6 3.8 7 9.2 4 44.1 56.1 18.1 18.3 52.2 37.6
13.3 21.8 22.7 8.8 12.9 32.2 42.7 30.6 17.6 24.6 18.9 12.7
19 2.3 2.5 8 6.1 7.4 37.4 31.3 24.8 17 8 14.1
