"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
-33.3 -33.1 -27.7 -16.9 -4 7.1 11.9 10.6 2.1 -10.3 -22.7 -31.2
-29.1 -34.7 -29.2 -18 -4.7 6.6 13.7 10.2 1.5 -11.2 -24 -32.7
-37.2 -31.4 -26.2 -15.7 -3.1 7.6 10.2 10.9 2.8 -9.3 -21.3 -29.5
-29.3 -35.2 -29.6 -18.4 -5 6.5 13.8 10.1 1.3 -11.5 -24.4 -33.2
-32.4 -33.5 -28.1 -17.2 -4.2 7 12 10.5 2 -10.5 -23 -31.6
-34 -34.5 -29 -17.9 -4.7 6.7 11.7 10.2 1.6 -11.1 -23.8 -32.6
-37.4 -33.1 -27.8 -16.9 -4 7.1 10.4 10.5 2.1 -10.3 -22.7 -31.2
-29.6 -37.5 -31.7 -20 -6.1 5.8 14 9.6 0.5 -12.9 -26.3 -35.4
-34.8 -35.7 -30.1 -18.7 -5.2 6.3 11.9 10 1.2 -11.8 -24.8 -33.7
-34.6 -36.9 -31.2 -19.6 -5.8 6 11.9 9.7 0.7 -12.6 -25.8 -34.9
-36.4 -32 -26.5 -18.4 -8.8 1 13.8 7 1.7 -7.6 -26.8 -32
-26.6 -36.1 -26.2 -19.9 -7.2 5.6 11.7 7.2 0.9 -13.9 -16.3 -29.7
-38.7 -34.6 -29.2 -20.8 -7.5 5.9 10.8 9.8 2.9 -7.5 -27.3 -33.7
-30.6 -35 -29.7 -16.6 -6.3 5 14.1 8.7 3.4 -11.3 -31.4 -30.1
-25.7 -30.2 -28.3 -17.8 -10.4 2.3 10.3 10.5 -2.2 -10.9 -30 -29.9
-30.1 -17.6 -24.4 -19.5 -6.5 4.9 12.5 8.3 0.8 -9.2 -25.3 -32.4
-36.8 -23 -34.4 -21.9 -1.8 6.4 12.4 9.1 1.4 -14.9 -26.5 -29.2
-39.9 -34.4 -26.6 -14.1 -7.4 3.8 14.1 7.8 5 -11.9 -26.9 -24.2
-20.3 -25.9 -34.3 -19 -4.8 5.9 11.6 5.3 1.2 -14.3 -23 -29.4
-25.2 -31.6 -24 -13.2 -6.6 6 10.6 9.4 3.4 -14.4 -22.7 -29.6
-36.2 -27.5 -28.1 -21.4 -10.4 5.5 10.8 9.3 1 -11.7 -24.3 -22
-32.2 -29 -29 -17.2 -6.3 6.7 10.7 8.4 2 -14.9 -25 -35.5
-37.5 -36.6 -35 -23.5 -6.5 9.4 15.1 9.9 1.6 -8.4 -28.1 -34
-25 -31 -35.7 -23.2 -4.2 7.2 11.6 7.5 2.8 -11.8 -27.4 -21.6
-31.7 -23.2 -24.6 -8.8 -4 8.8 10.8 10 2.2 -8.5 -25.7 -35.3
-26.1 -30.8 -26.4 -17.3 -6.5 1.8 12.3 8.7 1.4 -12.4 -26.5 -29.9
-28.9 -29.6 -29.6 -15.4 -5 10.4 13.3 9.2 3.4 -9.3 -31.3 -35.8
-33.2 -32.4 -28.2 -18.4 -7.4 4.6 13.4 6.4 -1.2 -10 -28.6 -36.1
-33.3 -34.7 -24.7 -16.8 -3.2 4.3 12.9 8.6 0.4 -2.4 -25.1 -27.6
-30.1 -35.4 -26.5 -20.7 -5.9 3.6 13.8 9.4 3.8 -7.1 -15.8 -29.5
-31.2 -30.5 -22.4 -16.6 -6.5 0.6 10.5 7.8 3.8 -6.4 -28.8 -24.1
-35.2 -34.4 -29.5 -19 -5.5 5.6 11.3 7.5 1.5 -12.6 -29.4 -28.9
-37.8 -35.9 -33.5 -18.7 -8.1 2.8 10.5 6.7 4.8 -6.6 -25.7 -26.8
-37 -28 -31.8 -19.2 -6.8 4.2 10.1 6.9 3.5 -15.1 -28.2 -35.3
-35 -28.2 -23.5 -12 -4.7 6.4 17.1 6.4 0.7 -12.6 -23.8 -26.4
-34.6 -33.4 -28.4 -16.4 -7.5 7.2 11.2 11.3 -0.9 -10.6 -25.9 -23
-31.8 -38.3 -34.7 -17.9 -9.4 6.3 13.4 9 0.4 -12.6 -28.6 -36.1
-33 -26.5 -24 -22.7 -9.4 6.2 14.3 7.4 1.7 -18.6 -18.9 -25.2
-34 -34.9 -27.9 -21.8 -5.4 8.8 12.3 10.3 -3.4 -20.7 -33.4 -34.9
-32.1 -36.6 -32.1 -21.6 -9.1 1 14.4 5.2 -1.8 -17.1 -34.3 -38.1
-36.8 -27.7 -22.1 -19.7 -9.1 10 13.8 12.3 2.3 -12.2 -25.8 -31.2
-35.1 -39 -32.4 -20 -6.5 8.5 10.3 7.2 0.9 -15.1 -28.1 -23
-40.8 -35 -20.6 -18.6 -8.8 2 10 7.6 2.5 -12.6 -25.8 -34.1
-29.4 -30.1 -25.8 -16 -9.6 2.2 12.1 10.2 1.7 -11.3 -27.9 -36.4
-30.1 -30 -28.4 -20.9 -9.9 4.4 11.4 8.5 -0.7 -11.7 -23.3 -32.8
-34.7 -19.9 -33 -21.3 -10.2 1.7 12.5 9.4 3.7 -11.4 -30.3 -27.4
-35.9 -37.8 -25.9 -17.6 -9.4 2.4 14.1 11.2 1.8 -13.4 -30.8 -32.4
-40.1 -40.6 -35.2 -20.6 -8.4 2.4 11 8.4 0.5 -16.2 -28.7 -20.8
-36.2 -31.7 -26.8 -15.9 -7.9 4.8 15.7 7.8 1.4 -4.4 -17.8 -21.6
-31.9 -28.2 -21 -17.5 -8.7 2.8 11.1 7.3 0.8 -13.2 -35 -36.9
-35.2 -39.2 -29.4 -19.7 -7.3 5.4 15.6 9.3 -0.7 -13.3 -20.6 -28
-34.2 -35.8 -26 -20.6 -10 2.7 13.1 6.3 1.2 -14.3 -23.9 -28
-35.1 -34.6 -25.3 -19.9 -6.5 4.6 12.6 13.6 3 -14.5 -20.7 -25.8
-37.1 -32.6 -30.5 -15.4 -11.2 4.3 11.3 7.6 -1.5 -12.5 -31.6 -32.7
-33.6 -28.9 -22.5 -19.9 -8.3 3.4 11.6 9.9 0.7 -14.1 -29.4 -33.3
-38.4 -34.3 -21.6 -16.2 -7.4 2 9.1 9.5 1.4 -19.4 -34 -28.7
-31.9 -31.8 -27.9 -17.9 -5.7 6.9 13.2 9.2 2.4 -13.3 -27.2 -19.7
-30.1 -34 -28.9 -13.9 -7.9 5.5 9.3 6.3 1 -16.8 -29.1 -35
