"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez" "year" "yearce"
-42.57 -48.02 -31.52 -17.54 0.6 7.58 14.86 10.06 3.46 -13.07 -34.41 -41.15 24900 -22950
-38.89 -38.42 -29.91 -16.86 -2.37 7.9 14.72 11.52 3.87 -15.31 -32.52 -42.71 24899 -22949
-40.97 -37.75 -25.16 -15.65 -5.43 4.69 12.86 11.83 3.49 -16.4 -33.52 -40.14 24898 -22948
-43.87 -37.71 -23.07 -16.57 -0.4 7.81 15.19 11.37 0.89 -16.2 -35.45 -40.07 24897 -22947
-44.38 -32.81 -28.05 -14.47 -3.37 6.39 15.26 11.04 1.07 -14.07 -33.27 -41.55 24896 -22946
-45.67 -42.55 -30.44 -15.4 -3.33 10.55 14.8 13.87 2.51 -13.44 -33.3 -39.13 24895 -22945
-35.68 -35.86 -28.59 -16.41 -2.56 8.64 13.13 12.28 1.56 -14.46 -40.37 -46.03 24894 -22944
-42.82 -38.47 -28.46 -16.34 -2.83 11.02 16.03 13.07 4.58 -17.9 -35.72 -38.57 24893 -22943
-41.46 -39.04 -32.83 -17.77 -4.35 7.23 13.89 9.34 2.27 -12.5 -31.1 -36.23 24892 -22942
-40.08 -36.83 -23.17 -17.81 -3.53 11.08 15.2 13.99 5.01 -12.38 -34.02 -42.5 24891 -22941
-38.64 -34.9 -26.42 -13.23 -0.73 12.34 13.12 11.64 2.17 -14.41 -35.04 -39.6 24890 -22940
-40.67 -39.09 -29.52 -14.64 -0.36 8.94 11.19 10.55 2.38 -16.26 -30.61 -46.87 24889 -22939
-40.64 -38.86 -26.05 -13.22 0.7 9.31 13.2 9.99 5.02 -11.36 -30.36 -38.79 24888 -22938
-41.21 -40.08 -25.69 -14.78 1.22 13.04 15.23 9.76 3.61 -13.18 -37 -37.13 24887 -22937
-41.5 -37.39 -30.36 -16.38 -3.61 5.71 11.04 11.17 1.58 -13.99 -35.72 -42.15 24886 -22936
-42.23 -40.6 -31.32 -16.2 -1.85 5.41 14.46 8.05 1.37 -13.78 -37.07 -38.74 24885 -22935
-38.41 -39.55 -27.37 -13.83 -3.24 10.9 15.22 9.06 4.41 -12.65 -33.08 -42.12 24884 -22934
-42.59 -35.84 -26.38 -17.27 -0.91 10.26 14.07 10.82 5.04 -12.94 -33.88 -45.28 24883 -22933
-46.33 -44.8 -26.43 -13.73 -3.23 4.7 13.77 11.05 1.38 -10.45 -35.01 -39.9 24882 -22932
