"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
10.75 0.97 7.83 6.46 21.8 68.1 86.44 24.59 11.47 17.97 10.14 10.04
8.27 6.47 9.15 10.27 10.36 43.92 37.92 59.23 36.45 18.51 12.81 9.59
6.01 5.19 7.04 13.87 11.66 56.79 51.64 35.87 31.49 13.41 14.25 10.39
4.31 10.17 9.42 10.1 22.91 37.74 26.52 63.41 35.14 13.99 10.28 13.56
5.86 7.86 9.78 10.42 12.45 20.63 30.05 24.15 24.1 12.15 13.18 5.78
4.19 6.01 8.18 9.49 24.04 27.77 59 63.69 18.41 7.17 13.06 9.18
9.79 3.5 9.1 12.43 13.2 29.45 33.61 30.36 21.77 11.16 3.95 5.92
10.16 5.27 7.44 9.66 14.55 20.94 61.39 35.37 23.51 14.46 11.81 12.38
9.01 7.35 4.8 9.89 18.08 23.93 23.58 41.92 24.47 18.96 15.36 15.99
8.17 3.23 11.05 7.61 17.16 37.32 24.23 50.98 14.77 12.42 10.04 12.26
10.84 7.08 10.48 8.73 12.07 35.76 83.28 19.51 23.22 16.01 8.18 8.47
7.58 4.89 6.92 13.79 25.05 34.21 49.44 26.1 27.96 17.69 19.89 8.65
7.79 7.47 6.68 13.02 27.47 50.82 80.39 47.58 26.73 20.13 8.7 5.95
9.16 3.89 6.68 9.53 13.22 21.38 66.81 35.4 18.17 22.56 9.87 14.88
3.94 3.83 4.98 16.08 20.1 18.43 95.44 41.57 27.14 10.61 11.66 12.16
9.07 5.46 3.74 9.03 20.02 38.8 23.68 50.49 33.14 9.66 6.31 13.98
8.12 6.23 5.95 8.8 20.76 27.47 23.5 25.87 29.39 19.4 16.62 7.94
8.03 9.16 8.9 8.12 15.24 49.77 46.12 35.92 49.04 21.88 5.21 7.61
5.79 3.52 10.54 20.83 32.49 36.02 46.15 23.81 19.91 33.86 12.8 7.36
4.27 5.41 9.24 11.06 16.45 80.61 80.5 33.21 16.9 17.96 10.4 9.14
4.42 6.95 6.2 9.28 17.18 29.87 27.92 28.37 28.28 12.44 10.19 8.67
4.99 3.65 6.27 7.14 17.82 59.86 85.97 35 33.46 10.07 6.27 6.95
7.18 2.55 6.96 10.06 20.06 56.24 72.33 44.05 44.01 26.4 11.54 8.08
6.66 4.64 13.4 11.13 17 71.44 113.79 33.61 17.03 18.11 10.84 10.38
5.22 5.79 6.21 7.81 17.02 47.51 68.83 50 41.41 28.24 13.61 6.69
6.41 3.93 9.01 8.6 12.73 55.79 70.38 45.63 34.74 27.02 12.94 6.97
7.25 5.39 5.61 11.33 19.65 62.04 66.17 58.87 19.19 6.03 14.19 4.56
7.97 7.37 5.88 11.67 16.58 39.51 59.38 36.78 35.24 22.15 14.32 13.97
6.18 2.87 7.7 9 27.08 32.25 73.69 55.77 33.53 8.72 15.91 13.11
7.17 4.44 7.08 10.28 15.92 34.54 49.5 45.6 25.76 11.52 8.97 7.9
11.78 2.43 7.43 14.1 13.51 26.63 43.37 39.46 44.16 18.53 4.44 11.47
7.96 3.64 7.59 9.64 15.46 82.94 51.49 28.06 33.52 36.88 11.05 3.15
6.67 4.8 8.31 10.08 11.32 74.52 39.92 49.04 47.95 18.59 8.01 6.16
7.96 5.74 9.22 9.63 15.59 46.46 29.96 57.55 33.5 13.87 6.67 8.74
9.63 6.48 10.53 7.04 21.16 46.93 41.77 21.81 18.09 17.83 16.49 9.76
5.76 2.6 9.42 10.11 13.85 19.05 80.87 23.12 25.83 10.6 4.69 7.45
5.81 3.48 8.62 11.27 14.08 34.7 66.93 62.51 19.61 19.26 10.14 11.61
7.09 6.65 3.8 9.47 9.93 67.06 43 36.31 12.71 7.7 9.03 14.71
5.49 6.69 6.84 15.14 26.25 29.26 18.6 12.18 39.58 25.1 12.96 5.71
9.52 5.43 11.05 11.42 21.02 41.63 80.82 58.8 23.6 15.07 11.53 5.58
15.33 4.38 6.02 13.96 18.21 22.48 38.32 28.52 20.45 22.37 12.19 7.83
5.85 8.3 7.27 8.25 16.56 44.76 33.5 58.61 25.89 10.85 11.11 10.01
10.9 5.31 12.91 10.74 15.38 34.26 17.56 71.1 21.62 17.18 15.29 10.17
5.42 6.08 10.78 11.02 35.27 36.57 24.14 22.02 40 18.08 7.95 8.43
10.45 7.34 9.83 15.05 17.62 32.6 67.62 61.57 35.76 14.43 10.55 4.17
9.3 3.96 11.72 11.66 34.24 50.47 113.12 36.44 12.03 10.3 14.14 11.91
4.81 5.03 5.31 11.7 15.34 39.75 70.11 47.58 36.5 19.45 15.09 6.75
10.09 7.24 8.47 9.97 17.89 8.67 42.72 40.06 13.51 15.39 14.06 7.25
12.05 6 4.86 8.49 29.63 29.47 38.35 22.45 27.17 6.66 3.94 7.96
10.31 9.09 5.01 11.89 17.82 47.58 40.88 21.19 32.44 14.58 5.73 5.48
5.72 9.23 4.95 11.29 11.56 8.52 79.1 32.05 9.1 14.38 8.52 11.04
9.63 13.76 14.58 11.17 12.62 20.81 49.64 48.1 22.98 13.2 13.6 8.46
5.81 8.12 13.37 9 19.99 40.22 56.48 17.92 15.95 20.63 12.29 5.33
2.84 5.59 5.8 9.35 14.99 60.51 31.59 44.64 19.75 14.61 8.11 12.87
8.28 6.54 9.62 16.3 21.03 29.58 38.72 16.75 16.3 30.57 11.97 10.62
5.36 7.58 9.38 6.23 18.23 53.94 66.22 51.77 24.7 6.26 8.7 10.09
10.63 3.89 4.14 7.01 17.06 52.83 51.94 57.64 18.54 21.38 8.39 12.62
8.42 3.29 9.83 15.09 19.7 55.97 31.97 35.64 33.37 14.96 4.46 8.86
5.9 2.07 4.3 17.86 33.69 42.73 31.08 34.25 40.88 14.82 10.09 4.81
5.57 8.77 9.35 12.39 13.56 49.27 61.22 47.53 17.38 18.46 13.61 11.42
16.45 10.59 5.71 6.22 22.95 48.03 23.4 12.84 20.24 16.91 12.89 9.64
7.97 2.71 4.72 7.69 21.09 34.67 14.29 37.22 17.89 19.3 10.02 6.66
6.49 9.24 6.82 10.59 15.55 53.53 65.16 57.75 26.43 17.34 9.04 5.13
3.13 3.76 8.76 7.53 23.95 32.7 50.59 56.1 15.91 14.21 12.6 10.54
3.69 6.49 5.33 11.25 18.97 78.14 56.37 21.06 15.07 25.18 7.87 6.64
5.15 3.24 4.84 8.27 14.91 51.43 50.72 81.64 28.87 24.14 8.75 4.58
11.22 4.93 8.42 10.85 17.91 28.93 84.66 10.63 10.33 11.73 12.18 7.95
