"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
10.38 8.2 5.21 9.93 17.89 25.41 27.59 34.74 30.79 15.2 10.86 4.86
4.28 9.86 7.77 11.37 18.09 27.87 28.32 34.24 23.64 16.19 3.76 6.44
7.38 4.91 7.51 13.76 16.55 26.5 21.2 26.27 32.77 10.41 4.39 2.93
5.18 2.72 2.71 14.87 22.28 28.92 47.5 19.01 11.96 11.68 10.41 7.48
5.26 7.85 5.69 11.71 19.93 18.59 41.72 17.97 27.04 13.79 11.17 9.77
4.69 4.76 4.96 12.77 13.98 30.14 46.06 37.17 22.65 14.32 9.81 6.71
4.02 3.88 5.12 19.46 28.11 28.05 42.73 38.54 17.53 17.3 8.47 5.9
7.53 3.69 6.47 11.38 28.98 22.72 33.61 25.44 29.11 14.85 16.3 9.74
6.73 4.13 4.72 13.48 18.64 31.59 21.71 25.18 25.73 19.82 11.23 7.64
3.02 2.2 5.44 14.63 19.15 31.43 14.52 30.52 31.49 15.91 8.88 13.16
4.74 6.08 4.59 11.21 15.22 45.27 18.69 29.3 28.39 12.19 10.89 14.4
9.32 6.54 9.57 15.54 25 20.41 16.18 24.01 32.98 9.35 8.4 7.02
13.24 3.52 7.36 8.32 20.05 17.05 37.72 21.81 11.87 11.34 9.26 5.61
7.63 8.15 5.9 10.42 15.91 17.12 21.08 20.38 15.58 9.75 7 9.58
8.77 3.61 3.59 10.45 16.91 22.59 53.26 22.11 25.07 12.34 6.4 5.25
7.14 6.52 9.64 11.09 26.65 18.76 34.57 29.43 25.34 17.55 7.27 10.24
5.76 8.42 7.09 11.65 20.5 27.77 41.18 26.78 28.56 15.53 8.53 4.85
3.97 3.8 8.89 10.63 13.5 32.29 12.16 35.88 34.73 20.59 8.68 4.15
8.52 6.91 9.61 15.79 23.43 38.46 32.84 22.4 24.3 12.94 15.63 6.14
7.17 6.24 5.98 10.94 13.22 42.38 30.3 24.69 21.66 8.35 9.35 8.18
5.93 7.33 6.29 13.15 33.53 27.43 16.17 22.23 29.93 10.07 10.3 7.03
10.27 3.7 8.28 12.85 18.97 28.34 15.25 24.58 21.6 18.4 10.38 6.37
10.87 4.23 7.27 12.83 22.21 38.75 40.08 7.95 28.57 15.25 16.15 11.8
8.1 4.08 9.04 12.39 24.72 33.96 38.7 20.2 19.52 13.16 8.05 4.28
5.16 8.97 8.82 8.98 22.06 31.27 9.49 30.44 13.9 18.25 15.24 13.43
3.14 5.58 6.84 15.02 22.9 28.16 17.53 17.35 22.18 19.12 8.99 3.67
6.92 5.81 3.68 16.62 23.78 41.31 8.13 24.13 27.55 13.85 15.52 11.28
14.15 7.06 6.36 14.07 22.17 44.01 36.82 28.06 26.55 10.55 8.48 6.09
4.88 4.29 7.8 9.09 16.32 38.04 24.53 21.09 19.82 17.45 4.75 10.78
12.62 6.22 11.08 15.32 25.65 32.67 29.16 37.32 14.78 21.23 9.54 7.71
4.32 5.07 9.23 12.65 16.13 25.64 9.36 42.41 25.58 15.23 13.38 6.27
6.95 4.43 6.9 12.62 31.01 19.8 21.93 26.95 21.68 18.35 10.88 6.33
4.55 6.65 10.48 14.65 23.94 30.99 43.42 39.71 26.35 13.75 9.68 12.59
7.12 4.85 9.42 14.07 26.86 34.19 15.48 44.09 15.83 11.51 9.61 9.26
4.92 5.1 6.59 9.63 19.54 33.73 24.15 13.59 25.11 20.97 13.8 7.96
7.54 3.62 4.91 9.9 19.59 20.52 32.29 41.42 22.22 20.3 11.69 8.53
3.8 3.82 5.38 13.5 14.78 22.12 20.36 30.58 15.94 11.42 8.95 7.13
4.35 8.94 8.62 13.04 17.99 33.09 32.88 37.35 41.74 15.71 9.39 4.6
6.81 4.95 12.04 10.87 24.22 22.12 24.83 18.7 24.51 14.9 9.86 7.27
