Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-31.8 -26 -14.8 -6.1 4.8 14.1 18.9 15.2 7.2 -7 -18.2 -36.5
-33.3 -25.1 -17.8 -8.1 2.5 13.7 17.8 13.1 8 -6.4 -20.7 -29.8
-29.5 -22.7 -15.6 -5.9 4.7 13.4 20.8 13.4 5.9 -6.5 -19.2 -34
-31.7 -32.5 -17.4 -5.1 4.6 12.8 17.2 13.7 5.5 -6.6 -13.6 -28.4
-23.9 -29 -17.1 -7.4 3.3 12.6 20.1 14.2 5.5 -5.7 -18.8 -32.3
-36.7 -32.4 -15.8 -2.9 4.3 15.1 18.5 16.5 6.8 -4.1 -23.8 -25.2
-33.4 -30.6 -17.1 -3.6 5.5 13.2 16.6 14.6 6.9 -5.3 -21.7 -31.8
-34.1 -27.1 -20.3 -5.8 5.9 15.4 21.6 14 7.5 -3.7 -21.4 -30.1
-35.6 -29.7 -21.4 -7.8 4.1 13 19.4 15.9 4.9 -6.6 -22.9 -30.7
-34.2 -26.7 -20.4 -6 4.7 13.7 20.8 15.5 5.9 -4.9 -23.8 -34.8
-31.9 -27.7 -19.8 -4.2 4.5 13.1 18.4 15.4 5.5 -2.6 -18.2 -32.8
-28.9 -29 -21.5 -5.2 4.6 13.7 20 11.8 4.8 -10 -22.4 -32.7
-32.6 -31.6 -16.8 -7.2 4.6 14.9 17.5 12.5 6.3 -3.6 -21.4 -27.8
-27.2 -25.4 -21 -3.8 4.8 13.8 20 15.4 7.5 -4.7 -24.1 -26.8
-40 -31.4 -18.8 -6.9 4.8 12.8 19.4 12.4 4.7 -8.2 -18.9 -29.7
-30.5 -29.8 -19.5 -7.5 4.3 12.1 19.2 14.5 5.4 -3.5 -18.8 -36.8
-33.1 -27.1 -16.2 -5.1 6.7 15 18.7 13.5 6.2 -7 -21 -33
-28.5 -27.1 -14.8 -5.9 6 14 18.5 14.2 6.6 -5.4 -21.7 -33.9
-39.1 -29.2 -17 -6.7 4 13.5 20.1 14.1 7 -3.3 -22.1 -29.6
-29.5 -27.9 -16.3 -4.6 5.5 12.9 19.1 14.2 5.2 -5.3 -21.5 -30.9
-29.5 -26.9 -17.1 -5.6 4 13 20.8 15.5 7 -5.5 -20.2 -33.3
-39 -32.7 -17.8 -4.9 4.1 13 20.3 13.8 4.9 -4.6 -22.6 -28.4
-31.6 -33.3 -16 -5.6 4.7 11.8 19.8 15.1 7.2 -7.3 -24.1 -27.5
-30.8 -26.5 -18.3 -6.7 6.1 12.9 19.1 14.4 6.5 -6.4 -16 -25.9
-25.5 -32.3 -20 -4.3 5.3 12.8 18.9 15 7.4 -1.9 -18.2 -30.4
-27.8 -27.1 -13 -4.5 3.5 13.3 19.7 16.5 7.7 -4.5 -18.7 -31.6
-32.2 -28.4 -20.2 -6.4 5.2 14.8 18 12.6 8.1 -3.6 -16.9 -30.6
-32.1 -29.6 -18.5 -4.9 3.1 14.4 17.8 15.1 5.8 -3.7 -21.5 -28.2
-34.1 -32.7 -14.8 -4.6 5.4 12.1 17.5 14.8 5.4 -5.4 -17.6 -33.9
-28.3 -30.8 -15 -7.7 3.9 13.8 19.2 16 6.3 -2.6 -18.7 -29.9
-37.2 -33.5 -17 -8.1 3.6 14.2 18.4 13.8 8.4 -2.2 -16.4 -25
-22.3 -27.6 -17.7 -4.8 4.3 13.5 21.3 13.9 8.9 -1.6 -21.7 -23.7
-30.3 -32.7 -20.1 -6.9 2.3 14 17.4 15 6.1 -2.4 -17.6 -26.5
-30.4 -19.3 -18.3 -5.9 5.6 14 19.8 13.3 5.5 -3.8 -19.5 -26.2
-27.9 -19.5 -17.6 -7.6 3.9 12.4 19.2 13.8 6.5 -6.9 -23.4 -31
-35.3 -30.2 -18 -4.3 5.9 11.3 20.4 14.6 7.3 -5.1 -24.3 -23.7
-25.8 -26.7 -23.9 -6.5 6.4 15.2 18.7 12.7 6.1 -5 -20.7 -33.4
-29.7 -26.6 -12.4 -2 4.7 13.3 18.3 15.2 7.8 -4.9 -18.8 -32.3
-33 -21.7 -16.9 -1.4 4.5 14.9 18.4 15.5 7.6 -5.2 -20 -19.4
-36.8 -27 -15.8 -4 4.5 14.3 18 13.6 5.2 -7.1 -21 -29
-33.8 -32.8 -22.6 -7.7 4.6 15.4 21.4 15.1 6.9 -3.4 -19.6 -32.8
-27.2 -30.9 -19.2 -6.5 3.4 12.8 18.9 12.4 6.1 -6.2 -21.2 -26.8
-28.8 -22.5 -14.4 -2.1 7.6 12.4 18.6 13.8 8.4 -3.1 -22.2 -29.1
-28.5 -24.3 -14.5 -3.2 4.2 13 18.7 14.4 8.4 -6 -23.9 -29.9
-32.9 -28 -18.5 -1.8 7 14.7 19.3 13.8 7.9 -1.7 -16.4 -34.6
-30.5 -27.5 -20.1 -2.9 4.2 12.7 20 14 2.9 -2.5 -18.7 -35.3
-37.3 -31 -18.2 -1.4 6.8 15.2 19.8 12.5 6.3 -0.7 -24.3 -32.2
-27.2 -24.4 -13.3 -1 4.5 13.3 20.8 14.5 6.8 -3.2 -15.3 -26
-23.6 -24.5 -17.5 -4.1 6.5 13 19.4 14.5 7 -1.3 -22.6 -32.9
-34.3 -25 -17.8 -5.5 5.9 14 17.8 14.1 5.1 -4.5 -23 -31
-32.7 -33.1 -17.2 -6 5.6 12.3 16.5 12.8 7.4 -2.8 -15.3 -22.2
-32 -30.5 -19.2 -6.6 3.9 13.3 19.6 14.7 6.6 -8.1 -27.2 -33.8
-33.4 -26.3 -14.1 -1.6 5.5 14.8 19.3 13.1 5.7 -2.8 -21.8 -25.2
-32.5 -30.8 -17.5 -6 2.5 14.8 19.7 15.1 5.6 -5 -20.3 -29.1
-23.7 -34.5 -22.9 -7.4 5.5 13.9 17.8 14.3 4.8 -4.1 -17.6 -30
-33.7 -28.2 -19.5 -7.8 2 14.2 19.8 12.3 6.3 -5 -19.4 -30.9
-24.8 -34.5 -19.1 -4.7 5.1 13.1 16.8 13.3 3.9 -4.5 -20.7 -27.3
-33.4 -25.4 -20.7 -7 4.9 12 17.2 13.7 4.9 -4.9 -15.3 -27.8
-32.5 -22.9 -10.7 -5.7 2.9 15.8 17 15.7 8.3 -4.7 -18.8 -30.5
-37.7 -25.2 -22.2 -5.5 3.4 15 18.2 13.2 5.6 -5.9 -20.5 -28.3
-32.2 -25.6 -13.2 -5.3 4.4 11.1 18 13.9 7.7 -7.6 -18.6 -31.4
-22.1 -21.2 -18 -5.6 3.9 13.4 19.2 14.1 6.4 -6.5 -23.3 -27.7
-27 -19.4 -14.5 -7.8 2.8 12 20 15.3 6.6 -2.4 -19 -25.6
-23.4 -27.7 -17.7 -8.6 4.9 12.7 19.3 14.8 5.7 -6.6 -20.8 -32.4
-31.7 -33.3 -16.6 -4.7 4.1 11.7 17.4 14 6 -2.6 -24.9 -33.2
-33.6 -33.5 -22 -10.2 5.1 13.5 17.2 14.3 7.1 -4.7 -22.9 -31.6
-24.3 -27.2 -15.7 -4.1 6.3 15.2 19.7 12.8 5.1 -0.7 -19.7 -24.8
-31.9 -28.5 -9.5 -0.4 6 12.5 20.7 13.3 4.1 -4.3 -23.3 -34.7
-38.5 -38.9 -19.9 -6.5 4 12.2 19.2 15.7 4.3 -5.7 -18.2 -28.2
-32.2 -28.8 -19.8 -4.2 3.8 13.7 20.7 12.6 6.2 -6.4 -18 -26.8
-25.9 -35 -19.3 -5.2 6.3 15.3 19 14.5 7.2 -1.8 -12.8 -27.5
-30.9 -27.3 -17.3 -4.5 3.6 12.4 17.7 12.4 6 -7.1 -25.6 -27.2
-25.1 -26.9 -16.2 -7.8 5.3 14.5 18.4 13.7 8.5 -5 -18.1 -23.3
-33.5 -33.5 -16.1 -5.8 4.4 12.3 18.2 15.1 7.5 -8.5 -22.5 -32.7
-29.1 -29.4 -12 -2.2 7.1 16 18.2 13.4 6.1 -3.1 -16.6 -25.1
-28.9 -28.6 -19.7 -3.9 4.1 11.7 18.7 13.2 6.7 -8 -19.2 -32.4
-37.2 -32.7 -17.1 -5.1 5.1 13.4 17 12.8 5.7 -7 -18.5 -29.3
-30.2 -25.4 -16.3 -1.9 4 12.4 16.7 13.8 4.8 -4.2 -11.4 -27.4
-36.7 -28.7 -16.3 -6.3 6 15 17.1 12.3 6.7 -7.6 -21.1 -24
-33.3 -27.1 -19.5 -7.5 3.7 13.9 20.2 16 6.5 -5.1 -18.1 -31.5
