Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
14.0 13.7 16.5 20.9 38.0  26.2  59.5  63.0 66.6 28.2 25.1 12.1
13.6 18.4 17.1 29.1 35.0  54.9  24.2  81.6 44.7 32.1 33.2 19.2
11.1  9.9 15.6 24.0 33.5  64.0  26.7  59.1 54.8 38.4 15.2 17.5
13.9 10.5 17.1 24.6 35.7  52.3  76.3  61.4 36.6 45.7 23.3 11.0
20.5 15.5 31.3 20.2 43.2  37.3  46.5  65.3 49.1 37.8 31.1 28.6
19.2 22.3 24.1 48.4 26.5  56.5  86.7  44.8 35.4 41.6 18.2 16.3
16.8 12.7 19.7 25.7 42.0  49.7  68.1  57.9 55.5 43.0 31.1 20.7
 9.1 15.5 11.4 36.1 40.2  38.3  92.6  74.2 40.2 37.2 21.3 19.9
16.1 16.7 20.3 24.8 27.2  38.4  74.0  47.3 31.3 29.9 21.1 15.9
14.4 16.3 14.5 23.3 36.2  32.4  64.8  45.1 50.6 35.3 23.7 17.2
 9.5 20.1 25.3 37.6 25.3  32.1  79.3  87.5 61.8 42.5 24.3 10.7
20.3 20.5 23.1 31.7 36.6  50.9  66.8  79.9 55.1 40.7 20.5 16.5
11.4 10.0 21.6 31.1 34.5  31.7  84.5  57.3 63.7 30.5 33.1 26.7
15.9 12.3 31.1 33.6 44.9  51.9 126.6  64.5 84.0 35.9 18.1 20.1
10.5 12.3 23.1 26.9 29.3  37.7  45.1  57.4 40.8 42.8 34.1 11.3
18.7 13.6 16.6 26.6 36.1  31.6  32.2  29.2 38.9 43.9 29.2 24.4
17.0 15.0 18.8 35.1 44.0  33.0  98.8  93.1 46.6 39.4 31.3 23.0
17.9 20.7 24.0 29.6 53.5  51.7  42.7  50.7 47.4 31.6 23.9 26.9
20.7 22.1 18.1 27.4 35.2  37.8  46.2  37.7 58.5 57.1 18.3 19.7
19.6 20.6 15.1 23.7 31.6  48.3  55.1  77.3 52.1 38.5 26.5 21.7
 9.3 18.7 12.0 36.7 23.7  42.5  51.9  68.0 50.7 26.5 21.1 22.1
20.2 12.8 24.7 27.8 31.7  66.8  78.9  57.9 34.3 48.1 15.9 10.8
16.9 13.8 25.1 20.6 33.0  43.5  57.8  33.6 46.9 47.8 22.9 15.0
17.0 15.2 24.1 24.9 49.9  42.4  36.4  53.1 46.9 32.3 23.6 22.6
13.1 17.2 18.4 21.2 32.7  63.1  16.3  46.6 35.4 37.2 16.6 11.4
 8.2 24.9 17.2 23.0 43.0  32.9  29.3  42.4 19.0 36.4 33.9 16.0
16.4 16.3 17.0 26.1 37.1  42.2  75.6  68.3 47.0 25.7 23.4 12.6
10.8 11.3 21.9 35.7 51.7  51.6 103.9  57.1 52.3 30.6 21.3 11.1
