Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-27.6 -25.4 -18.1  -9.3 -1.9  6.1 15.6 14.4  8.1  -5.6 -15.1 -28.5
-27.6 -17.0 -19.3  -8.0  1.1  7.8 15.4 12.6  4.4  -9.8 -14.6 -26.7
-31.8 -28.5 -14.1  -8.3  2.3 10.9 17.6 13.2  5.4  -5.5 -24.8 -30.0
-30.2 -30.0 -12.2  -7.0 -0.7 10.6 13.5 14.1  7.1  -5.5 -21.5 -33.0
-21.9 -16.7 -10.7 -10.1  2.8  8.2 21.1 14.1  3.8  -7.0 -19.7 -21.2
-20.8 -21.1 -14.4  -3.7  0.6  9.0 16.0 13.9  5.9 -10.8 -19.9 -25.3
-21.3 -29.1 -15.6  -7.6 -0.3  6.8 12.4 14.6  6.0 -10.7 -11.3 -28.3
-30.5 -23.1 -19.5  -4.0 -0.2  7.0 15.6 11.4  7.1  -5.6 -20.8 -18.5
-23.4 -22.2 -18.1  -9.4 -2.6  6.6 13.0 11.9 10.0  -8.7 -14.7 -29.7
-30.7 -25.8 -19.4  -8.4 -1.3  8.9 14.6 15.1  5.6  -7.7 -18.0 -26.8
-32.2 -17.3 -11.8  -3.8 -2.6  8.2 17.4 14.2  8.0  -4.8 -20.1 -30.5
-22.7 -20.4 -13.5  -2.8 -2.3  8.2 15.8 12.7  6.8  -3.7 -20.5 -27.0
-34.4 -30.9 -15.2 -10.0 -2.5  6.4 19.0 15.1  5.9  -8.2 -14.8 -23.4
-25.4 -26.9 -10.5  -7.2 -0.4  8.8 15.3 15.2  8.7  -3.7 -23.6 -23.5
-33.0 -24.3 -13.1  -6.6 -1.4  9.2 17.0 14.0  8.8  -3.8 -14.2 -34.8
-21.2 -26.4 -19.4 -10.3 -1.4  6.2 14.5 15.4  2.4  -2.5 -21.7 -28.4
-27.8 -24.4 -16.7  -3.8  2.2  7.4 15.0 15.5  7.3  -5.2 -13.0 -18.1
-20.0 -19.1  -9.8  -5.4  2.0  5.5 12.3 14.5  7.9  -5.0 -22.8 -22.6
-19.9 -24.5 -17.2  -8.8 -0.8  7.0 19.2 12.7  6.9  -5.9 -25.7 -23.8
-23.0 -19.3 -23.2  -7.7 -3.0  5.8 13.6 15.5  6.5  -4.8 -22.7 -26.4
-33.0 -26.7 -24.0  -3.7 -3.8  8.4 12.5 14.2  6.1  -9.3 -21.4 -24.6
-25.1 -26.4 -13.6  -6.7  0.8  9.6 17.1 14.6  7.3  -7.8 -21.7 -27.0
-28.2 -27.2 -14.2  -8.4  0.3  7.2 15.0 14.6  6.4  -5.3 -19.9 -25.3
-28.9 -32.2 -17.7 -10.6 -2.1  8.0 15.0 13.6  7.9  -1.9 -19.5 -27.9
-31.7 -20.8 -16.5 -10.5  0.5  8.2 16.8 16.9  6.0  -2.8 -20.2 -35.6
-32.4 -15.2 -12.4  -8.6  1.7  8.1 17.4 16.2  9.4  -5.8  -9.9 -26.2
