Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-35.9 -33.7 -26.4 -17.6 -10.2 -2.2  7.3  6.1 -0.2 -13.9 -23.4 -36.8
-35.9 -25.3 -27.6 -16.3  -7.2 -0.5  7.1  4.3 -3.9 -18.1 -22.9 -35.0
-40.1 -36.8 -22.4 -16.6  -6.0  2.6  9.3  4.9 -2.9 -13.8 -33.1 -38.3
-38.5 -38.3 -20.5 -15.3  -9.0  2.3  5.2  5.8 -1.2 -13.8 -29.8 -41.3
-30.2 -25.0 -19.0 -18.4  -5.5 -0.1 12.8  5.8 -4.5 -15.3 -28.0 -29.5
-29.1 -29.4 -22.7 -12.0  -7.7  0.7  7.7  5.6 -2.4 -19.1 -28.2 -33.6
-29.6 -37.4 -23.9 -15.9  -8.6 -1.5  4.1  6.3 -2.3 -19.0 -19.6 -36.6
-38.8 -31.4 -27.8 -12.3  -8.5 -1.3  7.3  3.1 -1.2 -13.9 -29.1 -26.8
-31.7 -30.5 -26.4 -17.7 -10.9 -1.7  4.7  3.6  1.7 -17.0 -23.0 -38.0
-39.0 -34.1 -27.7 -16.7  -9.6  0.6  6.3  6.8 -2.7 -16.0 -26.3 -35.1
-40.5 -25.6 -20.1 -12.1 -10.9 -0.1  9.1  5.9 -0.3 -13.1 -28.4 -38.8
-31.0 -28.7 -21.8 -11.1 -10.6 -0.1  7.5  4.4 -1.5 -12.0 -28.8 -35.3
-42.7 -39.2 -23.5 -18.3 -10.8 -1.9 10.7  6.8 -2.4 -16.5 -23.1 -31.7
-33.7 -35.2 -18.8 -15.5  -8.7  0.5  7.0  6.9  0.4 -12.0 -31.9 -31.8
-41.3 -32.6 -21.4 -14.9  -9.7  0.9  8.7  5.7  0.5 -12.1 -22.5 -43.1
-29.5 -34.7 -27.7 -18.6  -9.7 -2.1  6.2  7.1 -5.9 -10.8 -30.0 -36.7
-36.1 -32.7 -25.0 -12.1  -6.1 -0.9  6.7  7.2 -1.0 -13.5 -21.3 -26.4
-28.3 -27.4 -18.1 -13.7  -6.3 -2.8  4.0  6.2 -0.4 -13.3 -31.1 -30.9
-28.2 -32.8 -25.5 -17.1  -9.1 -1.3 10.9  4.4 -1.4 -14.2 -34.0 -32.1
-31.3 -27.6 -31.5 -16.0 -11.3 -2.5  5.3  7.2 -1.8 -13.1 -31.0 -34.7
-41.3 -35.0 -32.3 -12.0 -12.1  0.1  4.2  5.9 -2.2 -17.6 -29.7 -32.9
-33.4 -34.7 -21.9 -15.0  -7.5  1.3  8.8  6.3 -1.0 -16.1 -30.0 -35.3
-36.5 -35.5 -22.5 -16.7  -8.0 -1.1  6.7  6.3 -1.9 -13.6 -28.2 -33.6
-37.2 -40.5 -26.0 -18.9 -10.4 -0.3  6.7  5.3 -0.4 -10.2 -27.8 -36.2
-40.0 -29.1 -24.8 -18.8  -7.8 -0.1  8.5  8.6 -2.3 -11.1 -28.5 -43.9
-40.7 -23.5 -20.7 -16.9  -6.6 -0.2  9.1  7.9  1.1 -14.1 -18.2 -34.5
-33.4 -34.3 -28.0 -17.2  -7.0  1.9  4.6  2.9 -1.4 -17.8 -28.0 -40.4
-36.5 -32.7 -22.1 -12.2  -9.9  1.2  6.7  6.2 -2.0 -14.7 -24.7 -40.9
-40.1 -31.5 -22.2 -14.0  -8.9  0.8  5.3  8.3 -0.1 -16.4 -33.3 -27.4
-45.2 -26.1 -22.1 -17.1 -11.4 -2.4  8.8  3.6 -0.4 -12.8 -26.0 -34.9
-38.7 -30.2 -23.6 -15.2  -5.6  3.2  9.1  7.8 -0.7 -17.5 -26.9 -30.6
-42.5 -41.3 -25.8 -12.9  -6.2 -1.5  7.8  7.6 -2.9 -14.4 -33.6 -28.6
-31.0 -31.2 -25.9 -17.5 -10.8 -0.6  7.2  4.3 -1.4 -13.5 -27.5 -35.6
-31.3 -34.9 -22.1 -16.7  -8.7  0.0  7.5  3.8 -1.9 -16.8 -25.7 -38.1
-36.8 -26.3 -21.5 -13.8  -9.2 -0.5  4.5  5.2 -1.7 -12.5 -23.5 -29.9
-32.4 -31.3 -28.5 -16.4 -11.2 -1.1  5.3  5.0 -3.2 -15.2 -20.8 -36.2
-27.3 -33.9 -21.4 -16.4  -7.2  0.5  4.9  4.2 -3.6 -11.7 -26.5 -34.0
-31.8 -31.1 -19.3 -13.6  -6.8  1.3  7.1  4.2 -0.9 -17.9 -30.2 -29.1
-35.0 -34.7 -24.4 -18.6 -10.4 -3.1  5.9  5.9 -1.9 -10.9 -24.9 -30.0
-42.8 -34.3 -29.7 -19.0  -8.0  0.9  7.7  4.4 -0.9 -13.2 -30.1 -35.2
-38.2 -31.7 -24.7 -16.9  -9.3 -3.8  3.9  4.1 -0.4 -10.8 -23.6 -35.8
-28.8 -37.0 -24.3 -14.7 -11.0  2.0  8.0  5.3 -1.1 -12.3 -24.4 -33.2
-37.2 -30.5 -25.0 -11.3  -7.9 -1.0  8.8  7.0 -3.5 -15.2 -28.7 -28.2
-30.4 -26.3 -31.0 -13.3  -6.5  0.8 10.2  5.7 -3.2 -11.5 -20.5 -31.5
-35.4 -27.3 -24.7 -11.8  -7.8  0.1  6.3  5.1 -1.1 -14.6 -32.2 -37.7
-35.7 -30.5 -24.1 -12.1  -7.1 -1.2  6.4  3.7 -2.5 -16.1 -25.9 -31.8
-34.4 -35.7 -29.9 -18.1 -10.2 -0.9  5.4  4.1  0.1 -13.8 -28.9 -40.8
-41.9 -36.7 -20.0 -12.5  -8.0 -1.6  8.6  7.1 -0.2 -12.5 -26.9 -26.8
-28.0 -27.3 -27.8 -13.7  -4.8  0.8  7.2  6.8 -1.9 -13.5 -26.0 -40.5
-33.2 -23.9 -24.7 -16.7 -10.9 -0.6  8.1  6.1  0.3 -18.5 -24.5 -34.6
-39.3 -39.4 -22.0 -14.9  -6.8  1.1  8.2  4.4 -1.1 -13.0 -26.9 -27.4
-39.1 -32.0 -23.9 -12.5  -3.9  7.8  6.7  7.2 -0.3 -12.6 -27.3 -36.6
-39.1 -28.8 -22.8 -14.3  -5.9  1.6  5.7  4.3 -2.4 -17.7 -22.2 -33.9
-32.1 -30.6 -23.8 -19.1  -9.5  0.5 10.5  5.3 -0.8 -10.8 -26.9 -29.4
-36.5 -30.0 -24.8 -15.3  -7.8  1.1  6.2  3.2 -1.3 -15.3 -30.5 -31.8
-35.9 -29.3 -20.6 -17.0  -7.6  1.3  6.6  4.0 -3.0 -16.3 -24.0 -31.6
-41.5 -38.1 -25.8 -16.5  -8.8 -0.9  6.9  6.8 -2.0 -15.5 -29.4 -31.9
-37.8 -37.8 -27.4 -17.7 -10.5 -0.2  7.4  4.0 -1.3 -15.5 -27.6 -31.5
-31.1 -42.8 -26.7 -21.4  -6.1 -2.2  7.1  4.9 -2.8 -13.4 -33.2 -39.1
-44.8 -36.0 -19.8 -16.9 -10.8 -3.0  7.8  9.9 -0.9 -15.2 -30.1 -33.7
-37.5 -33.4 -22.6 -14.9  -7.4  3.4  8.0  3.8 -1.9 -16.8 -23.6 -37.3
-38.6 -32.1 -15.4 -13.5  -8.0 -3.4  5.3  3.6 -0.9 -11.3 -27.3 -30.6
-36.9 -34.8 -26.0 -16.6  -8.6  0.0  6.3  6.3 -3.3 -16.3 -23.4 -34.0
-40.5 -28.6 -21.6 -12.3  -5.7 -1.4  9.4  6.1 -0.7 -12.2 -29.8 -30.5
-36.3 -33.9 -21.2 -20.0 -11.7 -0.9  7.1  3.3 -2.5 -16.5 -24.8 -29.1
-33.2 -39.3 -21.9 -16.6  -9.3  1.4  7.2  3.8 -1.7 -14.5 -25.1 -41.8
-37.2 -36.4 -27.0 -16.2 -11.4 -1.0 10.9  5.1 -2.1 -13.2 -20.7 -31.6
-43.5 -33.2 -32.5 -17.5  -8.3 -1.5  8.1  4.7 -0.6 -13.7 -29.3 -33.8
-37.8 -26.2 -20.9 -12.4  -8.7 -0.7  7.4  4.2 -5.3 -15.0 -27.5 -32.6
-30.2 -31.6 -24.7 -13.4  -8.3 -0.7  6.4  3.8 -2.2 -14.9 -26.0 -35.6
-38.0 -38.7 -23.2 -15.2 -10.2 -1.2  6.8  4.9 -2.6 -13.2 -22.5 -31.7
-33.0 -32.1 -21.9 -19.2 -10.3 -0.8  7.6  6.3 -3.3 -15.0 -32.1 -40.7
-31.7 -28.4 -27.0 -17.3 -11.6 -2.2  5.3  4.2 -2.6 -12.7 -25.6 -38.3
-31.9 -29.2 -22.4 -12.9  -6.1  1.9  6.4  7.9 -1.1 -12.1 -28.5 -32.9
-30.4 -23.5 -20.5 -16.9 -10.0 -1.4  5.8  8.3  0.1 -12.6 -24.7 -27.7
-37.4 -26.5 -21.2 -15.7  -9.6 -0.1  9.6  6.6 -5.1 -12.0 -28.0 -37.0
-35.9 -31.9 -27.1 -12.7  -9.4 -1.9  6.8  3.2 -1.1 -15.9 -25.1 -39.6
-40.0 -31.2 -21.2 -12.1 -10.3  0.3  7.4  4.0 -1.8  -9.4 -24.5 -36.0
-29.0 -30.9 -27.5 -14.4  -9.6  3.1  9.7  3.5 -1.1  -9.4 -26.6 -25.7
-37.7 -34.2 -24.5 -12.8  -8.0  0.8  6.5  4.6 -2.6 -11.7 -21.6 -36.5
-41.1 -29.3 -17.4 -15.6  -7.1  3.5  6.0  4.6 -1.3 -13.2 -26.5 -26.2
-39.3 -29.9 -23.3 -14.9  -9.9 -1.7  4.1  3.0 -1.1 -12.4 -26.9 -31.9
-31.6 -31.2 -24.1 -13.8  -5.9 -0.4  5.7  4.5 -3.0 -13.6 -29.5 -34.3
-37.6 -44.3 -31.7 -14.4  -7.1 -1.8  5.2  6.7  1.1 -15.3 -18.4 -29.0
-41.0 -33.9 -29.5 -16.1  -7.7 -1.8  8.1  5.9 -1.4 -14.3 -21.0 -33.6
-36.5 -32.7 -25.7 -13.5  -9.2  0.1  6.6  4.9 -2.2 -13.8 -26.0 -41.7
-28.0 -29.1 -21.1 -15.9  -8.5  1.3 10.5  4.1 -0.6 -16.2 -24.2 -30.4
-43.8 -29.7 -21.1 -17.8  -7.4 -0.3  6.2  5.3 -6.3 -16.0 -24.7 -27.6
-42.0 -29.2 -30.4 -11.4  -8.1  1.0 10.0  4.4 -0.8 -14.7 -27.9 -37.9
-36.3 -39.4 -19.6 -14.9  -5.4  2.1  6.6  4.0 -0.4 -12.8 -19.4 -28.0
-29.3 -24.6 -31.3 -15.5  -8.7  1.5  8.1  3.5 -0.9  -7.1 -24.4 -38.3
-36.7 -30.1 -18.3 -15.7  -9.2 -2.6  4.2  4.4 -0.6 -11.0 -29.7 -30.3
-40.4 -31.7 -18.4 -11.8  -7.7  0.9  7.5  4.3 -1.7 -10.3 -26.0 -39.4
-42.0 -35.6 -24.4 -18.5  -8.2  0.6  7.2  6.6 -2.6 -17.8 -26.3 -39.0
-38.8 -32.0 -26.9 -13.8  -8.6  1.5  5.3  5.6 -3.0 -13.7 -23.0 -35.2
-31.9 -34.3 -20.2 -20.3  -9.0 -0.4  7.2  3.8 -1.1 -13.0 -21.3 -24.5
-30.2 -29.3 -24.2 -11.9  -7.4  1.2  7.1  4.9 -2.7 -11.2 -31.5 -32.8
-38.0 -25.2 -20.9 -14.7  -8.9 -1.2  6.9  4.8 -3.7 -11.8 -28.1 -29.3
-39.7 -40.1 -26.1 -11.6  -6.9  0.7  5.7  4.8 -2.9 -15.0 -27.0 -34.3
-35.0 -26.9 -21.1 -17.4  -7.5 -2.1  5.8  6.5  0.0 -10.6 -27.4 -35.9
-42.0 -26.4 -24.6 -16.9  -9.8 -1.9  7.0  8.2  0.6 -14.3 -30.5 -26.7
-42.1 -37.6 -30.0 -15.0  -8.8 -1.6  7.1  3.8 -0.5 -12.5 -31.5 -39.2
-34.6 -36.3 -23.2 -16.9 -11.0 -0.4  8.3  5.1 -1.2 -16.1 -30.1 -38.9
-31.6 -35.4 -21.6 -12.7  -8.6 -0.8  7.9  6.2 -1.0 -13.5 -26.6 -27.2
-41.0 -37.7 -26.4 -10.3  -4.4  4.6 12.4  3.8 -1.8 -15.3 -30.0 -35.8
-34.5 -36.1 -21.2 -13.4  -6.6  1.1  6.8  3.2 -1.7 -17.4 -25.7 -40.0
-37.7 -28.4 -28.6 -14.4  -4.7  1.0  9.3  5.1  0.0 -14.2 -27.8 -29.2
-41.7 -34.8 -16.6 -13.3  -8.6  1.6  6.3  4.7 -0.5 -16.2 -23.2 -36.6
-41.1 -37.4 -21.3 -16.6  -9.4 -0.5  8.4  6.5 -0.9 -13.4 -27.1 -28.7
-36.7 -23.5 -17.3 -13.8  -6.9  0.4 10.0  5.3  0.5 -15.0 -25.4 -35.5
-34.5 -36.0 -23.1 -15.1  -9.8 -3.5  5.6  3.0 -0.8 -13.1 -25.3 -31.3
-29.8 -34.4 -24.1 -12.4 -10.2 -1.2  6.8  4.9 -5.8 -12.6 -29.4 -37.0
-33.4 -33.0 -25.0 -11.0  -8.6 -1.9  8.8  5.1 -0.9 -16.9 -22.5 -33.4
-44.1 -33.2 -24.4 -20.5  -8.1  1.1  7.8  7.4 -0.9 -16.8 -27.0 -35.7
-36.9 -29.7 -25.4 -16.8  -7.5 -2.0  5.4  5.3 -0.4  -9.8 -32.9 -38.3
-37.9 -30.8 -25.8 -19.3  -7.6  0.7  5.0  6.9  1.0 -15.2 -29.5 -29.1
