Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-30.6 -19.3 -22.8 -16.8 -5.4 6.2 12.6 9 1.2 -8.7 -24.8 -33.2
-35.9 -23.6 -28.3 -20.1 -1.1 7.5 12.9 9.5 2.2 -14 -26.7 -32.2
-38.7 -32.8 -24.5 -12.3 -5.3 4.9 14.6 8.7 5.5 -10.1 -27.6 -25.5
-23.5 -27.8 -30.4 -16.9 -3.1 7.3 12.9 6.2 2.2 -12.2 -24.5 -32.9
-28 -31.1 -20.8 -11.2 -4 7.6 12.1 10.2 3.5 -12.8 -21.6 -31.5
-35.7 -26.5 -24.9 -17.3 -7.6 7.8 12.2 9.8 1.6 -10 -24.7 -23.7
-35.8 -30.1 -26 -14.8 -4.3 7.8 12.5 9.9 2.9 -14.1 -24.5 -34.8
-36.7 -36.1 -30.8 -20.1 -3.5 10.3 14.5 10.8 2.6 -7.9 -28.1 -33
-26.9 -31.5 -31.3 -19.3 -2.8 8.1 13.8 8.8 4.1 -11.1 -26.6 -23.6
-32.1 -24.3 -22 -7.5 -2.4 9.9 12.1 11.1 3.7 -8.3 -25.4 -34.1
-26 -29.2 -23.5 -13.9 -4.5 4.1 12.9 9.8 3 -10.9 -26.6 -30.2
-27.6 -31.9 -26.5 -12.7 -2.4 10.4 13.8 9.9 4.4 -7.7 -29.8 -34.7
-36.9 -34.9 -25.2 -15.3 -5.7 5 14.3 8.2 -0.6 -9.4 -27.5 -36.7
-36.1 -35 -22.7 -14 -2.1 6 13.5 9.7 1.2 -4.4 -26 -29.8
-31.4 -34.6 -23.9 -16.6 -4.5 4.9 14.8 9.7 4.9 -6.8 -17.8 -31.2
-30 -29.5 -21.9 -13.3 -4.8 2.9 12 9.4 3.7 -6.5 -29.9 -29.5
-36.2 -33.6 -26.5 -16 -3.7 7.4 12.8 9.3 2.8 -11.4 -28.8 -30
-37.4 -36.7 -30.1 -14.8 -5.5 4.1 12.3 7.5 5.3 -5.6 -26 -26.9
-36.4 -28.2 -29.7 -16.5 -5 5.5 11.4 7.8 4.3 -13.8 -29.3 -36.4
-34 -28.1 -21.8 -9.8 -3.1 7.7 17.9 7.6 1.5 -11.1 -24.6 -26.2
-34.7 -34.6 -25.7 -13.8 -5.1 8.5 12.5 12 0.3 -8.8 -24.8 -25.1
-22.4 -38.2 -31.4 -14.9 -7 7.3 14.6 9.6 1.3 -10.5 -27.3 -37.4
-33.2 -27.7 -22.2 -18.9 -6.7 7.2 15.7 8.7 2.1 -15.8 -19.5 -26.9
-33.8 -34.8 -26.2 -18.7 -3.8 9.6 13.8 11.2 -2.2 -17.3 -33.1 -34.7
-32 -35.8 -29.7 -19.9 -6.8 3 15.4 6.1 -0.9 -14.8 -31.9 -38.7
-35.9 -28.8 -20.2 -17.8 -6.9 10.4 14.4 12.7 3.3 -10.9 -25.1 -32.7
-36.8 -39 -29.7 -17.8 -3.9 8.8 11.9 7.8 1.8 -13.4 -28.7 -25
-41 -34 -17.7 -14.9 -6.4 3.4 11.5 8.7 3 -11.8 -25.5 -36
-30.8 -29.6 -23.4 -13.8 -7 5.1 14 10.8 2.8 -10.6 -27 -35.5
-30.4 -29.9 -26.2 -18.4 -7.4 5.6 12.6 9.8 0.1 -9.5 -22.8 -34.2
-34.2 -22.5 -30 -19.1 -7.9 3.4 13.7 10 4.8 -10.8 -23.2 -28.6
-35.7 -35.9 -23.1 -15.2 -7.1 1.2 15.5 11 2.3 -11.4 -31.2 -30.5
-39.7 -41.2 -31.6 -18.9 -6.1 3.9 12.1 8.5 1.7 -15 -29 -23.8
-36.1 -32.2 -23.4 -12 -6.1 6.3 17 8.5 2 -3.6 -19.1 -22.7
-33 -27.8 -18.1 -12.2 -7.3 3.6 12.3 7.9 0.9 -11.7 -35.5 -38.7
-37.4 -40.4 -27.4 -17.8 -5.4 6.4 16.4 9.2 0.2 -12.1 -19.7 -28.8
