;Y;X;Hoehe;Dbasal;Dbrust;Cones;Alter;;;;;;;;;;;
1;91.8;8;250;3.82;2.55;0;103;;;;;;;;;;;
2;91.8;24;250;3.82;2.55;0;103;;;;;;;;;;;
3;91.8;40;250;3.82;2.55;0;103;;;;;;;;;;;
4;91.8;56;250;3.82;2.55;0;103;;;;;;;;;;;
5;91.8;72;250;3.82;2.55;0;103;;;;;;;;;;;
6;91.8;88;250;3.82;2.55;0;103;;;;;;;;;;;
7;61.8;8;250;3.82;2.55;0;103;;;;;;;;;;;
8;61.8;24;250;3.82;2.55;0;103;;;;;;;;;;;
9;61.8;40;250;3.82;2.55;0;103;;;;;;;;;;;
10;61.8;56;250;3.82;2.55;0;103;;;;;;;;;;;
11;61.8;72;250;3.82;2.55;0;103;;;;;;;;;;;
12;61.8;88;250;3.82;2.55;0;103;;;;;;;;;;;
13;31.8;8;250;3.82;2.55;0;103;;;;;;;;;;;
14;31.8;24;250;3.82;2.55;0;103;;;;;;;;;;;
15;31.8;40;250;3.82;2.55;0;103;;;;;;;;;;;
16;31.8;56;250;3.82;2.55;0;103;;;;;;;;;;;
17;31.8;72;250;3.82;2.55;0;103;;;;;;;;;;;
18;31.8;88;250;3.82;2.55;0;103;;;;;;;;;;;
19;1.8;8;250;3.82;2.55;0;103;;;;;;;;;;;
20;1.8;24;250;3.82;2.55;0;103;;;;;;;;;;;
21;1.8;40;250;3.82;2.55;0;103;;;;;;;;;;;
22;1.8;56;250;3.82;2.55;0;103;;;;;;;;;;;
23;1.8;72;250;3.82;2.55;0;103;;;;;;;;;;;
24;1.8;88;250;3.82;2.55;0;103;;;;;;;;;;;
25;78.6;12.8;390;5.41;3.02;1;107;;;;;;;;;;;
26;78.6;28.8;390;5.41;3.02;1;107;;;;;;;;;;;
27;78.6;44.8;390;5.41;3.02;1;107;;;;;;;;;;;
28;78.6;60.8;390;5.41;3.02;1;107;;;;;;;;;;;
29;78.6;76.8;390;5.41;3.02;1;107;;;;;;;;;;;
30;78.6;92.8;390;5.41;3.02;1;107;;;;;;;;;;;
31;48.6;12.8;390;5.41;3.02;1;107;;;;;;;;;;;
32;48.6;28.8;390;5.41;3.02;1;107;;;;;;;;;;;
33;48.6;44.8;390;5.41;3.02;1;107;;;;;;;;;;;
34;48.6;60.8;390;5.41;3.02;1;107;;;;;;;;;;;
35;48.6;76.8;390;5.41;3.02;1;107;;;;;;;;;;;
36;48.6;92.8;390;5.41;3.02;1;107;;;;;;;;;;;
37;18.6;12.8;390;5.41;3.02;1;107;;;;;;;;;;;
38;18.6;28.8;390;5.41;3.02;1;107;;;;;;;;;;;
39;18.6;44.8;390;5.41;3.02;1;107;;;;;;;;;;;
40;18.6;60.8;390;5.41;3.02;1;107;;;;;;;;;;;
41;18.6;76.8;390;5.41;3.02;1;107;;;;;;;;;;;
42;18.6;92.8;390;5.41;3.02;1;107;;;;;;;;;;;
43;81.8;11.6;340;5.73;3.82;0;108;;;;;;;;;;;
44;81.8;27.6;340;5.73;3.82;0;108;;;;;;;;;;;
45;81.8;43.6;340;5.73;3.82;0;108;;;;;;;;;;;
46;81.8;59.6;340;5.73;3.82;0;108;;;;;;;;;;;
47;81.8;75.6;340;5.73;3.82;0;108;;;;;;;;;;;
48;81.8;91.6;340;5.73;3.82;0;108;;;;;;;;;;;
49;51.8;11.6;340;5.73;3.82;0;108;;;;;;;;;;;
50;51.8;27.6;340;5.73;3.82;0;108;;;;;;;;;;;
51;51.8;43.6;340;5.73;3.82;0;108;;;;;;;;;;;
52;51.8;59.6;340;5.73;3.82;0;108;;;;;;;;;;;
53;51.8;75.6;340;5.73;3.82;0;108;;;;;;;;;;;
54;51.8;91.6;340;5.73;3.82;0;108;;;;;;;;;;;
55;21.8;11.6;340;5.73;3.82;0;108;;;;;;;;;;;
56;21.8;27.6;340;5.73;3.82;0;108;;;;;;;;;;;
57;21.8;43.6;340;5.73;3.82;0;108;;;;;;;;;;;
58;21.8;59.6;340;5.73;3.82;0;108;;;;;;;;;;;
59;21.8;75.6;340;5.73;3.82;0;108;;;;;;;;;;;
60;21.8;91.6;340;5.73;3.82;0;108;;;;;;;;;;;
61;70.2;1.6;550;11.46;6.84;1;110;;;;;;;;;;;
62;70.2;17.6;550;11.46;6.84;1;110;;;;;;;;;;;
63;70.2;33.6;550;11.46;6.84;1;110;;;;;;;;;;;
