Y;X;Hoehe;Dbasal;Dbrust;Cones;Alter
1;191.8;108;250;3.82;2.55;0;103
2;191.8;124;250;3.82;2.55;0;103
3;191.8;140;250;3.82;2.55;0;103
4;191.8;156;250;3.82;2.55;0;103
5;191.8;172;250;3.82;2.55;0;103
6;191.8;188;250;3.82;2.55;0;103
7;161.8;108;250;3.82;2.55;0;103
8;161.8;124;250;3.82;2.55;0;103
9;161.8;140;250;3.82;2.55;0;103
10;161.8;156;250;3.82;2.55;0;103
11;161.8;172;250;3.82;2.55;0;103
12;161.8;188;250;3.82;2.55;0;103
13;131.8;108;250;3.82;2.55;0;103
14;131.8;124;250;3.82;2.55;0;103
15;131.8;140;250;3.82;2.55;0;103
16;131.8;156;250;3.82;2.55;0;103
17;131.8;172;250;3.82;2.55;0;103
18;131.8;188;250;3.82;2.55;0;103
19;101.8;108;250;3.82;2.55;0;103
20;101.8;124;250;3.82;2.55;0;103
21;101.8;140;250;3.82;2.55;0;103
22;101.8;156;250;3.82;2.55;0;103
23;101.8;172;250;3.82;2.55;0;103
24;101.8;188;250;3.82;2.55;0;103
25;178.6;112.8;390;5.41;3.02;1;107
26;178.6;128.8;390;5.41;3.02;1;107
27;178.6;144.8;390;5.41;3.02;1;107
28;178.6;160.8;390;5.41;3.02;1;107
29;178.6;176.8;390;5.41;3.02;1;107
30;178.6;192.8;390;5.41;3.02;1;107
31;148.6;112.8;390;5.41;3.02;1;107
32;148.6;128.8;390;5.41;3.02;1;107
33;148.6;144.8;390;5.41;3.02;1;107
34;148.6;160.8;390;5.41;3.02;1;107
35;148.6;176.8;390;5.41;3.02;1;107
36;148.6;192.8;390;5.41;3.02;1;107
37;118.6;112.8;390;5.41;3.02;1;107
38;118.6;128.8;390;5.41;3.02;1;107
39;118.6;144.8;390;5.41;3.02;1;107
40;118.6;160.8;390;5.41;3.02;1;107
41;118.6;176.8;390;5.41;3.02;1;107
42;118.6;192.8;390;5.41;3.02;1;107
43;181.8;111.6;340;5.73;3.82;0;108
44;181.8;127.6;340;5.73;3.82;0;108
45;181.8;143.6;340;5.73;3.82;0;108
46;181.8;159.6;340;5.73;3.82;0;108
47;181.8;175.6;340;5.73;3.82;0;108
48;181.8;191.6;340;5.73;3.82;0;108
49;151.8;111.6;340;5.73;3.82;0;108
50;151.8;127.6;340;5.73;3.82;0;108
51;151.8;143.6;340;5.73;3.82;0;108
52;151.8;159.6;340;5.73;3.82;0;108
53;151.8;175.6;340;5.73;3.82;0;108
54;151.8;191.6;340;5.73;3.82;0;108
55;121.8;111.6;340;5.73;3.82;0;108
56;121.8;127.6;340;5.73;3.82;0;108
57;121.8;143.6;340;5.73;3.82;0;108
58;121.8;159.6;340;5.73;3.82;0;108
59;121.8;175.6;340;5.73;3.82;0;108
60;121.8;191.6;340;5.73;3.82;0;108
61;170.2;101.6;550;11.46;6.84;1;110
62;170.2;117.6;550;11.46;6.84;1;110
63;170.2;133.6;550;11.46;6.84;1;110
64;170.2;149.6;550;11.46;6.84;1;110
65;170.2;165.6;550;11.46;6.84;1;110
66;170.2;181.6;550;11.46;6.84;1;110
67;170.2;197.6;550;11.46;6.84;1;110
68;140.2;101.6;550;11.46;6.84;1;110
69;140.2;117.6;550;11.46;6.84;1;110
70;140.2;133.6;550;11.46;6.84;1;110
71;140.2;149.6;550;11.46;6.84;1;110
