Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
7 9 5.2 4.4 11.3 31.5 5.6 24.6 6.5 25.5 10.8 6.2
8.4 11.8 2.9 4.4 7.2 40.8 94.6 39.2 16.6 23.3 10.9 6
1.8 5.9 4.8 6.3 22.5 22 22.8 28.8 17.4 19.7 7.2 14.9
3.9 3.8 4.7 6.3 6 20.3 39.4 81.7 17.7 27.9 8.5 4.6
6.5 8.7 6.1 6.6 8.7 20.9 41.4 58.1 21.3 17.1 7.3 7.9
6.3 10.1 8.7 5.1 5.5 52.1 39.3 50 64.2 22.8 8.9 20.3
16.7 8.5 11.5 20.8 27.1 50.7 47.1 33.5 41 31.3 9.6 4.6
2 8.3 3.1 29 26.3 59.6 63.4 57.1 40.4 47.4 23.7 2.6
34.6 27.2 4.3 12.3 24.3 45.4 90.3 72.1 47.4 23.8 9.9 17.4
10 10.2 4.3 11.8 29.3 28.7 26.2 81 51.3 18 7.1 7.1
12.9 5.9 6.2 10 24.7 29.8 37.1 43 29 40.5 20.1 27.1
5.7 7.7 10.5 16.7 31 21.9 42.8 53.1 26.5 13.3 25.2 4
3.8 10 12.1 11.6 22.5 27.9 27.2 35.1 43.4 16.9 13.2 9.9
6.9 4.3 5.7 10.6 20.2 59.6 38.3 48.4 27.4 35.5 7.6 11.6
14 7 5.2 8.5 31.7 14.9 36.7 46.5 25.7 36.1 12 5.8
8.2 8.5 13.1 6.8 22.4 27.2 37.8 26.4 16 33.8 14.1 28.6
6.5 8.5 7.7 4.3 8.2 85.7 51.1 34.5 13.7 48 24.7 16.5
11.2 2.9 5.6 6.3 16.2 33.6 69.2 77.1 18.4 24.8 16.3 11
8.6 9.2 5.4 8.7 14.9 36.5 75.5 91.3 36.6 23 14 10.5
4.2 9.1 6.6 11.5 15.7 9.1 51.5 65.6 20.2 21.4 47.6 30.5
15.8 24.5 24.7 10.4 16.7 39.4 50 36.5 21.8 29.8 20.8 14.2
21.9 4 3.9 10 9 80.1 42.4 37.9 28.7 21.5 10.7 15.3
9.6 16.4 7.1 7.4 8.6 49.4 22 19.7 18.6 11.1 16.9 11.4
15 5.2 11.2 14.8 18.1 15.6 30.7 18.3 45.9 12.2 5.7 11.6
13.1 12.3 5.2 9 20.2 32.8 16 73.8 32.1 21.7 8 9.5
9.9 16.7 12.6 10.9 8.2 30.9 9.9 16 34.8 16.7 19.2 21.1
8.5 8.3 7.8 7 7.4 89.8 31.8 69.3 40.3 20.8 15.3 28.4
10.4 8.9 24.3 11.9 27.3 26.8 61.6 10.3 41.6 37.2 14.8 5.1
24.4 18.1 16.2 20.1 21.7 29 26.1 24.6 27.3 27.6 9.4 8.3
10.4 22.5 17.5 13.3 16.3 16.5 68.2 27.8 22.3 31.1 32.6 17.1
12.9 30.4 25.6 9.5 31.5 92.3 29 34.8 33 41.1 8.6 25.9
21 3.3 12.8 9.4 12.5 56.7 26 23.5 31 21.4 6.3 15.5
14.1 9.8 6.7 13.8 34.8 55 64.6 26.2 44.8 25.4 20.2 27.4
17.1 16.9 13 19.9 12.2 19 13.8 50.8 38 23.6 34.9 22.6
7.9 9.1 19.7 17.2 9.3 33 62.1 48.8 23.3 33.7 5.4 35
10.7 14.7 7.4 11.4 12.9 40 30 22.8 28.3 11.6 18.8 23.9
6.9 1.4 9 6.1 16.7 38.5 73.4 29.3 43.2 33.9 21 13.1
15.5 10.8 2.6 17.8 8.2 17.8 19.9 58 18 28.6 30.7 28.8
31 16.8 7.3 3.7 24.8 12 5.9 52.3 28.2 24 19 10
15.4 23.6 23.9 12.7 7.4 19.4 18.6 71.4 18.2 42.5 26.8 9.2
10.4 8.8 18 15.1 10.6 22.5 31.7 48.4 46.5 14 40.9 9.9
7.9 9.6 6.7 15.8 25.7 30.1 33.7 13.2 34.1 24.2 15.9 22.8
22.6 8.3 8.7 10 8.1 14.4 27.8 28.2 24.3 45.1 17.7 19.2
7.8 8.3 7.8 28.2 7.8 22.5 53.6 15.4 25.1 15.8 23.1 32.3
7 14.3 7.8 5.4 10.7 11.3 19.7 24.9 26 13 15.7 2.9
4.2 10.8 2.1 3.8 9.3 20 14.2 21.4 35.1 13.8 15.9 16.8
6.9 10.1 9.7 6.9 25.6 46.6 12.2 49.1 42.4 45.3 3.9 7.6
20.1 10.2 15.1 19.2 14.2 44.8 3.4 24.1 24.7 4.5 15.2 22.8
4.3 10.5 7.6 19.8 3.6 47.2 39.4 11.3 49.6 25.9 3.5 12.5
14.9 8 7.6 8.5 15.1 13 36.3 7.7 25.9 10 17.4 12.9
14.8 12.8 7.8 8.5 16.1 18.2 17.6 55.4 52.1 25.3 13.7 65.2
5.1 7.9 48 15.7 5.8 15.5 16.2 54.4 41 17.6 24 7.2
14.4 26.3 9.4 10.5 16.4 43.3 21.2 27.9 20.4 19 24.1 6.6
5.9 9.1 27.3 8.7 25.1 33.6 23.4 19.1 6.4 43.9 41.9 13.9
17 14.6 12.9 9.6 5.5 39.4 45.7 47.8 77 32.2 8.3 21.6
5.9 5.4 19.8 27.9 15.7 27.5 53.4 57.6 42.9 20.9 15.3 10.3
7.3 7.7 18.9 26.6 23 32.4 35.8 45.4 2.3 22.3 5.1 19.9
3.2 8.8 9.1 25.7 23.8 13.1 57.1 81 9.6 24 21.6 13.3
9.5 7 22.7 7.1 21.2 33.9 29.4 22.5 23.5 29.4 9.1 20.2
34.4 17.6 23.1 18.5 14.3 28.3 56.1 45.6 17.8 15.8 18.8 27.8
5.8 4.2 8.9 10.2 20.5 24 52.1 89.3 32.3 41.2 14.9 10
17.8 15.6 8.8 11.8 11.8 49.1 71.7 18.7 25 17.8 11.1 8.6
20.9 28 19.1 5.2 31.4 11.1 65.5 49.6 18.7 16.5 22.9 8.2
4.9 3.3 5 16.3 16.2 33.9 16.3 45.4 20.6 24.8 12 12.9
3.8 9.3 14.4 8.7 9.5 6.1 77.8 39 33.3 14.6 11 7.7
