Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
23.09 8.77 8.86 10.28 9.64 17.7 31.7 33.14 25.88 48.59 19.78 20.54
9.49 9.57 8.06 28.28 7.74 25.3 57.3 19.24 28.88 18.69 26.78 33.74
8.39 15.27 8.46 6.28 11.74 14 24.9 30.04 29.58 14.99 17.68 4.94
5.79 12.27 4.06 4.88 11.54 21.5 16.1 26.04 40.88 16.59 19.28 19.24
7.69 10.67 10.16 7.58 26.84 48.3 17.1 53.34 47.28 47.09 6.98 9.04
18.99 11.27 15.16 19.88 15.04 48.1 6.7 28.24 29.58 7.49 16.78 24.84
5.09 11.97 8.36 20.78 4.64 51.5 43.5 14.64 55.18 28.39 5.58 15.04
15.69 8.47 8.26 9.58 16.44 14 39 11.04 30.18 11.69 20.18 14.14
15.59 14.17 7.76 9.28 17.14 21.3 19.4 61.74 55.78 27.19 15.08 66.44
6.19 8.07 46.46 16.68 7.44 16 22.4 60.74 45.28 19.39 26.38 9.04
16.09 27.47 8.16 10.18 16.94 45.6 27.4 33.74 24.18 21.29 27.58 8.14
5.99 10.07 26.06 9.08 25.64 38.1 27.6 21.74 8.38 42.79 45.68 15.84
18.09 14.47 12.96 10.88 6.64 40.9 49.5 55.84 82.18 31.79 9.98 22.14
6.49 6.27 19.86 28.58 17.24 30.8 58.5 63.84 46.38 23.09 18.88 12.24
8.39 8.77 19.76 26.28 22.04 35.4 40.3 46.94 6.28 24.19 7.18 21.84
4.29 9.97 9.16 25.58 24.24 15.2 62.5 85.04 10.58 24.99 24.68 13.04
10.69 8.67 22.36 7.88 21.74 38.1 32.6 25.34 26.78 31.19 11.18 21.74
35.29 18.97 22.16 16.98 15.44 30.6 63.6 51.74 22.58 17.69 20.18 30.24
7.19 5.47 9.36 11.28 21.64 27.4 52.5 97.64 35.88 43.19 16.88 11.34
15.19 7.07 9.16 10.78 15.64 22.5 42.1 65.44 30.88 45.89 18.28 15.94
23.99 9.57 9.66 11.18 10.84 20.2 34.7 36.34 28.28 50.49 21.18 21.74
10.39 10.37 8.86 29.18 8.94 27.8 60.3 22.44 31.28 20.59 28.18 34.94
9.29 16.07 9.26 7.18 12.94 16.5 27.9 33.24 31.98 16.89 19.08 6.14
6.69 13.07 4.86 5.78 12.74 24 19.1 29.24 43.28 18.49 20.68 20.44
8.59 11.47 10.96 8.48 28.04 50.8 20.1 56.54 49.68 48.99 8.38 10.24
19.89 12.07 15.96 20.78 16.24 50.6 9.7 31.44 31.98 9.39 18.18 26.04
5.99 12.77 9.16 21.68 5.84 54 46.5 17.84 57.58 30.29 6.98 16.24
16.59 9.27 9.06 10.48 17.64 16.5 42 14.24 32.58 13.59 21.58 15.34
16.49 14.97 8.56 10.18 18.34 23.8 22.4 64.94 58.18 29.09 16.48 67.64
7.09 8.87 47.26 17.58 8.64 18.5 25.4 63.94 47.68 21.29 27.78 10.24
16.99 28.27 8.96 11.08 18.14 48.1 30.4 36.94 26.58 23.19 28.98 9.34
6.89 10.87 26.86 9.98 26.84 40.6 30.6 24.94 10.78 44.69 47.08 17.04
18.99 15.27 13.76 11.78 7.84 43.4 52.5 59.04 84.58 33.69 11.38 23.34
7.39 7.07 20.66 29.48 18.44 33.3 61.5 67.04 48.78 24.99 20.28 13.44
9.29 9.57 20.56 27.18 23.24 37.9 43.3 50.14 8.68 26.09 8.58 23.04
5.19 10.77 9.96 26.48 25.44 17.7 65.5 88.24 12.98 26.89 26.08 14.24
11.59 9.47 23.16 8.78 22.94 40.6 35.6 28.54 29.18 33.09 12.58 22.94
36.19 19.77 22.96 17.88 16.64 33.1 66.6 54.94 24.98 19.59 21.58 31.44
8.09 6.27 10.16 12.18 22.84 29.9 55.5 100.84 38.28 45.09 18.28 12.54
13.79 11.77 10.06 12.88 18.14 42.8 68.6 63.34 34.38 33.39 16.48 11.94
18.89 16.77 9.36 12.88 12.54 53.9 79.4 23.44 28.58 20.19 13.68 10.54
21.79 28.97 18.96 6.08 32.84 14.5 72.3 56.54 22.38 18.89 25.98 10.14
6.09 4.77 5.46 16.08 18.44 38.5 21.3 54.64 23.48 25.59 14.48 14.84
4.79 10.67 14.26 10.28 10.54 9.7 86.8 47.34 37.88 17.29 11.98 9.74
8.69 17.87 6.66 6.68 8.64 45.6 48.6 84.54 50.28 41.09 33.08 13.54
14.99 6.57 8.26 11.58 17.64 93.9 30.9 9.64 18.68 36.99 17.58 5.94
4.79 9.77 5.06 16.48 4.04 19.2 33.7 20.44 30.78 15.59 25.18 30.04
3.29 13.47 10.86 18.98 23.64 7.5 58.9 19.44 56.68 19.69 25.88 14.94
10.99 5.67 9.66 25.48 18.94 9.4 24.7 52.54 12.28 62.79 25.78 41.64
18.89 7.87 6.56 12.68 8.14 25.3 49.9 57.24 39.68 26.09 18.48 16.04
13.99 7.77 13.96 11.48 14.64 19.4 32.5 46.24 22.48 35.29 16.28 12.44
17.79 25.07 8.06 2.08 30.84 9.5 49 60.24 50.38 29.59 40.38 14.54
24.39 8.67 9.26 8.38 39.24 17.6 58.8 89.24 26.98 32.49 23.78 12.34
30.79 14.77 11.56 8.88 14.04 48.5 34.4 38.24 27.68 33.59 23.58 29.94
20.49 9.77 17.16 17.78 10.64 16.9 55.7 43.04 52.08 17.49 24.48 8.24
39.19 6.17 4.86 8.58 17.54 67.2 42.1 51.84 33.88 45.89 34.48 15.94
38.29 17.37 19.86 12.28 8.94 29.4 66.7 43.94 18.18 31.69 17.58 17.74
17.69 19.07 13.96 9.08 30.34 25.6 27.8 15.84 15.38 27.29 24.58 20.24
7.49 21.07 5.76 6.98 7.14 18.2 10.1 23.14 34.88 21.29 21.68 7.84
7.49 15.47 6.46 7.38 8.64 21.5 27.9 43.44 29.78 20.69 15.38 8.74
6.39 8.87 6.26 6.88 8.64 22 42.3 60.14 21.98 17.99 7.48 8.24
6.59 10.37 8.46 5.08 5.64 53.4 41.3 49.74 67.78 23.19 9.18 21.34
16.69 8.97 11.46 20.88 26.94 53.1 50.5 35.24 42.08 31.89 10.18 5.04
