Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-29.01 -33.81 -27.91 -12.11 -6.61 6.99 11.49 8.09 2.49 -15.21 -27.81 -35.61
-32.31 -35.51 -29.61 -13.81 -1.91 6.89 12.79 8.09 1.29 -16.91 -27.91 -34.01
-37.91 -30.11 -29.11 -19.01 -3.71 6.79 15.59 12.19 1.99 -8.31 -19.61 -38.01
-41.61 -44.01 -31.31 -18.71 -8.11 10.69 17.29 10.09 1.99 -14.11 -27.81 -28.51
-33.11 -28.91 -28.41 -15.01 -5.41 3.59 13.99 12.89 3.09 -7.01 -30.81 -20.61
-19.91 -30.61 -26.51 -14.51 -8.71 6.29 12.49 11.29 0.69 -12.91 -19.41 -28.51
-36.11 -27.71 -29.81 -14.41 -7.81 4.89 12.79 12.79 2.39 -17.21 -31.01 -29.61
-29.01 -29.01 -23.31 -20.11 -5.91 7.69 12.39 12.29 4.49 -9.01 -17.91 -30.11
-25.91 -31.01 -24.91 -22.71 -6.41 7.69 19.89 9.39 4.19 -10.61 -26.51 -28.91
-33.81 -31.81 -25.71 -17.11 -7.21 9.19 13.29 9.89 3.59 -9.51 -20.61 -29.31
-33.01 -28.11 -27.91 -19.21 -6.51 4.69 16.09 9.59 1.69 -8.81 -21.01 -32.91
-39.81 -33.81 -28.81 -16.51 -5.51 2.19 14.19 10.79 2.99 -10.31 -27.61 -32.11
-27.21 -30.61 -25.41 -21.71 -4.01 8.89 12.29 9.69 3.89 -11.61 -23.51 -19.21
-31.51 -25.91 -21.81 -17.51 -3.61 2.39 10.79 8.09 -0.11 -11.61 -30.81 -26.51
-35.11 -30.11 -17.41 -10.71 -3.21 11.39 14.59 9.69 3.79 -11.71 -30.91 -32.11
-34.71 -36.31 -27.11 -15.11 -5.31 5.29 15.99 9.89 5.69 -11.71 -21.61 -27.51
-31.41 -32.31 -24.91 -19.01 -3.91 4.09 12.39 9.89 -0.51 -18.01 -26.51 -29.71
-25.81 -28.91 -20.91 -16.91 -4.91 7.09 9.79 9.89 3.39 -12.31 -22.21 -29.01
-36.71 -36.01 -20.41 -17.81 -5.61 5.39 15.09 7.59 1.39 -6.71 -25.71 -29.11
-32.81 -34.91 -24.21 -15.01 -6.11 6.19 13.29 7.89 1.89 -11.01 -26.71 -32.31
-29.11 -33.91 -28.01 -12.21 -6.71 6.89 11.39 7.99 2.39 -15.31 -27.91 -35.71
-32.41 -35.61 -29.71 -13.91 -2.01 6.79 12.69 7.99 1.19 -17.01 -28.01 -34.11
-38.01 -30.21 -29.21 -19.11 -3.81 6.69 15.49 12.09 1.89 -8.41 -19.71 -38.11
-41.71 -44.11 -31.41 -18.81 -8.21 10.59 17.19 9.99 1.89 -14.21 -27.91 -28.61
-33.21 -29.01 -28.51 -15.11 -5.51 3.49 13.89 12.79 2.99 -7.11 -30.91 -20.71
-20.01 -30.71 -26.61 -14.61 -8.81 6.19 12.39 11.19 0.59 -13.01 -19.51 -28.61
-36.21 -27.81 -29.91 -14.51 -7.91 4.79 12.69 12.69 2.29 -17.31 -31.11 -29.71
-29.11 -29.11 -23.41 -20.21 -6.01 7.59 12.29 12.19 4.39 -9.11 -18.01 -30.21
-26.01 -31.11 -25.01 -22.81 -6.51 7.59 19.79 9.29 4.09 -10.71 -26.61 -29.01
-33.91 -31.91 -25.81 -17.21 -7.31 9.09 13.19 9.79 3.49 -9.61 -20.71 -29.41
-33.11 -28.21 -28.01 -19.31 -6.61 4.59 15.99 9.49 1.59 -8.91 -21.11 -33.01
-39.91 -33.91 -28.91 -16.61 -5.61 2.09 14.09 10.69 2.89 -10.41 -27.71 -32.21
-27.31 -30.71 -25.51 -21.81 -4.11 8.79 12.19 9.59 3.79 -11.71 -23.61 -19.31
-31.61 -26.01 -21.91 -17.61 -3.71 2.29 10.69 7.99 -0.21 -11.71 -30.91 -26.61
-35.21 -30.21 -17.51 -10.81 -3.31 11.29 14.49 9.59 3.69 -11.81 -31.01 -32.21
-34.81 -36.41 -27.21 -15.21 -5.41 5.19 15.89 9.79 5.59 -11.81 -21.71 -27.61
-31.51 -32.41 -25.01 -19.11 -4.01 3.99 12.29 9.79 -0.61 -18.11 -26.61 -29.81
