Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
25.68 11.11 11.01 12.67 12.93 24.4 39.78 41.76 32.34 53.82 23.57 23.8
12.08 11.91 10.21 30.67 11.03 32 65.38 27.86 35.34 23.92 30.57 37
10.98 17.61 10.61 8.67 15.03 20.7 32.98 38.66 36.04 20.22 21.47 8.2
8.38 14.61 6.21 7.27 14.83 28.2 24.18 34.66 47.34 21.82 23.07 22.5
10.28 13.01 12.31 9.97 30.13 55 25.18 61.96 53.74 52.32 10.77 12.3
21.58 13.61 17.31 22.27 18.33 54.8 14.78 36.86 36.04 12.72 20.57 28.1
7.68 14.31 10.51 23.17 7.93 58.2 51.58 23.26 61.64 33.62 9.37 18.3
18.28 10.81 10.41 11.97 19.73 20.7 47.08 19.66 36.64 16.92 23.97 17.4
18.18 16.51 9.91 11.67 20.43 28 27.48 70.36 62.24 32.42 18.87 69.7
8.78 10.41 48.61 19.07 10.73 22.7 30.48 69.36 51.74 24.62 30.17 12.3
18.68 29.81 10.31 12.57 20.23 52.3 35.48 42.36 30.64 26.52 31.37 11.4
8.58 12.41 28.21 11.47 28.93 44.8 35.68 30.36 14.84 48.02 49.47 19.1
20.68 16.81 15.11 13.27 9.93 47.6 57.58 64.46 88.64 37.02 13.77 25.4
9.08 8.61 22.01 30.97 20.53 37.5 66.58 72.46 52.84 28.32 22.67 15.5
10.98 11.11 21.91 28.67 25.33 42.1 48.38 55.56 12.74 29.42 10.97 25.1
6.88 12.31 11.31 27.97 27.53 21.9 70.58 93.66 17.04 30.22 28.47 16.3
13.28 11.01 24.51 10.27 25.03 44.8 40.68 33.96 33.24 36.42 14.97 25
37.88 21.31 24.31 19.37 18.73 37.3 71.68 60.36 29.04 22.92 23.97 33.5
9.78 7.81 11.51 13.67 24.93 34.1 60.58 106.26 42.34 48.42 20.67 14.6
17.78 9.41 11.31 13.17 18.93 29.2 50.18 74.06 37.34 51.12 22.07 19.2
26.58 11.91 11.81 13.57 14.13 26.9 42.78 44.96 34.74 55.72 24.97 25
12.98 12.71 11.01 31.57 12.23 34.5 68.38 31.06 37.74 25.82 31.97 38.2
11.88 18.41 11.41 9.57 16.23 23.2 35.98 41.86 38.44 22.12 22.87 9.4
9.28 15.41 7.01 8.17 16.03 30.7 27.18 37.86 49.74 23.72 24.47 23.7
11.18 13.81 13.11 10.87 31.33 57.5 28.18 65.16 56.14 54.22 12.17 13.5
22.48 14.41 18.11 23.17 19.53 57.3 17.78 40.06 38.44 14.62 21.97 29.3
8.58 15.11 11.31 24.07 9.13 60.7 54.58 26.46 64.04 35.52 10.77 19.5
19.18 11.61 11.21 12.87 20.93 23.2 50.08 22.86 39.04 18.82 25.37 18.6
19.08 17.31 10.71 12.57 21.63 30.5 30.48 73.56 64.64 34.32 20.27 70.9
9.68 11.21 49.41 19.97 11.93 25.2 33.48 72.56 54.14 26.52 31.57 13.5
19.58 30.61 11.11 13.47 21.43 54.8 38.48 45.56 33.04 28.42 32.77 12.6
9.48 13.21 29.01 12.37 30.13 47.3 38.68 33.56 17.24 49.92 50.87 20.3
21.58 17.61 15.91 14.17 11.13 50.1 60.58 67.66 91.04 38.92 15.17 26.6
9.98 9.41 22.81 31.87 21.73 40 69.58 75.66 55.24 30.22 24.07 16.7
11.88 11.91 22.71 29.57 26.53 44.6 51.38 58.76 15.14 31.32 12.37 26.3
7.78 13.11 12.11 28.87 28.73 24.4 73.58 96.86 19.44 32.12 29.87 17.5
14.18 11.81 25.31 11.17 26.23 47.3 43.68 37.16 35.64 38.32 16.37 26.2
38.78 22.11 25.11 20.27 19.93 39.8 74.68 63.56 31.44 24.82 25.37 34.7
10.68 8.61 12.31 14.57 26.13 36.6 63.58 109.46 44.74 50.32 22.07 15.8
16.38 14.11 12.21 15.27 21.43 49.5 76.68 71.96 40.84 38.62 20.27 15.2
21.48 19.11 11.51 15.27 15.83 60.6 87.48 32.06 35.04 25.42 17.47 13.8
24.38 31.31 21.11 8.47 36.13 21.2 80.38 65.16 28.84 24.12 29.77 13.4
8.68 7.11 7.61 18.47 21.73 45.2 29.38 63.26 29.94 30.82 18.27 18.1
7.38 13.01 16.41 12.67 13.83 16.4 94.88 55.96 44.34 22.52 15.77 13
11.28 20.21 8.81 9.07 11.93 52.3 56.68 93.16 56.74 46.32 36.87 16.8
17.58 8.91 10.41 13.97 20.93 100.6 38.98 18.26 25.14 42.22 21.37 9.2
7.38 12.11 7.21 18.87 7.33 25.9 41.78 29.06 37.24 20.82 28.97 33.3
5.88 15.81 13.01 21.37 26.93 14.2 66.98 28.06 63.14 24.92 29.67 18.2
13.58 8.01 11.81 27.87 22.23 16.1 32.78 61.16 18.74 68.02 29.57 44.9
21.48 10.21 8.71 15.07 11.43 32 57.98 65.86 46.14 31.32 22.27 19.3
16.58 10.11 16.11 13.87 17.93 26.1 40.58 54.86 28.94 40.52 20.07 15.7
20.38 27.41 10.21 4.47 34.13 16.2 57.08 68.86 56.84 34.82 44.17 17.8
26.98 11.01 11.41 10.77 42.53 24.3 66.88 97.86 33.44 37.72 27.57 15.6
33.38 17.11 13.71 11.27 17.33 55.2 42.48 46.86 34.14 38.82 27.37 33.2
23.08 12.11 19.31 20.17 13.93 23.6 63.78 51.66 58.54 22.72 28.27 11.5
41.78 8.51 7.01 10.97 20.83 73.9 50.18 60.46 40.34 51.12 38.27 19.2
40.88 19.71 22.01 14.67 12.23 36.1 74.78 52.56 24.64 36.92 21.37 21
20.28 21.41 16.11 11.47 33.63 32.3 35.88 24.46 21.84 32.52 28.37 23.5
10.08 23.41 7.91 9.37 10.43 24.9 18.18 31.76 41.34 26.52 25.47 11.1
10.08 17.81 8.61 9.77 11.93 28.2 35.98 52.06 36.24 25.92 19.17 12
8.98 11.21 8.41 9.27 11.93 28.7 50.38 68.76 28.44 23.22 11.27 11.5
9.18 12.71 10.61 7.47 8.93 60.1 49.38 58.36 74.24 28.42 12.97 24.6
19.28 11.31 13.61 23.27 30.23 59.8 58.58 43.86 48.54 37.12 13.97 8.3
4.78 11.11 5.11 30.87 29.03 67.4 75.58 68.36 49.44 51.82 29.07 5.7
37.38 30.61 6.81 14.67 26.13 54.1 101.58 84.16 55.24 30.32 14.77 21
12.98 12.61 6.41 13.87 32.13 37.1 38.08 93.56 60.04 23.62 11.57 10.5
14.98 8.01 7.81 11.97 26.63 37.1 49.48 55.36 37.04 46.22 24.17 29.8
7.98 9.41 11.91 19.67 33.93 29.9 52.88 64.26 34.54 19.02 33.47 7.3
6.48 12.81 12.81 12.67 24.93 37.3 35.98 45.86 52.84 22.62 18.47 14.4
8.98 6.61 6.31 12.77 23.73 68.1 47.68 58.76 36.34 39.02 11.87 15.1
16.88 9.51 7.01 10.87 34.53 23.1 48.48 58.46 32.04 41.62 16.17 9
10.88 11.31 14.91 8.97 25.33 36.6 47.98 37.86 24.44 38.22 18.77 32.1
9.08 11.31 9.71 5.87 11.03 94.6 63.28 45.46 21.14 53.02 30.17 19.9
13.48 4.51 6.91 8.07 19.53 40.8 80.18 91.36 26.34 29.72 20.67 13.7
10.98 12.11 6.71 10.67 18.63 44 86.58 105.86 44.74 27.42 18.27 12.9
6.08 11.91 7.61 13.07 18.43 17.4 63.68 74.86 28.04 26.12 56.47 34.8
18.58 28.01 26.21 12.07 20.13 46.9 59.98 46.06 30.24 35.72 25.77 17.1
25.18 6.21 5.21 11.97 11.83 89 52.48 46.66 36.44 26.62 15.27 19
12.08 18.81 8.31 9.07 10.93 57.5 32.08 28.96 26.84 15.72 22.67 14.3
14.88 12.91 10.71 13.07 16.13 40.4 36.88 28.26 40.74 16.42 16.17 14.6
17.88 7.21 13.11 17.17 21.43 23.6 41.88 27.86 54.94 17.22 9.77 15
16.48 15.31 7.21 11.17 23.53 40.2 25.48 86.86 40.94 26.82 12.87 13.5
12.98 19.91 14.51 13.17 11.43 38.8 19.58 25.46 44.34 22.22 25.17 25.7
