Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-27.83 -32.63 -26.73 -10.93 -5.43 8.17 12.67 9.27 3.67 -14.03 -26.63 -34.43
-31.13 -34.33 -28.43 -12.63 -0.73 8.07 13.97 9.27 2.47 -15.73 -26.73 -32.83
-36.73 -28.93 -27.93 -17.83 -2.53 7.97 16.77 13.37 3.17 -7.13 -18.43 -36.83
-40.43 -42.83 -30.13 -17.53 -6.93 11.87 18.47 11.27 3.17 -12.93 -26.63 -27.33
-31.93 -27.73 -27.23 -13.83 -4.23 4.77 15.17 14.07 4.27 -5.83 -29.63 -19.43
-18.73 -29.43 -25.33 -13.33 -7.53 7.47 13.67 12.47 1.87 -11.73 -18.23 -27.33
-34.93 -26.53 -28.63 -13.23 -6.63 6.07 13.97 13.97 3.57 -16.03 -29.83 -28.43
-27.83 -27.83 -22.13 -18.93 -4.73 8.87 13.57 13.47 5.67 -7.83 -16.73 -28.93
-24.73 -29.83 -23.73 -21.53 -5.23 8.87 21.07 10.57 5.37 -9.43 -25.33 -27.73
-32.63 -30.63 -24.53 -15.93 -6.03 10.37 14.47 11.07 4.77 -8.33 -19.43 -28.13
-31.83 -26.93 -26.73 -18.03 -5.33 5.87 17.27 10.77 2.87 -7.63 -19.83 -31.73
-38.63 -32.63 -27.63 -15.33 -4.33 3.37 15.37 11.97 4.17 -9.13 -26.43 -30.93
-26.03 -29.43 -24.23 -20.53 -2.83 10.07 13.47 10.87 5.07 -10.43 -22.33 -18.03
-30.33 -24.73 -20.63 -16.33 -2.43 3.57 11.97 9.27 1.07 -10.43 -29.63 -25.33
-33.93 -28.93 -16.23 -9.53 -2.03 12.57 15.77 10.87 4.97 -10.53 -29.73 -30.93
-33.53 -35.13 -25.93 -13.93 -4.13 6.47 17.17 11.07 6.87 -10.53 -20.43 -26.33
-30.23 -31.13 -23.73 -17.83 -2.73 5.27 13.57 11.07 0.67 -16.83 -25.33 -28.53
-24.63 -27.73 -19.73 -15.73 -3.73 8.27 10.97 11.07 4.57 -11.13 -21.03 -27.83
-35.53 -34.83 -19.23 -16.63 -4.43 6.57 16.27 8.77 2.57 -5.53 -24.53 -27.93
-31.63 -33.73 -23.03 -13.83 -4.93 7.37 14.47 9.07 3.07 -9.83 -25.53 -31.13
-27.93 -32.73 -26.83 -11.03 -5.53 8.07 12.57 9.17 3.57 -14.13 -26.73 -34.53
-31.23 -34.43 -28.53 -12.73 -0.83 7.97 13.87 9.17 2.37 -15.83 -26.83 -32.93
-36.83 -29.03 -28.03 -17.93 -2.63 7.87 16.67 13.27 3.07 -7.23 -18.53 -36.93
-40.53 -42.93 -30.23 -17.63 -7.03 11.77 18.37 11.17 3.07 -13.03 -26.73 -27.43
-32.03 -27.83 -27.33 -13.93 -4.33 4.67 15.07 13.97 4.17 -5.93 -29.73 -19.53
-18.83 -29.53 -25.43 -13.43 -7.63 7.37 13.57 12.37 1.77 -11.83 -18.33 -27.43
-35.03 -26.63 -28.73 -13.33 -6.73 5.97 13.87 13.87 3.47 -16.13 -29.93 -28.53
-27.93 -27.93 -22.23 -19.03 -4.83 8.77 13.47 13.37 5.57 -7.93 -16.83 -29.03
