Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
5.7 8.2 5.6 6.2 7.7 20.1 40 57.6 20.1 16.5 6.4 7.3
5.9 9.7 7.8 4.4 4.7 51.5 39 47.2 65.9 21.7 8.1 20.4
16 8.3 10.8 20.2 26 51.2 48.2 32.7 40.2 30.4 9.1 4.1
1.5 8.1 2.3 27.8 24.8 58.8 65.2 57.2 41.1 45.1 24.2 1.5
34.1 27.6 4 11.6 21.9 45.5 91.2 73 46.9 23.6 9.9 16.8
9.7 9.6 3.6 10.8 27.9 28.5 27.7 82.4 51.7 16.9 6.7 6.3
11.7 5 5 8.9 22.4 28.5 39.1 44.2 28.7 39.5 19.3 25.6
4.7 6.4 9.1 16.6 29.7 21.3 42.5 53.1 26.2 12.3 28.6 3.1
3.2 9.8 10 9.6 20.7 28.7 25.6 34.7 44.5 15.9 13.6 10.2
5.7 3.6 3.5 9.7 19.5 59.5 37.3 47.6 28 32.3 7 10.9
13.6 6.5 4.2 7.8 30.3 14.5 38.1 47.3 23.7 34.9 11.3 4.8
7.6 8.3 12.1 5.9 21.1 28 37.6 26.7 16.1 31.5 13.9 27.9
5.8 8.3 6.9 2.8 6.8 86 52.9 34.3 12.8 46.3 25.3 15.7
10.2 1.5 4.1 5 15.3 32.2 69.8 80.2 18 23 15.8 9.5
7.7 9.1 3.9 7.6 14.4 35.4 76.2 94.7 36.4 20.7 13.4 8.7
2.8 8.9 4.8 10 14.2 8.8 53.3 63.7 19.7 19.4 51.6 30.6
15.3 25 23.4 9 15.9 38.3 49.6 34.9 21.9 29 20.9 12.9
21.9 3.2 2.4 8.9 7.6 80.4 42.1 35.5 28.1 19.9 10.4 14.8
8.8 15.8 5.5 6 6.7 48.9 21.7 17.8 18.5 9 17.8 10.1
15.1 11.6 6.5 7.4 7.1 31.3 24.2 22.8 20.2 27.2 17.6 14.3
23.9 9.5 9.5 11 10.7 19.9 34.3 35.9 27.9 50.3 21 21.5
10.3 10.3 8.7 29 8.8 27.5 59.9 22 30.9 20.4 28 34.7
9.2 16 9.1 7 12.8 16.2 27.5 32.8 31.6 16.7 18.9 5.9
6.6 13 4.7 5.6 12.6 23.7 18.7 28.8 42.9 18.3 20.5 20.2
8.5 11.4 10.8 8.3 27.9 50.5 19.7 56.1 49.3 48.8 8.2 10
19.8 12 15.8 20.6 16.1 50.3 9.3 31 31.6 9.2 18 25.8
5.9 12.7 9 21.5 5.7 53.7 46.1 17.4 57.2 30.1 6.8 16
16.5 9.2 8.9 10.3 17.5 16.2 41.6 13.8 32.2 13.4 21.4 15.1
16.4 14.9 8.4 10 18.2 23.5 22 64.5 57.8 28.9 16.3 67.4
7 8.8 47.1 17.4 8.5 18.2 25 63.5 47.3 21.1 27.6 10
16.9 28.2 8.8 10.9 18 47.8 30 36.5 26.2 23 28.8 9.1
6.8 10.8 26.7 9.8 26.7 40.3 30.2 24.5 10.4 44.5 46.9 16.8
18.9 15.2 13.6 11.6 7.7 43.1 52.1 58.6 84.2 33.5 11.2 23.1
7.3 7 20.5 29.3 18.3 33 61.1 66.6 48.4 24.8 20.1 13.2
9.2 9.5 20.4 27 23.1 37.6 42.9 49.7 8.3 25.9 8.4 22.8
5.1 10.7 9.8 26.3 25.3 17.4 65.1 87.8 12.6 26.7 25.9 14
11.5 9.4 23 8.6 22.8 40.3 35.2 28.1 28.8 32.9 12.4 22.7
36.1 19.7 22.8 17.7 16.5 32.8 66.2 54.5 24.6 19.4 21.4 31.2
8 6.2 10 12 22.7 29.6 55.1 100.4 37.9 44.9 18.1 12.3
8.1 8.3 8.8 10.2 16.8 28 51.4 83.1 32 33.2 14 11.3
6.1 8.6 6 6.6 8.2 21.1 41.3 59 21.1 17.3 7 7.8
6.3 10.1 8.2 4.8 5.2 52.5 40.3 48.6 66.9 22.5 8.7 20.9
16.4 8.7 11.2 20.6 26.5 52.2 49.5 34.1 41.2 31.2 9.7 4.6
1.9 8.5 2.7 28.2 25.3 59.8 66.5 58.6 42.1 45.9 24.8 2
34.5 28 4.4 12 22.4 46.5 92.5 74.4 47.9 24.4 10.5 17.3
10.1 10 4 11.2 28.4 29.5 29 83.8 52.7 17.7 7.3 6.8
12.1 5.4 5.4 9.3 22.9 29.5 40.4 45.6 29.7 40.3 19.9 26.1
5.1 6.8 9.5 17 30.2 22.3 43.8 54.5 27.2 13.1 29.2 3.6
3.6 10.2 10.4 10 21.2 29.7 26.9 36.1 45.5 16.7 14.2 10.7
6.1 4 3.9 10.1 20 60.5 38.6 49 29 33.1 7.6 11.4
14 6.9 4.6 8.2 30.8 15.5 39.4 48.7 24.7 35.7 11.9 5.3
8 8.7 12.5 6.3 21.6 29 38.9 28.1 17.1 32.3 14.5 28.4
6.2 8.7 7.3 3.2 7.3 87 54.2 35.7 13.8 47.1 25.9 16.2
10.6 1.9 4.5 5.4 15.8 33.2 71.1 81.6 19 23.8 16.4 10
8.1 9.5 4.3 8 14.9 36.4 77.5 96.1 37.4 21.5 14 9.2
3.2 9.3 5.2 10.4 14.7 9.8 54.6 65.1 20.7 20.2 52.2 31.1
15.7 25.4 23.8 9.4 16.4 39.3 50.9 36.3 22.9 29.8 21.5 13.4
22.3 3.6 2.8 9.3 8.1 81.4 43.4 36.9 29.1 20.7 11 15.3
9.2 16.2 5.9 6.4 7.2 49.9 23 19.2 19.5 9.8 18.4 10.6
7.6 12.4 5.9 6.5 7.7 35.5 32.2 39.1 20.3 13.6 12.7 9.2
6.2 8.7 6.1 6.7 8.4 21.5 41.7 59.4 21.4 17.5 7.2 8
6.4 10.2 8.3 4.9 5.4 52.9 40.7 49 67.2 22.7 8.9 21.1
16.5 8.8 11.3 20.7 26.7 52.6 49.9 34.5 41.5 31.4 9.9 4.8
2 8.6 2.8 28.3 25.5 60.2 66.9 59 42.4 46.1 25 2.2
34.6 28.1 4.5 12.1 22.6 46.9 92.9 74.8 48.2 24.6 10.7 17.5
10.2 10.1 4.1 11.3 28.6 29.9 29.4 84.2 53 17.9 7.5 7
12.2 5.5 5.5 9.4 23.1 29.9 40.8 46 30 40.5 20.1 26.3
5.2 6.9 9.6 17.1 30.4 22.7 44.2 54.9 27.5 13.3 29.4 3.8
3.7 10.3 10.5 10.1 21.4 30.1 27.3 36.5 45.8 16.9 14.4 10.9
6.2 4.1 4 10.2 20.2 60.9 39 49.4 29.3 33.3 7.8 11.6
14.1 7 4.7 8.3 31 15.9 39.8 49.1 25 35.9 12.1 5.5
8.1 8.8 12.6 6.4 21.8 29.4 39.3 28.5 17.4 32.5 14.7 28.6
6.3 8.8 7.4 3.3 7.5 87.4 54.6 36.1 14.1 47.3 26.1 16.4
10.7 2 4.6 5.5 16 33.6 71.5 82 19.3 24 16.6 10.2
8.2 9.6 4.4 8.1 15.1 36.8 77.9 96.5 37.7 21.7 14.2 9.4
3.3 9.4 5.3 10.5 14.9 10.2 55 65.5 21 20.4 52.4 31.3
15.8 25.5 23.9 9.5 16.6 39.7 51.3 36.7 23.2 30 21.7 13.6
22.4 3.7 2.9 9.4 8.3 81.8 43.8 37.3 29.4 20.9 11.2 15.5
9.3 16.3 6 6.5 7.4 50.3 23.4 19.6 19.8 10 18.6 10.8
7.7 12.5 6 6.6 7.9 35.9 32.6 39.5 20.6 13.8 12.9 9.4
5.7 8.3 5.7 6.3 7.8 20.2 40.2 57.8 20.3 16.6 6.5 7.4
5.9 9.8 7.9 4.5 4.8 51.6 39.2 47.4 66.1 21.8 8.2 20.5
16 8.4 10.9 20.3 26.1 51.3 48.4 32.9 40.4 30.5 9.2 4.2
1.5 8.2 2.4 27.9 24.9 58.9 65.4 57.4 41.3 45.2 24.3 1.6
34.1 27.7 4.1 11.7 22 45.6 91.4 73.2 47.1 23.7 10 16.9
9.7 9.7 3.7 10.9 28 28.6 27.9 82.6 51.9 17 6.8 6.4
11.7 5.1 5.1 9 22.5 28.6 39.3 44.4 28.9 39.6 19.4 25.7
4.7 6.5 9.2 16.7 29.8 21.4 42.7 53.3 26.4 12.4 28.7 3.2
3.2 9.9 10.1 9.7 20.8 28.8 25.8 34.9 44.7 16 13.7 10.3
5.7 3.7 3.6 9.8 19.6 59.6 37.5 47.8 28.2 32.4 7.1 11
13.6 6.6 4.3 7.9 30.4 14.6 38.3 47.5 23.9 35 11.4 4.9
7.6 8.4 12.2 6 21.2 28.1 37.8 26.9 16.3 31.6 14 28
5.8 8.4 7 2.9 6.9 86.1 53.1 34.5 13 46.4 25.4 15.8
10.2 1.6 4.2 5.1 15.4 32.3 70 80.4 18.2 23.1 15.9 9.6
7.7 9.2 4 7.7 14.5 35.5 76.4 94.9 36.6 20.8 13.5 8.8
2.8 9 4.9 10.1 14.3 8.9 53.5 63.9 19.9 19.5 51.7 30.7
15.3 25.1 23.5 9.1 16 38.4 49.8 35.1 22.1 29.1 21 13
21.9 3.3 2.5 9 7.7 80.5 42.3 35.7 28.3 20 10.5 14.9
8.8 15.9 5.6 6.1 6.8 49 21.9 18 18.7 9.1 17.9 10.2
12.9 15.6 6.7 8.7 8.5 49.2 47.9 17.7 21.5 12.9 14.5 9.3
18 16 8.6 12.1 11.4 51.6 76.7 20.5 26.3 18.5 12.4 9.4
20.9 28.2 18.2 5.3 31.7 12.2 69.6 53.6 20.1 17.2 24.7 9
5.2 4 4.7 15.3 17.3 36.2 18.6 51.7 21.2 23.9 13.2 13.7
3.9 9.9 13.5 9.5 9.4 7.4 84.1 44.4 35.6 15.6 10.7 8.6
7.8 17.1 5.9 5.9 7.5 43.3 45.9 81.6 48 39.4 31.8 12.4
14.1 5.8 7.5 10.8 16.5 91.6 28.2 6.7 16.4 35.3 16.3 4.8
3.9 9 4.3 15.7 2.9 16.9 31 17.5 28.5 13.9 23.9 28.9
2.4 12.7 10.1 18.2 22.5 5.2 56.2 16.5 54.4 18 24.6 13.8
10.1 4.9 8.9 24.7 17.8 7.1 22 49.6 10 61.1 24.5 40.5
18 7.1 5.8 11.9 7 23 47.2 54.3 37.4 24.4 17.2 14.9
13.1 7 13.2 10.7 13.5 17.1 29.8 43.3 20.2 33.6 15 11.3
16.9 24.3 7.3 1.3 29.7 7.2 46.3 57.3 48.1 27.9 39.1 13.4
23.5 7.9 8.5 7.6 38.1 15.3 56.1 86.3 24.7 30.8 22.5 11.2
29.9 14 10.8 8.1 12.9 46.2 31.7 35.3 25.4 31.9 22.3 28.8
19.6 9 16.4 17 9.5 14.6 53 40.1 49.8 15.8 23.2 7.1
38.3 5.4 4.1 7.8 16.4 64.9 39.4 48.9 31.6 44.2 33.2 14.8
37.4 16.6 19.1 11.5 7.8 27.1 64 41 15.9 30 16.3 16.6
16.8 18.3 13.2 8.3 29.2 23.3 25.1 12.9 13.1 25.6 23.3 19.1
6.6 20.3 5 6.2 6 15.9 7.4 20.2 32.6 19.6 20.4 6.7
14.5 14.2 6.7 7.9 7.4 16 18.6 25.6 28.4 33.4 19.6 13.2
23.6 9.3 9.3 10.8 10.3 19.2 33.5 35 27.3 49.7 20.6 21.2
10 10.1 8.5 28.8 8.4 26.8 59.1 21.1 30.3 19.8 27.6 34.4
8.9 15.8 8.9 6.8 12.4 15.5 26.7 31.9 31 16.1 18.5 5.6
6.3 12.8 4.5 5.4 12.2 23 17.9 27.9 42.3 17.7 20.1 19.9
8.2 11.2 10.6 8.1 27.5 49.8 18.9 55.2 48.7 48.2 7.8 9.7
19.5 11.8 15.6 20.4 15.7 49.6 8.5 30.1 31 8.6 17.6 25.5
5.6 12.5 8.8 21.3 5.3 53 45.3 16.5 56.6 29.5 6.4 15.7
16.2 9 8.7 10.1 17.1 15.5 40.8 12.9 31.6 12.8 21 14.8
16.1 14.7 8.2 9.8 17.8 22.8 21.2 63.6 57.2 28.3 15.9 67.1
6.7 8.6 46.9 17.2 8.1 17.5 24.2 62.6 46.7 20.5 27.2 9.7
16.6 28 8.6 10.7 17.6 47.1 29.2 35.6 25.6 22.4 28.4 8.8
6.5 10.6 26.5 9.6 26.3 39.6 29.4 23.6 9.8 43.9 46.5 16.5
18.6 15 13.4 11.4 7.3 42.4 51.3 57.7 83.6 32.9 10.8 22.8
7 6.8 20.3 29.1 17.9 32.3 60.3 65.7 47.8 24.2 19.7 12.9
8.9 9.3 20.2 26.8 22.7 36.9 42.1 48.8 7.7 25.3 8 22.5
4.8 10.5 9.6 26.1 24.9 16.7 64.3 86.9 12 26.1 25.5 13.7
11.2 9.2 22.8 8.4 22.4 39.6 34.4 27.2 28.2 32.3 12 22.4
35.8 19.5 22.6 17.5 16.1 32.1 65.4 53.6 24 18.8 21 30.9
7.7 6 9.8 11.8 22.3 28.9 54.3 99.5 37.3 44.3 17.7 12
13.4 11.5 9.7 12.5 17.6 41.8 67.4 62 33.4 32.6 15.9 11.4
18.9 16.7 9.3 12.8 12.5 53.8 79.3 23.3 28.5 20.2 13.7 10.4
21.8 28.9 18.9 6 32.8 14.4 72.2 56.4 22.3 18.9 26 10
6.1 4.7 5.4 16 18.4 38.4 21.2 54.5 23.4 25.6 14.5 14.7
4.8 10.6 14.2 10.2 10.5 9.6 86.7 47.2 37.8 17.3 12 9.6
8.7 17.8 6.6 6.6 8.6 45.5 48.5 84.4 50.2 41.1 33.1 13.4
15 6.5 8.2 11.5 17.6 93.8 30.8 9.5 18.6 37 17.6 5.8
4.8 9.7 5 16.4 4 19.1 33.6 20.3 30.7 15.6 25.2 29.9
3.3 13.4 10.8 18.9 23.6 7.4 58.8 19.3 56.6 19.7 25.9 14.8
11 5.6 9.6 25.4 18.9 9.3 24.6 52.4 12.2 62.8 25.8 41.5
18.9 7.8 6.5 12.6 8.1 25.2 49.8 57.1 39.6 26.1 18.5 15.9
14 7.7 13.9 11.4 14.6 19.3 32.4 46.1 22.4 35.3 16.3 12.3
17.8 25 8 2 30.8 9.4 48.9 60.1 50.3 29.6 40.4 14.4
24.4 8.6 9.2 8.3 39.2 17.5 58.7 89.1 26.9 32.5 23.8 12.2
30.8 14.7 11.5 8.8 14 48.4 34.3 38.1 27.6 33.6 23.6 29.8
20.5 9.7 17.1 17.7 10.6 16.8 55.6 42.9 52 17.5 24.5 8.1
39.2 6.1 4.8 8.5 17.5 67.1 42 51.7 33.8 45.9 34.5 15.8
38.3 17.3 19.8 12.2 8.9 29.3 66.6 43.8 18.1 31.7 17.6 17.6
17.7 19 13.9 9 30.3 25.5 27.7 15.7 15.3 27.3 24.6 20.1
7.5 21 5.7 6.9 7.1 18.1 10 23 34.8 21.3 21.7 7.7
11.9 13.4 8.7 11.2 13.2 18.7 23.4 22.8 42.9 17.7 14.5 10.3
15 4.6 10.7 14.5 17.8 16.2 33 18.4 47.8 11.5 5.6 11.4
13.6 12.7 4.8 8.5 19.9 32.8 16.6 77.4 33.8 21.1 8.7 9.9
10.1 17.3 12.1 10.5 7.8 31.4 10.7 16 37.2 16.5 21 22.1
8.4 8.4 6.7 6.5 6.1 91.4 35.1 71.5 41.1 20.9 16.3 30.4
10.8 9.5 22.8 12.2 26.3 28.1 64.3 10.9 43.4 36.7 14.8 4.6
23.9 18.2 14.9 19 21.4 30.6 27.1 24.9 28 26.9 10 9.8
10.9 22.1 16 13 15.9 18.2 71.3 30 22.4 30.3 34 17.1
12 32.3 23.1 9.1 30.5 94.6 30.5 34.9 33.6 40 9.5 26.5
20.8 3.6 12 9.3 11.9 58 27 26.3 33.3 21.5 7 15.6
13.9 10.4 7.4 13.8 32.1 55.8 66 28.4 45 25.6 22.4 27.5
16.4 15.8 11.7 16.5 10.4 18.7 13.3 52.1 38.2 21 33.6 21.5
7 8.4 18.8 16.8 9.4 32.2 63 49.8 25.5 32.9 6.1 34.3
9.7 13.7 7.1 11.2 11.9 40.7 30.3 21.2 29 11.8 20.4 24
7.3 1.9 8.4 7.1 17 39.2 77 32.9 44 33.5 21.7 13.6
14.1 10.6 2.4 18.3 7.8 16.4 17.7 60.3 18 28.1 31 28.9
30.9 16.4 7 3.4 25 13 4.7 55 30.8 24 20.8 9
15.2 23.2 22.6 12.4 6.7 19.8 18.8 72 18.6 42.3 29.2 9.8
9.9 7.6 15.8 14.7 10 24 33.3 50.7 47.2 14.1 43.3 9.2
8.1 9.5 6.9 15.2 26 30.8 36.4 16 34.2 24.4 15.9 20.9
12.8 12.6 7.6 13.4 18.4 40.7 56 17.6 29.8 21 13.9 14.9
19 16.8 9.4 12.9 12.6 54.1 79.6 23.6 28.7 20.4 13.8 10.6
21.9 29 19 6.1 32.9 14.7 72.5 56.7 22.5 19.1 26.1 10.2
