Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-33.1 -35.8 -30.3 -14.7 0.4 8.3 15.6 10.5 1.5 -10.5 -19.2 -29.9
-29.4 -24.1 -23.8 -14.3 -3.5 10.2 16.2 10.4 5.2 -10.1 -22.1 -28.5
-26.3 -33.1 -16.9 -10 -1.3 8.8 14 11.6 4.4 -9 -22.1 -24.2
-29.2 -35.3 -23.9 -13.2 -0.9 8.8 13.5 10.2 1.4 -10.9 -21.3 -32.8
-24.4 -35 -28.7 -12.4 -5.1 8.5 15.4 10 4.5 -7.1 -22.7 -35.9
-25.4 -31.9 -25.2 -16.1 -3 6.7 11.5 10.8 3.1 -8.1 -22.3 -29.9
-25.4 -41.4 -25.7 -11.9 -6.1 6.8 12.8 9.7 2.5 -7.6 -25.8 -31.7
-29.1 -26.6 -25.8 -21.3 -6.1 6.5 16.5 8.9 1.5 -14.3 -23.6 -25.9
-27.9 -29.7 -26.5 -16.1 -2.7 8.5 13.4 7.4 5 -10.6 -23.2 -27.2
-35.1 -37.6 -32.7 -17.5 -7.3 4.1 12.7 8.3 2.5 -12.4 -22.3 -29.3
-29.8 -36.1 -24.9 -15.5 -3.5 8.9 12.2 12.9 4.8 -11.1 -29 -25.2
-39.5 -34.4 -20.2 -19.2 -8.5 10.8 14.7 11.6 -1.3 -12.7 -25 -32.4
-38.7 -34.2 -28.4 -22.7 -3.9 10.9 15.5 11.2 2.6 -12 -16.1 -24.2
-32.1 -27.7 -26.7 -14.8 -4.2 5.6 13.6 13.2 1.3 -13.7 -27.1 -36.5
-34.3 -23.9 -31.2 -17.4 -3.7 6.8 13.7 9.5 1.5 -12.6 -23.7 -26.1
-33.8 -35.4 -23.6 -18.6 -7.4 5.9 12.8 12.9 -1.7 -18.9 -29.6 -31.8
-32.9 -35.5 -24.9 -8.3 -2 6.4 14.5 8.5 4.9 -5.8 -28.3 -33.6
-34.5 -29 -23.3 -17.8 -0.3 2.6 14.6 8.8 -1.9 -10.9 -18.9 -35
-30.6 -25.2 -24.3 -14.6 -7.8 4.9 14.1 12.1 1 -10.8 -26.4 -31.3
-37.4 -36.7 -21.1 -18.5 -6.3 4.7 14.4 6.9 0.7 -7.4 -26.4 -29.8
-26.5 -29.6 -21.6 -17.6 -5.6 6.4 9.1 9.2 2.7 -13 -22.9 -29.7
-32.1 -33 -25.6 -19.7 -4.6 3.4 11.7 9.2 -1.2 -18.7 -27.2 -30.4
-35.4 -37 -27.8 -15.8 -6 4.6 15.3 9.2 5 -12.4 -22.3 -28.2
-35.8 -30.8 -18.1 -11.4 -3.9 10.7 13.9 9 3.1 -12.4 -31.6 -32.8
-32.2 -26.6 -22.5 -18.2 -4.3 1.7 10.1 7.4 -0.8 -12.3 -31.5 -27.2
-27.9 -31.3 -26.1 -22.4 -4.7 8.2 11.6 9 3.2 -12.3 -24.2 -19.9
-40.5 -34.5 -29.5 -17.2 -6.2 1.5 13.5 10.1 2.3 -11 -28.3 -32.8
-33.7 -28.8 -28.6 -19.9 -7.2 4 15.4 8.9 1 -9.5 -21.7 -33.6
-34.5 -32.5 -26.4 -17.8 -7.9 8.5 12.6 9.2 2.9 -10.2 -21.3 -30
-26.6 -31.7 -25.6 -23.4 -7.1 7 19.2 8.7 3.5 -11.3 -27.2 -29.6
-29.7 -29.7 -24 -20.8 -6.6 7 11.7 11.6 3.8 -9.7 -18.6 -30.8
-36.8 -28.4 -30.5 -15.1 -8.5 4.2 12.1 12.1 1.7 -17.9 -31.7 -30.3
-20.6 -31.3 -27.2 -15.2 -9.4 5.6 11.8 10.6 0 -13.6 -20.1 -29.2
-33.8 -29.6 -29.1 -15.7 -6.1 2.9 13.3 12.2 2.4 -7.7 -31.5 -21.3
-42.3 -44.7 -32 -19.4 -8.8 10 16.6 9.4 1.3 -14.8 -28.5 -29.2
-38.6 -30.8 -29.8 -19.7 -4.4 6.1 14.9 11.5 1.3 -9 -20.3 -38.7
-33 -36.2 -30.3 -14.5 -2.6 6.2 12.1 7.4 0.6 -17.6 -28.6 -34.7
-29.7 -34.5 -28.6 -12.8 -7.3 6.3 10.8 7.4 1.8 -15.9 -28.5 -36.3
-31.5 -32.1 -27.1 -17.4 -4.3 8 14.5 10.1 3.2 -12.5 -26.8 -20.3
-38.9 -30.8 -22 -15.2 -6.6 6.2 10.3 10.4 2.2 -18.5 -34.5 -33.3
-34.3 -27.9 -22.1 -19.3 -7.2 4.3 13.1 10.9 1.5 -13.2 -30.2 -33.7
-37 -32.6 -29.6 -14.5 -10.1 5.4 12.5 8.5 -0.9 -12 -31.2 -32.7
