Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
6.8 7.9 5.6 5.4 11.1 30.3 24.8 22.3 12.8 18.2 10.5 7.8
7.9 8.7 4.9 5.4 8.4 40 60.7 36.4 15.4 16.2 8 5.8
2.2 7.5 5.4 5.2 19.2 18.4 34.7 24.8 12.2 14.9 6.9 9.4
5 4.5 2.1 4.8 5.7 23.6 38.2 62.6 15.2 20.2 7.9 5.1
8 6.9 6.8 9.5 16.5 37.9 51.4 67.9 19 13.6 5.5 7.7
4 7 6.3 3.7 6.4 38.8 32.1 47.4 50.6 19.5 9.4 18.4
11.9 6.6 7.9 14.1 19 45.7 54.1 40 46.6 19 8.6 4.1
1.9 6.6 3.5 22.8 20.3 52.9 73.6 64.6 47.8 35.3 17.9 4.3
27 20.5 3.6 9.4 22.5 37.9 76.1 70.8 36.2 21.7 12.6 18.7
8.8 9.7 8.1 11.6 25.1 20.3 29.7 37.1 40.1 18.8 9.2 5
12.2 8.3 8.6 8.8 24.8 38.2 39.4 48 25.9 27.6 18.8 27.4
7.5 7.7 9.8 13.7 25.5 22.6 37.2 57.2 24 13.1 18.8 2.2
3.6 7.6 10.8 9.8 20.9 22 31.7 42.5 33.2 14.1 10.8 7.7
9.8 5.6 12.2 13.9 20.5 57.1 41 43 22.8 33.8 7.5 9.2
10.5 7.1 8.6 8.9 25.7 11.5 33.6 43.1 25.9 29.5 12 7.5
9.8 8.2 14.7 12.4 20.6 28.2 34.6 31.5 10.9 23.9 16.7 27.6
6.2 11.5 9.4 10.9 15.5 47.6 44 32.8 10.9 33.3 18.3 11.7
11.1 10 11.7 12.7 19.4 29.5 35.2 52.3 31.1 21.5 13.6 14
12.2 17.3 11 11.9 22.6 32.4 38.6 48.9 28.8 17.7 14.8 11.1
8.9 16.5 8.9 9.1 13.2 40.3 43.2 66.6 23.2 20.1 18.3 14.7
12.7 15.8 12.7 9 18.8 31.5 42.6 41.2 26.7 26.5 17.2 14.2
13.1 13.4 11.3 12.5 16.3 32.3 38.3 41.3 26.5 23.5 19.7 18.1
13 14.7 10.7 11.9 11.3 38.7 26.4 21.9 22.1 23.8 24.1 14.5
13.7 11.7 15.5 12.9 18.2 33.6 29.9 22.9 35.3 24.9 18.2 17.3
18.5 15.9 15.6 13.8 21.1 31.1 17.7 45.5 25.2 23.7 22.1 22.9
17.4 16.8 16.3 13.3 19.4 31.1 13.2 20.9 30.5 27.9 21.6 22.1
14.7 15.4 10.8 13.4 10.7 41 31.8 61.5 29.2 28.6 18.8 25.5
9.1 11.8 20.5 13.6 26.5 25.8 52.7 10.2 36.9 38.2 18.4 6.4
19.2 16.8 17.1 20.2 18.5 26.7 20.6 26.3 32.5 27.3 8.4 9.3
11.8 22.2 23.2 11.5 13.4 18.2 58.6 25.7 22.4 30.4 33.4 19.7
16.4 16.4 24.6 8.4 24.6 77.6 31.8 41.4 31.2 32.4 8.9 23.1
20.9 3.4 12.5 12.4 14.4 41.1 23.9 24.1 26.4 17.1 8.6 16.7
13.8 12.5 7.9 11.4 32.4 47.8 51.4 36.7 46.3 26.5 21.3 29.5
17.5 15.5 14.1 18.8 14.9 22 18 43.5 31.8 23.4 33.8 24.4
10.2 10 16.2 19.8 10.6 31.8 52.7 50.6 17.3 28.6 5.7 28.7
15.5 15.8 7.4 11.5 13.9 42.4 35.1 27.6 29.8 11.2 14.1 21.9
6.4 3 8.8 5.5 25.9 46.8 71.5 28.6 30.7 29.4 17.7 11.8
12.5 8.4 5.4 13.4 10.3 35.5 36 43.3 16.8 28.3 23.2 23.8
27.1 12.5 8.1 9.8 22.3 12.7 14.1 43.3 30.3 21.4 15 8.5
15.6 18.1 16.2 12.8 10.3 21.7 34.5 63.3 25 30.8 18.2 7.5
8.7 10.8 14.8 12.1 10.9 23.2 32.1 39.4 37.2 16.7 29.4 9.6
6.8 11.8 7.6 14 18.5 27.2 32 13.1 24.3 23.5 15.2 21.3
16.1 7 7.2 12 8.4 16.7 29.7 25.2 27.7 31.3 15.5 15.5
8.3 7.9 6.8 25 8.7 31.8 57.3 21.8 22.5 16.2 16.9 22.5
7.4 14.2 9.3 6.9 9.9 18.8 24.8 32.2 20.2 13.7 14.2 2.3
5.1 10.5 1.7 3.8 12 19.2 15.9 21 24.5 15.1 15.3 15.1
6.6 11.2 8.7 8.3 23.4 41 30.7 44.5 34.4 38.4 5 8.1
19.7 9.7 13 16.2 15.7 32.9 13.8 26.3 22.9 9.9 15 18.2
3.8 8.3 5.1 14.8 5.3 34.6 36 13.6 38 20 3.7 9.7
13.8 8.5 7.3 6.3 12.2 15.1 42.3 38.3 19.8 11.4 16 10.4
13.1 10 7.7 8.1 14.8 18.2 22.8 49.5 43.6 24 13.7 46.2
5.6 10.5 33.9 12.1 9.7 15.4 16.1 49.7 36.1 18.4 24.2 7
