Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-33.8 -22.1 -25.8 -19.5 -6.1 6.1 13.6 8.5 0.7 -11.2 -28 -34.8
-39 -26.5 -33.6 -21.7 -2.6 6.9 13.3 9.2 1.3 -15.7 -29.4 -32.6
-42.2 -36.5 -27.3 -14.9 -5.7 5.4 15.2 8.2 4.2 -13.3 -29.7 -28.3
-26.4 -29.8 -33.2 -18.5 -3.9 6.9 12.8 6.4 1.7 -14.7 -26 -32.3
-29.5 -34.8 -25.3 -14.1 -5.8 6.8 12.3 9.8 2.9 -15.4 -25.2 -32.4
-39.9 -31.6 -28.6 -21 -9.3 7.1 11.7 10 1.3 -12.8 -28 -26
-36.8 -32.1 -29.3 -17.1 -5.9 8 12.1 8.5 1.4 -15.8 -29 -38.8
-41.6 -39.1 -35.2 -22.1 -5.8 10.4 16.1 10 1.6 -10.3 -31.3 -37.8
-29.5 -34.4 -35 -22.1 -4 7.9 12.9 8.2 2.5 -13.3 -30.9 -26.7
-36.4 -28.2 -24.7 -10.6 -3.6 8.6 11.8 10 2.2 -9.9 -27.8 -38
-31.1 -33.6 -26.7 -17.6 -6.2 3.7 12.2 9.1 2.1 -13.7 -28.8 -30.7
-34.1 -33.8 -30.7 -15.6 -4.5 10.2 13.7 9.1 3 -10.2 -31.9 -37.2
-40.6 -38 -28.2 -16.8 -7.9 5.6 14.4 6.9 -1.5 -12.1 -31.4 -38.8
-37.1 -36.9 -25.8 -16.6 -2.7 6.2 14.2 8.8 0.4 -7.3 -27.7 -31.4
-34 -37.3 -26.4 -19.9 -5.6 5.5 14 9.7 3.6 -8.7 -20.5 -33.2
-34 -33 -23.9 -16.7 -6.1 2.9 11.7 8.4 3.6 -8.7 -32.1 -27.2
-38.9 -37.2 -29.3 -19.2 -4.8 6.7 12.2 7.7 0.9 -14.1 -32.6 -33.7
-40.7 -38 -32.1 -19.3 -6.2 4.4 11.3 7.8 3.6 -8.4 -28.4 -31.1
-39.5 -31.7 -31.1 -19.1 -6.1 5.4 11.7 8.2 3.3 -14.9 -29.8 -36.8
-38.1 -31 -25.4 -13.2 -3.3 7.1 16.6 7.1 0.3 -12.1 -25 -30.6
-37.9 -35.8 -29.3 -16.7 -6.4 7.8 12.5 11.1 -0.5 -10.8 -27.4 -27.6
-26.8 -39.5 -33.3 -18.7 -8.1 6.6 14 9.4 0.1 -13.6 -32.2 -39.3
-37.8 -28.4 -26.1 -21.8 -8.9 7.6 13.9 7.6 1.5 -18.7 -21.7 -27.1
-35.9 -36.7 -28.9 -20.3 -5.2 8.2 12.9 10 -4.4 -18.8 -35.4 -38.9
-37.7 -37.8 -32.7 -21.5 -8 2.8 14.5 7.1 -1.1 -16.9 -35.8 -40.9
-41.5 -33.2 -23.9 -18.2 -7.3 9.6 13.7 11 2.3 -12.4 -26 -33.6
-38.1 -40.1 -33.2 -19.5 -5.4 8.7 11.4 7.5 0.2 -16 -31.4 -28.6
-42.9 -37.1 -25.1 -18.5 -8 4.6 10.7 7.5 2.3 -12.8 -28 -37.3
-35.9 -34 -27.7 -16.5 -8.6 4 12.4 9.7 1.1 -12.9 -31.8 -38.8
-36.4 -34.8 -29.9 -20.8 -9 4.7 12.2 9.2 0.1 -13.8 -27.7 -35.4
-39.1 -24.5 -32.9 -20.8 -9 4 13 9.1 2.2 -13 -28.2 -32.7
-40 -39.4 -28.2 -17.4 -8.5 1.4 14.4 10.3 1.7 -13.3 -31 -32.5
-40.9 -40.7 -33.9 -20.9 -6.9 4 11.8 8.8 0.6 -16.7 -30.2 -24.5
-37.8 -35 -28.4 -16.2 -7 7.1 15.5 8.7 0.6 -6.4 -20.1 -25.6
-34.2 -30.3 -21.4 -14.5 -7.4 4.7 12.6 8.3 1.3 -14.4 -36.9 -38.1
-36.9 -40.1 -30.2 -18.6 -6.2 6.4 15.5 10.1 -0.9 -14 -24.9 -29.9
-36.3 -36.2 -26.6 -20.8 -9 4.2 14.2 7.1 0.9 -14.9 -26.4 -30.6
-37.7 -34.4 -26.5 -19.1 -5.6 5.7 14.9 12.3 3 -13.8 -23.4 -28.8
-37.4 -34.9 -29.8 -15.5 -9.2 5.5 12.2 8.4 -1.1 -12.8 -32.5 -34.3
-35.7 -30.8 -23.3 -19.5 -6.8 4.5 12.7 10.5 1 -14.9 -32.4 -36.5
-40.9 -34.7 -23.4 -15.7 -6.2 5.7 10.6 9.3 1.5 -18.7 -34.4 -35.1
-34.2 -32.9 -27.4 -16.9 -4.4 7.5 13.7 8.8 2.3 -13.3 -27.9 -23.9
-33.2 -36.4 -27.6 -13.1 -7.6 5.6 10.3 7.5 1.6 -16.3 -29.9 -38.3
-34.7 -37.5 -31.2 -15.8 -3.4 5.9 11.6 7.1 0.4 -18.2 -30.7 -35.1
-41.1 -33.6 -30.7 -18.8 -6.5 5.9 13 10.5 0.8 -10.4 -22.8 -39.6
-45 -45.4 -31.9 -21.3 -9.1 8.3 15.1 8.3 -0.2 -15.8 -30.7 -32
-37.4 -34.4 -28.7 -16.8 -5.8 3.6 13.3 11 1.2 -10.3 -33.4 -28.8
-25.8 -32.9 -28.3 -16.4 -8 6.2 11.9 9.5 -0.8 -15.4 -22.7 -33.1
-39.8 -30.8 -31 -15.7 -8.5 4 12.1 10.7 0.9 -18.5 -34.5 -33.2
-33.5 -31.9 -25 -20.7 -6.3 6.4 11.7 11.1 2.2 -11.5 -21.8 -32.7
-29.5 -33 -27.3 -22.6 -6.1 6.6 17 8.1 3 -12.1 -29.2 -31
-38.1 -33.2 -27.7 -18.4 -7.9 7.6 11.8 8.6 1.9 -11.5 -23.1 -30.9
-37.6 -31.6 -28.6 -20 -6.7 5.2 14.2 8.4 -0.1 -10.5 -26.3 -35.6
-41.1 -37 -30 -17 -6.8 2.7 13 9.2 0.9 -12.1 -31.6 -35.7
-33.5 -32.1 -28.1 -21.9 -5.1 7.9 11.9 8.4 1.5 -14.4 -27.6 -24.6
-35.8 -29.4 -24.4 -18.9 -4.6 2.5 10.2 7.2 -1 -14.5 -33.8 -31
-37.6 -33.2 -20.5 -13.4 -4 9.3 12.5 9 1.6 -13.4 -33.4 -35.4
-37.7 -38.2 -27.6 -18.4 -6.2 5 15.4 9.3 3.7 -15.2 -26.3 -29.5
-35.5 -34.6 -25.9 -19.6 -4.6 4.1 11.9 8.8 -2.1 -18.7 -31 -33.6
-31.7 -32.2 -24 -18.4 -5 6.5 10.1 8.5 2.1 -14.8 -26.1 -30.3
-40.3 -37.5 -23.9 -19.2 -6.9 5 13.4 7.3 0 -9.1 -28.7 -31.1
-34.7 -26.7 -25.1 -15 -7.6 6 13.4 11.6 0.2 -11 -29.1 -33.4
-37.7 -30.9 -26.5 -17.1 -4.7 2.7 13.8 8.4 -2.8 -13 -22.4 -37.2
-39.3 -36.7 -25.6 -10.8 -4 5.8 13.5 8.1 3.2 -7.3 -29.7 -35.7
-35.7 -37 -26.9 -19.5 -7.8 5.6 12.7 11.6 -1.5 -18 -30.2 -34.2
-36.6 -28.1 -31.6 -17.8 -4.1 6.8 14.1 9.2 0.8 -14 -26.1 -28.4
-34.9 -29 -27.1 -15.2 -4.8 6.1 13 11.6 0.5 -15 -29 -36.5
-37.6 -34 -29.1 -22.6 -4.8 9.3 15.2 10 1.1 -12.6 -20.2 -26.1
-41.6 -36 -21.6 -18.8 -8.4 9.5 13.9 11.1 -1.3 -12.4 -27.6 -34.8
-34.6 -38.5 -26 -17.1 -4.7 7.6 12.3 11 3.2 -12.4 -30.5 -28.2
-39.6 -38.9 -32.3 -16.8 -6.9 3.8 11.9 8.3 0.9 -14.6 -25.7 -32.2
-30.6 -30.4 -27.4 -18.2 -2.8 8.5 13.3 7.2 4.1 -11 -25.3 -28.5
-31.1 -29.7 -26.4 -20.7 -5.2 6.7 14.8 9.3 1.3 -14.2 -25.2 -29.1
-28.8 -40.3 -25.8 -13 -5.2 6.7 12.1 9.4 2.1 -9.1 -25.8 -32.9
-30.5 -32.7 -26 -17.3 -3.9 6.7 11.4 10.4 2.5 -9 -25.5 -33.3
-28.6 -36.7 -29.4 -13.9 -5.5 7.6 14.1 9.5 3.2 -7.6 -24.9 -35.2
-32.3 -33.5 -24.2 -14.4 -1.5 7.6 13.4 9.9 0.6 -11 -23.2 -34.5
-29 -33.7 -19.7 -12.3 -1.6 7.8 13.6 11.6 3.1 -8.8 -25 -27.1
-32.1 -27.2 -24.5 -14.6 -3.5 9.4 14.9 9.5 4.4 -11.3 -24.6 -30.6
-36.2 -38.2 -30 -15.1 -0.8 7.6 14.2 9.7 1.3 -11.3 -22.6 -30.1
