Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-35.72 -32.52 -18.42 -8.72 2.48 11.68 17.08 12.88 4.78 -10.62 -24.12 -40.72
-35.42 -28.22 -19.62 -10.12 0.68 11.28 16.48 11.68 5.18 -9.22 -27.92 -33.72
-35.92 -29.22 -19.02 -7.62 2.58 11.08 17.88 10.98 4.18 -9.32 -26.02 -35.52
-38.72 -34.22 -20.12 -8.42 3.28 13.58 16.58 12.58 3.68 -7.62 -23.02 -33.42
-32.72 -35.22 -20.82 -9.42 1.88 11.58 19.08 12.78 3.78 -8.02 -24.42 -33.82
-38.92 -35.22 -18.22 -5.42 1.68 13.48 15.78 14.08 4.38 -8.02 -29.42 -29.82
-36.72 -33.92 -18.42 -7.22 2.78 11.08 15.68 12.88 5.58 -8.12 -27.02 -34.12
-37.32 -33.52 -20.22 -8.32 4.38 13.08 18.48 12.58 4.58 -8.02 -26.72 -33.02
-37.92 -32.82 -23.02 -9.22 1.78 12.18 18.38 13.18 3.38 -9.62 -24.82 -35.42
-39.52 -30.32 -21.52 -8.52 2.58 12.38 18.18 12.68 3.68 -8.42 -30.32 -38.82
-35.02 -32.32 -21.32 -6.92 1.88 12.38 18.08 12.38 4.48 -6.82 -24.52 -36.62
-35.72 -30.62 -23.02 -7.22 2.78 10.88 17.58 11.08 3.78 -11.42 -28.32 -36.42
-36.02 -33.22 -18.62 -8.82 2.68 13.18 16.28 11.08 3.68 -7.02 -25.72 -32.52
-32.32 -29.82 -22.62 -6.82 2.88 11.68 17.08 12.48 4.88 -8.52 -27.32 -33.22
-41.52 -34.32 -19.82 -9.12 3.58 12.48 18.38 11.88 3.28 -10.72 -25.62 -32.12
-34.82 -31.72 -22.02 -9.02 1.78 10.98 17.18 11.48 5.08 -7.12 -25.42 -41.32
-38.12 -32.32 -19.12 -7.22 4.48 12.98 16.48 10.58 3.98 -10.22 -24.82 -38.62
-33.82 -30.02 -18.32 -8.42 3.48 12.68 17.38 12.18 5.18 -8.72 -26.22 -39.02
-43.92 -30.02 -19.82 -9.12 1.98 11.58 18.28 11.98 4.48 -6.32 -24.92 -31.82
-33.52 -33.02 -17.52 -7.12 2.68 11.48 17.58 12.18 2.68 -7.92 -25.52 -35.72
-31.72 -31.02 -18.42 -8.22 1.28 11.58 20.08 13.08 4.48 -8.02 -26.62 -33.92
-42.32 -34.82 -18.12 -6.72 2.38 12.28 19.08 12.58 3.28 -7.12 -27.52 -33.92
-36.72 -34.92 -18.82 -7.92 1.78 10.38 18.28 13.08 5.08 -9.52 -29.72 -32.62
-35.02 -30.42 -18.82 -8.52 3.98 10.48 18.88 11.58 4.38 -8.72 -21.72 -31.62
-30.32 -33.52 -22.02 -8.32 2.38 10.48 16.68 12.98 5.18 -5.72 -24.22 -34.02
-33.42 -31.02 -15.92 -5.32 0.88 12.48 17.78 13.58 4.98 -7.62 -26.82 -38.12
-37.12 -30.32 -22.62 -9.22 4.38 13.28 16.18 11.38 5.88 -7.62 -25.62 -36.02
-35.92 -33.32 -21.72 -6.42 2.08 13.48 17.68 13.18 4.48 -7.12 -25.02 -37.22
-40.72 -39.02 -17.62 -6.52 1.48 10.18 17.38 11.08 3.18 -5.52 -19.32 -35.52
-31.12 -33.52 -18.32 -13.12 0.68 11.68 16.18 10.38 3.48 -5.72 -21.12 -35.22
-35.42 -34.02 -18.12 -9.42 -0.62 11.48 14.48 12.48 5.18 -4.02 -24.12 -32.02
-27.72 -31.02 -19.82 -6.52 0.58 10.38 18.68 11.48 7.48 -5.12 -28.12 -25.12
-35.42 -31.82 -20.82 -8.82 -1.82 9.08 14.38 13.68 2.38 -7.22 -24.62 -29.72
-31.22 -18.72 -17.82 -8.42 1.28 11.88 16.08 11.48 3.38 -5.32 -21.82 -32.22
-34.82 -23.42 -19.82 -10.52 3.38 11.48 16.08 11.28 4.48 -12.12 -28.32 -28.42
-37.22 -30.42 -18.02 -7.02 2.98 8.28 18.78 11.58 6.08 -7.12 -26.02 -25.02
-29.52 -30.92 -24.52 -11.42 4.18 11.28 16.08 9.08 4.68 -8.52 -24.32 -38.82
-33.92 -30.92 -16.12 -2.82 3.28 11.28 16.28 12.88 4.98 -8.22 -18.32 -28.42
-36.52 -20.02 -17.02 -4.32 1.38 15.08 15.28 11.88 4.98 -7.12 -24.22 -20.92
-41.42 -23.22 -16.32 -6.72 2.18 12.08 15.28 12.18 4.08 -11.42 -24.32 -36.82
-38.62 -35.32 -19.82 -11.12 3.08 13.78 17.38 12.88 6.48 -5.22 -24.12 -30.82
-32.42 -31.42 -23.12 -8.42 2.18 11.88 18.18 11.38 5.78 -9.22 -26.02 -25.62
-32.82 -25.92 -15.32 -2.32 4.38 12.38 16.98 12.88 7.48 -4.32 -28.12 -34.12
-27.62 -25.62 -17.02 -6.42 1.58 11.38 16.48 12.48 6.28 -7.22 -26.02 -30.22
-25.02 -30.92 -21.02 -3.32 6.88 13.98 17.18 11.98 7.78 -3.72 -19.32 -28.52
-37.52 -30.92 -21.12 -7.32 1.88 10.28 18.48 13.08 1.38 -6.02 -25.22 -40.72
-38.52 -33.02 -19.42 -4.62 5.68 13.88 18.38 11.08 4.88 -0.32 -28.42 -33.82
-31.32 -28.32 -15.72 -3.52 2.28 10.98 18.78 11.58 6.98 -5.02 -19.22 -34.02
-26.92 -28.42 -18.82 -5.02 3.68 9.78 16.28 12.68 5.78 -3.92 -28.42 -30.62
-36.92 -31.82 -19.92 -8.92 2.88 13.48 16.08 13.88 4.38 -5.92 -28.72 -32.02
-38.12 -39.72 -20.52 -8.32 3.08 9.58 15.58 9.58 5.08 -4.22 -21.72 -26.12
-35.72 -32.72 -24.62 -11.62 1.48 12.48 16.48 12.18 5.88 -12.72 -34.52 -40.42
-36.02 -29.62 -17.42 -3.62 2.78 13.48 19.78 10.18 4.98 -6.72 -25.82 -25.72
-37.02 -36.72 -18.42 -8.32 1.38 14.68 16.68 14.78 3.48 -4.72 -22.62 -31.22
-26.02 -36.22 -24.82 -8.22 2.98 11.68 17.58 11.78 2.38 -5.52 -22.22 -39.22
-37.02 -27.92 -20.52 -9.22 1.08 11.78 18.78 10.48 4.78 -7.12 -21.52 -34.12
-28.32 -38.22 -21.02 -8.92 1.58 13.18 17.08 11.98 2.88 -8.12 -30.22 -32.42
-35.12 -29.72 -23.52 -12.32 2.18 11.48 17.58 10.98 3.08 -7.62 -24.22 -35.92
-38.02 -28.92 -13.82 -9.02 -0.72 14.28 16.48 12.48 6.48 -8.22 -23.82 -35.02
