Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
17.74 10.54 17.04 6.94 22.34 28.74 37.24 24.44 30.54 28.84 16.94 14.24
12.54 9.94 12.54 11.14 14.74 28.94 35.14 29.34 30.54 16.24 16.94 14.24
15.74 12.04 8.74 23.54 29.74 51.14 29.94 68.44 39.24 24.44 20.34 14.74
12.94 8.44 9.24 17.64 19.04 43.44 61.24 35.74 22.44 19.54 19.34 12.24
13.44 7.54 9.24 9.34 24.34 34.54 30.84 48.34 49.14 22.94 21.64 15.34
12.04 10.44 12.14 10.54 22.34 44.74 43.64 40.24 32.94 22.54 15.84 16.64
9.84 7.54 10.94 9.34 29.44 38.24 63.24 33.24 32.14 18.74 22.04 15.64
15.84 6.94 6.54 11.14 21.24 39.24 35.14 35.74 18.54 15.04 14.54 13.84
13.14 8.74 12.44 12.24 26.44 32.34 46.64 39.14 19.04 26.94 15.14 20.84
13.14 16.04 8.54 18.64 24.24 39.94 43.44 47.64 37.24 22.34 23.94 17.64
16.24 10.24 10.14 17.64 29.54 59.44 52.54 38.44 27.34 24.04 25.04 17.14
14.54 11.14 9.14 17.84 25.74 40.04 27.34 48.24 32.04 24.84 24.64 16.44
14.84 9.34 12.54 19.84 25.84 32.14 53.94 56.34 30.54 28.04 19.94 18.24
13.94 11.14 10.94 10.54 35.14 27.44 54.04 28.94 23.14 18.94 19.34 18.14
9.84 13.74 13.74 11.74 19.24 59.54 33.84 33.04 43.44 21.64 20.74 13.24
13.34 8.34 8.64 12.74 26.14 38.54 37.54 70.74 31.44 24.34 25.24 13.24
15.84 12.34 11.84 11.64 38.64 28.44 38.04 43.64 22.94 24.44 26.44 15.64
19.54 12.74 14.14 15.24 27.34 23.64 57.94 45.44 23.54 24.64 18.24 15.04
11.84 14.94 9.44 10.64 23.84 47.34 46.54 53.54 43.64 25.04 19.14 15.04
16.94 13.24 16.94 12.64 41.54 30.44 47.84 38.74 26.14 18.14 20.54 17.34
24.54 14.94 9.44 9.34 31.74 38.24 46.14 48.04 46.94 19.34 18.84 18.24
13.14 9.24 8.54 13.34 23.54 43.44 56.94 28.94 37.24 27.94 19.54 17.64
16.54 6.84 11.24 11.64 25.64 41.64 53.64 43.64 33.64 24.64 21.64 18.64
11.74 9.94 8.54 19.24 27.04 39.54 56.74 44.44 30.94 27.44 25.74 20.24
15.84 9.24 7.44 14.44 20.14 63.34 75.14 33.34 30.34 24.14 18.64 16.34
16.34 11.34 13.34 13.64 42.84 44.54 43.64 46.04 34.44 22.34 21.64 16.64
12.94 15.34 8.14 22.34 16.64 39.94 52.74 57.54 25.74 16.34 19.04 19.94
16.34 13.04 8.54 18.94 34.14 27.64 50.54 55.74 33.34 27.44 17.84 22.54
13.94 9.74 15.04 15.74 18.54 29.44 56.44 34.04 31.44 25.84 21.14 15.64
21.34 8.14 11.14 14.74 22.74 35.94 88.34 44.64 25.44 26.14 18.74 25.74
15.34 11.74 11.94 13.34 13.74 47.14 63.74 47.34 25.44 15.94 21.04 19.84
23.54 6.74 8.74 14.14 25.44 32.34 27.74 31.54 33.84 31.14 20.74 26.44
17.04 10.64 7.64 13.44 27.94 21.64 52.44 32.84 38.64 14.74 16.64 12.44
16.34 12.54 10.14 9.34 15.94 34.84 12.34 21.84 18.94 25.24 18.84 10.74
13.74 9.04 5.04 7.94 24.24 22.64 59.14 43.14 23.04 28.34 15.54 16.84
9.94 13.54 10.04 3.24 10.54 22.04 56.24 54.44 24.04 22.44 11.84 16.04
12.54 11.54 4.14 14.14 17.24 49.34 37.44 16.24 54.44 33.04 24.34 16.14
17.44 12.34 9.54 24.94 24.04 92.04 89.04 35.64 42.94 21.94 11.14 14.94
17.04 9.84 5.84 11.74 11.54 23.54 45.74 34.54 38.54 24.94 23.04 22.34
10.84 10.04 14.64 27.64 10.84 47.24 89.44 30.64 48.44 34.64 16.04 14.64
11.64 5.44 8.04 8.64 25.54 41.14 21.84 82.54 67.64 19.54 19.04 11.44
17.34 7.14 12.34 14.54 9.04 50.44 93.54 42.44 21.64 21.94 22.44 16.74
19.94 13.64 9.04 14.04 46.34 50.34 41.34 13.74 18.04 18.04 25.04 19.44
14.04 10.84 8.54 18.54 42.14 58.74 68.14 62.74 53.24 35.34 22.94 29.94
17.04 21.04 8.84 26.44 16.44 32.74 136.84 20.84 20.34 39.74 20.84 15.34
17.64 21.44 11.24 31.34 19.74 49.74 17.04 53.54 8.64 42.14 25.44 11.74
13.34 15.04 7.34 13.34 28.34 15.44 25.24 46.04 33.04 14.24 17.34 11.44
19.64 10.44 10.44 17.24 28.74 45.44 34.14 19.74 16.14 33.34 31.04 15.84
18.94 10.24 9.14 18.84 21.44 72.44 57.44 43.94 27.44 24.64 12.54 35.24
18.94 14.04 10.84 18.94 24.84 40.34 61.14 21.74 17.84 26.94 22.54 17.34
10.74 5.54 16.44 11.94 45.04 55.34 71.14 36.54 21.34 27.34 22.84 24.84
13.74 14.34 9.64 8.24 32.84 31.94 92.44 67.14 26.04 39.14 20.34 18.64
10.54 14.54 19.34 16.14 32.94 26.24 25.84 92.54 38.34 37.34 19.84 17.44
13.04 13.94 11.04 6.34 13.24 52.14 93.54 39.74 71.44 23.24 28.64 16.54
21.54 6.94 9.74 6.84 29.94 36.34 42.94 32.14 30.64 35.04 21.04 15.34
10.34 13.74 8.34 30.84 19.44 26.94 55.44 92.14 29.54 44.44 18.24 20.14
19.74 9.64 8.74 27.04 31.64 35.44 49.04 32.74 45.74 37.24 16.24 12.94
12.94 15.64 11.64 12.64 41.64 74.14 57.54 84.74 40.54 41.44 36.44 21.24
15.24 9.94 10.74 15.94 45.04 18.04 76.44 67.24 28.04 15.54 39.94 15.94
8.14 16.94 3.74 11.24 28.34 52.74 80.04 43.24 16.64 13.24 14.04 12.24
11.04 16.64 23.14 14.94 44.04 36.64 76.54 70.24 25.54 21.54 22.74 13.14
18.14 19.34 7.34 23.64 27.14 50.14 31.44 37.24 32.04 19.44 18.04 21.74
25.24 20.64 12.34 6.24 13.84 36.44 34.34 39.74 28.84 17.94 21.44 16.44
18.34 10.04 14.94 5.94 38.14 39.04 35.94 33.84 15.94 24.84 18.84 17.64
17.34 6.14 13.44 13.64 31.74 49.84 81.14 28.74 37.34 29.34 19.24 21.64
18.04 12.14 8.74 12.84 29.84 35.84 54.84 63.84 37.44 26.24 25.24 21.34
19.14 10.74 10.34 13.04 20.14 19.94 20.74 23.24 22.14 16.74 26.24 27.44
17.44 8.94 12.14 33.04 29.24 30.94 30.94 46.04 36.14 19.14 21.64 7.24
10.44 7.94 8.64 13.54 11.94 38.54 65.14 16.74 42.14 20.24 24.54 26.04
9.54 13.24 5.24 26.54 18.54 43.14 68.74 47.84 34.34 24.84 23.24 17.54
19.54 8.84 8.64 15.94 18.74 41.84 41.34 18.14 28.54 31.24 18.94 14.94
14.54 8.04 7.04 14.74 19.64 19.14 44.14 24.84 37.44 14.64 13.24 20.14
16.74 8.84 6.44 6.14 19.54 65.14 109.44 67.94 28.74 17.84 22.14 24.24
15.94 7.74 6.04 17.64 23.64 76.84 110.84 81.64 19.24 33.94 17.74 12.14
13.84 4.54 10.14 7.14 40.14 42.14 25.14 54.34 42.64 15.74 20.14 16.84
7.84 9.14 4.84 11.54 29.34 48.04 62.34 75.24 25.44 25.34 29.04 18.34
15.94 8.74 18.74 12.04 45.34 56.34 83.94 76.74 44.04 30.54 16.84 19.74
11.14 12.44 11.94 11.04 33.54 42.54 55.64 47.74 80.34 32.14 30.34 18.64
3.39 11.55 10.88 7.06 25.93 23.99 20.89 30.36 37.66 36.99 16.99 19.94
14.5 13.19 7.97 13.7 42.15 34.1 20.97 14.55 48.43 27.11 27.9 9.26
15.29 10.43 2.95 26.15 15.2 34.78 64.77 33.47 31.86 29.51 21.55 28.87
11.81 9.84 8.66 17.03 37.5 74.22 45.81 15.5 45.7 27.89 14.43 21.07
18.24 8.08 15.77 13.09 23.93 39.86 84.84 47.58 31.81 25.8 34.66 15.94
10.22 9.78 6.94 15.62 21.15 33.37 10.71 22.83 22.55 23.7 16.53 24.24
5.53 9.87 21.05 11.7 14.64 19.59 62.54 40.63 41.89 32.63 25.44 12.89
8.72 15.1 15.86 22.8 23.53 41.91 12.81 29.28 50.1 17.79 17.23 12.58
16.68 12.73 7.32 27.19 28.79 40.77 27.91 43.83 9.86 33.18 11.24 13.46
21.04 5.79 14.22 33.6 36.57 49.98 96.42 50.51 34.52 54.63 27.92 24.46
15.49 16.04 23.84 13.1 35.76 67.6 26.7 64.73 41.38 40.3 21.73 8.98
4.54 9.41 22.15 18.27 23.04 19.51 35.4 22.34 25.85 36.54 18.13 24.2
7.86 5.64 6.49 20.98 39.17 55.19 21.92 88.34 8.67 49.68 18.16 14.75
18.23 15.61 22.67 15.38 33.63 33.74 31.06 16.68 26.21 45.83 17.04 16.61
16.89 11.97 17.93 16.24 26.56 21.63 14.8 25.69 26.32 49.75 18.49 15.77
7.41 5.11 9.61 7.43 31.01 45.85 9.25 16.01 32.52 23.68 22.58 10.02
24.53 9.55 11.74 13.14 25.52 77.06 48.24 27.08 36.41 42.31 23.16 21.14
15.02 11.6 11.55 16.98 45.69 39.81 23.52 63.85 53.9 20.29 22.36 11.04
7.75 12.15 11.8 6.94 33.65 65.76 59.1 110.38 68.32 24.91 26.45 16.62
8.93 14.61 19.64 16.9 34.78 43.15 78.27 23.77 54.93 50.53 7.47 16.18
7.33 11.94 2.54 20.53 58.3 21.43 50.97 33.88 11.87 36.37 21.33 18.71
8.18 8.91 7.89 17.93 48.17 44.47 34.65 38.47 36.64 34.87 12.95 3.38
10.16 6.88 9.16 27.15 43.12 38.32 27.41 65.32 55.91 31.82 33.57 6.66
24.3 24.73 13.94 11.57 20.99 52.63 32.66 59.47 50.44 7.34 18.48 5.7
7.76 11.45 12.78 38.41 25.58 39.68 38.94 62.7 31.41 28.64 9.64 26.11
11.3 5.24 12.42 18.3 22.16 43.16 73.5 21.99 26.28 31.01 32.84 9.53
13.14 6.66 10.13 22.19 12.02 71.07 79.71 66.38 24.13 32.45 20.72 13.58
7.87 9.54 9.53 8.97 30.45 40.7 38.61 55.71 51.65 35.26 21.63 17.43
23.8 7.04 4.01 16.98 28.86 59.33 55.32 48.77 46.03 40.79 24.29 18.97
14.51 12.79 25.8 24.9 17.56 61.55 34.41 59.3 34.85 25.71 26.64 10.12
11.04 2.51 7.99 25.27 48.32 33.75 42.63 35.85 41.39 9.2 16.46 6.27
11.97 4.6 5.88 5.41 43.27 46.89 56.18 20.94 46.55 25.76 27.05 6.87
