Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
106.28 95.18 105.08 93.78 114.48 120.88 128.78 146.98 117.78 124.68 116.98 106.88
114.18 92.08 100.48 95.98 117.08 122.18 131.08 128.48 114.58 109.98 102.98 106.88
110.28 90.28 88.98 106.98 113.68 133.98 119.38 157.38 130.88 111.28 113.48 108.88
105.28 93.78 90.28 102.38 112.98 131.68 135.18 135.28 125.58 105.88 104.38 105.78
96.68 88.98 95.58 102.18 110.88 121.88 125.58 141.08 132.68 114.18 116.78 109.48
104.78 94.78 94.98 92.58 123.38 140.98 148.68 137.68 124.28 111.28 114.48 109.88
109.08 96.58 89.98 92.38 116.58 140.68 138.48 140.98 121.18 115.08 113.08 108.68
101.98 89.88 87.78 93.28 122.08 144.38 128.68 140.38 131.78 114.18 114.38 103.38
101.38 93.98 93.88 97.78 117.48 131.88 136.08 137.58 127.38 108.88 113.08 106.08
107.88 96.38 91.48 97.48 109.28 129.58 143.68 140.08 127.58 113.38 112.28 106.78
106.48 89.98 94.58 101.48 117.48 124.48 128.18 147.48 121.18 109.98 122.38 100.88
97.58 92.58 92.78 97.28 111.48 139.68 129.28 140.18 117.18 105.78 105.78 100.78
99.38 91.38 89.58 100.38 117.58 130.38 145.68 139.58 128.08 105.48 105.98 101.68
99.48 91.58 93.58 96.48 111.88 148.98 126.98 154.78 124.68 106.38 110.58 102.78
104.78 93.38 94.48 99.08 123.68 127.88 134.88 143.08 130.68 127.38 102.78 105.38
106.08 91.08 91.28 104.38 107.28 150.48 137.38 142.28 128.58 102.68 112.18 104.28
105.68 93.78 93.68 97.48 112.48 128.98 154.28 168.18 130.08 120.88 112.28 106.58
102.78 93.78 92.78 97.78 115.78 134.78 140.78 141.78 125.78 111.78 111.78 107.78
102.78 93.78 92.78 97.78 115.78 134.78 140.78 141.78 125.78 111.78 111.78 107.78
102.78 93.78 92.78 97.78 115.78 134.78 140.78 141.78 125.78 111.78 111.78 107.78
102.78 93.78 92.78 97.78 116.78 133.48 138.48 138.28 124.18 113.18 109.48 106.08
101.38 96.18 95.48 98.48 112.18 147.08 131.68 137.88 125.38 117.18 114.98 105.38
108.48 91.88 92.18 100.88 114.58 147.68 145.48 144.18 125.78 111.78 113.28 105.58
107.58 94.28 93.28 95.88 113.58 146.78 145.48 154.08 131.58 114.28 113.68 107.08
102.18 94.28 92.68 98.48 115.18 128.98 135.38 133.98 113.78 104.28 115.88 102.68
110.38 99.28 103.38 105.78 118.38 122.48 131.58 143.48 137.88 124.48 112.28 113.28
99.38 107.08 101.28 106.48 110.08 132.68 137.98 158.68 131.08 118.98 103.58 99.38
101.18 91.18 89.58 97.28 108.28 148.98 139.18 143.18 109.48 99.68 117.78 101.48
101.18 95.18 96.98 115.08 96.38 152.18 175.98 124.78 108.38 107.88 109.98 86.48
101.18 83.48 88.98 88.98 94.18 136.98 117.08 164.28 133.88 117.88 111.88 102.38
97.88 90.78 103.28 95.28 102.18 150.18 127.58 156.58 112.88 103.98 109.28 94.88
103.48 84.78 90.58 96.88 101.48 164.88 183.68 136.68 106.98 125.18 139.98 116.78
