Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-37.5 -27.2 -16.9 -8.6 4.2 14.6 18.2 15.5 6.6 -7.7 -23 -36
-39.2 -33.6 -22.2 -10 3.1 14.6 17.5 13.2 7.8 -7.8 -24.3 -37.2
-35.1 -29.3 -17.8 -9.4 3.6 13.4 20.3 14 5.4 -7.2 -21.6 -40.5
-31.5 -35.7 -18.6 -6.6 4.2 11.8 16.5 13 5.8 -9.3 -17.3 -31.7
-28.7 -33.7 -18.7 -8.8 2.6 13.5 18.7 13.5 5.4 -7.2 -23.8 -34.9
-41.8 -34.7 -18.4 -6.1 4.7 15.5 18.6 16.6 6.8 -4.6 -26.2 -33.1
-40 -33.9 -19.4 -5.2 4.4 13 16.2 14.3 6.3 -6.3 -25.3 -37.2
-39.9 -32.1 -22.1 -8.1 4.4 16 21.2 13.5 8.4 -4.4 -30.1 -37.9
-42.3 -35.1 -22.6 -9.3 4.1 12.8 18.2 14.7 4.7 -6.3 -32.8 -35.3
-37.5 -33 -20.9 -8.1 3.8 14.3 19.9 14.7 5.6 -6.4 -31.7 -40.6
-39.9 -33.3 -22.3 -6.6 4.7 13.1 16.8 15.3 4.4 -3.4 -23.3 -38
-35.9 -35.1 -23.8 -7.7 4 15 18.4 12.5 4.9 -10.3 -25.1 -36.7
-37.4 -37.4 -19.9 -10.5 3.4 14.3 17.4 12.9 6.2 -7.6 -26.6 -33.8
-34.9 -28.8 -24.7 -7 3.8 15.4 19.7 15 7.3 -6.3 -32.8 -32.8
-45 -36.3 -22.7 -9 4.3 13.1 17.6 11 4.3 -8.3 -22.9 -38.7
-37.5 -35.1 -19.1 -9.2 3.9 13.3 18.3 14.6 4.1 -4.6 -23 -41.3
-35.6 -29 -19.7 -8.4 4.8 14.1 17.3 13.3 5.8 -8 -29.8 -36.9
-34.5 -33.7 -17.7 -8.4 5.3 14.2 17.5 13.7 5.8 -6.8 -31.2 -39.6
-42.5 -37.1 -20.5 -6.9 3.5 13.6 17.8 13.9 6.4 -4.3 -29.4 -35.1
-33.9 -32 -18 -5.5 5.4 12.5 18.3 13.5 5 -6.2 -29 -36.1
-35.3 -30.5 -21 -8 4.6 14.1 18.5 14.4 6.3 -7.5 -23.5 -39
-41.5 -36.5 -20.5 -7.6 4 13.6 18.4 13.4 5 -6.7 -26.4 -33.6
-35.2 -34.4 -19.3 -7.5 4.7 13.3 17.6 14 5.7 -7.4 -25.6 -31.6
-35.2 -29.5 -20.2 -8.7 4.5 13.2 16.7 14.4 6.3 -7.9 -24.8 -31.6
-29.2 -36.7 -21.7 -7.3 4.9 13.2 17.7 15 6.7 -4.4 -26.9 -33.7
-33.4 -33.5 -15.5 -8 2.8 13 18.4 16.2 6.9 -6 -27.5 -36.2
-40.4 -36.5 -23.7 -8.3 5 15.4 16.5 12.8 8.3 -4 -19.4 -34
-37.5 -34.3 -20.3 -7.9 2.5 14.6 16.9 14.6 5.2 -4.7 -26.4 -34
-39.8 -36 -17.3 -7.3 5.7 13.4 17.3 15.7 5.2 -6.6 -24.5 -38.1
-31.1 -36 -16.9 -8.7 3.6 14.9 18.6 15.5 5.9 -5.3 -23.2 -37.3
-43.4 -35.8 -19.6 -11.2 3.7 14.3 16.8 12.8 8.2 -3.5 -20.9 -25.4
-26.2 -27.5 -19 -7.8 4.2 14.3 19.4 13.9 8.3 -4.5 -29.6 -32.7
-29.8 -38 -22.5 -9.4 1.5 14.2 16 15 5.8 -3.8 -22.4 -33
-33.4 -20.1 -19.6 -9.6 5.1 14.7 19.8 13 5.7 -6 -24.9 -32.1
-33.2 -21.5 -23.4 -10.4 4.7 13 18.7 13.6 6.3 -10.2 -28.6 -33.5
-39.5 -32.3 -19.6 -5.8 6.6 12.2 19.8 14.8 7.7 -8.3 -28.6 -28.1
-27.6 -27.1 -25.5 -7.7 6.1 15.5 17.7 13 6.6 -7.5 -25.7 -35.6
-30.3 -30.4 -15.4 -4.7 5.1 13.9 17.4 15.5 8.1 -9 -20.9 -34.5
-39 -23.7 -19.4 -5.3 3.7 14.1 15.2 14.9 7.4 -7.2 -24.7 -25.6
-38.4 -27.8 -19.6 -5.8 2.9 14.5 17.4 12.4 3.4 -11 -26.7 -36.3
-40.1 -35.7 -27.6 -9.4 4.1 16.5 21 14.8 6.4 -5.1 -24.1 -38.3
-28.6 -30.8 -23.3 -10.1 4 12.7 17.7 12.7 6 -9.1 -26.3 -29.5
-31.8 -25.4 -13.7 -1.5 7.5 11.3 16.7 13.6 7.4 -2.7 -25.5 -35.9
-34 -28.4 -16.9 -7 3.2 12.8 16.9 14.5 7.4 -8.4 -24.6 -30.7
-36.7 -28.9 -18.9 -3.8 6.2 15.7 18.1 14.7 7.3 -3.4 -19.6 -40
