Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 60.96 57.96 51.96
45.96 40.96 42.96 48.96 62.96 80.96 88.96 90.96 72.96 58.56 57.96 43.26
45.96 40.96 42.96 48.96 62.96 64.06 88.36 90.96 49.86 52.46 57.96 50.16
45.86 35.26 48.36 34.96 50.26 116.36 102.06 90.96 46.66 59.96 52.46 43.96
49.46 33.56 43.36 34.66 57.66 64.26 64.76 60.56 67.26 46.56 57.96 51.96
45.96 40.96 40.66 41.76 58.76 121.26 88.96 90.96 77.36 60.86 60.46 50.46
41.96 38.56 41.86 48.66 61.36 77.96 82.66 82.26 105.26 48.66 54.86 50.56
34.36 31.16 33.16 36.86 48.86 50.76 71.16 82.96 73.76 44.66 39.26 42.46
45.16 40.46 39.46 49.46 73.46 91.26 89.76 96.66 67.86 68.16 56.76 46.76
36.76 37.86 34.26 33.46 50.36 87.16 88.56 88.26 51.56 69.16 45.66 45.86
38.36 33.86 39.66 33.76 47.06 102.96 122.46 76.96 65.46 43.46 38.96 36.86
36.16 40.66 49.66 64.46 69.06 70.46 56.36 68.86 65.26 72.76 41.16 38.06
42.16 39.76 36.86 43.16 60.86 50.36 66.76 90.86 68.56 43.86 48.66 63.26
34.36 40.66 45.56 46.36 44.26 89.86 115.86 87.86 76.76 57.36 46.26 52.46
47.36 38.66 42.46 42.26 44.76 74.26 117.16 115.66 51.06 53.56 56.56 42.66
40.46 33.86 41.66 49.26 59.46 142.86 80.36 91.36 59.46 61.26 52.06 47.46
43.76 38.96 33.56 53.66 68.16 85.16 104.96 61.26 77.66 74.26 42.36 48.86
36.46 39.76 39.96 48.96 65.76 110.46 115.56 113.56 61.76 61.76 41.36 43.06
34.86 32.86 40.46 64.06 55.56 89.16 131.26 86.36 59.86 56.26 70.86 42.36
44.96 55.36 41.66 49.06 69.16 70.56 122.86 73.66 45.66 59.16 55.86 40.06
35.06 34.06 36.16 59.86 64.56 63.26 65.96 71.56 60.56 41.36 44.36 41.66
42.66 41.66 46.46 54.36 49.96 98.56 114.06 164.26 57.06 60.06 55.46 46.26
50.16 41.46 39.46 40.26 64.26 97.76 96.76 67.26 54.76 84.16 67.06 40.66
44.66 46.56 40.66 46.96 63.46 70.26 82.46 81.76 62.76 59.86 54.16 49.76
37.56 40.16 58.56 43.66 70.06 134.06 57.26 63.46 63.56 45.96 49.16 53.46
45.26 35.46 41.46 40.46 63.86 63.16 93.86 96.26 49.96 57.86 42.06 47.16
43.26 38.86 49.66 44.76 58.76 64.96 147.96 84.36 92.66 63.46 50.96 59.96
41.26 47.96 34.76 39.26 49.76 57.16 101.56 65.76 109.26 74.86 47.86 44.56
36.86 42.46 38.76 39.36 80.26 89.66 62.76 81.56 100.36 75.86 80.56 52.86
49.36 36.06 41.76 35.76 45.26 72.56 107.36 121.76 70.16 83.06 39.16 35.06
52.46 32.66 43.46 37.86 57.26 81.16 105.76 50.66 109.76 66.56 57.06 64.56
50.76 41.16 45.96 44.06 61.56 61.76 77.66 94.16 60.86 81.66 78.36 64.76
51.16 38.06 47.86 46.46 55.46 47.86 62.86 103.46 92.36 59.26 46.96 46.66
42.26 51.56 43.66 56.56 64.36 79.26 92.96 68.86 75.76 77.16 71.26 54.66
48.16 50.76 39.56 64.66 66.76 72.56 91.36 130.46 74.36 48.46 59.76 44.96
50.36 48.06 39.66 49.26 57.56 102.36 101.76 89.06 68.76 55.86 64.26 63.46
44.26 42.96 40.66 46.76 59.16 119.46 117.36 113.56 79.56 78.76 56.26 50.56
43.56 32.56 39.46 45.96 54.36 107.46 82.36 72.86 70.36 49.36 60.86 42.06
49.86 35.76 44.16 37.86 71.66 80.26 105.56 93.96 96.66 68.46 45.76 50.96
46.36 44.66 45.66 43.66 60.76 76.86 86.86 94.16 71.26 68.06 68.06 57.86
