V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
-43.09 -34.23 -18.69 -6.98 4 14.75 16.71 12.78 4.83 -8.94 -26.12 -24.36
-35.29 -28.13 -21.16 -6.31 3.8 13.65 21.02 16.72 5.06 -5.15 -25.83 -33.04
-25.33 -28.57 -18.45 -3.47 6.88 14.25 17.13 13.08 2.76 -7.26 -23.42 -27.11
-35.05 -25.69 -19.83 -2.43 4.34 12.66 18.37 12.94 3.89 -11.57 -31.35 -33.08
-32.92 -29.66 -12.52 -7.17 4.67 12.71 15.73 15.06 7.14 -8.03 -12.88 -26.84
-30.79 -30.11 -18.29 -6.63 6.45 12.89 19.74 13.4 5.28 -9.74 -24.91 -26.93
-41.02 -32.98 -18.84 -4.34 5.53 15.8 15.7 14.22 4.5 -6.78 -16.62 -31.56
-35.37 -22.64 -17.36 -6.04 3.44 15.05 21.52 14.86 6.13 -4.01 -22.59 -31.27
-35.12 -25.94 -19.36 -6.14 1.38 11.9 16.23 14.14 3.68 -6.88 -30.49 -35.61
-30.9 -30.92 -18.31 -5.51 5.05 15 18.44 13.52 8.18 -3.63 -17.63 -22.11
-30.7 -19.53 -12.33 -6.49 5.53 12.08 15.91 13.1 4.35 -6.82 -20.15 -29.01
-38.14 -29.57 -5.92 -4.28 9.08 15.64 15.99 16.88 3.97 -3.5 -22.57 -29.34
-29.28 -30.13 -18.93 -4.55 4.12 11.95 20.12 15.43 6.07 -6.58 -20.69 -28.15
-26.24 -25.44 -15.61 -5.1 6.17 15.18 18.3 14.24 3.84 -2.95 -27.68 -24.64
-23.53 -22.51 -12.91 -6.71 4.75 14.04 19.66 14.46 4.63 -6.05 -22.31 -32.1
-42.21 -29.8 -16.94 -6.68 4.68 12.52 17.44 13.12 5.16 -4.03 -19.01 -32.17
-27.59 -20.8 -17.95 -5.85 2.9 15.58 16.77 14.71 5.57 -2.9 -19.05 -22.28
-33.25 -24.25 -16.02 -4.76 5.15 13.44 19.41 12.68 2.93 -6.75 -17.67 -35.65
-30.52 -25.11 -18.14 0.13 6.12 13.43 17.82 14.37 4.01 -3.85 -21.42 -27.49
-34.89 -23.53 -15.01 -4.08 3.24 16.74 19.1 18.13 3.51 -8.06 -29.97 -33.55
