Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-31.2 -22.8 -22.1 -11.8 -0.2 7.6 12.6 12.4 5.1 -7.3 -26.2 -34.3
-35.7 -26.1 -22.8 -11 3.1 8.5 12.4 12 4.6 -11.4 -27.8 -36.7
-35 -31.6 -20.3 -8.2 2.4 7.2 14.5 13 5.2 -8.2 -15.3 -34.1
-35.4 -33.4 -18.2 -7.9 -1.6 7.1 12.4 12.7 6.9 -14.7 -22.1 -31.8
-28.7 -24.5 -20.1 -14.1 3 7.2 16.8 11.7 4.3 -11.8 -24.8 -36
-30.7 -32.7 -18.4 -10.8 3.6 7.2 11.9 14.5 1 -17.8 -29.7 -30.3
-31.8 -30.3 -18.9 -9.1 0.7 6.2 10 13.5 5.5 -13 -18.5 -37.1
-29.3 -33.1 -19.3 -2.4 -0.4 8.6 14.8 10.8 4.5 -11.3 -21.3 -29.1
-30.9 -28.5 -19.1 -10.3 0.5 7.4 11.8 12.6 6.3 -11.5 -21.1 -34.5
-35.1 -28.6 -22.1 -12.1 -0.3 9.2 13.2 13.6 5.4 -10.1 -24.4 -28.2
-34.2 -23.8 -20.2 -10.5 -2.2 9.1 14.3 11.8 4.6 -8.4 -17.8 -30.3
-34.5 -33.5 -18.7 -3.4 0.7 9.4 12.8 12.4 3.9 -10.9 -23.3 -35.1
-39 -30.4 -18 -9.9 -1.1 6.3 14.2 13.2 4.2 -10.7 -25.6 -33.1
-28.3 -34.7 -18.1 -8 2.5 7.8 12.9 13.5 5.4 -9.7 -24.4 -32.6
-33.1 -29.2 -20.7 -8.3 -0.2 7.8 12.9 11.7 6.4 -6.6 -24.3 -33.4
-30.6 -33.2 -18.1 -8.8 -0.6 7.5 9.5 12.4 1 -10.8 -26.4 -31.6
-34.4 -32.1 -17.9 -7.8 2.2 7.1 10.9 12.6 5.3 -11.6 -19.7 -31.2
-31.2 -33 -17 -7.9 1.7 8.5 10.3 10.6 7 -10.3 -23.2 -33.9
-31.2 -31.9 -15.4 -8.2 2.1 8 16.9 11.6 3 -10.7 -28.7 -33.6
-38 -28.3 -23.2 -8.9 0.4 7.3 12.7 13.7 7.2 -8.9 -29.8 -29.9
-33.3 -28.8 -24.7 -6.3 -1.7 7.8 11.7 11.2 5.7 -14.6 -26.2 -31.7
-30.3 -31.8 -21.9 -10 -0.5 8.8 15.6 13.7 7.7 -15.9 -24.6 -30.7
