Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
0 1.58 0 0 27.18 41.08 34.28 53.08 30.88 23.28 5.68 0
0 0 0 5.58 21.08 47.48 83.68 62.08 32.48 23.08 1.88 0
0 0 5.08 11.28 19.68 27.48 71.28 39.18 28.78 21.68 38.68 0
0 0 2.28 13.98 7.28 18.08 39.78 68.98 42.58 9.28 2.08 0
0 0 5.38 10.28 23.48 37.78 24.48 24.88 32.08 9.98 7.18 0
0 0 4.18 25.28 45.08 23.38 29.18 42.58 13.28 3.78 0 0
0 0 2.28 10.58 32.98 36.58 53.68 41.28 45.48 25.28 6.48 0
0 0 1.38 27.58 10.28 16.98 32.28 56.88 25.48 15.98 14.48 1.78
0 0 6.18 4.28 17.78 31.68 14.58 69.58 31.58 11.88 2.58 0
0 0 2.18 3.78 17.08 11.38 33.48 52.58 41.78 10.58 6.58 0
0 0.98 4.38 12.88 8.78 18.28 47.78 31.68 40.08 21.88 7.68 0
0 0 4.98 12.08 39.38 52.28 57.18 33.08 74.58 20.68 8.58 0
0 0 7.98 14.78 13.78 19.88 22.08 24.38 23.18 8.18 0.98 0
4.18 0 2.68 12.68 33.28 43.48 36.38 24.88 29.48 10.48 0 0
0 0 0 10.48 13.08 18.88 54.08 40.48 17.68 23.88 2.18 0.58
1.18 0 9.88 13.08 17.38 45.78 40.88 30.18 26.38 7.68 7.88 0
0 0 7.08 14.28 13.28 38.08 41.78 35.88 26.98 10.28 6.88 0.48
1.98 0 0.48 16.68 18.78 41.98 38.58 36.68 41.28 16.68 8.68 0
0 0 5.58 9.58 15.68 33.68 55.38 50.68 19.98 10.58 1.08 0
0 0 0 7.08 28.58 21.18 28.68 63.18 24.68 18.88 0 0
0 0 0 29.88 13.78 12.48 64.08 35.88 29.48 0.08 0.38 0
6.48 0 5.68 10.28 17.98 30.38 27.28 55.08 23.38 3.58 0 1.88
0 0 4.38 3.48 31.68 34.48 48.98 45.18 50.08 12.98 0 0.88
0.28 17.88 30.38 11.78 27.68 16.78 42.98 41.18 28.18 8.58 6.18 2.48
2.18 0 0.88 5.78 32.28 21.68 25.98 83.18 44.48 19.48 0 0.58
0 1.98 9.38 2.28 23.28 73.48 39.48 57.18 32.38 11.58 9.08 0
0 0 2.38 14.08 7.68 18.38 43.98 59.68 30.38 15.68 0.68 3.68
0 0 5.18 20.88 47.38 27.68 48.48 67.08 44.88 7.38 0 0
10.88 0 7.08 19.08 16.58 24.08 79.98 63.68 55.18 7.28 2.08 4.38
9.98 3.18 4.08 8.08 10.28 22.98 38.58 45.18 29.88 3.18 2.48 0
17.78 4.08 5.28 12.48 13.78 21.48 57.28 38.38 31.18 14.88 3.88 0
0 0 1.48 23.98 13.58 49.38 42.98 50.68 49.28 8.88 0 0
0 0 3.88 17.28 9.48 42.18 15.38 74.38 23.88 12.98 6.58 0
2.28 0 0.98 15.88 19.78 23.38 27.28 42.08 46.68 9.98 0 0
0.38 0 2.38 26.18 32.38 23.98 71.08 45.88 36.48 14.08 8.78 0
0 12.68 0 11.48 15.38 33.28 42.28 38.38 34.18 6.68 6.48 0
3.48 0 4.28 14.88 20.78 29.68 36.08 56.38 42.98 10.28 3.48 0.98
3.68 0 6.28 6.98 15.68 40.58 26.28 49.48 30.78 18.68 4.78 4.08
0 0 2.68 5.08 5.68 42.48 19.78 46.18 27.78 20.88 0 2.88
0 0 0 4.48 22.48 24.48 38.88 33.68 14.18 16.58 2.28 0
0 0 2.68 1.48 23.78 57.48 45.58 13.88 23.08 19.58 1.28 0
0 0 2.98 6.08 28.08 29.38 44.78 51.38 22.68 10.28 15.08 0
0 0 2.98 12.08 26.38 65.48 37.38 62.08 20.48 7.08 0 0
0 0 0 19.28 35.58 33.18 47.58 85.48 35.18 18.98 10.78 0
0 0 2.78 13.58 27.18 84.78 42.18 81.08 42.68 17.48 1.48 0
0 7.58 6.98 22.48 55.48 86.18 48.88 21.08 33.88 12.38 0.58 0
0 0 3.08 4.68 10.98 21.28 35.68 91.98 26.98 12.98 2.38 3.58
4.08 0 0.88 19.58 17.68 43.48 35.88 73.48 17.38 26.18 4.38 5.68
0 4.48 7.58 32.28 38.18 25.38 55.98 44.08 31.98 17.58 0 0
0 4.08 3.98 14.18 22.48 32.58 57.68 61.78 23.58 7.28 4.68 3.48
0 0 0.18 8.18 12.68 22.28 29.68 20.08 23.88 14.58 2.38 4.08
0.08 0 0.48 11.58 29.38 38.38 43.08 65.68 30.58 19.48 11.58 2.78
0 0 1.48 9.68 14.48 8.48 28.18 24.78 42.58 7.08 7.38 0
0.58 0 9.68 7.58 39.18 36.28 14.78 86.28 37.58 12.98 12.88 5.68
7.68 0 0 19.28 37.08 21.88 65.58 29.88 36.38 21.28 13.28 1.08
0 0 4.28 11.48 20.68 46.48 82.58 95.48 32.58 7.28 0 1.08
0 13.48 6.58 17.98 13.48 37.98 39.28 57.78 44.68 10.18 4.18 0
2.88 1.88 0 11.38 22.08 3.78 21.28 62.38 27.98 13.38 0 1.38
0 0.58 4.48 5.58 10.78 10.28 63.28 39.78 12.18 30.68 3.78 0
0 0 15.98 7.58 25.08 25.18 34.88 42.68 25.58 17.28 0 2.38
1.98 0 10.08 7.58 12.98 31.28 34.88 82.38 34.48 20.18 4.78 0
0 0 16.18 5.18 12.98 17.48 48.58 40.68 66.38 14.48 0 10.28
0 0.98 5.48 11.98 16.08 44.08 16.38 50.88 42.38 37.38 3.48 11.08
0 1.18 7.38 18.48 7.08 36.18 35.98 52.98 30.08 17.58 0 0
1.28 0 0.18 8.68 33.88 28.98 61.48 78.08 32.78 3.38 5.88 1.38
2.58 0 0 3.58 19.28 38.78 71.08 47.38 36.68 3.48 0.38 0
0 0 6.48 4.88 7.08 46.88 54.68 19.58 60.28 11.38 1.88 0.58
7.78 1.18 8.18 17.68 22.38 36.58 43.68 49.08 24.28 13.88 6.68 7.48
0 0 9.38 12.68 15.78 10.18 64.68 37.18 27.08 12.48 0 0
0 0 0 8.18 20.18 10.88 64.98 38.28 29.08 10.78 0 4.38
0.08 0 3.18 6.38 19.88 51.18 12.78 61.48 35.58 18.28 8.18 3.78
0 4.58 1.88 24.88 16.78 40.68 44.58 54.58 25.48 10.08 4.08 0
0 0.08 0 21.08 5.98 19.48 64.88 46.18 25.68 22.58 10.38 0
0 0 1.88 14.48 31.78 31.48 52.98 42.98 25.38 20.98 10.78 3.58
0 0 5.08 19.98 8.38 49.08 30.58 20.38 34.68 10.88 0 0.08
0 0.28 4.98 6.78 41.58 37.18 72.38 34.08 33.48 6.78 6.88 2.48
11.98 0 29.48 18.18 20.28 25.08 35.08 42.18 16.88 4.08 3.18 0
0 0 0 12.58 17.58 50.38 55.08 53.28 37.38 24.88 4.38 1.18
0 2.38 0 15.28 5.48 33.48 47.98 44.48 38.88 8.68 4.88 0
0 0.58 0.78 10.58 10.08 15.48 48.88 66.58 27.98 19.18 4.78 4.38
0 0 9.58 6.58 12.88 49.78 53.38 44.08 29.18 7.38 8.98 0.68
6.08 3.38 6.88 19.68 19.88 46.58 67.68 67.98 25.68 20.28 4.08 0
0.98 0 0.28 21.28 34.48 9.48 43.18 37.38 49.78 18.08 0 0
0 0 0 6.58 6.88 40.68 34.58 16.98 37.28 7.08 1.78 6.38
0 0 0 9.38 34.08 30.98 28.98 45.78 33.08 5.38 5.48 0
0 0 1.08 8.48 11.58 55.18 54.68 27.98 32.48 14.48 8.28 0.78
0 0 7.58 7.28 21.78 13.48 27.08 43.58 33.68 6.08 7.78 5.28
