Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
13 15.8000001907349 16.2000007629395 32.7000007629395 36.4000015258789 15.5 68.5 65.4000015258789 42.2999992370605 29 23.5 21
16 13 15 15 20 37 41 44 38 29 21 21
10.1999998092651 13 4.70000028610229 11.3000001907349 28.8000011444092 40.4000015258789 32.1000022888184 21.3999996185303 29.8000011444092 30.7000007629395 10.3000001907349 12.5
16 7.80000019073486 10.5 11.3000001907349 22.8000011444092 29 62.7999992370605 92.2000045776367 32.9000015258789 27.2000007629395 14.6000003814697 30.5
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
5.59999990463257 5.59999990463257 9.30000019073486 10 9.19999980926514 25.8999996185303 33.1000022888184 52.6000022888184 28.6000003814697 27.2000007629395 20.3000011444092 8
18.8999996185303 4.5 6 10 15.4000005722046 39.5 34.1000022888184 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 13 15 15 20 37 41 44 38 29 21 21
16 10.1000003814697 4.5 8.19999980926514 20.5 33.4000015258789 12.1000003814697 36.7999992370605 38 29 21 21
10.1999998092651 10.4000005722046 4.80000019073486 7 14 47.7000007629395 23 47.4000015258789 10.4000005722046 47.7000007629395 15.8000001907349 7.30000019073486
13 21.8000011444092 5.09999990463257 6.40000009536743 9.5 52 117.700004577637 57 18.3000011444092 23.3000011444092 18.6000003814697 5.59999990463257
2.79999995231628 5.80000019073486 9.90000057220459 9.30000019073486 22.1000003814697 81.4000015258789 33.4000015258789 33.5 33.7999992370605 50.1000022888184 17 28.3999996185303
19.8000011444092 16.2000007629395 7 10 24.8000011444092 28.6000003814697 34.1000022888184 106.5 33 45.6000022888184 15.5 9.69999980926514
10.3000001907349 10.8000001907349 7.70000028610229 11.4000005722046 18.8000011444092 17.8999996185303 49.7999992370605 63.4000015258789 25.7000007629395 18 15.5 8.69999980926514
8 11 10.8000001907349 11.3000001907349 11.6000003814697 53.6000022888184 40.1000022888184 109.700004577637 71.5 21.1000003814697 19.2000007629395 20.1000003814697
16.7000007629395 7.09999990463257 12.1999998092651 18.3000011444092 29.5 45.9000015258789 18.1000003814697 54.7000007629395 36.2999992370605 29.6000003814697 14.9000005722046 9.69999980926514
6.20000028610229 8.90000057220459 2.79999995231628 19.3999996185303 17.2000007629395 72.5 86.9000015258789 63.9000015258789 52.6000022888184 40.1000022888184 27.5 6.20000028610229
29.1000003814697 21.5 5.30000019073486 9.40000057220459 20.2000007629395 54 78.5 65.4000015258789 42.6000022888184 29.8999996185303 14 20
20.1000003814697 20 9 16.7000007629395 30.8999996185303 23.8999996185303 60 84.3000030517578 49 26.2000007629395 13.6999998092651 15.1999998092651
21.8000011444092 7.80000019073486 8.60000038146973 17.2000007629395 30.2000007629395 29.8999996185303 42.6000022888184 76.8000030517578 48.1000022888184 55.7000007629395 23 15.3000001907349
18.5 19.5 9.90000057220459 13 43.2000007629395 27.7000007629395 42.4000015258789 67.7000045776367 32.4000015258789 22.1000003814697 24.8000011444092 25
5.5 11.5 9.90000057220459 15.9000005722046 17.3000011444092 43.7000007629395 38.9000015258789 42.4000015258789 48 20.6000003814697 18.1000003814697 19.3000011444092
8.69999980926514 5.40000009536743 5.80000019073486 15.8000001907349 32.4000015258789 64 42 53.5 39.6000022888184 29.2000007629395 9.5 13.9000005722046
18.5 8.80000019073486 9.60000038146973 11.1000003814697 31.7000007629395 28 53.7999992370605 59 24.3000011444092 36.5 12.3000001907349 9.90000057220459
11.5 12.5 17.8000011444092 7.70000028610229 25.3999996185303 32.9000015258789 41.2999992370605 49.7999992370605 26 49.6000022888184 22.2000007629395 27.3000011444092
8.19999980926514 11.6999998092651 10.1999998092651 6.20000028610229 20 97.5999984741211 50.2999992370605 41.4000015258789 24.8999996185303 59.2999992370605 26 23.3000011444092
14.3000001907349 7.20000028610229 9.69999980926514 15.9000005722046 26 40.7000007629395 55.9000015258789 89.5 31.2000007629395 32.5 16.7000007629395 19.1000003814697
13.1999998092651 14.6000003814697 6.09999990463257 8.40000057220459 25.8999996185303 51.2000007629395 78.3000030517578 87.2000045776367 43.7000007629395 21.7000007629395 20.8000011444092 8.5
4.90000009536743 12.1999998092651 5.70000028610229 15.3000001907349 17.2000007629395 37.4000015258789 56.2999992370605 71.3000030517578 35.2000007629395 22.1000003814697 30.1000003814697 27.8000011444092
16.1000003814697 17.6000003814697 21.7000007629395 6.30000019073486 17.8000011444092 50.1000022888184 42.4000015258789 42.9000015258789 28.7000007629395 28.8999996185303 31.2000007629395 19.8999996185303
24.1000003814697 7.40000009536743 5.59999990463257 17.1000003814697 15.1999998092651 50.6000022888184 34.4000015258789 48.5 26 23.3000011444092 18 20.7000007629395
16.3000011444092 20.3999996185303 8.69999980926514 10.1000003814697 10.1000003814697 74.0999984741211 28.6000003814697 24.2000007629395 32.6000022888184 20 32.9000015258789 14.1000003814697
20.7000007629395 17.1000003814697 13.9000005722046 14.6000003814697 25.7000007629395 29 32.2000007629395 24.3000011444092 44.6000022888184 17.3999996185303 12.1000003814697 14.5
23.3999996185303 15.6999998092651 8.60000038146973 13.3000001907349 22.7000007629395 51.9000015258789 22.7000007629395 92.8000030517578 32.5 30.3000011444092 19.8999996185303 19.5
18.6000003814697 21.7000007629395 27.1000003814697 11.8000001907349 17.6000003814697 36.2999992370605 14.6000003814697 18.3000011444092 31.8000011444092 21.3999996185303 29 32.6000022888184
13 11.5 10.9000005722046 8.10000038146973 5 99 31 71 43.9000015258789 29.8999996185303 21.5 38.1000022888184
17.8000011444092 14 29.3000011444092 13.5 21.7000007629395 26 63.9000015258789 15.1000003814697 49.7000007629395 41.4000015258789 26.2000007629395 7.40000009536743
27.8999996185303 22.2000007629395 14 20.8999996185303 29.3999996185303 28.8000011444092 46.6000022888184 20.6000003814697 24.3999996185303 33.1000022888184 16.3000011444092 15.9000005722046
17.3000011444092 24 14.9000005722046 17.5 16.8999996185303 34.4000015258789 76.7000045776367 32 30.8000011444092 33.7000007629395 33.1000022888184 11.9000005722046
16.2000007629395 25.1000003814697 33.1000022888184 9 34.9000015258789 79.0999984741211 27.8000011444092 50.6000022888184 38 42.4000015258789 14 32.6000022888184
32.7000007629395 6.30000019073486 15.1999998092651 15.5 24.3000011444092 56.2999992370605 22.1000003814697 42.1000022888184 39.4000015258789 31.6000003814697 11 24.6000003814697
