Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-39.60000229 -28.39999962 -23.39999962 -18.10000038 -5.800000191 4 10.90000057 9.300000191 -0.299999997 -13.40000057 -24.5 -34.90000153
-33.90000153 -32.10000038 -25 -17.80000114 -6.800000191 2.299999952 12.10000038 9.300000191 1.700000048 -14.5 -33 -33.60000229
-35.29999924 -25.70000076 -26.30000114 -16.89999962 -5.800000191 2.799999952 13.40000057 7.900000572 2.100000143 -10.90000057 -25.80000114 -34.10000229
-33.90000153 -35.79999924 -23.70000076 -15.19999981 -5.099999905 6.700000286 13.40000057 11.40000057 0.300000012 -9.199999809 -23.89999962 -31.70000076
-33.5 -28.60000038 -25.60000038 -16 -5 2.900000095 14.19999981 8.600000381 2.200000048 -11.60000038 -26.30000114 -30.70000076
-34.60000229 -31.80000114 -24 -14.19999981 -5.400000095 7.300000191 12.60000038 9.600000381 2.5 -9.900000572 -28.30000114 -27.60000038
-34.60000229 -32.5 -25 -16 -5.800000191 5.700000286 13.19999981 9.600000381 1.900000095 -11.60000038 -26.30000114 -30.70000076
-34.60000229 -32.5 -25 -16 -5 7.900000572 13.69999981 10.60000038 2.100000143 -10.80000019 -26.70000076 -36.70000076
-38.60000229 -29.10000038 -29.10000038 -18.70000076 -8.099999905 5.300000191 14.10000038 9.699999809 0.800000072 -12 -24.70000076 -31.30000114
-34.79999924 -27.30000114 -29.30000114 -18.80000114 -5.400000095 4.800000191 13 10.10000038 2.299999952 -12.60000038 -30.20000076 -36.20000076
-35.70000076 -31.5 -28.30000114 -15.90000057 -5.400000095 5.099999905 13.80000019 9.699999809 1.900000095 -10 -27.89999962 -34
-31.80000114 -32.79999924 -31.60000038 -13.90000057 -5.700000286 4.300000191 12.10000038 9.600000381 1.900000095 -15.69999981 -26.89999962 -33
-38.5 -34.70000076 -22.20000076 -17.60000038 -6.300000191 6.400000095 12 9 1.900000095 -11.60000038 -26.80000114 -25.70000076
-30.89999962 -29.10000038 -27.39999962 -15.60000038 -5.099999905 5 11.30000019 10.90000057 2 -11.69999981 -26.5 -31.20000076
-34.60000229 -37.40000153 -26.80000114 -15 -3.900000095 8.100000381 14.80000019 10.69999981 1.300000072 -14.19999981 -26.30000114 -35.40000153
-32.79999924 -32.30000114 -28 -16.60000038 -7.5 4.300000191 11.19999981 9.5 4 -9.900000572 -29.89999962 -37.90000153
-35.10000229 -34.29999924 -26.89999962 -16.70000076 -3.799999952 6.200000286 13.5 8.100000381 1.5 -13.5 -27.5 -29.10000038
-33.29999924 -31.10000038 -25.39999962 -16.40000057 -7.800000191 5.200000286 13.90000057 9.800000191 2.900000095 -12.5 -25.39999962 -32.70000076
