"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
15.6 8.8 4.8 6.9 7.4 19.6 36.3 31.7 20 14.7 15.7 13.4
15.7 8.9 4.9 6.9 7.3 20 36.9 31.5 19.7 14.8 16.3 12.8
15.7 8.8 5 7.1 6.7 21.2 36.7 31.3 20.1 15 15.9 12.8
15.5 9.2 4.9 7 7 19.5 36.2 31 19.8 15 15.9 12.7
15.9 9.2 5 6.9 6.8 19.6 37 31.8 20.8 15 15.7 12.7
15.6 9.1 5 6.9 6.8 20.1 35.9 32 19.9 15 15.8 13.3
15.8 8.8 5 6.8 7 20.4 37.2 31.1 20 15 16 13
16 9 5 7 7 20 37 32 19.3 14.7 16.1 12.8
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37.6 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 14.7 15.6 12.6
15.7 9 5.1 6.8 6.9 20.2 37 32 20 15 15.7 13
16 8.8 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16 13
16 9 5 7 7 20 37 32 20 15 16.2 12.7
16.2 8.9 4.9 6.9 6.8 20.7 37.4 33.2 19.7 14.6 15.8 13.2
16.1 9 5 7 6.9 20.4 36 31.6 19.6 15 15.8 13
15.8 8.9 5 6.8 6.9 19.3 36.5 31.9 20 14.7 15.7 12.9
16 8.7 4.8 7.3 7.2 19.5 36.7 31.8 19.9 15.2 15.8 12.6
15.6 8.7 5 6.8 6.8 20.2 37 31.8 20.5 14.8 16 12.8
15.6 8.8 5 6.8 6.8 19.9 36.2 31.1 20.2 15 16.1 13
15.7 9.1 5.2 6.9 6.9 20.3 37.3 31.6 19.7 11.2 9.3 13.2
8.5 13.8 5.8 5 3.9 18.2 21.4 21.3 15 7.6 15.1 11.4
7.7 7.3 4.9 4.2 7.1 48.2 29.3 17.6 19 12 13.2 9.5
10.6 8.7 5.1 8 4.4 25.3 22.5 49.1 12.9 11.1 10.5 12.3
13.6 8.6 3.4 6.1 3.7 39.4 75.7 17.6 23.4 13.5 8.4 9.7
11.5 9 4.8 3.4 4 36.7 48.1 26.7 19.2 15.8 13 20.1
8.4 21.3 9.2 6.8 6.5 17.3 40.1 31.4 16.6 8.9 11.1 8.8
9.9 5 3.9 6.9 13.5 14.4 31.4 59 19.4 10.3 12.7 12.3
9 5.7 3.3 3.4 8.9 26.2 27.6 44.5 20.5 15.1 8.5 8.1
9.5 10.7 4.8 3.4 2.9 9.4 44.9 26.9 14.8 17.4 14.1 6.7
10.6 7.7 5.1 5.7 3.5 28.8 40.6 27.1 26.9 18.5 11.8 9.5
12 7.9 5.3 4.2 5.5 29.3 58.9 38.1 23.2 22.1 14.2 16.6
7.1 6.1 4.9 10.5 8.1 21.6 55.4 24 25.4 16.8 15.8 10
6.9 5.7 4.9 2.4 4.1 19.8 32.1 50.4 22.2 15.1 19.4 14.1
14.8 15.3 5.6 5 14.3 23.5 27 32.5 22.1 27.3 13.2 7.3
13.5 8.9 5.1 7.6 4.4 15 50.8 39.5 20.1 11.5 9.9 7.4
13.3 7.3 10.5 4.3 3.3 32.3 53.6 31.8 7.8 16.5 8 12.6
28 10.8 4.6 4.7 7.3 20 55 44.4 17.5 16.7 14 8.5
8.5 4.9 6.9 3.4 4.3 16.9 29.7 21.1 15.3 15.9 12.2 13.9
13.7 8.8 2.8 8.8 4.4 10.7 34.4 32.9 16.5 21.7 12.7 7.9
15.8 8 2.8 5.4 6 8.1 36.7 34.6 26.1 11.2 21.7 5.6
19 6.2 7.5 13 6 40.7 41.1 34.5 20 11.2 14.1 10.8
7 4.9 10.6 4.9 7.9 28.7 38.8 42.1 28.6 9.9 9.4 13.5
21.8 6.1 4.7 13.1 7.5 13.9 53 24.4 31.4 18.2 7.4 16.9
26.7 14.6 5.2 10.9 10.2 21.3 58.7 47 17.3 20.2 8.9 10
11.7 6.5 13.4 6.7 6.6 21.8 32.5 29.8 13.2 21.3 19.4 19
18.2 13.1 2 9.8 5.3 38.2 37.7 42.6 23.3 14.1 8.7 6.9
12.7 12.8 7.7 2.8 4.7 23.1 23.1 43.7 20.9 22.1 7.8 14.3
13.5 5.1 4.9 9.1 7.1 13.6 34.4 46.6 13.8 15.9 27.3 9.2
27.3 19.2 8.8 9.1 9.6 34.6 47.2 51.4 23.3 17.4 16.5 14.3
30.4 11.2 6.3 13.3 5.7 21.2 38.2 28.1 14.8 18.1 16.9 19.1
16 7.9 2.3 5 10.5 15.1 55.1 32.2 17.9 16.9 15.6 17.4
16 3.2 5.7 8.5 4.6 15.7 21.3 26.5 18.2 15.8 40.8 10.5
31.6 19.4 9.2 6.7 5.9 34.9 38.2 25.4 22.2 12.8 39.4 9.7
28.6 6.4 13 16.6 15.6 23.6 41.6 19.3 13 20.9 7.8 27.7
26.6 14.8 7 2.8 11.4 26.9 45.9 42.4 12.6 21.9 13.3 16.7
38.8 4.3 2.3 5.6 3.3 10.5 17.8 15.7 21.9 13.3 5.1 15.6
4.6 6.4 4.3 4.2 12.2 15.9 21.7 36.7 10.4 11.6 26.8 8.6
17.7 8.7 5.5 2 4.3 13.8 19 16 17.2 17.9 20.2 19.4
13.7 10.8 1.8 6.1 6.7 14.7 31.9 41.1 18.5 17.9 10.5 21.1
10.8 6.5 1.3 5.7 2.2 5.2 53.8 41.4 19.9 23.7 26.6 9.1
6.7 5.6 3.5 1 3.7 18.8 30 15.9 26.1 7.1 17.4 1.7
10.2 9.2 7.4 7.9 4.1 22.6 33.3 38.8 18.7 15.4 22.8 6.9
15.4 5.5 4.8 6.7 3.1 32.6 36.1 22.4 15.1 8.9 6.2 5.7
17.8 8 1.9 7.1 7.2 20.1 14 43.9 58 14 10 16.8
22.6 6.5 1.4 9.3 6.3 19.8 52.4 36 7.7 9.3 8.1 9.8
14.9 15.1 5.1 4 6.9 17.5 54.1 37.8 30.9 9.1 14.3 14.7
9.3 13.6 5.2 1.9 2.3 35.2 56 19.9 7.1 15.6 7.5 6.3
11.5 7.2 6.8 8.7 6.8 26.1 61.5 21.7 19.8 11.2 7.5 13.3
17.8 12.8 7.5 16.7 8.5 8.8 6.7 15.8 13.6 16.2 14.7 17.7
9.7 4.5 2.6 7.4 5.1 10.9 28.1 28.7 24 11.7 7.1 31.2
11.4 1.4 1.9 4.6 13.8 16.2 62.2 43.8 35 17.1 12.8 12.2
12.8 9.9 3.8 4.1 4.3 17.7 30.6 35.1 15.9 10 22.5 11.1
4.1 9.2 6.7 3.1 9.6 18.1 46.6 21.2 26.6 12.4 9.1 12.1
12.8 1.5 6.7 5.3 6.5 33 14.3 33 17.1 20 7.8 13.2
16.2 10.2 0.4 5.1 2.4 8.9 35.7 36.4 16.6 9.9 3.7 5.7
10.4 22.5 7.7 15.8 9.4 13.8 31.2 55.4 17.4 15.4 8.1 5
4 1.9 3.8 8.6 9.7 34.5 44.9 37 37.5 19.9 29.6 7.7
4 7.3 11.1 6.1 8.3 17.2 20.4 22.1 29.5 16.8 14.4 12
