"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
5.88 3.78 4.88 1.88 5.18 21.08 35.78 53.58 25.48 5.78 6.88 3.88
3.18 9.38 5.18 5.38 12.78 37.08 40.68 23.98 15.68 13.18 2.08 8.28
6.08 4.98 5.48 5.78 11.68 18.38 42.98 27.08 25.48 13.98 6.48 8.68
5.98 6.58 6.08 4.88 6.48 25.18 38.48 40.28 9.58 14.08 5.68 11.58
6.98 5.08 3.68 4.28 6.48 24.08 43.48 25.78 18.48 14.68 4.08 6.38
6.38 6.38 4.68 4.58 3.88 33.28 36.28 23.58 23.68 13.58 7.18 8.38
5.18 6.68 4.48 2.78 2.08 24.58 53.78 47.78 13.28 7.08 5.08 9.68
4.08 4.28 9.68 5.98 6.38 54.68 16.18 46.98 23.28 11.98 4.38 10.68
9.88 4.08 8.78 7.38 6.18 32.68 87.18 28.08 31.08 7.08 6.68 12.18
14.18 4.58 2.58 4.38 10.98 32.28 34.48 57.18 22.48 12.88 8.48 9.88
5.48 12.88 5.68 1.48 2.68 12.68 39.18 18.38 10.58 9.28 7.88 8.48
18.78 5.08 1.58 2.48 6.28 28.38 24.98 31.88 18.28 15.38 8.18 16.18
4.98 4.58 2.28 2.48 4.48 36.28 30.38 44.18 27.18 11.08 1.48 5.88
11.58 7.08 12.18 11.68 7.08 14.28 33.98 27.08 26.58 6.08 6.08 5.18
4.18 4.78 6.28 3.68 1.58 36.58 69.48 31.78 19.98 6.08 7.88 3.58
4.77 7.67 6.17 3.97 18.27 20.87 31.57 31.17 15.97 12.97 8.67 10.97
8.77 8.27 7.67 5.97 9.37 22.37 35.77 25.87 9.37 8.07 4.57 8.07
11.37 4.77 5.47 2.97 8.87 16.47 46.67 18.87 29.57 10.67 7.37 6.27
4.77 8.97 4.37 1.97 11.07 18.67 16.87 16.97 14.17 8.77 3.47 4.77
5.37 8.17 4.27 3.57 4.27 28.07 42.67 38.17 24.77 7.27 4.77 8.67
2.07 5.47 6.87 4.47 7.77 36.07 25.37 40.57 19.97 11.97 3.57 6.97
8.97 14.07 2.77 3.87 5.47 52.07 20.07 46.47 23.97 6.67 4.37 7.77
15.37 6.77 12.17 5.67 2.97 22.47 35.47 25.97 21.57 13.17 8.97 11.67
5.87 7.77 5.07 8.37 9.67 28.37 31.57 67.47 29.17 8.27 7.47 9.07
4.67 4.37 10.37 3.87 8.47 31.37 45.57 59.87 15.37 12.77 5.87 5.07
5.17 5.47 4.57 3.87 5.87 28.47 34.27 61.07 34.87 8.67 4.37 6.07
6.87 3.17 6.37 3.17 5.37 21.87 35.17 36.57 24.77 6.27 6.27 5.27
6.77 3.77 4.07 5.97 26.57 14.07 47.07 43.77 19.07 16.67 6.97 2.97
5.27 6.87 4.77 5.07 17.27 39.67 27.47 40.27 25.57 11.37 6.07 17.07
6.57 4.67 5.07 3.07 6.87 12.07 52.77 44.67 15.27 18.87 6.67 10.47
4.75 7.65 6.15 3.95 18.25 20.85 31.55 31.15 15.95 12.95 8.65 10.95
8.75 8.25 7.65 5.95 9.35 22.35 35.75 25.85 9.35 8.05 4.55 8.05
11.35 4.75 5.45 2.95 8.85 16.45 46.65 18.85 29.55 10.65 7.35 6.25
4.75 8.95 4.35 1.95 11.05 18.65 16.85 16.95 14.15 8.75 3.45 4.75
5.35 8.15 4.25 3.55 4.25 28.05 42.65 38.15 24.75 7.25 4.75 8.65
2.05 5.45 6.85 4.45 7.75 36.05 25.35 40.55 19.95 11.95 3.55 6.95
8.95 14.05 2.75 3.85 5.45 52.05 20.05 46.45 23.95 6.65 4.35 7.75
15.35 6.75 12.15 5.65 2.95 22.45 35.45 25.95 21.55 13.15 8.95 11.65
5.85 7.75 5.05 8.35 9.65 28.35 31.55 67.45 29.15 8.25 7.45 9.05
4.65 4.35 10.35 3.85 8.45 31.35 45.55 59.85 15.35 12.75 5.85 5.05
5.15 5.45 4.55 3.85 5.85 28.45 34.25 61.05 34.85 8.65 4.35 6.05
6.85 3.15 6.35 3.15 5.35 21.85 35.15 36.55 24.75 6.25 6.25 5.25
6.75 3.75 4.05 5.95 26.55 14.05 47.05 43.75 19.05 16.65 6.95 2.95
5.25 6.85 4.75 5.05 17.25 39.65 27.45 40.25 25.55 11.35 6.05 17.05
6.55 4.65 5.05 3.05 6.85 12.05 52.75 44.65 15.25 18.85 6.65 10.45
3.66 6.46 3.26 5.86 3.66 16.96 50.46 37.86 16.16 4.46 2.66 2.86
3.56 5.76 2.36 14.76 3.26 27.46 51.56 36.96 30.86 15.56 4.86 6.46
3.76 8.96 9.66 3.16 3.96 12.86 54.96 28.66 11.56 8.86 6.66 16.86
7.86 5.96 3.86 4.16 22.36 15.86 28.06 19.86 12.66 9.06 4.06 14.86
9.16 9.36 5.76 1.46 5.56 35.36 29.46 26.66 17.76 17.76 2.46 6.96
10.06 4.06 8.46 6.66 13.76 18.56 30.86 22.36 18.36 7.06 9.56 17.96
3.86 3.96 1.96 6.16 6.06 14.86 28.46 26.36 22.36 8.96 4.76 9.86
16.36 5.16 6.36 1.06 5.76 20.86 31.86 37.96 18.96 16.46 7.66 10.96
7.46 1.56 4.26 3.36 11.86 31.06 30.46 61.86 20.76 10.16 9.46 18.96
4.86 16.46 11.16 3.36 13.46 5.26 43.46 56.76 18.96 16.06 14.36 8.46
4.16 7.46 3.96 3.46 11.26 26.96 21.56 26.96 31.16 18.76 7.86 9.16
6.96 3.16 7.26 2.26 8.36 25.46 34.76 34.16 6.26 6.96 11.96 8.96
8.46 12.26 4.96 6.66 3.26 12.46 56.66 48.56 22.36 18.06 5.16 4.76
6.66 13.16 8.46 8.26 9.46 44.06 32.26 40.66 25.26 12.36 9.36 5.96
8.66 7.36 12.66 7.06 19.56 21.66 58.96 36.06 13.76 17.96 6.86 11.16
3.63 6.43 3.23 5.83 3.63 16.93 50.43 37.83 16.13 4.43 2.63 2.83
3.53 5.73 2.33 14.73 3.23 27.43 51.53 36.93 30.83 15.53 4.83 6.43
3.73 8.93 9.63 3.13 3.93 12.83 54.93 28.63 11.53 8.83 6.63 16.83
7.83 5.93 3.83 4.13 22.33 15.83 28.03 19.83 12.63 9.03 4.03 14.83
9.13 9.33 5.73 1.43 5.53 35.33 29.43 26.63 17.73 17.73 2.43 6.93
10.03 4.03 8.43 6.63 13.73 18.53 30.83 22.33 18.33 7.03 9.53 17.93
3.83 3.93 1.93 6.13 6.03 14.83 28.43 26.33 22.33 8.93 4.73 9.83
16.33 5.13 6.33 1.03 5.73 20.83 31.83 37.93 18.93 16.43 7.63 10.93
7.43 1.53 4.23 3.33 11.83 31.03 30.43 61.83 20.73 10.13 9.43 18.93
4.83 16.43 11.13 3.33 13.43 5.23 43.43 56.73 18.93 16.03 14.33 8.43
4.13 7.43 3.93 3.43 11.23 26.93 21.53 26.93 31.13 18.73 7.83 9.13
6.93 3.13 7.23 2.23 8.33 25.43 34.73 34.13 6.23 6.93 11.93 8.93
8.43 12.23 4.93 6.63 3.23 12.43 56.63 48.53 22.33 18.03 5.13 4.73
6.63 13.13 8.43 8.23 9.43 44.03 32.23 40.63 25.23 12.33 9.33 5.93
8.63 7.33 12.63 7.03 19.53 21.63 58.93 36.03 13.73 17.93 6.83 11.13
5.87 3.77 4.87 1.87 5.17 21.07 35.77 53.57 25.47 5.77 6.87 3.87
3.17 9.37 5.17 5.37 12.77 37.07 40.67 23.97 15.67 13.17 2.07 8.27
6.07 4.97 5.47 5.77 11.67 18.37 42.97 27.07 25.47 13.97 6.47 8.67
5.97 6.57 6.07 4.87 6.47 25.17 38.47 40.27 9.57 14.07 5.67 11.57
6.97 5.07 3.67 4.27 6.47 24.07 43.47 25.77 18.47 14.67 4.07 6.37
6.37 6.37 4.67 4.57 3.87 33.27 36.27 23.57 23.67 13.57 7.17 8.37
5.17 6.67 4.47 2.77 2.07 24.57 53.77 47.77 13.27 7.07 5.07 9.67
4.07 4.27 9.67 5.97 6.37 54.67 16.17 46.97 23.27 11.97 4.37 10.67
9.87 4.07 8.77 7.37 6.17 32.67 87.17 28.07 31.07 7.07 6.67 12.17
14.17 4.57 2.57 4.37 10.97 32.27 34.47 57.17 22.47 12.87 8.47 9.87
5.47 12.87 5.67 1.47 2.67 12.67 39.17 18.37 10.57 9.27 7.87 8.47
18.77 5.07 1.57 2.47 6.27 28.37 24.97 31.87 18.27 15.37 8.17 16.17
4.97 4.57 2.27 2.47 4.47 36.27 30.37 44.17 27.17 11.07 1.47 5.87
11.57 7.07 12.17 11.67 7.07 14.27 33.97 27.07 26.57 6.07 6.07 5.17
4.17 4.77 6.27 3.67 1.57 36.57 69.47 31.77 19.97 6.07 7.87 3.57
7.21 3.91 3.81 6.11 11.51 12.81 15.31 35.31 13.21 15.91 5.81 3.01
13.21 6.61 6.91 7.31 8.61 22.51 31.01 28.61 18.11 12.31 8.51 9.41
7.31 6.51 7.21 6.11 10.31 25.11 43.81 33.51 20.21 13.41 8.01 9.71
7.91 7.31 8.71 6.11 9.91 22.21 39.41 37.51 19.01 13.71 8.71 10.71
9.11 8.11 7.11 6.11 10.11 25.11 38.11 34.11 22.11 14.11 9.11 11.11
7.31 8.11 7.11 4.91 10.11 25.11 38.11 34.11 22.11 14.11 9.11 11.11
9.11 8.11 7.11 6.11 10.11 25.11 38.11 34.11 22.11 14.11 9.11 11.11
9.11 8.11 7.11 6.11 10.11 25.11 38.11 34.11 22.11 14.11 9.11 11.11
9.11 8.11 7.11 6.11 10.11 25.11 38.11 34.11 22.11 14.11 9.11 11.11
9.11 8.11 7.11 6.11 10.11 25.11 38.11 34.11 37.81 6.61 3.21 8.21
5.81 3.81 7.61 2.71 6.51 28.71 16.21 37.31 28.71 8.61 8.51 4.01
8.11 5.01 3.41 3.41 7.01 29.11 81.31 37.21 15.21 7.41 7.31 6.61
5.61 6.71 4.11 1.61 4.81 33.81 40.41 23.61 23.31 18.71 4.41 6.51
5.71 5.21 5.91 5.91 9.11 27.11 40.11 35.21 14.61 8.81 4.11 8.21
9.61 6.01 7.81 3.11 8.41 35.41 21.21 29.91 28.21 12.21 4.71 6.01
4.74 7.64 6.14 3.94 18.24 20.84 31.54 31.14 15.94 12.94 8.64 10.94
8.74 8.24 7.64 5.94 9.34 22.34 35.74 25.84 9.34 8.04 4.54 8.04
11.34 4.74 5.44 2.94 8.84 16.44 46.64 18.84 29.54 10.64 7.34 6.24
4.74 8.94 4.34 1.94 11.04 18.64 16.84 16.94 14.14 8.74 3.44 4.74
5.34 8.14 4.24 3.54 4.24 28.04 42.64 38.14 24.74 7.24 4.74 8.64
2.04 5.44 6.84 4.44 7.74 36.04 25.34 40.54 19.94 11.94 3.54 6.94
8.94 14.04 2.74 3.84 5.44 52.04 20.04 46.44 23.94 6.64 4.34 7.74
15.34 6.74 12.14 5.64 2.94 22.44 35.44 25.94 21.54 13.14 8.94 11.64
5.84 7.74 5.04 8.34 9.64 28.34 31.54 67.44 29.14 8.24 7.44 9.04
4.64 4.34 10.34 3.84 8.44 31.34 45.54 59.84 15.34 12.74 5.84 5.04
5.14 5.44 4.54 3.84 5.84 28.44 34.24 61.04 34.84 8.64 4.34 6.04
6.84 3.14 6.34 3.14 5.34 21.84 35.14 36.54 24.74 6.24 6.24 5.24
6.74 3.74 4.04 5.94 26.54 14.04 47.04 43.74 19.04 16.64 6.94 2.94
5.24 6.84 4.74 5.04 17.24 39.64 27.44 40.24 25.54 11.34 6.04 17.04
6.54 4.64 5.04 3.04 6.84 12.04 52.74 44.64 15.24 18.84 6.64 10.44
3.66 6.46 3.26 5.86 3.66 16.96 50.46 37.86 16.16 4.46 2.66 2.86
3.56 5.76 2.36 14.76 3.26 27.46 51.56 36.96 30.86 15.56 4.86 6.46
3.76 8.96 9.66 3.16 3.96 12.86 54.96 28.66 11.56 8.86 6.66 16.86
7.86 5.96 3.86 4.16 22.36 15.86 28.06 19.86 12.66 9.06 4.06 14.86
9.16 9.36 5.76 1.46 5.56 35.36 29.46 26.66 17.76 17.76 2.46 6.96
10.06 4.06 8.46 6.66 13.76 18.56 30.86 22.36 18.36 7.06 9.56 17.96
3.86 3.96 1.96 6.16 6.06 14.86 28.46 26.36 22.36 8.96 4.76 9.86
16.36 5.16 6.36 1.06 5.76 20.86 31.86 37.96 18.96 16.46 7.66 10.96
7.46 1.56 4.26 3.36 11.86 31.06 30.46 61.86 20.76 10.16 9.46 18.96
4.86 16.46 11.16 3.36 13.46 5.26 43.46 56.76 18.96 16.06 14.36 8.46
4.16 7.46 3.96 3.46 11.26 26.96 21.56 26.96 31.16 18.76 7.86 9.16
6.96 3.16 7.26 2.26 8.36 25.46 34.76 34.16 6.26 6.96 11.96 8.96
8.46 12.26 4.96 6.66 3.26 12.46 56.66 48.56 22.36 18.06 5.16 4.76
6.66 13.16 8.46 8.26 9.46 44.06 32.26 40.66 25.26 12.36 9.36 5.96
8.66 7.36 12.66 7.06 19.56 21.66 58.96 36.06 13.76 17.96 6.86 11.16
4.8 7.7 6.2 4 18.3 20.9 31.6 31.2 16 13 8.7 11
8.8 8.3 7.7 6 9.4 22.4 35.8 25.9 9.4 8.1 4.6 8.1
11.4 4.8 5.5 3 8.9 16.5 46.7 18.9 29.6 10.7 7.4 6.3
4.8 9 4.4 2 11.1 18.7 16.9 17 14.2 8.8 3.5 4.8
5.4 8.2 4.3 3.6 4.3 28.1 42.7 38.2 24.8 7.3 4.8 8.7
2.1 5.5 6.9 4.5 7.8 36.1 25.4 40.6 20 12 3.6 7
9 14.1 2.8 3.9 5.5 52.1 20.1 46.5 24 6.7 4.4 7.8
15.4 6.8 12.2 5.7 3 22.5 35.5 26 21.6 13.2 9 11.7
5.9 7.8 5.1 8.4 9.7 28.4 31.6 67.5 29.2 8.3 7.5 9.1
4.7 4.4 10.4 3.9 8.5 31.4 45.6 59.9 15.4 12.8 5.9 5.1
5.2 5.5 4.6 3.9 5.9 28.5 34.3 61.1 34.9 8.7 4.4 6.1
6.9 3.2 6.4 3.2 5.4 21.9 35.2 36.6 24.8 6.3 6.3 5.3
6.8 3.8 4.1 6 26.6 14.1 47.1 43.8 19.1 16.7 7 3
5.3 6.9 4.8 5.1 17.3 39.7 27.5 40.3 25.6 11.4 6.1 17.1
6.6 4.7 5.1 3.1 6.9 12.1 52.8 44.7 15.3 18.9 6.7 10.5
5.85 3.75 4.85 1.85 5.15 21.05 35.75 53.55 25.45 5.75 6.85 3.85
3.15 9.35 5.15 5.35 12.75 37.05 40.65 23.95 15.65 13.15 2.05 8.25
6.05 4.95 5.45 5.75 11.65 18.35 42.95 27.05 25.45 13.95 6.45 8.65
5.95 6.55 6.05 4.85 6.45 25.15 38.45 40.25 9.55 14.05 5.65 11.55
6.95 5.05 3.65 4.25 6.45 24.05 43.45 25.75 18.45 14.65 4.05 6.35
6.35 6.35 4.65 4.55 3.85 33.25 36.25 23.55 23.65 13.55 7.15 8.35
5.15 6.65 4.45 2.75 2.05 24.55 53.75 47.75 13.25 7.05 5.05 9.65
