"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-48.68 -34.48 -25.38 -9.38 1.42 14.82 20.02 16.52 3.52 -10.08 -27.58 -40.18
-44.18 -42.38 -32.08 -10.68 4.32 16.12 16.82 14.02 4.62 -13.78 -32.78 -44.48
-45.08 -43.68 -25.88 -14.28 3.52 14.92 18.92 16.22 6.52 -11.78 -35.18 -39.38
-45.98 -34.48 -30.88 -12.98 2.52 18.12 22.22 14.32 8.32 -10.88 -36.38 -37.58
-48.68 -42.68 -24.48 -11.38 6.42 14.02 17.52 11.12 4.92 -14.48 -35.58 -45.98
-46.23 -38.63 -29.13 -14.53 2.47 16.17 17.67 12.17 6.27 -11.63 -31.93 -40.03
-41.63 -38.43 -27.03 -10.83 3.27 12.67 16.77 13.37 3.47 -11.63 -34.33 -42.13
-41.33 -37.43 -27.33 -13.83 0.57 13.47 17.47 13.47 4.77 -13.33 -31.83 -39.73
-44.53 -35.13 -29.03 -13.43 1.97 16.37 17.67 13.87 3.77 -13.43 -34.53 -42.03
-44.53 -41.43 -28.43 -12.13 1.67 14.47 19.87 13.67 5.77 -11.93 -32.23 -43.83
-46.83 -44.23 -31.43 -14.33 4.87 15.27 16.47 14.87 5.17 -13.13 -31.83 -37.23
-45.63 -42.23 -28.03 -12.23 4.17 16.27 18.07 13.17 6.07 -7.43 -29.73 -39.33
-42.03 -34.63 -23.03 -8.53 3.57 16.57 18.47 14.27 6.47 -11.03 -36.63 -42.43
-41.73 -43.23 -29.83 -13.63 3.97 16.87 19.27 15.67 4.57 -12.73 -34.13 -38.23
-40.23 -38.33 -27.23 -14.43 2.57 14.97 19.97 12.67 6.67 -12.83 -33.73 -39.53
-44.03 -37.23 -27.73 -11.93 5.37 15.17 21.07 16.27 8.47 -9.53 -30.93 -38.53
-46.43 -39.23 -26.83 -10.23 4.87 13.27 18.07 12.47 4.57 -10.23 -37.23 -40.03
-41.73 -38.33 -27.03 -12.63 5.37 15.77 19.87 14.47 6.47 -12.13 -33.43 -40.83
-43.23 -42.83 -24.83 -10.53 4.17 14.47 18.87 14.37 5.77 -13.33 -34.53 -42.83
-40.93 -38.23 -24.13 -10.43 5.47 16.17 17.67 13.27 5.27 -10.53 -31.03 -34.33
-42.45 -42.05 -28.15 -9.35 0.95 14.45 16.55 13.65 6.35 -13.35 -34.05 -41.75
-39.75 -40.75 -29.95 -10.85 5.45 16.15 17.95 13.05 4.85 -14.85 -34.95 -41.25
-45.65 -38.85 -26.65 -11.65 1.25 14.65 16.75 14.45 4.75 -11.25 -28.35 -41.65
-45.85 -43.55 -29.55 -14.95 3.25 13.95 16.85 12.65 3.45 -15.75 -36.75 -38.45
-41.55 -39.55 -29.35 -14.25 3.55 14.25 19.25 15.95 6.65 -11.05 -36.45 -37.65
-37.05 -36.25 -27.05 -9.75 4.75 15.75 17.85 14.45 5.35 -10.65 -31.05 -39.05
-46.75 -36.65 -30.05 -10.25 0.75 13.45 19.65 14.15 6.55 -13.55 -38.15 -41.75
-42.45 -38.05 -25.55 -13.95 4.85 15.25 18.25 16.35 7.25 -12.55 -29.45 -39.15
-38.75 -41.85 -28.75 -12.75 4.35 13.95 18.35 12.05 4.35 -12.35 -31.55 -40.15
-44.05 -35.45 -28.55 -12.25 3.15 15.25 17.35 12.85 5.95 -12.75 -29.65 -37.15
-44.45 -36.65 -26.95 -11.55 3.05 16.05 17.95 13.45 4.95 -9.95 -32.75 -40.25
-43.25 -40.15 -28.75 -12.85 1.65 14.25 19.15 13.85 4.15 -13.85 -36.45 -43.45
-43.25 -37.75 -26.85 -10.65 4.85 16.25 20.25 12.75 7.65 -9.75 -30.95 -35.95
-42.95 -34.35 -22.75 -13.05 3.65 14.05 17.15 13.15 5.95 -13.35 -34.05 -36.55
-43.35 -38.55 -19.85 -9.05 8.15 16.95 16.45 15.25 5.05 -10.65 -35.25 -40.75
-42.6 -42.2 -28.3 -9.5 0.8 14.3 16.4 13.5 6.2 -13.5 -34.2 -41.9
-39.9 -40.9 -30.1 -11 5.3 16 17.8 12.9 4.7 -15 -35.1 -41.4
-45.8 -39 -26.8 -11.8 1.1 14.5 16.6 14.3 4.6 -11.4 -28.5 -41.8
-46 -43.7 -29.7 -15.1 3.1 13.8 16.7 12.5 3.3 -15.9 -36.9 -38.6
-41.7 -39.7 -29.5 -14.4 3.4 14.1 19.1 15.8 6.5 -11.2 -36.6 -37.8
-37.2 -36.4 -27.2 -9.9 4.6 15.6 17.7 14.3 5.2 -10.8 -31.2 -39.2
-46.9 -36.8 -30.2 -10.4 0.6 13.3 19.5 14 6.4 -13.7 -38.3 -41.9
-42.6 -38.2 -25.7 -14.1 4.7 15.1 18.1 16.2 7.1 -12.7 -29.6 -39.3
-38.9 -42 -28.9 -12.9 4.2 13.8 18.2 11.9 4.2 -12.5 -31.7 -40.3
-44.2 -35.6 -28.7 -12.4 3 15.1 17.2 12.7 5.8 -12.9 -29.8 -37.3
-44.6 -36.8 -27.1 -11.7 2.9 15.9 17.8 13.3 4.8 -10.1 -32.9 -40.4
-43.4 -40.3 -28.9 -13 1.5 14.1 19 13.7 4 -14 -36.6 -43.6
-43.4 -37.9 -27 -10.8 4.7 16.1 20.1 12.6 7.5 -9.9 -31.1 -36.1
-43.1 -34.5 -22.9 -13.2 3.5 13.9 17 13 5.8 -13.5 -34.2 -36.7
-43.5 -38.7 -20 -9.2 8 16.8 16.3 15.1 4.9 -10.8 -35.4 -40.9
-43.79 -43.49 -26.69 -13.19 2.01 14.61 18.81 16.01 4.61 -6.59 -29.89 -44.79
-41.69 -38.39 -27.39 -10.19 5.81 16.91 21.41 16.41 5.51 -13.69 -34.69 -40.79
-44.39 -43.19 -24.99 -12.09 2.91 15.41 16.11 14.31 5.61 -9.29 -34.09 -45.29
-45.69 -47.19 -30.09 -8.29 3.61 15.31 17.51 16.21 8.31 -8.19 -32.59 -38.69
-38.99 -35.79 -23.39 -5.39 3.61 13.61 18.91 15.61 5.71 -13.39 -35.99 -41.69
-43.29 -34.09 -29.59 -13.89 2.01 15.51 16.41 15.01 7.61 -11.89 -24.49 -46.19
-46.49 -45.19 -27.39 -14.29 1.71 15.31 17.01 12.51 4.41 -14.09 -35.39 -36.89
-46.19 -39.29 -24.69 -12.89 1.31 14.01 16.41 13.81 4.31 -11.49 -31.59 -41.49
-46.39 -40.99 -27.69 -14.19 1.71 14.51 16.81 15.01 7.31 -12.29 -27.19 -37.19
-39.09 -43.09 -25.19 -13.89 2.91 13.41 18.11 13.01 4.11 -10.59 -33.39 -39.99
-42.79 -39.99 -25.29 -13.19 4.01 12.21 20.01 15.61 7.21 -13.49 -32.79 -39.49
-46.19 -43.39 -31.59 -10.59 5.81 15.81 18.21 13.91 7.51 -7.09 -23.59 -37.79
-45.59 -40.99 -24.79 -9.39 1.71 15.11 17.11 15.51 4.31 -10.59 -32.49 -38.69
-43.19 -36.99 -29.79 -12.79 4.41 15.41 18.31 13.71 3.21 -11.89 -37.19 -40.29
-41.19 -40.99 -23.09 -11.79 0.71 16.81 18.11 14.21 6.31 -13.79 -29.69 -41.29
-43.77 -43.47 -26.67 -13.17 2.03 14.63 18.83 16.03 4.63 -6.57 -29.87 -44.77
-41.67 -38.37 -27.37 -10.17 5.83 16.93 21.43 16.43 5.53 -13.67 -34.67 -40.77
-44.37 -43.17 -24.97 -12.07 2.93 15.43 16.13 14.33 5.63 -9.27 -34.07 -45.27
-45.67 -47.17 -30.07 -8.27 3.63 15.33 17.53 16.23 8.33 -8.17 -32.57 -38.67
-38.97 -35.77 -23.37 -5.37 3.63 13.63 18.93 15.63 5.73 -13.37 -35.97 -41.67
-43.27 -34.07 -29.57 -13.87 2.03 15.53 16.43 15.03 7.63 -11.87 -24.47 -46.17
-46.47 -45.17 -27.37 -14.27 1.73 15.33 17.03 12.53 4.43 -14.07 -35.37 -36.87
-46.17 -39.27 -24.67 -12.87 1.33 14.03 16.43 13.83 4.33 -11.47 -31.57 -41.47
-46.37 -40.97 -27.67 -14.17 1.73 14.53 16.83 15.03 7.33 -12.27 -27.17 -37.17
-39.07 -43.07 -25.17 -13.87 2.93 13.43 18.13 13.03 4.13 -10.57 -33.37 -39.97
-42.77 -39.97 -25.27 -13.17 4.03 12.23 20.03 15.63 7.23 -13.47 -32.77 -39.47
-46.17 -43.37 -31.57 -10.57 5.83 15.83 18.23 13.93 7.53 -7.07 -23.57 -37.77
-45.57 -40.97 -24.77 -9.37 1.73 15.13 17.13 15.53 4.33 -10.57 -32.47 -38.67
-43.17 -36.97 -29.77 -12.77 4.43 15.43 18.33 13.73 3.23 -11.87 -37.17 -40.27
-41.17 -40.97 -23.07 -11.77 0.73 16.83 18.13 14.23 6.33 -13.77 -29.67 -41.27
-46.46 -36.26 -23.26 -10.56 3.64 16.34 17.94 14.14 6.34 -13.96 -33.56 -32.96
-46.66 -37.96 -28.96 -14.26 -0.16 16.84 18.64 12.54 4.44 -13.46 -35.36 -43.26
-40.46 -35.36 -24.16 -15.36 4.74 17.04 21.94 14.04 5.34 -12.26 -28.46 -47.46
-41.86 -40.76 -24.16 -11.36 0.04 12.94 18.24 13.84 4.24 -14.76 -28.26 -38.06
-42.96 -41.96 -27.76 -13.96 2.34 14.24 15.54 13.34 4.94 -15.86 -36.86 -39.76
-43.66 -39.36 -26.66 -11.66 4.14 16.14 18.94 15.84 7.44 -9.46 -33.56 -38.66
-44.76 -38.46 -28.86 -9.26 4.24 15.34 19.54 13.24 6.34 -6.76 -29.46 -46.86
-49.66 -38.96 -31.06 -11.86 5.64 17.74 21.54 13.54 8.94 -7.16 -34.16 -45.76
-49.06 -43.36 -29.96 -8.66 4.84 14.54 20.64 17.64 5.94 -6.36 -36.06 -39.16
-41.26 -39.66 -28.76 -9.56 3.24 16.94 19.54 17.04 6.44 -7.36 -33.46 -46.16
-48.86 -34.66 -25.56 -9.56 1.24 14.64 19.84 16.34 3.34 -10.26 -27.76 -40.36
-44.36 -42.56 -32.26 -10.86 4.14 15.94 16.64 13.84 4.44 -13.96 -32.96 -44.66
-45.26 -43.86 -26.06 -14.46 3.34 14.74 18.74 16.04 6.34 -11.96 -35.36 -39.56
-46.16 -34.66 -31.06 -13.16 2.34 17.94 22.04 14.14 8.14 -11.06 -36.56 -37.76
-48.86 -42.86 -24.66 -11.56 6.24 13.84 17.34 10.94 4.74 -14.66 -35.76 -46.16
-46.27 -38.67 -29.17 -14.57 2.43 16.13 17.63 12.13 6.23 -11.67 -31.97 -40.07
-41.67 -38.47 -27.07 -10.87 3.23 12.63 16.73 13.33 3.43 -11.67 -34.37 -42.17
