"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-47.68 -33.48 -24.38 -8.38 2.42 15.82 21.02 17.52 4.52 -9.08 -26.58 -39.18
-43.18 -41.38 -31.08 -9.68 5.32 17.12 17.82 15.02 5.62 -12.78 -31.78 -43.48
-44.08 -42.68 -24.88 -13.28 4.52 15.92 19.92 17.22 7.52 -10.78 -34.18 -38.38
-44.98 -33.48 -29.88 -11.98 3.52 19.12 23.22 15.32 9.32 -9.88 -35.38 -36.58
-47.68 -41.68 -23.48 -10.38 7.42 15.02 18.52 12.12 5.92 -13.48 -34.58 -44.98
-45.21 -37.61 -28.11 -13.51 3.49 17.19 18.69 13.19 7.29 -10.61 -30.91 -39.01
-40.61 -37.41 -26.01 -9.81 4.29 13.69 17.79 14.39 4.49 -10.61 -33.31 -41.11
-40.31 -36.41 -26.31 -12.81 1.59 14.49 18.49 14.49 5.79 -12.31 -30.81 -38.71
-43.51 -34.11 -28.01 -12.41 2.99 17.39 18.69 14.89 4.79 -12.41 -33.51 -41.01
-43.51 -40.41 -27.41 -11.11 2.69 15.49 20.89 14.69 6.79 -10.91 -31.21 -42.81
-45.81 -43.21 -30.41 -13.31 5.89 16.29 17.49 15.89 6.19 -12.11 -30.81 -36.21
-44.61 -41.21 -27.01 -11.21 5.19 17.29 19.09 14.19 7.09 -6.41 -28.71 -38.31
-41.01 -33.61 -22.01 -7.51 4.59 17.59 19.49 15.29 7.49 -10.01 -35.61 -41.41
-40.71 -42.21 -28.81 -12.61 4.99 17.89 20.29 16.69 5.59 -11.71 -33.11 -37.21
-39.21 -37.31 -26.21 -13.41 3.59 15.99 20.99 13.69 7.69 -11.81 -32.71 -38.51
-43.01 -36.21 -26.71 -10.91 6.39 16.19 22.09 17.29 9.49 -8.51 -29.91 -37.51
-45.41 -38.21 -25.81 -9.21 5.89 14.29 19.09 13.49 5.59 -9.21 -36.21 -39.01
-40.71 -37.31 -26.01 -11.61 6.39 16.79 20.89 15.49 7.49 -11.11 -32.41 -39.81
-42.21 -41.81 -23.81 -9.51 5.19 15.49 19.89 15.39 6.79 -12.31 -33.51 -41.81
-39.91 -37.21 -23.11 -9.41 6.49 17.19 18.69 14.29 6.29 -9.51 -30.01 -33.31
-41.44 -41.04 -27.14 -8.34 1.96 15.46 17.56 14.66 7.36 -12.34 -33.04 -40.74
-38.74 -39.74 -28.94 -9.84 6.46 17.16 18.96 14.06 5.86 -13.84 -33.94 -40.24
-44.64 -37.84 -25.64 -10.64 2.26 15.66 17.76 15.46 5.76 -10.24 -27.34 -40.64
-44.84 -42.54 -28.54 -13.94 4.26 14.96 17.86 13.66 4.46 -14.74 -35.74 -37.44
-40.54 -38.54 -28.34 -13.24 4.56 15.26 20.26 16.96 7.66 -10.04 -35.44 -36.64
-36.04 -35.24 -26.04 -8.74 5.76 16.76 18.86 15.46 6.36 -9.64 -30.04 -38.04
-45.74 -35.64 -29.04 -9.24 1.76 14.46 20.66 15.16 7.56 -12.54 -37.14 -40.74
-41.44 -37.04 -24.54 -12.94 5.86 16.26 19.26 17.36 8.26 -11.54 -28.44 -38.14
-37.74 -40.84 -27.74 -11.74 5.36 14.96 19.36 13.06 5.36 -11.34 -30.54 -39.14
-43.04 -34.44 -27.54 -11.24 4.16 16.26 18.36 13.86 6.96 -11.74 -28.64 -36.14
-43.44 -35.64 -25.94 -10.54 4.06 17.06 18.96 14.46 5.96 -8.94 -31.74 -39.24
-42.24 -39.14 -27.74 -11.84 2.66 15.26 20.16 14.86 5.16 -12.84 -35.44 -42.44
-42.24 -36.74 -25.84 -9.64 5.86 17.26 21.26 13.76 8.66 -8.74 -29.94 -34.94
-41.94 -33.34 -21.74 -12.04 4.66 15.06 18.16 14.16 6.96 -12.34 -33.04 -35.54
-42.34 -37.54 -18.84 -8.04 9.16 17.96 17.46 16.26 6.06 -9.64 -34.24 -39.74
-41.54 -41.14 -27.24 -8.44 1.86 15.36 17.46 14.56 7.26 -12.44 -33.14 -40.84
-38.84 -39.84 -29.04 -9.94 6.36 17.06 18.86 13.96 5.76 -13.94 -34.04 -40.34
-44.74 -37.94 -25.74 -10.74 2.16 15.56 17.66 15.36 5.66 -10.34 -27.44 -40.74
-44.94 -42.64 -28.64 -14.04 4.16 14.86 17.76 13.56 4.36 -14.84 -35.84 -37.54
-40.64 -38.64 -28.44 -13.34 4.46 15.16 20.16 16.86 7.56 -10.14 -35.54 -36.74
-36.14 -35.34 -26.14 -8.84 5.66 16.66 18.76 15.36 6.26 -9.74 -30.14 -38.14
-45.84 -35.74 -29.14 -9.34 1.66 14.36 20.56 15.06 7.46 -12.64 -37.24 -40.84
