"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
5.25 9.45 6.45 15.95 8.25 26.25 56.15 31.55 23.45 19.65 7.45 9.65
10.25 5.35 7.35 4.95 8.45 23.65 42.85 50.45 17.25 12.15 7.35 7.75
5.95 3.55 4.35 5.25 10.35 14.75 32.35 22.35 12.15 8.55 5.75 10.15
6.55 5.75 4.45 8.65 3.55 13.35 24.75 28.35 21.75 16.65 5.95 14.15
3.85 7.55 5.45 11.95 8.15 14.65 19.75 22.35 22.15 9.75 7.15 7.35
4.11 3.21 3.41 4.01 8.31 19.51 48.51 35.31 14.01 7.91 10.61 3.71
7.01 3.21 2.61 5.91 10.41 17.31 49.41 23.61 36.31 15.11 5.81 13.61
8.41 8.11 6.91 4.51 4.01 28.41 41.81 24.81 27.31 14.31 9.71 8.21
10.81 13.81 6.81 4.31 12.91 20.91 26.91 64.51 28.41 12.21 6.91 7.71
2.01 3.31 7.81 7.31 5.31 22.01 15.31 16.51 10.11 19.11 5.41 3.21
9.61 7.61 8.51 3.01 9.01 29.91 38.81 37.91 27.41 19.21 23.71 14.71
8.41 6.21 9.61 4.91 9.71 28.81 12.61 13.91 17.71 14.41 16.41 5.81
9.81 12.01 7.81 4.31 7.11 14.41 46.31 46.21 10.81 18.21 3.71 12.91
15.91 6.21 2.11 9.11 1.31 27.51 24.51 26.81 37.41 9.91 1.41 8.61
4.51 2.11 10.31 4.71 5.71 38.91 33.01 49.11 19.21 12.51 9.91 15.21
5.81 3.41 13.61 0.91 12.11 36.11 20.31 14.91 26.21 12.31 5.11 9.81
8.81 5.81 3.01 7.91 7.51 13.31 16.51 25.21 22.71 23.51 6.41 10.11
25.21 13.31 0.01 4.91 10.61 35.11 30.31 23.01 36.11 8.01 5.41 10.41
4.21 5.21 1.71 2.81 9.21 19.11 46.41 38.71 14.71 18.91 5.71 4.81
7.21 6.01 2.81 4.81 2.11 15.81 52.81 24.31 10.21 16.01 20.91 11.81
7.05 3.95 3.75 5.85 10.35 11.45 15.45 33.75 13.95 18.65 4.85 3.15
14.25 4.55 6.55 7.85 8.65 23.45 35.65 32.85 21.15 14.55 8.75 10.55
8.55 7.55 6.85 5.85 8.85 23.85 37.85 33.75 21.55 14.75 8.65 10.65
8.65 7.75 7.15 5.85 8.85 23.35 37.05 34.45 21.35 14.75 8.75 10.75
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.55 7.85 6.85 5.65 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 37.15 7.05 3.15 7.95
5.75 3.55 7.45 2.35 5.95 27.05 15.65 38.75 27.75 9.25 8.05 3.75
6.75 4.65 3.35 3.15 6.05 29.65 79.25 38.35 12.45 8.05 7.25 5.75
5.65 6.65 3.85 1.05 3.85 28.65 40.45 21.85 22.05 20.15 3.95 6.55
5.05 3.35 5.55 5.75 8.65 23.75 36.55 33.15 13.75 8.65 3.85 7.85
9.15 5.95 6.25 3.05 6.15 35.65 21.15 31.65 26.55 13.35 4.15 5.95
4.13 3.23 3.43 4.03 8.33 19.53 48.53 35.33 14.03 7.93 10.63 3.73
7.03 3.23 2.63 5.93 10.43 17.33 49.43 23.63 36.33 15.13 5.83 13.63
8.43 8.13 6.93 4.53 4.03 28.43 41.83 24.83 27.33 14.33 9.73 8.23
10.83 13.83 6.83 4.33 12.93 20.93 26.93 64.53 28.43 12.23 6.93 7.73
2.03 3.33 7.83 7.33 5.33 22.03 15.33 16.53 10.13 19.13 5.43 3.23
9.63 7.63 8.53 3.03 9.03 29.93 38.83 37.93 27.43 19.23 23.73 14.73
8.43 6.23 9.63 4.93 9.73 28.83 12.63 13.93 17.73 14.43 16.43 5.83
9.83 12.03 7.83 4.33 7.13 14.43 46.33 46.23 10.83 18.23 3.73 12.93
15.93 6.23 2.13 9.13 1.33 27.53 24.53 26.83 37.43 9.93 1.43 8.63
4.53 2.13 10.33 4.73 5.73 38.93 33.03 49.13 19.23 12.53 9.93 15.23
5.83 3.43 13.63 0.93 12.13 36.13 20.33 14.93 26.23 12.33 5.13 9.83
8.83 5.83 3.03 7.93 7.53 13.33 16.53 25.23 22.73 23.53 6.43 10.13
25.23 13.33 0.03 4.93 10.63 35.13 30.33 23.03 36.13 8.03 5.43 10.43
4.23 5.23 1.73 2.83 9.23 19.13 46.43 38.73 14.73 18.93 5.73 4.83
7.23 6.03 2.83 4.83 2.13 15.83 52.83 24.33 10.23 16.03 20.93 11.83
5.45 3.55 4.45 1.85 4.65 19.55 33.65 56.25 26.55 5.75 5.85 3.85
2.75 8.85 4.75 5.15 11.25 35.65 39.75 24.65 15.65 14.35 1.55 8.35
5.65 4.75 5.05 5.75 10.45 17.25 41.75 26.65 24.85 13.25 6.15 9.05
5.55 6.25 5.45 4.45 5.75 25.15 37.35 37.25 9.75 15.55 5.65 10.95
6.25 4.55 2.85 4.15 5.05 22.55 41.35 24.35 19.35 14.85 3.85 6.35
5.95 6.05 4.35 4.55 3.05 32.95 32.05 24.35 24.25 14.45 6.35 7.35
4.95 6.45 3.75 2.45 1.85 23.25 51.65 50.45 13.85 7.25 4.75 9.85
3.75 3.95 9.35 6.35 5.75 53.95 15.55 47.65 23.45 12.35 4.25 10.85
9.35 3.85 8.85 7.45 5.65 30.05 86.95 28.55 31.15 7.75 6.65 12.55
14.45 4.55 2.25 4.45 8.65 32.95 35.65 65.65 24.25 14.65 7.95 9.85
4.75 13.95 4.45 1.65 2.55 11.65 43.75 16.35 11.15 9.55 7.05 8.15
19.25 5.15 1.55 2.65 5.35 26.25 27.05 31.75 18.55 15.95 8.25 16.45
4.95 4.55 2.15 2.55 3.75 34.75 32.95 43.65 28.85 11.75 1.45 5.75
11.45 6.85 12.65 11.75 6.55 15.25 30.15 28.65 27.55 6.65 6.05 4.95
4.25 4.65 5.75 3.85 1.45 35.25 65.95 32.65 20.75 6.45 7.55 3.75
3.24 6.24 3.24 6.14 3.54 13.44 47.74 36.24 15.54 4.24 2.44 2.74
3.24 5.54 2.24 15.24 3.04 28.24 49.64 35.14 30.44 15.34 4.54 6.84
3.64 9.24 9.34 3.24 3.34 9.94 54.84 30.54 12.14 9.44 6.24 17.04
7.94 6.04 3.74 4.24 20.24 15.74 27.94 19.74 12.74 9.34 3.94 15.34
9.44 9.74 5.84 1.64 4.44 35.84 28.04 27.54 16.64 20.64 2.14 7.14
9.94 4.24 8.34 6.14 12.14 18.84 33.44 21.84 18.34 7.74 9.64 18.14
4.14 4.14 2.04 6.04 5.04 14.04 25.34 25.14 22.34 9.64 4.94 9.34
17.44 5.44 6.64 1.14 5.34 20.04 30.44 36.04 17.24 18.44 7.24 11.24
7.34 1.84 4.44 3.64 10.24 28.94 29.04 62.74 20.14 11.14 9.34 19.24
4.94 16.44 11.54 3.34 12.34 5.54 40.64 54.44 20.14 18.04 14.14 8.34
4.14 7.84 4.24 3.54 10.44 25.34 20.74 26.94 31.14 20.84 7.74 9.44
7.44 3.14 7.64 2.44 7.44 25.14 34.94 34.44 7.34 7.64 13.14 9.14
8.34 12.64 4.54 6.64 2.54 10.94 57.34 45.44 23.94 19.44 5.14 4.44
6.74 11.84 8.84 8.74 8.34 41.94 31.74 39.04 26.24 13.14 9.44 6.34
9.24 7.84 12.84 7.34 18.34 23.14 56.74 37.74 13.94 18.74 6.94 11.64
3.25 6.25 3.25 6.15 3.55 13.45 47.75 36.25 15.55 4.25 2.45 2.75
3.25 5.55 2.25 15.25 3.05 28.25 49.65 35.15 30.45 15.35 4.55 6.85
3.65 9.25 9.35 3.25 3.35 9.95 54.85 30.55 12.15 9.45 6.25 17.05
7.95 6.05 3.75 4.25 20.25 15.75 27.95 19.75 12.75 9.35 3.95 15.35
9.45 9.75 5.85 1.65 4.45 35.85 28.05 27.55 16.65 20.65 2.15 7.15
9.95 4.25 8.35 6.15 12.15 18.85 33.45 21.85 18.35 7.75 9.65 18.15
4.15 4.15 2.05 6.05 5.05 14.05 25.35 25.15 22.35 9.65 4.95 9.35
17.45 5.45 6.65 1.15 5.35 20.05 30.45 36.05 17.25 18.45 7.25 11.25
7.35 1.85 4.45 3.65 10.25 28.95 29.05 62.75 20.15 11.15 9.35 19.25
4.95 16.45 11.55 3.35 12.35 5.55 40.65 54.45 20.15 18.05 14.15 8.35
4.15 7.85 4.25 3.55 10.45 25.35 20.75 26.95 31.15 20.85 7.75 9.45
7.45 3.15 7.65 2.45 7.45 25.15 34.95 34.45 7.35 7.65 13.15 9.15
8.35 12.65 4.55 6.65 2.55 10.95 57.35 45.45 23.95 19.45 5.15 4.45
6.75 11.85 8.85 8.75 8.35 41.95 31.75 39.05 26.25 13.15 9.45 6.35
9.25 7.85 12.85 7.35 18.35 23.15 56.75 37.75 13.95 18.75 6.95 11.65
3.27 6.27 3.27 6.17 3.57 13.47 47.77 36.27 15.57 4.27 2.47 2.77
3.27 5.57 2.27 15.27 3.07 28.27 49.67 35.17 30.47 15.37 4.57 6.87
