"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
5.25 9.45 6.45 15.95 8.25 26.25 56.15 31.55 23.45 19.65 7.45 9.65
10.25 5.35 7.35 4.95 8.45 23.65 42.85 50.45 17.25 12.15 7.35 7.75
5.95 3.55 4.35 5.25 10.35 14.75 32.35 22.35 12.15 8.55 5.75 10.15
6.55 5.75 4.45 8.65 3.55 13.35 24.75 28.35 21.75 16.65 5.95 14.15
3.85 7.55 5.45 11.95 8.15 14.65 19.75 22.35 22.15 9.75 7.15 7.35
5.26 7.26 4.56 5.26 15.76 42.06 32.86 22.56 30.46 10.56 8.96 10.76
4.96 9.26 6.36 4.06 4.06 11.46 35.46 29.26 22.56 9.46 10.26 7.56
10.36 9.46 8.76 7.46 3.66 23.06 15.06 40.06 12.26 12.06 9.06 12.26
10.36 9.86 8.66 7.46 7.26 36.86 20.16 21.66 15.86 6.96 6.06 6.66
4.26 6.46 5.36 4.06 6.66 33.66 19.26 14.06 16.16 8.06 4.06 12.46
10.56 9.56 8.56 7.56 10.56 25.56 38.56 35.36 23.66 16.66 10.56 12.36
10.66 9.56 8.46 7.46 10.66 25.76 38.36 35.36 24.06 16.36 10.76 12.46
10.36 9.66 8.36 7.46 10.46 25.36 37.46 34.66 23.76 16.26 10.36 12.46
10.76 9.46 8.36 7.76 10.36 25.66 37.76 34.96 25.16 14.66 7.26 4.86
6.96 9.36 4.66 4.86 9.36 42.06 26.66 25.76 46.16 13.86 9.36 4.86
5.26 9.46 6.46 15.96 8.26 26.26 56.16 31.56 23.46 19.66 7.46 9.66
10.26 5.36 7.36 4.96 8.46 23.66 42.86 50.46 17.26 12.16 7.36 7.76
5.96 3.56 4.36 5.26 10.36 14.76 32.36 22.36 12.16 8.56 5.76 10.16
6.56 5.76 4.46 8.66 3.56 13.36 24.76 28.36 21.76 16.66 5.96 14.16
3.86 7.56 5.46 11.96 8.16 14.66 19.76 22.36 22.16 9.76 7.16 7.36
7.05 3.95 3.75 5.85 10.35 11.45 15.45 33.75 13.95 18.65 4.85 3.15
14.25 4.55 6.55 7.85 8.65 23.45 35.65 32.85 21.15 14.55 8.75 10.55
8.55 7.55 6.85 5.85 8.85 23.85 37.85 33.75 21.55 14.75 8.65 10.65
8.65 7.75 7.15 5.85 8.85 23.35 37.05 34.45 21.35 14.75 8.75 10.75
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.55 7.85 6.85 5.65 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 21.85 14.85 8.85 10.85
8.85 7.85 6.85 5.85 8.85 23.85 36.85 33.85 37.15 7.05 3.15 7.95
5.75 3.55 7.45 2.35 5.95 27.05 15.65 38.75 27.75 9.25 8.05 3.75
6.75 4.65 3.35 3.15 6.05 29.65 79.25 38.35 12.45 8.05 7.25 5.75
5.65 6.65 3.85 1.05 3.85 28.65 40.45 21.85 22.05 20.15 3.95 6.55
5.05 3.35 5.55 5.75 8.65 23.75 36.55 33.15 13.75 8.65 3.85 7.85
9.15 5.95 6.25 3.05 6.15 35.65 21.15 31.65 26.55 13.35 4.15 5.95
5.37 3.47 4.37 1.77 4.57 19.47 33.57 56.17 26.47 5.67 5.77 3.77
2.67 8.77 4.67 5.07 11.17 35.57 39.67 24.57 15.57 14.27 1.47 8.27
5.57 4.67 4.97 5.67 10.37 17.17 41.67 26.57 24.77 13.17 6.07 8.97
5.47 6.17 5.37 4.37 5.67 25.07 37.27 37.17 9.67 15.47 5.57 10.87
6.17 4.47 2.77 4.07 4.97 22.47 41.27 24.27 19.27 14.77 3.77 6.27
5.87 5.97 4.27 4.47 2.97 32.87 31.97 24.27 24.17 14.37 6.27 7.27
4.87 6.37 3.67 2.37 1.77 23.17 51.57 50.37 13.77 7.17 4.67 9.77
3.67 3.87 9.27 6.27 5.67 53.87 15.47 47.57 23.37 12.27 4.17 10.77
9.27 3.77 8.77 7.37 5.57 29.97 86.87 28.47 31.07 7.67 6.57 12.47
14.37 4.47 2.17 4.37 8.57 32.87 35.57 65.57 24.17 14.57 7.87 9.77
4.67 13.87 4.37 1.57 2.47 11.57 43.67 16.27 11.07 9.47 6.97 8.07
19.17 5.07 1.47 2.57 5.27 26.17 26.97 31.67 18.47 15.87 8.17 16.37
4.87 4.47 2.07 2.47 3.67 34.67 32.87 43.57 28.77 11.67 1.37 5.67
11.37 6.77 12.57 11.67 6.47 15.17 30.07 28.57 27.47 6.57 5.97 4.87
4.17 4.57 5.67 3.77 1.37 35.17 65.87 32.57 20.67 6.37 7.47 3.67
5.45 3.55 4.45 1.85 4.65 19.55 33.65 56.25 26.55 5.75 5.85 3.85
2.75 8.85 4.75 5.15 11.25 35.65 39.75 24.65 15.65 14.35 1.55 8.35
5.65 4.75 5.05 5.75 10.45 17.25 41.75 26.65 24.85 13.25 6.15 9.05
5.55 6.25 5.45 4.45 5.75 25.15 37.35 37.25 9.75 15.55 5.65 10.95
6.25 4.55 2.85 4.15 5.05 22.55 41.35 24.35 19.35 14.85 3.85 6.35
5.95 6.05 4.35 4.55 3.05 32.95 32.05 24.35 24.25 14.45 6.35 7.35
4.95 6.45 3.75 2.45 1.85 23.25 51.65 50.45 13.85 7.25 4.75 9.85
3.75 3.95 9.35 6.35 5.75 53.95 15.55 47.65 23.45 12.35 4.25 10.85
9.35 3.85 8.85 7.45 5.65 30.05 86.95 28.55 31.15 7.75 6.65 12.55
14.45 4.55 2.25 4.45 8.65 32.95 35.65 65.65 24.25 14.65 7.95 9.85
4.75 13.95 4.45 1.65 2.55 11.65 43.75 16.35 11.15 9.55 7.05 8.15
19.25 5.15 1.55 2.65 5.35 26.25 27.05 31.75 18.55 15.95 8.25 16.45
4.95 4.55 2.15 2.55 3.75 34.75 32.95 43.65 28.85 11.75 1.45 5.75
11.45 6.85 12.65 11.75 6.55 15.25 30.15 28.65 27.55 6.65 6.05 4.95
4.25 4.65 5.75 3.85 1.45 35.25 65.95 32.65 20.75 6.45 7.55 3.75
4.01 7.41 5.01 4.11 18.61 21.41 34.41 34.81 16.31 13.61 7.91 10.91
9.61 8.71 7.71 6.61 9.61 24.31 37.31 26.81 10.01 8.31 3.61 8.11
9.71 3.61 3.21 2.11 8.21 15.71 46.01 17.51 29.81 12.01 6.21 6.51
4.91 9.81 3.71 1.91 8.71 16.81 17.01 15.51 13.41 9.41 3.61 4.91
5.21 7.81 3.91 3.71 3.91 28.41 42.11 35.21 23.61 7.31 3.51 8.61
2.21 5.11 6.81 4.51 7.11 32.71 22.91 39.41 19.01 12.71 3.41 7.31
8.01 13.21 2.61 3.91 4.51 56.91 20.21 49.21 25.31 4.51 3.11 7.11
14.81 6.71 11.61 5.71 2.71 21.11 35.71 22.51 22.41 14.41 8.51 10.91
6.01 8.21 5.21 8.51 8.41 26.61 27.21 69.91 28.01 9.11 7.21 8.71
4.51 4.71 9.61 4.01 7.91 30.51 44.41 58.71 15.51 14.21 5.71 5.11
5.11 5.51 4.61 4.01 5.41 28.11 34.91 60.41 36.61 9.11 4.41 5.81
6.41 3.21 6.31 3.31 5.11 19.81 32.71 36.91 24.71 6.61 6.11 5.21
6.51 3.91 4.21 5.91 24.61 11.51 47.01 46.61 19.01 18.01 6.51 3.01
5.41 6.91 4.91 5.11 15.01 39.21 28.01 43.21 28.51 11.71 5.91 16.81
6.51 5.01 4.81 3.01 6.21 12.21 47.91 48.51 17.01 19.81 6.61 10.71
4.2 3.3 3.5 4.1 8.4 19.6 48.6 35.4 14.1 8 10.7 3.8
7.1 3.3 2.7 6 10.5 17.4 49.5 23.7 36.4 15.2 5.9 13.7
8.5 8.2 7 4.6 4.1 28.5 41.9 24.9 27.4 14.4 9.8 8.3
10.9 13.9 6.9 4.4 13 21 27 64.6 28.5 12.3 7 7.8
2.1 3.4 7.9 7.4 5.4 22.1 15.4 16.6 10.2 19.2 5.5 3.3
9.7 7.7 8.6 3.1 9.1 30 38.9 38 27.5 19.3 23.8 14.8
8.5 6.3 9.7 5 9.8 28.9 12.7 14 17.8 14.5 16.5 5.9
9.9 12.1 7.9 4.4 7.2 14.5 46.4 46.3 10.9 18.3 3.8 13
16 6.3 2.2 9.2 1.4 27.6 24.6 26.9 37.5 10 1.5 8.7
4.6 2.2 10.4 4.8 5.8 39 33.1 49.2 19.3 12.6 10 15.3
5.9 3.5 13.7 1 12.2 36.2 20.4 15 26.3 12.4 5.2 9.9
8.9 5.9 3.1 8 7.6 13.4 16.6 25.3 22.8 23.6 6.5 10.2
25.3 13.4 0.1 5 10.7 35.2 30.4 23.1 36.2 8.1 5.5 10.5
4.3 5.3 1.8 2.9 9.3 19.2 46.5 38.8 14.8 19 5.8 4.9
7.3 6.1 2.9 4.9 2.2 15.9 52.9 24.4 10.3 16.1 21 11.9
5.46 3.56 4.46 1.86 4.66 19.56 33.66 56.26 26.56 5.76 5.86 3.86
2.76 8.86 4.76 5.16 11.26 35.66 39.76 24.66 15.66 14.36 1.56 8.36
5.66 4.76 5.06 5.76 10.46 17.26 41.76 26.66 24.86 13.26 6.16 9.06
