"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
3.2 6.2 3.2 6.1 3.5 13.4 47.7 36.2 15.5 4.2 2.4 2.7
3.2 5.5 2.2 15.2 3 28.2 49.6 35.1 30.4 15.3 4.5 6.8
3.6 9.2 9.3 3.2 3.3 9.9 54.8 30.5 12.1 9.4 6.2 17
7.9 6 3.7 4.2 20.2 15.7 27.9 19.7 12.7 9.3 3.9 15.3
9.4 9.7 5.8 1.6 4.4 35.8 28 27.5 16.6 20.6 2.1 7.1
9.9 4.2 8.3 6.1 12.1 18.8 33.4 21.8 18.3 7.7 9.6 18.1
4.1 4.1 2 6 5 14 25.3 25.1 22.3 9.6 4.9 9.3
17.4 5.4 6.6 1.1 5.3 20 30.4 36 17.2 18.4 7.2 11.2
7.3 1.8 4.4 3.6 10.2 28.9 29 62.7 20.1 11.1 9.3 19.2
4.9 16.4 11.5 3.3 12.3 5.5 40.6 54.4 20.1 18 14.1 8.3
4.1 7.8 4.2 3.5 10.4 25.3 20.7 26.9 31.1 20.8 7.7 9.4
7.4 3.1 7.6 2.4 7.4 25.1 34.9 34.4 7.3 7.6 13.1 9.1
8.3 12.6 4.5 6.6 2.5 10.9 57.3 45.4 23.9 19.4 5.1 4.4
6.7 11.8 8.8 8.7 8.3 41.9 31.7 39 26.2 13.1 9.4 6.3
9.2 7.8 12.8 7.3 18.3 23.1 56.7 37.7 13.9 18.7 6.9 11.6
3.93 7.33 4.93 4.03 18.53 21.33 34.33 34.73 16.23 13.53 7.83 10.83
9.53 8.63 7.63 6.53 9.53 24.23 37.23 26.73 9.93 8.23 3.53 8.03
9.63 3.53 3.13 2.03 8.13 15.63 45.93 17.43 29.73 11.93 6.13 6.43
4.83 9.73 3.63 1.83 8.63 16.73 16.93 15.43 13.33 9.33 3.53 4.83
5.13 7.73 3.83 3.63 3.83 28.33 42.03 35.13 23.53 7.23 3.43 8.53
2.13 5.03 6.73 4.43 7.03 32.63 22.83 39.33 18.93 12.63 3.33 7.23
