"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-47.61 -33.41 -24.61 -8.81 2.09 15.59 20.99 17.19 4.39 -9.51 -26.81 -38.81
-43.21 -41.31 -31.31 -10.11 4.99 16.59 17.69 14.79 5.39 -13.11 -31.91 -43.31
-44.01 -42.71 -25.21 -13.61 4.19 15.59 19.69 16.89 7.29 -11.11 -34.31 -38.21
-45.11 -33.81 -30.01 -12.51 3.09 18.59 22.99 14.99 8.99 -10.31 -35.11 -36.61
-47.41 -41.81 -23.81 -10.71 6.99 14.69 18.29 11.89 5.69 -13.81 -34.91 -44.71
-45.1 -37.8 -28.4 -13.9 3.2 16.9 18.6 13 7 -10.9 -31 -39
-40.7 -37.6 -26.2 -10.3 3.9 13.5 17.6 14 4.2 -11 -33.3 -41.1
-40.5 -36.8 -26.7 -13.2 1.4 14.2 18.3 14.1 5.6 -12.6 -31 -38.7
-43.5 -34.4 -28.3 -12.9 2.6 17.1 18.5 14.6 4.7 -12.7 -33.6 -40.7
-43.5 -40.5 -27.7 -11.7 2.3 15.2 20.7 14.5 6.5 -11.2 -31.3 -42.6
-45.8 -43.1 -30.6 -13.7 5.3 15.9 17.4 15.5 6 -12.4 -30.8 -36.3
-44.6 -41.3 -27.2 -11.7 4.8 16.9 18.9 13.9 6.9 -6.9 -29 -38.3
-40.7 -34 -22.6 -8.2 4.2 17.3 19.4 15.1 7.3 -10.3 -35.5 -41.4
-40.7 -42.1 -29 -13 4.7 17.6 20.1 16.3 5.4 -12 -33.2 -37.3
-39.3 -37.5 -26.5 -13.8 3.3 15.7 20.7 13.5 7.4 -12.1 -32.8 -38.5
-43 -36.4 -26.9 -11.4 5.9 15.9 21.8 17 9.3 -8.9 -30.1 -37.6
-45.3 -38.4 -26.1 -9.8 5.6 14.1 18.9 13.3 5.4 -9.6 -36.1 -39
-40.8 -37.7 -26.3 -12 5.9 16.4 20.6 15.1 7.2 -11.4 -32.5 -39.8
-42.2 -41.9 -24.2 -10.1 4.7 15.2 19.8 15.1 6.6 -12.4 -33.5 -41.6
-40 -37.4 -23.6 -9.9 6 16.8 18.5 14 6.2 -9.9 -30.2 -33.5
-41.44 -41.14 -27.34 -8.94 1.66 15.26 17.46 14.36 7.16 -12.64 -33.14 -40.64
-38.84 -39.84 -29.24 -10.44 5.96 16.86 18.86 13.86 5.66 -13.94 -34.04 -40.24
-44.44 -38.14 -25.94 -11.24 1.96 15.36 17.56 15.16 5.56 -10.54 -27.64 -40.54
-44.74 -42.54 -28.74 -14.44 3.86 14.66 17.76 13.36 4.36 -14.94 -35.84 -37.54
-40.64 -38.74 -28.54 -13.64 4.16 14.96 19.96 16.56 7.46 -10.44 -35.44 -36.64
-36.24 -35.54 -26.24 -9.34 5.36 16.36 18.66 15.16 6.26 -9.84 -30.14 -38.04
-45.54 -35.94 -29.24 -9.84 1.46 14.16 20.36 14.86 7.36 -12.74 -36.94 -40.64
-41.44 -37.24 -24.94 -13.44 5.36 15.86 19.06 16.96 7.96 -11.84 -28.74 -38.14
-37.84 -40.94 -28.04 -12.24 4.86 14.76 19.16 12.76 5.16 -11.64 -30.64 -39.14
-42.94 -34.74 -27.84 -11.74 3.76 15.96 18.16 13.56 6.76 -12.04 -28.84 -36.24
-43.44 -35.94 -26.24 -11.04 3.66 16.66 18.76 14.16 5.76 -9.34 -31.84 -39.34
-42.14 -39.34 -28.04 -12.24 2.36 15.06 19.86 14.56 5.06 -13.14 -35.44 -42.24
-42.24 -37.04 -26.24 -10.24 5.36 16.86 21.06 13.46 8.36 -9.14 -30.14 -35.04
-41.94 -33.74 -22.24 -12.44 4.26 14.86 18.06 13.96 6.86 -12.54 -33.14 -35.64
-42.24 -37.84 -19.24 -8.64 8.66 17.56 17.36 15.96 5.96 -10.04 -34.34 -39.74
-41.53 -41.23 -27.43 -9.03 1.57 15.17 17.37 14.27 7.07 -12.73 -33.23 -40.73
-38.93 -39.93 -29.33 -10.53 5.87 16.77 18.77 13.77 5.57 -14.03 -34.13 -40.33
-44.53 -38.23 -26.03 -11.33 1.87 15.27 17.47 15.07 5.47 -10.63 -27.73 -40.63
-44.83 -42.63 -28.83 -14.53 3.77 14.57 17.67 13.27 4.27 -15.03 -35.93 -37.63
-40.73 -38.83 -28.63 -13.73 4.07 14.87 19.87 16.47 7.37 -10.53 -35.53 -36.73
-36.33 -35.63 -26.33 -9.43 5.27 16.27 18.57 15.07 6.17 -9.93 -30.23 -38.13
-45.63 -36.03 -29.33 -9.93 1.37 14.07 20.27 14.77 7.27 -12.83 -37.03 -40.73
-41.53 -37.33 -25.03 -13.53 5.27 15.77 18.97 16.87 7.87 -11.93 -28.83 -38.23
-37.93 -41.03 -28.13 -12.33 4.77 14.67 19.07 12.67 5.07 -11.73 -30.73 -39.23
-43.03 -34.83 -27.93 -11.83 3.67 15.87 18.07 13.47 6.67 -12.13 -28.93 -36.33
