"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
7.53 11.73 8.73 20.53 11.23 31.53 59.83 34.73 24.73 20.73 9.73 11.33
13.03 8.93 9.13 12.33 13.33 34.03 55.63 47.33 26.63 16.03 11.33 9.43
8.13 5.63 8.13 7.53 11.63 23.63 35.53 38.23 15.53 11.53 9.33 12.33
7.73 8.13 8.73 9.83 8.33 21.13 27.33 27.03 18.23 16.73 8.93 13.73
5.93 12.33 6.93 12.53 10.43 33.63 21.23 34.03 31.43 13.23 10.03 10.13
6.25 6.65 6.45 8.05 12.65 24.95 57.95 36.35 21.15 11.85 12.05 6.05
10.55 6.25 5.65 9.35 13.65 22.65 44.65 22.55 32.65 15.95 8.15 16.25
12.25 10.65 9.45 9.25 7.45 31.25 41.15 30.45 29.75 16.55 11.85 12.05
11.75 12.95 7.95 6.75 16.65 29.85 30.75 55.75 27.15 13.05 8.55 12.35
8.25 6.75 9.15 10.45 8.15 27.85 23.35 19.45 18.85 17.35 11.25 6.85
12.45 11.95 11.95 6.35 12.45 35.95 44.85 39.65 29.75 21.55 26.45 17.15
10.45 8.95 12.55 8.15 14.35 33.85 13.65 18.35 23.45 15.95 17.95 8.35
11.65 13.35 10.15 8.65 11.35 18.65 47.55 47.55 13.25 19.45 6.75 15.05
19.75 9.35 4.65 13.85 4.85 32.55 30.85 29.35 36.65 11.25 4.75 12.35
7.95 5.45 13.55 8.25 10.85 47.45 40.95 49.25 18.65 14.85 12.85 19.55
8.25 6.75 14.45 4.15 15.55 43.65 27.45 19.75 23.55 14.25 7.75 11.75
10.95 7.85 6.35 12.05 10.35 17.15 24.45 29.35 22.05 24.05 9.45 13.55
24.85 14.15 2.85 8.45 12.75 42.55 29.85 28.85 37.75 10.65 8.85 13.35
6.95 8.65 4.05 6.75 13.25 26.45 48.85 37.85 16.05 17.85 9.65 8.15
10.35 8.45 6.35 8.35 5.55 20.85 54.25 25.55 14.35 16.85 19.15 12.95
6.84 9.14 5.94 9.04 5.74 23.24 52.84 42.94 18.74 8.04 5.54 5.54
7.04 8.54 4.94 18.94 5.64 30.34 55.44 42.24 32.14 19.84 7.84 8.54
6.64 10.84 12.44 6.14 7.04 21.84 57.54 30.84 13.44 11.64 9.54 18.54
10.34 8.34 6.44 7.24 24.34 19.34 29.64 23.04 14.74 12.34 6.74 16.34
11.34 11.34 8.24 4.14 9.14 37.74 31.04 29.64 21.24 18.24 5.54 9.14
12.64 6.34 10.94 10.74 15.94 21.74 31.24 26.54 20.04 9.74 11.74 20.04
6.04 6.24 4.44 10.14 8.84 19.64 35.84 30.94 23.84 11.64 7.04 13.04
17.14 7.34 8.34 3.84 8.04 24.44 34.34 42.34 22.94 17.84 10.44 12.94
10.04 3.94 6.54 6.34 14.24 36.04 34.04 63.34 22.54 12.54 11.74 20.34
7.24 18.44 12.84 6.54 15.34 9.14 46.94 61.44 19.04 17.24 16.84 11.14
7.04 9.24 6.04 6.74 13.24 32.44 24.44 29.94 30.34 20.24 10.34 11.14
9.04 5.94 9.14 5.14 10.84 29.64 35.64 37.34 8.24 9.34 12.94 11.24
10.94 13.94 7.94 10.34 6.24 17.74 55.04 54.74 22.74 20.04 7.84 7.94
8.84 16.84 10.34 11.54 12.54 49.14 34.24 47.84 25.54 15.14 11.74 8.14
10.54 9.44 14.54 10.44 20.14 23.94 62.44 38.14 15.24 20.74 9.34 13.04
6.85 9.15 5.95 9.05 5.75 23.25 52.85 42.95 18.75 8.05 5.55 5.55
7.05 8.55 4.95 18.95 5.65 30.35 55.45 42.25 32.15 19.85 7.85 8.55
6.65 10.85 12.45 6.15 7.05 21.85 57.55 30.85 13.45 11.65 9.55 18.55
