"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
6.99 11.19 8.19 19.99 10.69 30.99 59.29 34.19 24.19 20.19 9.19 10.79
12.49 8.39 8.59 11.79 12.79 33.49 55.09 46.79 26.09 15.49 10.79 8.89
7.59 5.09 7.59 6.99 11.09 23.09 34.99 37.69 14.99 10.99 8.79 11.79
7.19 7.59 8.19 9.29 7.79 20.59 26.79 26.49 17.69 16.19 8.39 13.19
5.39 11.79 6.39 11.99 9.89 33.09 20.69 33.49 30.89 12.69 9.49 9.59
5.71 6.11 5.91 7.51 12.11 24.41 57.41 35.81 20.61 11.31 11.51 5.51
10.01 5.71 5.11 8.81 13.11 22.11 44.11 22.01 32.11 15.41 7.61 15.71
11.71 10.11 8.91 8.71 6.91 30.71 40.61 29.91 29.21 16.01 11.31 11.51
11.21 12.41 7.41 6.21 16.11 29.31 30.21 55.21 26.61 12.51 8.01 11.81
7.71 6.21 8.61 9.91 7.61 27.31 22.81 18.91 18.31 16.81 10.71 6.31
11.91 11.41 11.41 5.81 11.91 35.41 44.31 39.11 29.21 21.01 25.91 16.61
9.91 8.41 12.01 7.61 13.81 33.31 13.11 17.81 22.91 15.41 17.41 7.81
11.11 12.81 9.61 8.11 10.81 18.11 47.01 47.01 12.71 18.91 6.21 14.51
19.21 8.81 4.11 13.31 4.31 32.01 30.31 28.81 36.11 10.71 4.21 11.81
7.41 4.91 13.01 7.71 10.31 46.91 40.41 48.71 18.11 14.31 12.31 19.01
7.71 6.21 13.91 3.61 15.01 43.11 26.91 19.21 23.01 13.71 7.21 11.21
10.41 7.31 5.81 11.51 9.81 16.61 23.91 28.81 21.51 23.51 8.91 13.01
24.31 13.61 2.31 7.91 12.21 42.01 29.31 28.31 37.21 10.11 8.31 12.81
6.41 8.11 3.51 6.21 12.71 25.91 48.31 37.31 15.51 17.31 9.11 7.61
9.81 7.91 5.81 7.81 5.01 20.31 53.71 25.01 13.81 16.31 18.61 12.41
6.31 8.61 5.41 8.51 5.21 22.71 52.31 42.41 18.21 7.51 5.01 5.01
6.51 8.01 4.41 18.41 5.11 29.81 54.91 41.71 31.61 19.31 7.31 8.01
6.11 10.31 11.91 5.61 6.51 21.31 57.01 30.31 12.91 11.11 9.01 18.01
9.81 7.81 5.91 6.71 23.81 18.81 29.11 22.51 14.21 11.81 6.21 15.81
10.81 10.81 7.71 3.61 8.61 37.21 30.51 29.11 20.71 17.71 5.01 8.61
12.11 5.81 10.41 10.21 15.41 21.21 30.71 26.01 19.51 9.21 11.21 19.51
5.51 5.71 3.91 9.61 8.31 19.11 35.31 30.41 23.31 11.11 6.51 12.51
16.61 6.81 7.81 3.31 7.51 23.91 33.81 41.81 22.41 17.31 9.91 12.41
9.51 3.41 6.01 5.81 13.71 35.51 33.51 62.81 22.01 12.01 11.21 19.81
6.71 17.91 12.31 6.01 14.81 8.61 46.41 60.91 18.51 16.71 16.31 10.61
6.51 8.71 5.51 6.21 12.71 31.91 23.91 29.41 29.81 19.71 9.81 10.61
8.51 5.41 8.61 4.61 10.31 29.11 35.11 36.81 7.71 8.81 12.41 10.71
10.41 13.41 7.41 9.81 5.71 17.21 54.51 54.21 22.21 19.51 7.31 7.41
8.31 16.31 9.81 11.01 12.01 48.61 33.71 47.31 25.01 14.61 11.21 7.61
10.01 8.91 14.01 9.91 19.61 23.41 61.91 37.61 14.71 20.21 8.81 12.51
6.33 8.63 5.43 8.53 5.23 22.73 52.33 42.43 18.23 7.53 5.03 5.03
6.53 8.03 4.43 18.43 5.13 29.83 54.93 41.73 31.63 19.33 7.33 8.03
6.13 10.33 11.93 5.63 6.53 21.33 57.03 30.33 12.93 11.13 9.03 18.03
9.83 7.83 5.93 6.73 23.83 18.83 29.13 22.53 14.23 11.83 6.23 15.83
10.83 10.83 7.73 3.63 8.63 37.23 30.53 29.13 20.73 17.73 5.03 8.63
12.13 5.83 10.43 10.23 15.43 21.23 30.73 26.03 19.53 9.23 11.23 19.53
5.53 5.73 3.93 9.63 8.33 19.13 35.33 30.43 23.33 11.13 6.53 12.53
16.63 6.83 7.83 3.33 7.53 23.93 33.83 41.83 22.43 17.33 9.93 12.43
9.53 3.43 6.03 5.83 13.73 35.53 33.53 62.83 22.03 12.03 11.23 19.83
6.73 17.93 12.33 6.03 14.83 8.63 46.43 60.93 18.53 16.73 16.33 10.63
6.53 8.73 5.53 6.23 12.73 31.93 23.93 29.43 29.83 19.73 9.83 10.63
8.53 5.43 8.63 4.63 10.33 29.13 35.13 36.83 7.73 8.83 12.43 10.73
10.43 13.43 7.43 9.83 5.73 17.23 54.53 54.23 22.23 19.53 7.33 7.43
8.33 16.33 9.83 11.03 12.03 48.63 33.73 47.33 25.03 14.63 11.23 7.63
10.03 8.93 14.03 9.93 19.63 23.43 61.93 37.63 14.73 20.23 8.83 12.53
9.19 5.99 5.79 9.19 13.29 17.19 17.79 39.79 14.19 16.19 8.79 5.09
13.69 10.79 9.19 9.59 8.79 22.99 24.69 24.69 14.79 12.09 9.79 9.59
7.29 6.69 9.39 9.29 12.69 29.19 52.79 35.79 19.29 14.79 8.79 10.09
8.59 8.39 12.69 9.29 11.79 22.39 43.09 44.89 16.79 15.29 10.29 12.29
11.19 10.19 9.19 9.19 12.19 29.19 40.19 37.19 23.19 16.19 11.19 13.19
7.29 10.19 9.19 6.19 12.19 29.19 40.19 37.19 23.19 16.19 11.19 13.19
11.19 10.19 9.19 9.19 12.19 29.19 40.19 37.19 23.19 16.19 11.19 13.19
11.19 10.19 9.19 9.19 12.19 29.19 40.19 37.19 23.19 16.19 11.19 13.19
11.19 10.19 9.19 9.19 12.19 29.19 40.19 37.19 23.19 16.19 11.19 13.19
11.19 10.19 9.19 9.19 12.19 29.19 40.19 37.19 37.79 8.89 5.49 10.29
7.89 6.19 9.69 5.49 8.39 33.19 19.29 38.39 29.79 10.59 10.79 6.49
11.39 7.39 5.49 6.19 9.29 31.09 80.69 38.69 19.49 9.49 9.29 9.59
7.49 8.79 6.29 4.59 7.39 42.29 40.99 28.59 25.79 20.19 6.99 8.49
8.29 8.99 8.09 8.79 9.99 33.89 44.59 39.49 16.99 11.69 6.39 10.39
11.79 7.89 10.99 5.49 11.89 36.59 24.19 30.89 29.49 13.79 7.29 8.09
9.18 5.98 5.78 9.18 13.28 17.18 17.78 39.78 14.18 16.18 8.78 5.08
13.68 10.78 9.18 9.58 8.78 22.98 24.68 24.68 14.78 12.08 9.78 9.58
7.28 6.68 9.38 9.28 12.68 29.18 52.78 35.78 19.28 14.78 8.78 10.08
8.58 8.38 12.68 9.28 11.78 22.38 43.08 44.88 16.78 15.28 10.28 12.28
11.18 10.18 9.18 9.18 12.18 29.18 40.18 37.18 23.18 16.18 11.18 13.18
7.28 10.18 9.18 6.18 12.18 29.18 40.18 37.18 23.18 16.18 11.18 13.18
11.18 10.18 9.18 9.18 12.18 29.18 40.18 37.18 23.18 16.18 11.18 13.18
11.18 10.18 9.18 9.18 12.18 29.18 40.18 37.18 23.18 16.18 11.18 13.18
11.18 10.18 9.18 9.18 12.18 29.18 40.18 37.18 23.18 16.18 11.18 13.18
11.18 10.18 9.18 9.18 12.18 29.18 40.18 37.18 37.78 8.88 5.48 10.28
7.88 6.18 9.68 5.48 8.38 33.18 19.28 38.38 29.78 10.58 10.78 6.48
11.38 7.38 5.48 6.18 9.28 31.08 80.68 38.68 19.48 9.48 9.28 9.58
7.48 8.78 6.28 4.58 7.38 42.28 40.98 28.58 25.78 20.18 6.98 8.48
8.28 8.98 8.08 8.78 9.98 33.88 44.58 39.48 16.98 11.68 6.38 10.38
11.78 7.88 10.98 5.48 11.88 36.58 24.18 30.88 29.48 13.78 7.28 8.08
8.69 9.09 8.79 11.59 16.09 44.59 35.69 31.09 28.69 11.79 10.39 11.19
6.39 11.59 7.49 5.89 7.49 17.09 46.49 33.89 22.89 9.89 9.69 8.49
