"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
5.13 9.33 6.33 18.13 8.83 29.13 57.43 32.33 22.33 18.33 7.33 8.93
10.63 6.53 6.73 9.93 10.93 31.63 53.23 44.93 24.23 13.63 8.93 7.03
5.73 3.23 5.73 5.13 9.23 21.23 33.13 35.83 13.13 9.13 6.93 9.93
5.33 5.73 6.33 7.43 5.93 18.73 24.93 24.63 15.83 14.33 6.53 11.33
3.53 9.93 4.53 10.13 8.03 31.23 18.83 31.63 29.03 10.83 7.63 7.73
6.74 7.14 6.84 9.64 14.14 42.64 33.74 29.14 26.74 9.84 8.44 9.24
4.44 9.64 5.54 3.94 5.54 15.14 44.54 31.94 20.94 7.94 7.74 6.54
8.54 8.44 11.24 6.44 7.44 21.54 13.44 36.34 17.64 14.44 9.44 8.84
8.54 13.34 9.54 6.94 7.44 33.24 23.64 20.74 18.04 7.84 6.64 7.74
6.44 6.04 4.74 4.34 6.64 36.34 19.24 21.14 14.94 9.54 8.74 11.04
10.44 9.44 8.44 8.44 11.44 28.44 39.44 33.84 23.14 16.04 11.04 9.94
11.84 9.34 7.04 7.44 12.84 31.54 36.64 33.34 28.34 13.44 12.54 11.54
8.54 10.14 6.24 7.44 10.64 26.24 25.44 25.14 24.34 11.34 7.54 11.04
13.14 7.64 6.24 10.74 9.24 29.74 29.24 28.34 21.14 12.14 10.94 5.04
9.24 8.74 5.04 4.74 9.74 36.94 30.34 34.64 43.74 21.44 9.74 4.34
5.14 9.34 6.34 18.14 8.84 29.14 57.44 32.34 22.34 18.34 7.34 8.94
10.64 6.54 6.74 9.94 10.94 31.64 53.24 44.94 24.24 13.64 8.94 7.04
5.74 3.24 5.74 5.14 9.24 21.24 33.14 35.84 13.14 9.14 6.94 9.94
5.34 5.74 6.34 7.44 5.94 18.74 24.94 24.64 15.84 14.34 6.54 11.34
3.54 9.94 4.54 10.14 8.04 31.24 18.84 31.64 29.04 10.84 7.64 7.74
7.24 4.04 3.84 7.24 11.34 15.24 15.84 37.84 12.24 14.24 6.84 3.14
