"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-52.87 -38.97 -29.47 -13.47 -2.37 10.63 15.63 12.53 -0.67 -14.07 -31.67 -44.57
-48.27 -46.77 -36.17 -14.77 0.43 12.13 12.73 9.93 0.63 -17.87 -36.97 -48.87
-49.37 -47.97 -29.97 -18.37 -0.27 10.83 14.93 12.03 2.53 -15.97 -39.47 -43.67
-50.07 -38.47 -34.97 -16.97 -1.37 14.13 18.13 10.23 4.23 -14.77 -40.77 -41.67
-53.17 -46.97 -28.47 -15.37 2.53 10.03 13.43 6.93 0.73 -18.57 -39.67 -50.37
-50.78 -42.88 -33.28 -18.68 -1.38 12.02 13.52 8.12 2.12 -15.78 -36.08 -44.18
-45.58 -42.48 -31.18 -14.78 -0.48 8.52 12.62 9.22 -0.68 -15.68 -38.58 -45.98
-45.18 -41.48 -31.18 -17.88 -3.48 9.22 13.32 9.32 0.72 -17.48 -35.88 -43.78
-48.48 -39.28 -32.98 -17.38 -1.88 12.32 13.62 9.62 -0.48 -17.58 -38.68 -46.48
-48.88 -45.88 -32.58 -16.18 -2.28 10.42 15.72 9.52 1.72 -16.08 -36.58 -48.38
-51.08 -48.78 -35.58 -18.38 1.02 11.22 12.22 10.72 1.02 -17.28 -36.18 -41.78
-49.88 -46.38 -32.18 -16.28 0.32 12.12 14.02 9.12 1.82 -11.68 -34.18 -43.68
-46.38 -38.68 -27.08 -12.38 -0.28 12.42 14.32 10.12 2.32 -15.18 -40.78 -46.58
-45.98 -47.68 -33.88 -17.58 0.12 12.72 15.22 11.62 0.32 -16.78 -38.38 -42.58
-44.58 -42.58 -31.38 -18.48 -1.28 10.82 15.92 8.42 2.52 -17.08 -37.98 -43.88
-48.18 -41.68 -31.78 -15.88 1.52 11.02 16.92 12.12 4.42 -13.58 -35.18 -42.78
-50.78 -43.38 -30.88 -14.28 0.92 9.02 13.82 8.32 0.42 -14.38 -41.68 -44.18
-45.88 -42.48 -31.08 -16.68 1.62 11.62 15.82 10.32 2.42 -16.28 -37.78 -45.18
-47.48 -47.18 -28.88 -14.48 0.32 10.32 14.82 10.22 1.62 -17.38 -38.68 -47.18
-45.18 -42.48 -28.08 -14.28 1.72 12.22 13.52 9.12 1.12 -14.58 -35.18 -38.48
-48.25 -47.65 -30.65 -17.15 -1.75 10.65 14.85 11.95 0.45 -10.65 -33.95 -49.05
-45.85 -42.45 -31.45 -14.15 1.85 12.85 17.25 12.25 1.55 -17.65 -38.95 -45.15
-48.55 -47.45 -29.05 -15.95 -0.75 11.35 12.05 10.25 1.55 -13.55 -38.45 -49.65
-50.15 -51.65 -34.05 -12.05 -0.15 11.25 13.45 12.15 4.25 -12.05 -36.95 -43.05
-43.25 -39.75 -27.35 -9.35 -0.15 9.55 14.95 11.45 1.55 -17.45 -40.05 -45.95
-47.45 -37.95 -33.75 -17.85 -1.75 11.55 12.35 10.95 3.65 -15.85 -28.55 -50.65
-50.85 -49.45 -31.65 -18.25 -2.05 11.25 12.95 8.45 0.45 -18.05 -39.45 -41.15
