"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-47.65 -33.75 -24.25 -8.25 2.85 15.85 20.85 17.75 4.55 -8.85 -26.45 -39.35
-43.05 -41.55 -30.95 -9.55 5.65 17.35 17.95 15.15 5.85 -12.65 -31.75 -43.65
-44.15 -42.75 -24.75 -13.15 4.95 16.05 20.15 17.25 7.75 -10.75 -34.25 -38.45
-44.85 -33.25 -29.75 -11.75 3.85 19.35 23.35 15.45 9.45 -9.55 -35.55 -36.45
-47.95 -41.75 -23.25 -10.15 7.75 15.25 18.65 12.15 5.95 -13.35 -34.45 -45.15
-45.51 -37.61 -28.01 -13.41 3.89 17.29 18.79 13.39 7.39 -10.51 -30.81 -38.91
-40.31 -37.21 -25.91 -9.51 4.79 13.79 17.89 14.49 4.59 -10.41 -33.31 -40.71
-39.91 -36.21 -25.91 -12.61 1.79 14.49 18.59 14.59 5.99 -12.21 -30.61 -38.51
-43.21 -34.01 -27.71 -12.11 3.39 17.59 18.89 14.89 4.79 -12.31 -33.41 -41.21
-43.61 -40.61 -27.31 -10.91 2.99 15.69 20.99 14.79 6.99 -10.81 -31.31 -43.11
-45.81 -43.51 -30.31 -13.11 6.29 16.49 17.49 15.99 6.29 -12.01 -30.91 -36.51
-44.61 -41.11 -26.91 -11.01 5.59 17.39 19.29 14.39 7.09 -6.41 -28.91 -38.41
-41.11 -33.41 -21.81 -7.11 4.99 17.69 19.59 15.39 7.59 -9.91 -35.51 -41.31
-40.71 -42.41 -28.61 -12.31 5.39 17.99 20.49 16.89 5.59 -11.51 -33.11 -37.31
-39.31 -37.31 -26.11 -13.21 3.99 16.09 21.19 13.69 7.79 -11.81 -32.71 -38.61
-42.91 -36.41 -26.51 -10.61 6.79 16.29 22.19 17.39 9.69 -8.31 -29.91 -37.51
-45.51 -38.11 -25.61 -9.01 6.19 14.29 19.09 13.59 5.69 -9.11 -36.41 -38.91
-40.61 -37.21 -25.81 -11.41 6.89 16.89 21.09 15.59 7.69 -11.01 -32.51 -39.91
-42.21 -41.91 -23.61 -9.21 5.59 15.59 20.09 15.49 6.89 -12.11 -33.41 -41.91
-39.91 -37.21 -22.81 -9.01 6.99 17.49 18.79 14.39 6.39 -9.31 -29.91 -33.21
-41.35 -41.05 -26.95 -7.85 2.25 15.45 17.65 14.75 7.55 -12.35 -32.85 -40.75
-38.95 -39.75 -28.75 -9.55 6.85 17.25 18.95 14.15 5.85 -13.85 -33.95 -40.25
-44.75 -37.85 -25.35 -10.25 2.45 15.85 17.75 15.55 5.85 -10.15 -27.05 -40.55
-44.85 -42.35 -28.35 -13.65 4.65 14.95 17.85 13.65 4.55 -14.65 -35.95 -37.15
-40.45 -38.85 -28.25 -13.05 5.05 15.35 20.45 17.15 7.75 -10.05 -35.55 -36.65
-35.95 -35.25 -25.85 -8.55 6.25 16.85 18.95 15.65 6.35 -9.55 -30.45 -38.05
-45.75 -35.65 -28.95 -8.85 2.15 14.45 20.85 15.25 7.65 -12.55 -37.45 -40.85
-41.45 -37.15 -24.25 -12.75 6.35 16.35 19.35 17.55 8.45 -11.45 -28.15 -38.05
-37.65 -40.95 -27.55 -11.25 5.85 14.95 19.45 13.05 5.35 -11.45 -30.45 -39.25
-43.15 -34.45 -27.25 -10.85 4.55 16.35 18.35 13.95 7.05 -11.75 -28.55 -36.25
-43.45 -35.65 -25.65 -10.35 4.35 17.25 19.15 14.65 6.05 -8.85 -31.75 -39.25
-42.25 -38.95 -27.55 -11.65 2.95 15.35 20.15 14.95 5.25 -12.85 -35.45 -42.65
-42.25 -36.85 -25.75 -9.35 6.35 17.45 21.55 13.75 8.75 -8.45 -29.85 -34.75
-41.95 -33.05 -21.35 -11.75 5.05 15.25 18.25 14.25 7.15 -12.15 -32.95 -35.45
-42.45 -37.55 -18.35 -7.75 9.55 18.05 17.55 16.35 6.05 -9.35 -34.15 -39.75
-41.44 -41.14 -27.04 -7.94 2.16 15.36 17.56 14.66 7.46 -12.44 -32.94 -40.84
-39.04 -39.84 -28.84 -9.64 6.76 17.16 18.86 14.06 5.76 -13.94 -34.04 -40.34
-44.84 -37.94 -25.44 -10.34 2.36 15.76 17.66 15.46 5.76 -10.24 -27.14 -40.64
-44.94 -42.44 -28.44 -13.74 4.56 14.86 17.76 13.56 4.46 -14.74 -36.04 -37.24
-40.54 -38.94 -28.34 -13.14 4.96 15.26 20.36 17.06 7.66 -10.14 -35.64 -36.74
-36.04 -35.34 -25.94 -8.64 6.16 16.76 18.86 15.56 6.26 -9.64 -30.54 -38.14
-45.84 -35.74 -29.04 -8.94 2.06 14.36 20.76 15.16 7.56 -12.64 -37.54 -40.94
-41.54 -37.24 -24.34 -12.84 6.26 16.26 19.26 17.46 8.36 -11.54 -28.24 -38.14
-37.74 -41.04 -27.64 -11.34 5.76 14.86 19.36 12.96 5.26 -11.54 -30.54 -39.34
-43.24 -34.54 -27.34 -10.94 4.46 16.26 18.26 13.86 6.96 -11.84 -28.64 -36.34
-43.54 -35.74 -25.74 -10.44 4.26 17.16 19.06 14.56 5.96 -8.94 -31.84 -39.34
-42.34 -39.04 -27.64 -11.74 2.86 15.26 20.06 14.86 5.16 -12.94 -35.54 -42.74
-42.34 -36.94 -25.84 -9.44 6.26 17.36 21.46 13.66 8.66 -8.54 -29.94 -34.84
-42.04 -33.14 -21.44 -11.84 4.96 15.16 18.16 14.16 7.06 -12.24 -33.04 -35.54
-42.54 -37.64 -18.44 -7.84 9.46 17.96 17.46 16.26 5.96 -9.44 -34.24 -39.84
-43.04 -42.44 -25.44 -11.94 3.46 15.86 20.06 17.16 5.66 -5.44 -28.74 -43.84
-40.64 -37.24 -26.24 -8.94 7.06 18.06 22.46 17.46 6.76 -12.44 -33.74 -39.94
-43.34 -42.24 -23.84 -10.74 4.46 16.56 17.26 15.46 6.76 -8.34 -33.24 -44.44
-44.94 -46.44 -28.84 -6.84 5.06 16.46 18.66 17.36 9.46 -6.84 -31.74 -37.84
-38.04 -34.54 -22.14 -4.14 5.06 14.76 20.16 16.66 6.76 -12.24 -34.84 -40.74
-42.24 -32.74 -28.54 -12.64 3.46 16.76 17.56 16.16 8.86 -10.64 -23.34 -45.44
-45.64 -44.24 -26.44 -13.04 3.16 16.46 18.16 13.66 5.66 -12.84 -34.24 -35.94
-45.14 -38.44 -23.44 -11.54 2.66 15.06 17.56 14.96 5.36 -10.34 -30.44 -40.64
-45.34 -39.94 -26.54 -12.84 3.16 15.66 17.86 16.16 8.46 -11.24 -26.04 -36.14
-37.84 -42.34 -24.14 -12.54 4.36 14.56 19.36 14.26 5.46 -9.34 -32.34 -38.84
-41.74 -39.14 -24.04 -11.94 5.46 13.36 21.16 16.86 8.46 -12.24 -31.74 -38.54
-45.44 -42.74 -30.24 -9.34 7.16 16.96 19.36 14.96 8.76 -5.94 -22.54 -36.84
-44.64 -40.14 -23.64 -8.14 3.26 16.26 18.36 16.76 5.46 -9.44 -31.34 -37.74
-42.44 -36.24 -28.54 -11.54 5.86 16.66 19.46 14.96 4.36 -10.74 -36.24 -39.54
-40.24 -40.04 -21.64 -10.44 2.16 17.96 19.26 15.46 7.56 -12.64 -28.64 -40.34
-43.03 -42.43 -25.43 -11.93 3.47 15.87 20.07 17.17 5.67 -5.43 -28.73 -43.83
-40.63 -37.23 -26.23 -8.93 7.07 18.07 22.47 17.47 6.77 -12.43 -33.73 -39.93
-43.33 -42.23 -23.83 -10.73 4.47 16.57 17.27 15.47 6.77 -8.33 -33.23 -44.43
-44.93 -46.43 -28.83 -6.83 5.07 16.47 18.67 17.37 9.47 -6.83 -31.73 -37.83
-38.03 -34.53 -22.13 -4.13 5.07 14.77 20.17 16.67 6.77 -12.23 -34.83 -40.73
-42.23 -32.73 -28.53 -12.63 3.47 16.77 17.57 16.17 8.87 -10.63 -23.33 -45.43
-45.63 -44.23 -26.43 -13.03 3.17 16.47 18.17 13.67 5.67 -12.83 -34.23 -35.93
-45.13 -38.43 -23.43 -11.53 2.67 15.07 17.57 14.97 5.37 -10.33 -30.43 -40.63
-45.33 -39.93 -26.53 -12.83 3.17 15.67 17.87 16.17 8.47 -11.23 -26.03 -36.13
-37.83 -42.33 -24.13 -12.53 4.37 14.57 19.37 14.27 5.47 -9.33 -32.33 -38.83
-41.73 -39.13 -24.03 -11.93 5.47 13.37 21.17 16.87 8.47 -12.23 -31.73 -38.53
-45.43 -42.73 -30.23 -9.33 7.17 16.97 19.37 14.97 8.77 -5.93 -22.53 -36.83
-44.63 -40.13 -23.63 -8.13 3.27 16.27 18.37 16.77 5.47 -9.43 -31.33 -37.73
-42.43 -36.23 -28.53 -11.53 5.87 16.67 19.47 14.97 4.37 -10.73 -36.23 -39.53
-40.23 -40.03 -21.63 -10.43 2.17 17.97 19.27 15.47 7.57 -12.63 -28.63 -40.33
-45.27 -35.07 -21.97 -9.27 5.13 17.53 19.23 15.43 7.53 -12.77 -32.27 -32.17
-45.97 -37.17 -27.77 -12.97 1.23 18.03 19.83 13.73 5.73 -12.27 -34.27 -42.07
-39.37 -34.17 -22.87 -14.07 6.03 18.13 22.93 15.23 6.53 -11.17 -27.07 -46.37
-40.67 -39.67 -23.07 -9.97 1.53 14.03 19.33 14.93 5.43 -13.47 -27.07 -36.97
-41.27 -40.87 -26.47 -12.67 3.73 15.43 16.73 14.53 6.23 -14.57 -35.57 -38.87
-42.77 -38.47 -25.27 -10.17 5.53 17.63 20.13 17.03 8.63 -8.17 -32.47 -37.47
-44.07 -37.47 -27.67 -7.97 5.73 16.43 20.73 14.43 7.53 -5.57 -28.17 -45.87
-48.57 -37.87 -29.77 -10.57 6.93 18.93 22.73 14.73 10.13 -5.87 -33.07 -44.67
-48.37 -42.37 -28.67 -7.47 6.33 15.63 21.73 18.73 7.13 -5.17 -35.37 -38.07
-40.27 -38.67 -27.27 -8.27 4.63 18.13 21.03 18.23 7.83 -6.07 -32.57 -45.07
-47.77 -33.87 -24.37 -8.37 2.73 15.73 20.73 17.63 4.43 -8.97 -26.57 -39.47
-43.17 -41.67 -31.07 -9.67 5.53 17.23 17.83 15.03 5.73 -12.77 -31.87 -43.77
-44.27 -42.87 -24.87 -13.27 4.83 15.93 20.03 17.13 7.63 -10.87 -34.37 -38.57
-44.97 -33.37 -29.87 -11.87 3.73 19.23 23.23 15.33 9.33 -9.67 -35.67 -36.57
-48.07 -41.87 -23.37 -10.27 7.63 15.13 18.53 12.03 5.83 -13.47 -34.57 -45.27
-45.53 -37.63 -28.03 -13.43 3.87 17.27 18.77 13.37 7.37 -10.53 -30.83 -38.93
-40.33 -37.23 -25.93 -9.53 4.77 13.77 17.87 14.47 4.57 -10.43 -33.33 -40.73
-39.93 -36.23 -25.93 -12.63 1.77 14.47 18.57 14.57 5.97 -12.23 -30.63 -38.53
-43.23 -34.03 -27.73 -12.13 3.37 17.57 18.87 14.87 4.77 -12.33 -33.43 -41.23
-43.63 -40.63 -27.33 -10.93 2.97 15.67 20.97 14.77 6.97 -10.83 -31.33 -43.13
-45.83 -43.53 -30.33 -13.13 6.27 16.47 17.47 15.97 6.27 -12.03 -30.93 -36.53
-44.63 -41.13 -26.93 -11.03 5.57 17.37 19.27 14.37 7.07 -6.43 -28.93 -38.43
-41.13 -33.43 -21.83 -7.13 4.97 17.67 19.57 15.37 7.57 -9.93 -35.53 -41.33
-40.73 -42.43 -28.63 -12.33 5.37 17.97 20.47 16.87 5.57 -11.53 -33.13 -37.33
-39.33 -37.33 -26.13 -13.23 3.97 16.07 21.17 13.67 7.77 -11.83 -32.73 -38.63
-42.93 -36.43 -26.53 -10.63 6.77 16.27 22.17 17.37 9.67 -8.33 -29.93 -37.53
-45.53 -38.13 -25.63 -9.03 6.17 14.27 19.07 13.57 5.67 -9.13 -36.43 -38.93
-40.63 -37.23 -25.83 -11.43 6.87 16.87 21.07 15.57 7.67 -11.03 -32.53 -39.93
-42.23 -41.93 -23.63 -9.23 5.57 15.57 20.07 15.47 6.87 -12.13 -33.43 -41.93
-39.93 -37.23 -22.83 -9.03 6.97 17.47 18.77 14.37 6.37 -9.33 -29.93 -33.23
-41.41 -41.11 -27.01 -7.91 2.19 15.39 17.59 14.69 7.49 -12.41 -32.91 -40.81
-39.01 -39.81 -28.81 -9.61 6.79 17.19 18.89 14.09 5.79 -13.91 -34.01 -40.31
-44.81 -37.91 -25.41 -10.31 2.39 15.79 17.69 15.49 5.79 -10.21 -27.11 -40.61
-44.91 -42.41 -28.41 -13.71 4.59 14.89 17.79 13.59 4.49 -14.71 -36.01 -37.21
-40.51 -38.91 -28.31 -13.11 4.99 15.29 20.39 17.09 7.69 -10.11 -35.61 -36.71
-36.01 -35.31 -25.91 -8.61 6.19 16.79 18.89 15.59 6.29 -9.61 -30.51 -38.11
-45.81 -35.71 -29.01 -8.91 2.09 14.39 20.79 15.19 7.59 -12.61 -37.51 -40.91
-41.51 -37.21 -24.31 -12.81 6.29 16.29 19.29 17.49 8.39 -11.51 -28.21 -38.11
-37.71 -41.01 -27.61 -11.31 5.79 14.89 19.39 12.99 5.29 -11.51 -30.51 -39.31
-43.21 -34.51 -27.31 -10.91 4.49 16.29 18.29 13.89 6.99 -11.81 -28.61 -36.31
-43.51 -35.71 -25.71 -10.41 4.29 17.19 19.09 14.59 5.99 -8.91 -31.81 -39.31
-42.31 -39.01 -27.61 -11.71 2.89 15.29 20.09 14.89 5.19 -12.91 -35.51 -42.71
-42.31 -36.91 -25.81 -9.41 6.29 17.39 21.49 13.69 8.69 -8.51 -29.91 -34.81
-42.01 -33.11 -21.41 -11.81 4.99 15.19 18.19 14.19 7.09 -12.21 -33.01 -35.51
-42.51 -37.61 -18.41 -7.81 9.49 17.99 17.49 16.29 5.99 -9.41 -34.21 -39.81
-45.29 -35.09 -21.99 -9.29 5.11 17.51 19.21 15.41 7.51 -12.79 -32.29 -32.19
-45.99 -37.19 -27.79 -12.99 1.21 18.01 19.81 13.71 5.71 -12.29 -34.29 -42.09
-39.39 -34.19 -22.89 -14.09 6.01 18.11 22.91 15.21 6.51 -11.19 -27.09 -46.39
-40.69 -39.69 -23.09 -9.99 1.51 14.01 19.31 14.91 5.41 -13.49 -27.09 -36.99
-41.29 -40.89 -26.49 -12.69 3.71 15.41 16.71 14.51 6.21 -14.59 -35.59 -38.89
-42.79 -38.49 -25.29 -10.19 5.51 17.61 20.11 17.01 8.61 -8.19 -32.49 -37.49
-44.09 -37.49 -27.69 -7.99 5.71 16.41 20.71 14.41 7.51 -5.59 -28.19 -45.89
-48.59 -37.89 -29.79 -10.59 6.91 18.91 22.71 14.71 10.11 -5.89 -33.09 -44.69
-48.39 -42.39 -28.69 -7.49 6.31 15.61 21.71 18.71 7.11 -5.19 -35.39 -38.09
-40.29 -38.69 -27.29 -8.29 4.61 18.11 21.01 18.21 7.81 -6.09 -32.59 -45.09
-47.79 -33.89 -24.39 -8.39 2.71 15.71 20.71 17.61 4.41 -8.99 -26.59 -39.49
-43.19 -41.69 -31.09 -9.69 5.51 17.21 17.81 15.01 5.71 -12.79 -31.89 -43.79
-44.29 -42.89 -24.89 -13.29 4.81 15.91 20.01 17.11 7.61 -10.89 -34.39 -38.59
-44.99 -33.39 -29.89 -11.89 3.71 19.21 23.21 15.31 9.31 -9.69 -35.69 -36.59
-48.09 -41.89 -23.39 -10.29 7.61 15.11 18.51 12.01 5.81 -13.49 -34.59 -45.29
-46.34 -42.94 -25.54 -14.84 5.26 16.36 20.56 14.66 7.36 -6.84 -30.04 -35.94
-42.54 -35.44 -25.64 -11.94 1.96 15.76 18.76 15.66 8.06 -9.84 -34.54 -43.14
-38.94 -41.84 -29.14 -13.74 3.66 15.96 18.46 15.26 5.86 -8.64 -30.94 -40.84
-41.34 -35.14 -28.24 -13.54 5.86 16.26 21.96 14.16 6.76 -10.04 -31.04 -41.54
-44.64 -37.84 -29.54 -11.34 5.06 15.16 20.86 15.46 7.66 -12.14 -33.54 -36.94
-45.94 -38.74 -28.74 -10.44 5.66 15.76 20.66 15.16 7.96 -10.24 -30.64 -37.64
-40.24 -35.24 -29.54 -11.94 6.36 16.06 19.36 15.26 7.36 -9.54 -31.04 -35.74
-39.24 -39.14 -26.24 -8.74 3.46 16.36 19.56 15.66 8.06 -11.64 -25.84 -38.84
-46.04 -37.24 -25.94 -13.44 3.36 15.56 16.96 15.76 7.66 -8.84 -30.84 -37.24
-38.84 -36.74 -25.44 -9.04 4.46 16.36 19.56 13.96 4.26 -13.74 -33.14 -42.44
-45.54 -41.64 -31.54 -11.34 4.46 15.76 21.86 14.96 6.76 -9.74 -33.84 -41.04
-39.24 -39.14 -32.24 -11.84 5.06 15.66 18.26 14.16 6.36 -10.74 -31.64 -37.24
-42.24 -37.34 -20.64 -5.54 7.66 14.96 17.06 14.66 7.26 -6.44 -30.04 -41.64
-41.04 -38.54 -25.04 -11.54 4.86 14.66 17.66 15.16 8.16 -11.84 -30.24 -36.74
-45.04 -38.24 -28.24 -9.44 6.56 16.56 19.16 16.26 6.16 -7.74 -29.64 -40.34
-43.62 -42.12 -27.12 -9.82 4.08 16.08 19.48 13.38 4.38 -12.02 -32.72 -41.82
-43.22 -34.72 -24.32 -8.72 5.28 16.68 20.18 14.78 7.78 -3.92 -29.02 -39.12
-41.82 -36.92 -23.02 -9.52 6.18 16.68 18.38 15.98 5.88 -8.12 -29.82 -40.52
-41.92 -38.12 -23.82 -9.02 5.18 15.08 17.78 13.88 8.08 -7.82 -34.12 -35.72
-41.42 -39.32 -28.12 -13.22 2.98 15.58 17.38 12.88 5.08 -12.02 -35.32 -41.42
-44.42 -40.72 -27.22 -13.52 4.88 15.78 18.68 15.78 8.38 -7.82 -30.92 -36.42
-45.12 -39.72 -24.92 -11.22 3.18 15.38 20.58 16.68 8.38 -11.92 -34.52 -40.32
-40.72 -38.32 -23.82 -9.32 6.68 16.38 20.18 14.98 7.68 -9.52 -30.82 -38.62
-42.82 -38.22 -26.82 -7.52 3.98 16.58 19.38 15.18 5.88 -7.82 -32.32 -38.12
-37.62 -40.12 -30.82 -14.02 4.58 16.48 18.38 15.88 5.78 -10.92 -33.32 -41.72
-42.12 -35.22 -26.32 -14.92 2.98 18.48 19.28 13.58 7.18 -14.42 -28.82 -36.12
-38.32 -40.02 -27.92 -10.52 5.38 16.98 17.98 14.18 4.68 -13.42 -34.02 -39.82
-43.12 -39.52 -30.02 -12.42 2.58 14.38 19.48 16.28 7.58 -12.12 -38.02 -40.42
-43.12 -36.92 -21.32 -10.72 6.38 17.98 18.18 15.08 7.98 -10.12 -26.92 -42.22
-41.72 -39.72 -27.52 -10.52 5.58 17.98 20.08 14.68 5.88 -12.52 -33.02 -38.82
-43.17 -42.57 -25.57 -12.07 3.33 15.73 19.93 17.03 5.53 -5.57 -28.87 -43.97
-40.77 -37.37 -26.37 -9.07 6.93 17.93 22.33 17.33 6.63 -12.57 -33.87 -40.07
-43.47 -42.37 -23.97 -10.87 4.33 16.43 17.13 15.33 6.63 -8.47 -33.37 -44.57
-45.07 -46.57 -28.97 -6.97 4.93 16.33 18.53 17.23 9.33 -6.97 -31.87 -37.97
-38.17 -34.67 -22.27 -4.27 4.93 14.63 20.03 16.53 6.63 -12.37 -34.97 -40.87
-42.37 -32.87 -28.67 -12.77 3.33 16.63 17.43 16.03 8.73 -10.77 -23.47 -45.57
-45.77 -44.37 -26.57 -13.17 3.03 16.33 18.03 13.53 5.53 -12.97 -34.37 -36.07
-45.27 -38.57 -23.57 -11.67 2.53 14.93 17.43 14.83 5.23 -10.47 -30.57 -40.77
-45.47 -40.07 -26.67 -12.97 3.03 15.53 17.73 16.03 8.33 -11.37 -26.17 -36.27
-37.97 -42.47 -24.27 -12.67 4.23 14.43 19.23 14.13 5.33 -9.47 -32.47 -38.97
-41.87 -39.27 -24.17 -12.07 5.33 13.23 21.03 16.73 8.33 -12.37 -31.87 -38.67
-45.57 -42.87 -30.37 -9.47 7.03 16.83 19.23 14.83 8.63 -6.07 -22.67 -36.97
-44.77 -40.27 -23.77 -8.27 3.13 16.13 18.23 16.63 5.33 -9.57 -31.47 -37.87
-42.57 -36.37 -28.67 -11.67 5.73 16.53 19.33 14.83 4.23 -10.87 -36.37 -39.67
-40.37 -40.17 -21.77 -10.57 2.03 17.83 19.13 15.33 7.43 -12.77 -28.77 -40.47
-43.12 -42.52 -25.52 -12.02 3.38 15.78 19.98 17.08 5.58 -5.52 -28.82 -43.92
-40.72 -37.32 -26.32 -9.02 6.98 17.98 22.38 17.38 6.68 -12.52 -33.82 -40.02
-43.42 -42.32 -23.92 -10.82 4.38 16.48 17.18 15.38 6.68 -8.42 -33.32 -44.52
-45.02 -46.52 -28.92 -6.92 4.98 16.38 18.58 17.28 9.38 -6.92 -31.82 -37.92
-38.12 -34.62 -22.22 -4.22 4.98 14.68 20.08 16.58 6.68 -12.32 -34.92 -40.82
-42.32 -32.82 -28.62 -12.72 3.38 16.68 17.48 16.08 8.78 -10.72 -23.42 -45.52
-45.72 -44.32 -26.52 -13.12 3.08 16.38 18.08 13.58 5.58 -12.92 -34.32 -36.02
-45.22 -38.52 -23.52 -11.62 2.58 14.98 17.48 14.88 5.28 -10.42 -30.52 -40.72
-45.42 -40.02 -26.62 -12.92 3.08 15.58 17.78 16.08 8.38 -11.32 -26.12 -36.22
-37.92 -42.42 -24.22 -12.62 4.28 14.48 19.28 14.18 5.38 -9.42 -32.42 -38.92
-41.82 -39.22 -24.12 -12.02 5.38 13.28 21.08 16.78 8.38 -12.32 -31.82 -38.62
-45.52 -42.82 -30.32 -9.42 7.08 16.88 19.28 14.88 8.68 -6.02 -22.62 -36.92
-44.72 -40.22 -23.72 -8.22 3.18 16.18 18.28 16.68 5.38 -9.52 -31.42 -37.82
-42.52 -36.32 -28.62 -11.62 5.78 16.58 19.38 14.88 4.28 -10.82 -36.32 -39.62
-40.32 -40.12 -21.72 -10.52 2.08 17.88 19.18 15.38 7.48 -12.72 -28.72 -40.42
-43.21 -42.61 -25.61 -12.11 3.29 15.69 19.89 16.99 5.49 -5.61 -28.91 -44.01
-40.81 -37.41 -26.41 -9.11 6.89 17.89 22.29 17.29 6.59 -12.61 -33.91 -40.11
-43.51 -42.41 -24.01 -10.91 4.29 16.39 17.09 15.29 6.59 -8.51 -33.41 -44.61
-45.11 -46.61 -29.01 -7.01 4.89 16.29 18.49 17.19 9.29 -7.01 -31.91 -38.01
-38.21 -34.71 -22.31 -4.31 4.89 14.59 19.99 16.49 6.59 -12.41 -35.01 -40.91
-42.41 -32.91 -28.71 -12.81 3.29 16.59 17.39 15.99 8.69 -10.81 -23.51 -45.61
-45.81 -44.41 -26.61 -13.21 2.99 16.29 17.99 13.49 5.49 -13.01 -34.41 -36.11
-45.31 -38.61 -23.61 -11.71 2.49 14.89 17.39 14.79 5.19 -10.51 -30.61 -40.81
-45.51 -40.11 -26.71 -13.01 2.99 15.49 17.69 15.99 8.29 -11.41 -26.21 -36.31
-38.01 -42.51 -24.31 -12.71 4.19 14.39 19.19 14.09 5.29 -9.51 -32.51 -39.01
-41.91 -39.31 -24.21 -12.11 5.29 13.19 20.99 16.69 8.29 -12.41 -31.91 -38.71
-45.61 -42.91 -30.41 -9.51 6.99 16.79 19.19 14.79 8.59 -6.11 -22.71 -37.01
-44.81 -40.31 -23.81 -8.31 3.09 16.09 18.19 16.59 5.29 -9.61 -31.51 -37.91
-42.61 -36.41 -28.71 -11.71 5.69 16.49 19.29 14.79 4.19 -10.91 -36.41 -39.71
-40.41 -40.21 -21.81 -10.61 1.99 17.79 19.09 15.29 7.39 -12.81 -28.81 -40.51
-41.49 -41.19 -27.09 -7.99 2.11 15.31 17.51 14.61 7.41 -12.49 -32.99 -40.89
-39.09 -39.89 -28.89 -9.69 6.71 17.11 18.81 14.01 5.71 -13.99 -34.09 -40.39
-44.89 -37.99 -25.49 -10.39 2.31 15.71 17.61 15.41 5.71 -10.29 -27.19 -40.69
-44.99 -42.49 -28.49 -13.79 4.51 14.81 17.71 13.51 4.41 -14.79 -36.09 -37.29
-40.59 -38.99 -28.39 -13.19 4.91 15.21 20.31 17.01 7.61 -10.19 -35.69 -36.79
-36.09 -35.39 -25.99 -8.69 6.11 16.71 18.81 15.51 6.21 -9.69 -30.59 -38.19
-45.89 -35.79 -29.09 -8.99 2.01 14.31 20.71 15.11 7.51 -12.69 -37.59 -40.99
