"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
7.29 11.69 8.09 20.09 11.29 29.49 57.59 33.99 24.69 20.49 9.79 10.99
11.79 8.39 8.59 10.19 12.49 29.39 49.49 48.69 22.99 14.99 10.59 9.29
7.89 5.89 6.99 7.89 12.79 20.29 34.89 31.49 15.19 11.19 8.79 11.69
7.89 8.19 7.29 10.89 7.39 18.49 27.39 28.79 20.69 17.29 8.69 13.99
5.99 11.19 6.89 13.99 10.89 24.99 22.19 29.39 27.49 12.59 9.79 9.49
5.87 5.97 5.37 7.77 12.27 23.07 53.97 36.37 17.47 10.47 12.87 5.37
8.77 5.77 4.57 9.57 14.27 20.67 47.77 23.67 35.87 16.27 8.17 14.87
10.27 10.47 8.27 8.57 7.37 30.27 41.67 27.77 29.07 15.97 12.17 10.27
11.17 14.17 7.37 7.37 16.57 25.97 29.77 61.27 28.57 13.47 9.07 10.37
5.77 6.37 8.37 10.87 8.57 25.17 20.27 18.67 15.57 18.57 9.57 5.97
11.17 10.97 9.97 6.27 12.47 34.27 42.47 39.47 28.87 20.87 27.17 16.17
9.47 8.77 10.87 8.27 14.17 32.27 13.77 15.87 21.17 15.77 18.37 7.37
10.97 13.87 8.97 8.27 10.57 17.37 48.47 47.17 13.07 19.17 6.47 13.97
17.67 9.27 4.07 13.77 4.47 31.67 28.57 28.67 37.57 11.47 4.07 10.77
6.67 4.97 11.47 8.27 9.77 44.07 36.87 50.07 20.07 14.17 12.67 17.37
7.27 6.37 13.37 3.87 15.97 40.77 24.37 18.47 25.37 14.07 7.57 10.97
10.27 8.07 5.07 12.17 10.77 15.77 20.77 27.87 23.07 24.77 9.27 12.07
23.87 15.17 2.27 8.47 13.67 39.47 30.37 26.47 38.37 9.87 8.27 12.07
6.07 7.97 3.67 6.17 13.07 23.57 48.97 39.67 16.37 19.07 8.87 7.07
8.87 8.37 4.97 8.27 4.97 18.77 55.57 25.77 12.97 16.97 21.57 12.47
5.56 8.86 5.16 9.26 5.86 19.46 51.86 40.06 17.96 6.66 4.86 4.76
5.46 8.06 4.26 19.56 5.56 30.56 52.96 39.86 31.66 18.36 7.16 7.96
5.76 11.16 10.56 6.06 6.26 15.06 56.76 31.16 13.36 11.36 8.86 17.66
9.36 8.26 5.66 7.26 24.56 18.06 29.06 22.06 14.36 11.36 6.36 15.66
10.56 11.86 7.36 4.06 7.86 37.86 30.66 28.96 19.66 20.16 4.86 8.56
11.16 6.36 9.76 10.66 16.16 21.36 32.36 24.06 20.46 9.36 11.96 18.76
5.76 6.26 4.06 9.66 8.66 17.16 30.16 28.56 23.56 11.56 7.26 11.66
16.76 7.56 7.76 3.66 8.26 23.26 33.26 40.16 20.36 18.96 9.86 12.16
8.96 3.86 5.96 6.46 14.36 33.26 32.56 65.16 21.86 12.66 12.06 19.66
6.76 19.36 11.86 6.36 15.96 7.36 44.06 58.66 20.36 18.36 16.86 10.26
5.96 9.66 5.66 6.36 13.56 29.26 23.16 28.66 31.96 21.16 10.26 10.56
8.56 5.46 8.56 5.16 10.76 27.76 35.86 36.56 8.26 9.26 14.36 10.56
9.76 14.56 6.56 10.26 5.76 14.26 57.36 52.46 23.86 20.86 7.46 6.46
8.26 16.06 9.46 12.16 11.76 47.06 33.66 43.06 26.86 14.76 11.56 7.56
9.96 9.66 13.06 10.66 22.26 24.36 60.96 38.36 15.36 20.46 9.26 12.36
5.56 8.86 5.16 9.26 5.86 19.46 51.86 40.06 17.96 6.66 4.86 4.76
5.46 8.06 4.26 19.56 5.56 30.56 52.96 39.86 31.66 18.36 7.16 7.96
5.76 11.16 10.56 6.06 6.26 15.06 56.76 31.16 13.36 11.36 8.86 17.66
9.36 8.26 5.66 7.26 24.56 18.06 29.06 22.06 14.36 11.36 6.36 15.66
10.56 11.86 7.36 4.06 7.86 37.86 30.66 28.96 19.66 20.16 4.86 8.56
11.16 6.36 9.76 10.66 16.16 21.36 32.36 24.06 20.46 9.36 11.96 18.76
5.76 6.26 4.06 9.66 8.66 17.16 30.16 28.56 23.56 11.56 7.26 11.66
16.76 7.56 7.76 3.66 8.26 23.26 33.26 40.16 20.36 18.96 9.86 12.16
8.96 3.86 5.96 6.46 14.36 33.26 32.56 65.16 21.86 12.66 12.06 19.66
6.76 19.36 11.86 6.36 15.96 7.36 44.06 58.66 20.36 18.36 16.86 10.26
5.96 9.66 5.66 6.36 13.56 29.26 23.16 28.66 31.96 21.16 10.26 10.56
8.56 5.46 8.56 5.16 10.76 27.76 35.86 36.56 8.26 9.26 14.36 10.56
9.76 14.56 6.56 10.26 5.76 14.26 57.36 52.46 23.86 20.86 7.46 6.46
8.26 16.06 9.46 12.16 11.76 47.06 33.66 43.06 26.86 14.76 11.56 7.56
9.96 9.66 13.06 10.66 22.26 24.36 60.96 38.36 15.36 20.46 9.26 12.36
8.79 6.49 5.69 9.39 13.69 15.89 18.69 37.59 15.39 17.99 8.39 5.49
13.69 9.19 8.29 10.69 10.89 24.79 32.49 30.89 19.59 14.59 10.79 10.89
8.79 8.79 8.49 9.49 12.59 27.39 44.99 35.79 21.59 15.69 10.29 11.09
9.39 9.59 9.79 9.49 12.19 24.49 40.69 39.79 20.49 15.99 10.99 11.99
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
8.79 10.39 8.39 7.99 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 37.39 9.39 5.89 9.89
7.69 6.39 8.79 5.69 8.99 30.79 19.49 39.19 29.29 11.19 10.79 6.39
9.59 7.49 5.49 6.49 9.49 30.99 78.59 39.19 17.39 10.19 9.69 8.69
7.49 9.09 5.99 4.49 7.39 35.79 41.39 26.69 24.59 20.59 7.09 8.49
7.59 7.79 7.39 9.19 11.39 29.29 41.19 37.39 16.79 11.49 6.69 9.89
10.79 8.39 8.99 6.09 10.89 36.79 24.19 32.29 28.79 14.59 7.29 8.09
8.79 6.49 5.69 9.39 13.69 15.89 18.69 37.59 15.39 17.99 8.39 5.49
13.69 9.19 8.29 10.69 10.89 24.79 32.49 30.89 19.59 14.59 10.79 10.89
8.79 8.79 8.49 9.49 12.59 27.39 44.99 35.79 21.59 15.69 10.29 11.09
9.39 9.59 9.79 9.49 12.19 24.49 40.69 39.79 20.49 15.99 10.99 11.99
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
8.79 10.39 8.39 7.99 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 23.39 16.39 11.39 12.39
10.39 10.39 8.39 9.39 12.39 27.39 39.39 36.39 37.39 9.39 5.89 9.89
7.69 6.39 8.79 5.69 8.99 30.79 19.49 39.19 29.29 11.19 10.79 6.39
9.59 7.49 5.49 6.49 9.49 30.99 78.59 39.19 17.39 10.19 9.69 8.69
7.49 9.09 5.99 4.49 7.39 35.79 41.39 26.69 24.59 20.59 7.09 8.49
7.59 7.79 7.39 9.19 11.39 29.29 41.19 37.39 16.79 11.49 6.69 9.89
