"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
4.9 9.3 5.7 17.7 8.9 27.1 55.2 31.6 22.3 18.1 7.4 8.6
9.4 6 6.2 7.8 10.1 27 47.1 46.3 20.6 12.6 8.2 6.9
5.5 3.5 4.6 5.5 10.4 17.9 32.5 29.1 12.8 8.8 6.4 9.3
5.5 5.8 4.9 8.5 5 16.1 25 26.4 18.3 14.9 6.3 11.6
3.6 8.8 4.5 11.6 8.5 22.6 19.8 27 25.1 10.2 7.4 7.1
3.48 3.58 2.98 5.38 9.88 20.68 51.58 33.98 15.08 8.08 10.48 2.98
6.38 3.38 2.18 7.18 11.88 18.28 45.38 21.28 33.48 13.88 5.78 12.48
7.88 8.08 5.88 6.18 4.98 27.88 39.28 25.38 26.68 13.58 9.78 7.88
8.78 11.78 4.98 4.98 14.18 23.58 27.38 58.88 26.18 11.08 6.68 7.98
3.38 3.98 5.98 8.48 6.18 22.78 17.88 16.28 13.18 16.18 7.18 3.58
8.78 8.58 7.58 3.88 10.08 31.88 40.08 37.08 26.48 18.48 24.78 13.78
7.08 6.38 8.48 5.88 11.78 29.88 11.38 13.48 18.78 13.38 15.98 4.98
8.58 11.48 6.58 5.88 8.18 14.98 46.08 44.78 10.68 16.78 4.08 11.58
15.28 6.88 1.68 11.38 2.08 29.28 26.18 26.28 35.18 9.08 1.68 8.38
4.28 2.58 9.08 5.88 7.38 41.68 34.48 47.68 17.68 11.78 10.28 14.98
4.88 3.98 10.98 1.48 13.58 38.38 21.98 16.08 22.98 11.68 5.18 8.58
7.88 5.68 2.68 9.78 8.38 13.38 18.38 25.48 20.68 22.38 6.88 9.68
21.48 12.78 0 6.08 11.28 37.08 27.98 24.08 35.98 7.48 5.88 9.68
3.68 5.58 1.28 3.78 10.68 21.18 46.58 37.28 13.98 16.68 6.48 4.68
6.48 5.98 2.58 5.88 2.58 16.38 53.18 23.38 10.58 14.58 19.18 10.08
6.38 4.08 3.28 6.98 11.28 13.48 16.28 35.18 12.98 15.58 5.98 3.08
11.28 6.78 5.88 8.28 8.48 22.38 30.08 28.48 17.18 12.18 8.38 8.48
6.38 6.38 6.08 7.08 10.18 24.98 42.58 33.38 19.18 13.28 7.88 8.68
6.98 7.18 7.38 7.08 9.78 22.08 38.28 37.38 18.08 13.58 8.58 9.58
7.98 7.98 5.98 6.98 9.98 24.98 36.98 33.98 20.98 13.98 8.98 9.98
6.38 7.98 5.98 5.58 9.98 24.98 36.98 33.98 20.98 13.98 8.98 9.98
7.98 7.98 5.98 6.98 9.98 24.98 36.98 33.98 20.98 13.98 8.98 9.98
7.98 7.98 5.98 6.98 9.98 24.98 36.98 33.98 20.98 13.98 8.98 9.98
7.98 7.98 5.98 6.98 9.98 24.98 36.98 33.98 20.98 13.98 8.98 9.98
7.98 7.98 5.98 6.98 9.98 24.98 36.98 33.98 34.98 6.98 3.48 7.48
5.28 3.98 6.38 3.28 6.58 28.38 17.08 36.78 26.88 8.78 8.38 3.98
7.18 5.08 3.08 4.08 7.08 28.58 76.18 36.78 14.98 7.78 7.28 6.28
5.08 6.68 3.58 2.08 4.98 33.38 38.98 24.28 22.18 18.18 4.68 6.08
5.18 5.38 4.98 6.78 8.98 26.88 38.78 34.98 14.38 9.08 4.28 7.48
8.38 5.98 6.58 3.68 8.48 34.38 21.78 29.88 26.38 12.18 4.88 5.68
3.5 3.6 3 5.4 9.9 20.7 51.6 34 15.1 8.1 10.5 3
6.4 3.4 2.2 7.2 11.9 18.3 45.4 21.3 33.5 13.9 5.8 12.5
7.9 8.1 5.9 6.2 5 27.9 39.3 25.4 26.7 13.6 9.8 7.9
8.8 11.8 5 5 14.2 23.6 27.4 58.9 26.2 11.1 6.7 8
3.4 4 6 8.5 6.2 22.8 17.9 16.3 13.2 16.2 7.2 3.6
8.8 8.6 7.6 3.9 10.1 31.9 40.1 37.1 26.5 18.5 24.8 13.8
7.1 6.4 8.5 5.9 11.8 29.9 11.4 13.5 18.8 13.4 16 5
8.6 11.5 6.6 5.9 8.2 15 46.1 44.8 10.7 16.8 4.1 11.6
15.3 6.9 1.7 11.4 2.1 29.3 26.2 26.3 35.2 9.1 1.7 8.4
4.3 2.6 9.1 5.9 7.4 41.7 34.5 47.7 17.7 11.8 10.3 15
4.9 4 11 1.5 13.6 38.4 22 16.1 23 11.7 5.2 8.6
