"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
3.21 6.51 2.81 6.91 3.51 17.11 49.51 37.71 15.61 4.31 2.51 2.41
3.11 5.71 1.91 17.21 3.21 28.21 50.61 37.51 29.31 16.01 4.81 5.61
3.41 8.81 8.21 3.71 3.91 12.71 54.41 28.81 11.01 9.01 6.51 15.31
7.01 5.91 3.31 4.91 22.21 15.71 26.71 19.71 12.01 9.01 4.01 13.31
8.21 9.51 5.01 1.71 5.51 35.51 28.31 26.61 17.31 17.81 2.51 6.21
8.81 4.01 7.41 8.31 13.81 19.01 30.01 21.71 18.11 7.01 9.61 16.41
3.41 3.91 1.71 7.31 6.31 14.81 27.81 26.21 21.21 9.21 4.91 9.31
14.41 5.21 5.41 1.31 5.91 20.91 30.91 37.81 18.01 16.61 7.51 9.81
6.61 1.51 3.61 4.11 12.01 30.91 30.21 62.81 19.51 10.31 9.71 17.31
4.41 17.01 9.51 4.01 13.61 5.01 41.71 56.31 18.01 16.01 14.51 7.91
3.61 7.31 3.31 4.01 11.21 26.91 20.81 26.31 29.61 18.81 7.91 8.21
6.21 3.11 6.21 2.81 8.41 25.41 33.51 34.21 5.91 6.91 12.01 8.21
7.41 12.21 4.21 7.91 3.41 11.91 55.01 50.11 21.51 18.51 5.11 4.11
5.91 13.71 7.11 9.81 9.41 44.71 31.31 40.71 24.51 12.41 9.21 5.21
7.61 7.31 10.71 8.31 19.91 22.01 58.61 36.01 13.01 18.11 6.91 10.01
4.66 7.66 5.56 4.76 17.46 21.06 30.96 31.26 15.66 13.06 8.76 9.96
7.86 8.16 6.66 6.86 9.26 22.36 34.86 26.26 9.46 8.26 4.76 7.56
10.06 5.06 4.86 3.56 8.86 16.76 45.26 19.46 28.16 10.66 7.46 6.06
4.36 8.86 3.86 2.36 10.96 19.16 16.16 16.76 13.46 8.76 3.36 4.26
4.76 8.16 3.66 4.06 4.26 28.56 41.06 37.86 23.56 7.16 4.96 8.06
1.76 5.46 5.96 5.06 7.66 35.86 24.56 40.96 19.16 12.06 3.56 6.26
7.96 13.56 2.56 4.46 5.46 51.56 20.16 45.76 22.86 7.06 4.56 7.26
13.86 6.66 10.56 6.46 2.76 22.36 34.56 25.46 20.46 13.16 8.86 10.76
5.16 7.76 4.36 9.66 9.56 28.66 30.16 67.46 27.96 8.16 7.46 8.16
4.16 4.26 8.96 4.26 8.36 31.36 44.96 59.56 14.76 13.06 5.86 4.56
4.56 5.46 3.96 4.36 5.76 28.36 32.86 60.76 33.26 8.46 4.16 5.96
6.16 3.06 5.66 3.46 5.26 22.16 34.36 36.76 23.66 6.16 6.26 4.66
5.96 3.66 3.46 6.86 26.76 13.96 45.86 43.86 17.86 16.56 6.96 2.66
4.66 6.76 4.16 5.76 17.16 39.66 26.76 40.16 24.86 11.26 5.96 15.66
5.76 4.56 4.36 3.26 6.76 11.86 50.86 45.16 14.86 19.06 6.56 9.76
5.26 7.06 4.96 7.56 15.86 42.16 32.66 24.96 28.06 9.66 8.56 9.16
4.16 9.46 5.26 4.06 4.66 12.46 39.26 29.96 21.16 8.26 9.06 6.36
8.66 9.06 8.56 7.56 5.36 21.96 13.36 37.86 14.36 12.66 9.16 9.96
8.66 11.26 7.86 7.76 7.56 34.96 21.06 20.46 16.36 6.96 6.16 6.46
4.66 6.16 4.46 4.26 6.76 34.56 18.46 16.56 14.96 8.26 6.16 10.86
9.46 9.46 7.46 8.46 11.46 26.46 38.46 34.36 22.76 15.76 10.76 10.46
10.06 9.36 6.96 8.06 12.06 27.76 37.26 34.06 25.16 14.56 11.46 11.06
8.66 9.76 6.56 8.06 11.06 25.56 32.26 30.46 23.36 13.66 9.16 10.86
10.56 8.66 6.56 9.46 10.46 26.96 33.96 31.86 22.46 12.96 9.16 4.96
7.46 8.96 4.46 5.16 9.96 38.26 28.56 30.06 42.96 17.36 9.56 4.56
4.96 9.36 5.76 17.76 8.96 27.16 55.26 31.66 22.36 18.16 7.46 8.66
9.46 6.06 6.26 7.86 10.16 27.06 47.16 46.36 20.66 12.66 8.26 6.96
5.56 3.56 4.66 5.56 10.46 17.96 32.56 29.16 12.86 8.86 6.46 9.36
5.56 5.86 4.96 8.56 5.06 16.16 25.06 26.46 18.36 14.96 6.36 11.66
3.66 8.86 4.56 11.66 8.56 22.66 19.86 27.06 25.16 10.26 7.46 7.16
5.17 3.77 4.17 2.07 4.97 21.07 34.67 53.97 24.57 5.67 6.87 3.47
2.67 9.57 4.47 6.27 12.67 37.57 39.67 23.77 14.77 13.07 1.87 7.37
5.17 4.87 4.47 6.57 11.77 18.27 41.77 26.67 24.57 13.77 6.47 7.77
5.17 6.57 5.17 5.57 6.17 25.37 37.37 40.27 8.87 14.07 5.77 10.67
6.27 4.97 3.07 4.97 6.17 24.07 42.37 25.17 17.57 14.57 3.97 5.77
5.67 6.37 3.97 5.37 3.77 33.67 35.47 23.37 22.47 13.37 7.07 7.27
4.57 6.57 3.67 3.17 1.87 24.67 52.97 48.27 12.57 6.87 5.07 8.77
3.57 4.17 8.07 6.87 6.37 55.47 15.47 47.17 22.37 11.97 4.27 9.57
8.67 3.97 7.47 8.67 6.17 32.57 84.67 28.17 29.37 6.87 6.67 11.27
12.47 4.57 2.07 4.97 10.87 31.47 34.17 57.17 21.77 12.97 8.57 9.07
5.07 12.67 4.87 2.07 3.17 13.17 38.37 17.67 10.07 9.07 7.87 7.67
16.77 5.07 1.27 2.77 6.17 28.17 24.87 31.77 17.37 15.37 8.27 14.57
4.17 4.47 1.87 2.87 4.37 36.87 30.07 44.07 25.87 10.87 1.37 5.37
10.37 6.87 10.57 13.97 7.07 14.17 33.07 27.07 25.57 5.87 6.07 4.47
3.57 4.67 5.37 4.27 1.47 36.87 68.17 31.77 19.27 5.87 7.87 3.07
4.65 7.65 5.55 4.75 17.45 21.05 30.95 31.25 15.65 13.05 8.75 9.95
7.85 8.15 6.65 6.85 9.25 22.35 34.85 26.25 9.45 8.25 4.75 7.55
10.05 5.05 4.85 3.55 8.85 16.75 45.25 19.45 28.15 10.65 7.45 6.05
4.35 8.85 3.85 2.35 10.95 19.15 16.15 16.75 13.45 8.75 3.35 4.25
4.75 8.15 3.65 4.05 4.25 28.55 41.05 37.85 23.55 7.15 4.95 8.05
1.75 5.45 5.95 5.05 7.65 35.85 24.55 40.95 19.15 12.05 3.55 6.25
7.95 13.55 2.55 4.45 5.45 51.55 20.15 45.75 22.85 7.05 4.55 7.25
13.85 6.65 10.55 6.45 2.75 22.35 34.55 25.45 20.45 13.15 8.85 10.75
5.15 7.75 4.35 9.65 9.55 28.65 30.15 67.45 27.95 8.15 7.45 8.15
4.15 4.25 8.95 4.25 8.35 31.35 44.95 59.55 14.75 13.05 5.85 4.55
4.55 5.45 3.95 4.35 5.75 28.35 32.85 60.75 33.25 8.45 4.15 5.95
