"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-52.99 -38.79 -29.79 -13.79 -2.89 10.51 15.71 12.11 -0.79 -14.49 -31.99 -44.49
-48.49 -46.69 -36.49 -15.09 0.01 11.81 12.51 9.61 0.31 -18.19 -37.19 -48.89
-49.39 -47.99 -30.29 -18.69 -0.79 10.61 14.61 11.81 2.21 -16.19 -39.59 -43.69
-50.29 -38.89 -35.19 -17.39 -1.89 13.81 17.91 9.91 4.01 -15.29 -40.69 -41.89
-52.99 -47.09 -28.89 -15.79 2.11 9.71 13.21 6.71 0.61 -18.99 -40.09 -50.29
-50.55 -43.15 -33.75 -19.05 -1.85 11.95 13.45 7.85 1.85 -16.05 -36.25 -44.25
-46.05 -42.95 -31.35 -15.05 -0.85 8.35 12.45 8.85 -0.95 -16.15 -38.45 -46.45
-45.45 -41.95 -31.75 -18.15 -3.75 9.05 13.05 8.95 0.55 -17.95 -36.15 -43.95
-49.05 -39.55 -33.25 -17.95 -2.25 12.25 13.25 9.45 -0.65 -17.85 -38.85 -46.25
-48.85 -45.85 -32.85 -16.75 -2.75 10.25 15.65 9.25 1.35 -16.35 -36.55 -48.25
-51.35 -48.55 -35.75 -18.75 0.45 10.95 12.25 10.45 0.85 -17.45 -36.25 -41.85
-50.35 -46.65 -32.45 -16.85 -0.05 11.75 13.65 8.75 1.75 -12.15 -34.55 -44.05
-46.05 -38.95 -27.75 -13.05 -0.75 12.25 14.05 9.95 2.25 -15.55 -40.65 -46.85
-45.75 -47.35 -34.25 -17.95 -0.45 12.55 14.95 11.25 0.35 -17.15 -38.65 -42.75
-44.65 -42.65 -31.65 -18.85 -1.65 10.85 15.55 8.25 2.35 -17.25 -38.35 -43.95
-48.45 -41.65 -32.05 -16.35 1.15 10.75 16.75 11.85 4.15 -13.95 -35.65 -43.05
-50.95 -43.55 -31.15 -14.65 0.65 8.85 13.75 8.05 0.25 -14.55 -41.55 -44.35
-46.35 -42.85 -31.55 -16.85 1.15 11.55 15.65 9.95 2.05 -16.65 -37.85 -45.15
-47.55 -47.25 -29.25 -14.95 -0.25 10.25 14.75 10.05 1.35 -17.45 -38.95 -47.25
-45.55 -42.55 -28.65 -14.85 1.05 11.65 13.35 8.95 0.95 -14.95 -35.35 -38.95
-47.97 -47.77 -31.07 -17.57 -2.27 10.33 14.53 11.63 0.33 -10.97 -34.27 -49.17
-45.87 -42.77 -31.77 -14.47 1.53 12.63 17.13 12.03 1.23 -18.07 -38.97 -45.17
-48.67 -47.57 -29.37 -16.47 -1.37 11.13 11.83 9.93 1.33 -13.67 -38.47 -49.57
-49.97 -51.57 -34.47 -12.67 -0.67 11.03 13.23 11.83 4.03 -12.57 -36.87 -42.97
-43.27 -40.17 -27.77 -9.67 -0.77 9.33 14.63 11.23 1.43 -17.87 -40.27 -46.07
-47.57 -38.47 -33.97 -18.27 -2.27 11.23 12.13 10.63 3.33 -16.27 -28.87 -50.57
-50.77 -49.57 -31.77 -18.67 -2.57 11.03 12.73 8.13 0.13 -18.47 -39.77 -41.27
-50.47 -43.67 -29.07 -17.27 -2.97 9.73 12.13 9.43 0.03 -15.87 -35.97 -45.87
-50.67 -45.47 -32.07 -18.57 -2.57 10.23 12.53 10.63 3.03 -16.67 -31.67 -41.57
-43.37 -47.37 -29.47 -18.27 -1.37 9.13 13.83 8.63 -0.17 -14.97 -37.77 -44.27
-47.07 -44.27 -29.67 -17.57 -0.27 7.93 15.73 11.23 2.93 -17.87 -37.17 -43.87
-50.37 -47.67 -35.97 -14.97 1.53 11.53 14.03 9.53 3.23 -11.47 -27.87 -42.17
-49.87 -45.37 -29.17 -13.77 -2.57 10.83 12.83 11.13 0.03 -15.07 -36.87 -43.07
-47.37 -41.27 -34.17 -17.17 0.13 11.13 13.93 9.33 -1.07 -16.27 -41.57 -44.57
-45.47 -45.37 -27.47 -16.17 -3.57 12.53 13.83 9.93 2.03 -18.17 -34.17 -45.57
-50.67 -43.27 -33.87 -19.17 -1.97 11.83 13.33 7.73 1.73 -16.17 -36.37 -44.37
-46.17 -43.07 -31.47 -15.17 -0.97 8.23 12.33 8.73 -1.07 -16.27 -38.57 -46.57
-45.57 -42.07 -31.87 -18.27 -3.87 8.93 12.93 8.83 0.43 -18.07 -36.27 -44.07
-49.17 -39.67 -33.37 -18.07 -2.37 12.13 13.13 9.33 -0.77 -17.97 -38.97 -46.37
-48.97 -45.97 -32.97 -16.87 -2.87 10.13 15.53 9.13 1.23 -16.47 -36.67 -48.37
-51.47 -48.67 -35.87 -18.87 0.33 10.83 12.13 10.33 0.73 -17.57 -36.37 -41.97
-50.47 -46.77 -32.57 -16.97 -0.17 11.63 13.53 8.63 1.63 -12.27 -34.67 -44.17
-46.17 -39.07 -27.87 -13.17 -0.87 12.13 13.93 9.83 2.13 -15.67 -40.77 -46.97
-45.87 -47.47 -34.37 -18.07 -0.57 12.43 14.83 11.13 0.23 -17.27 -38.77 -42.87
-44.77 -42.77 -31.77 -18.97 -1.77 10.73 15.43 8.13 2.23 -17.37 -38.47 -44.07
-48.57 -41.77 -32.17 -16.47 1.03 10.63 16.63 11.73 4.03 -14.07 -35.77 -43.17
-51.07 -43.67 -31.27 -14.77 0.53 8.73 13.63 7.93 0.13 -14.67 -41.67 -44.47
-46.47 -42.97 -31.67 -16.97 1.03 11.43 15.53 9.83 1.93 -16.77 -37.97 -45.27
-47.67 -47.37 -29.37 -15.07 -0.37 10.13 14.63 9.93 1.23 -17.57 -39.07 -47.37
