"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-47.79 -33.59 -24.59 -8.59 2.31 15.71 20.91 17.31 4.41 -9.29 -26.79 -39.29
-43.29 -41.49 -31.29 -9.89 5.21 17.01 17.71 14.81 5.51 -12.99 -31.99 -43.69
-44.19 -42.79 -25.09 -13.49 4.41 15.81 19.81 17.01 7.41 -10.99 -34.39 -38.49
-45.09 -33.69 -29.99 -12.19 3.31 19.01 23.11 15.11 9.21 -10.09 -35.49 -36.69
-47.79 -41.89 -23.69 -10.59 7.31 14.91 18.41 11.91 5.81 -13.79 -34.89 -45.09
-45.3 -37.9 -28.5 -13.8 3.4 17.2 18.7 13.1 7.1 -10.8 -31 -39
-40.8 -37.7 -26.1 -9.8 4.4 13.6 17.7 14.1 4.3 -10.9 -33.2 -41.2
-40.2 -36.7 -26.5 -12.9 1.5 14.3 18.3 14.2 5.8 -12.7 -30.9 -38.7
-43.8 -34.3 -28 -12.7 3 17.5 18.5 14.7 4.6 -12.6 -33.6 -41
-43.6 -40.6 -27.6 -11.5 2.5 15.5 20.9 14.5 6.6 -11.1 -31.3 -43
-46.1 -43.3 -30.5 -13.5 5.7 16.2 17.5 15.7 6.1 -12.2 -31 -36.6
-45.1 -41.4 -27.2 -11.6 5.2 17 18.9 14 7 -6.9 -29.3 -38.8
-40.8 -33.7 -22.5 -7.8 4.5 17.5 19.3 15.2 7.5 -10.3 -35.4 -41.6
-40.5 -42.1 -29 -12.7 4.8 17.8 20.2 16.5 5.6 -11.9 -33.4 -37.5
-39.4 -37.4 -26.4 -13.6 3.6 16.1 20.8 13.5 7.6 -12 -33.1 -38.7
-43.2 -36.4 -26.8 -11.1 6.4 16 22 17.1 9.4 -8.7 -30.4 -37.8
-45.7 -38.3 -25.9 -9.4 5.9 14.1 19 13.3 5.5 -9.3 -36.3 -39.1
-41.1 -37.6 -26.3 -11.6 6.4 16.8 20.9 15.2 7.3 -11.4 -32.6 -39.9
-42.3 -42 -24 -9.7 5 15.5 20 15.3 6.6 -12.2 -33.7 -42
-40.3 -37.3 -23.4 -9.6 6.3 16.9 18.6 14.2 6.2 -9.7 -30.1 -33.7
-41.45 -41.25 -27.35 -8.55 1.75 15.35 17.55 14.45 7.25 -12.65 -33.25 -40.85
-38.75 -39.85 -29.25 -9.95 6.25 17.05 19.05 13.95 5.65 -13.95 -34.25 -40.45
-44.55 -38.35 -25.75 -10.95 2.15 15.55 17.55 15.15 5.65 -10.55 -27.75 -40.65
-44.45 -42.45 -28.65 -14.25 4.25 14.65 17.65 13.35 4.25 -14.85 -35.95 -37.65
-40.45 -38.65 -28.45 -13.65 4.55 15.25 19.95 16.75 7.65 -10.35 -35.65 -36.55
-36.25 -35.55 -26.15 -9.05 5.65 16.65 18.75 15.35 6.35 -9.65 -30.45 -38.35
-45.85 -35.95 -29.15 -9.55 1.65 14.35 20.55 15.05 7.55 -12.45 -37.25 -40.85
-41.55 -37.25 -24.85 -13.25 5.75 16.15 19.25 17.15 8.15 -11.85 -29.15 -38.25
-37.85 -41.25 -27.85 -11.65 5.25 14.75 19.05 12.75 5.05 -11.45 -30.45 -39.65
-42.85 -34.35 -27.65 -11.55 3.85 15.95 18.35 13.65 6.85 -12.05 -28.95 -36.15
-43.55 -36.05 -26.15 -10.65 3.95 16.95 18.75 14.25 5.85 -9.35 -31.95 -39.45
-42.25 -39.45 -27.95 -12.25 2.55 15.25 20.15 14.65 5.05 -13.15 -35.45 -42.65
-42.45 -36.95 -26.05 -9.75 5.65 17.15 21.35 13.45 8.45 -8.85 -30.15 -35.25
-42.25 -33.55 -21.95 -12.25 4.55 15.25 18.05 14.05 7.05 -12.45 -33.15 -35.65
-42.35 -37.85 -19.15 -8.15 9.05 17.85 17.45 16.05 5.95 -9.85 -34.35 -40.05
-41.54 -41.34 -27.44 -8.64 1.66 15.26 17.46 14.36 7.16 -12.74 -33.34 -40.94
-38.84 -39.94 -29.34 -10.04 6.16 16.96 18.96 13.86 5.56 -14.04 -34.34 -40.54
-44.64 -38.44 -25.84 -11.04 2.06 15.46 17.46 15.06 5.56 -10.64 -27.84 -40.74
-44.54 -42.54 -28.74 -14.34 4.16 14.56 17.56 13.26 4.16 -14.94 -36.04 -37.74
-40.54 -38.74 -28.54 -13.74 4.46 15.16 19.86 16.66 7.56 -10.44 -35.74 -36.64
-36.34 -35.64 -26.24 -9.14 5.56 16.56 18.66 15.26 6.26 -9.74 -30.54 -38.44
-45.94 -36.04 -29.24 -9.64 1.56 14.26 20.46 14.96 7.46 -12.54 -37.34 -40.94
-41.64 -37.34 -24.94 -13.34 5.66 16.06 19.16 17.06 8.06 -11.94 -29.24 -38.34
-37.94 -41.34 -27.94 -11.74 5.16 14.66 18.96 12.66 4.96 -11.54 -30.54 -39.74
-42.94 -34.44 -27.74 -11.64 3.76 15.86 18.26 13.56 6.76 -12.14 -29.04 -36.24
-43.64 -36.14 -26.24 -10.74 3.86 16.86 18.66 14.16 5.76 -9.44 -32.04 -39.54
-42.34 -39.54 -28.04 -12.34 2.46 15.16 20.06 14.56 4.96 -13.24 -35.54 -42.74
-42.54 -37.04 -26.14 -9.84 5.56 17.06 21.26 13.36 8.36 -8.94 -30.24 -35.34
-42.34 -33.64 -22.04 -12.34 4.46 15.16 17.96 13.96 6.96 -12.54 -33.24 -35.74
-42.44 -37.94 -19.24 -8.24 8.96 17.76 17.36 15.96 5.86 -9.94 -34.44 -40.14
-42.78 -42.58 -25.88 -12.38 2.92 15.52 19.72 16.82 5.52 -5.78 -29.08 -43.98
-40.68 -37.58 -26.58 -9.28 6.72 17.82 22.32 17.22 6.42 -12.88 -33.78 -39.98
-43.48 -42.38 -24.18 -11.28 3.82 16.32 17.02 15.12 6.52 -8.48 -33.28 -44.38
-44.78 -46.38 -29.28 -7.48 4.52 16.22 18.42 17.02 9.22 -7.38 -31.68 -37.78
-38.08 -34.98 -22.58 -4.48 4.42 14.52 19.82 16.42 6.62 -12.68 -35.08 -40.88
-42.38 -33.28 -28.78 -13.08 2.92 16.42 17.32 15.82 8.52 -11.08 -23.68 -45.38
-45.58 -44.38 -26.58 -13.48 2.62 16.22 17.92 13.32 5.32 -13.28 -34.58 -36.08
-45.28 -38.48 -23.88 -12.08 2.22 14.92 17.32 14.62 5.22 -10.68 -30.78 -40.68
-45.48 -40.28 -26.88 -13.38 2.62 15.42 17.72 15.82 8.22 -11.48 -26.48 -36.38
-38.18 -42.18 -24.28 -13.08 3.82 14.32 19.02 13.82 5.02 -9.78 -32.58 -39.08
-41.88 -39.08 -24.48 -12.38 4.92 13.12 20.92 16.42 8.12 -12.68 -31.98 -38.68
-45.18 -42.48 -30.78 -9.78 6.72 16.72 19.22 14.72 8.42 -6.28 -22.68 -36.98
-44.68 -40.18 -23.98 -8.58 2.62 16.02 18.02 16.32 5.22 -9.88 -31.68 -37.88
-42.18 -36.08 -28.98 -11.98 5.32 16.32 19.12 14.52 4.12 -11.08 -36.38 -39.38
-40.28 -40.18 -22.28 -10.98 1.62 17.72 19.02 15.12 7.22 -12.98 -28.98 -40.38
-42.76 -42.56 -25.86 -12.36 2.94 15.54 19.74 16.84 5.54 -5.76 -29.06 -43.96
-40.66 -37.56 -26.56 -9.26 6.74 17.84 22.34 17.24 6.44 -12.86 -33.76 -39.96
-43.46 -42.36 -24.16 -11.26 3.84 16.34 17.04 15.14 6.54 -8.46 -33.26 -44.36
-44.76 -46.36 -29.26 -7.46 4.54 16.24 18.44 17.04 9.24 -7.36 -31.66 -37.76
-38.06 -34.96 -22.56 -4.46 4.44 14.54 19.84 16.44 6.64 -12.66 -35.06 -40.86
-42.36 -33.26 -28.76 -13.06 2.94 16.44 17.34 15.84 8.54 -11.06 -23.66 -45.36
-45.56 -44.36 -26.56 -13.46 2.64 16.24 17.94 13.34 5.34 -13.26 -34.56 -36.06
-45.26 -38.46 -23.86 -12.06 2.24 14.94 17.34 14.64 5.24 -10.66 -30.76 -40.66
-45.46 -40.26 -26.86 -13.36 2.64 15.44 17.74 15.84 8.24 -11.46 -26.46 -36.36
-38.16 -42.16 -24.26 -13.06 3.84 14.34 19.04 13.84 5.04 -9.76 -32.56 -39.06
-41.86 -39.06 -24.46 -12.36 4.94 13.14 20.94 16.44 8.14 -12.66 -31.96 -38.66
-45.16 -42.46 -30.76 -9.76 6.74 16.74 19.24 14.74 8.44 -6.26 -22.66 -36.96
-44.66 -40.16 -23.96 -8.56 2.64 16.04 18.04 16.34 5.24 -9.86 -31.66 -37.86
-42.16 -36.06 -28.96 -11.96 5.34 16.34 19.14 14.54 4.14 -11.06 -36.36 -39.36
-40.26 -40.16 -22.26 -10.96 1.64 17.74 19.04 15.14 7.24 -12.96 -28.96 -40.36
-45.51 -35.41 -22.31 -9.71 4.59 17.29 18.79 14.99 7.29 -13.11 -32.71 -32.11
-45.71 -37.01 -28.11 -13.41 0.79 17.79 19.59 13.39 5.39 -12.61 -34.51 -42.31
-39.51 -34.41 -23.31 -14.51 5.69 17.99 22.89 14.89 6.29 -11.41 -27.61 -46.51
-40.91 -39.91 -23.31 -10.51 0.99 13.89 19.19 14.69 5.19 -13.91 -27.41 -37.21
-42.11 -41.11 -26.91 -13.11 3.29 15.19 16.49 14.19 5.89 -15.11 -36.01 -38.91
-42.61 -38.41 -25.81 -10.81 5.09 17.09 19.89 16.69 8.39 -8.61 -32.71 -37.81
