"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-46.72 -46.52 -32.62 -13.82 -3.52 10.08 12.28 9.18 1.98 -17.92 -38.52 -46.12
-44.02 -45.12 -34.52 -15.22 0.98 11.78 13.78 8.68 0.38 -19.22 -39.52 -45.72
-49.82 -43.62 -31.02 -16.22 -3.12 10.28 12.28 9.88 0.38 -15.82 -33.02 -45.92
-49.72 -47.72 -33.92 -19.52 -1.02 9.38 12.38 8.08 -1.02 -20.12 -41.22 -42.92
-45.72 -43.92 -33.72 -18.92 -0.72 9.98 14.68 11.48 2.38 -15.62 -40.92 -41.82
-41.52 -40.82 -31.42 -14.32 0.38 11.38 13.48 10.08 1.08 -14.92 -35.72 -43.62
-51.12 -41.22 -34.42 -14.82 -3.62 9.08 15.28 9.78 2.28 -17.72 -42.52 -46.12
-46.82 -42.52 -30.12 -18.52 0.48 10.88 13.98 11.88 2.88 -17.12 -34.42 -43.52
-43.12 -46.52 -33.12 -16.92 -0.02 9.48 13.78 7.48 -0.22 -16.72 -35.72 -44.92
-48.12 -39.62 -32.92 -16.82 -1.42 10.68 13.08 8.38 1.58 -17.32 -34.22 -41.42
-48.82 -41.32 -31.42 -15.92 -1.32 11.68 13.48 8.98 0.58 -14.62 -37.22 -44.72
-47.52 -44.72 -33.22 -17.52 -2.72 9.98 14.88 9.38 -0.22 -18.42 -40.72 -47.92
-47.72 -42.22 -31.32 -15.02 0.38 11.88 16.08 8.18 3.18 -14.12 -35.42 -40.52
-47.52 -38.82 -27.22 -17.52 -0.72 9.98 12.78 8.78 1.78 -17.72 -38.42 -40.92
-47.62 -43.12 -24.42 -13.42 3.78 12.58 12.18 10.78 0.68 -15.12 -39.62 -45.32
-51.29 -48.09 -31.29 -20.39 -0.59 10.71 15.01 9.11 1.71 -12.39 -35.69 -41.59
-48.39 -40.89 -31.39 -17.69 -3.89 10.11 13.01 10.11 2.41 -15.39 -39.99 -48.69
-44.39 -47.09 -34.69 -19.49 -2.09 10.31 12.91 9.61 0.21 -14.39 -36.79 -46.39
-46.79 -40.79 -33.89 -19.19 0.01 10.61 16.41 8.51 1.21 -15.69 -36.59 -47.29
-50.09 -43.49 -34.99 -17.09 -0.69 9.61 15.21 9.91 2.21 -17.79 -38.99 -42.29
-51.19 -44.29 -34.49 -16.29 -0.29 10.31 15.11 9.51 2.41 -15.89 -36.49 -43.19
-45.79 -40.89 -35.19 -17.79 0.51 10.51 13.71 9.81 1.81 -15.29 -36.19 -41.29
-44.59 -44.59 -31.99 -14.59 -2.39 10.81 13.91 10.01 2.51 -17.09 -31.39 -44.19
-51.49 -42.89 -31.79 -19.39 -2.59 9.91 11.51 10.01 2.11 -14.49 -36.39 -43.19
-43.99 -42.39 -30.99 -14.89 -1.29 10.81 14.11 8.41 -1.19 -19.09 -38.39 -47.69
-50.69 -46.89 -36.89 -17.09 -1.49 9.91 16.11 9.31 1.21 -15.49 -39.69 -45.99
-44.89 -44.49 -37.89 -17.59 -0.89 10.01 12.71 8.51 0.81 -16.49 -37.29 -42.99
-47.79 -43.09 -26.69 -11.59 1.71 9.71 11.51 8.91 1.61 -12.29 -35.49 -46.99
-46.59 -44.39 -30.89 -17.39 -0.69 9.21 12.11 9.51 2.61 -17.39 -35.79 -42.39
-50.49 -43.79 -33.99 -15.39 0.71 10.81 13.61 10.61 0.41 -13.49 -35.39 -45.79
-50.8 -40.7 -27.6 -15 -0.7 12 13.5 9.7 2 -18.4 -38 -37.4
-51 -42.3 -33.4 -18.7 -4.5 12.5 14.3 8.1 0.1 -17.9 -39.8 -47.6
-44.8 -39.7 -28.6 -19.8 0.4 12.7 17.6 9.6 1 -16.7 -32.9 -51.8
-46.2 -45.2 -28.6 -15.8 -4.3 8.6 13.9 9.4 -0.1 -19.2 -32.7 -42.5
-47.4 -46.4 -32.2 -18.4 -2 9.9 11.2 8.9 0.6 -20.4 -41.3 -44.2
-47.9 -43.7 -31.1 -16.1 -0.2 11.8 14.6 11.4 3.1 -13.9 -38 -43.1
-49 -42.9 -33.3 -13.7 0 11 15.2 8.8 2 -11.2 -33.9 -51.3
-54 -43.4 -35.5 -16.3 1.3 13.4 17.2 9.1 4.6 -11.6 -38.5 -50.1
-53.3 -47.8 -34.4 -13.1 0.5 10.2 16.3 13.1 1.6 -10.8 -40.4 -43.5
-45.5 -44.1 -33.2 -14 -1.1 12.7 15.2 12.6 2.1 -11.8 -37.8 -50.6
-53.2 -39 -30 -14 -3.1 10.3 15.5 11.9 -1 -14.7 -32.2 -44.7
-48.7 -46.9 -36.7 -15.3 -0.2 11.6 12.3 9.4 0.1 -18.4 -37.4 -49.1
-49.6 -48.2 -30.5 -18.9 -1 10.4 14.4 11.6 2 -16.4 -39.8 -43.9
-50.5 -39.1 -35.4 -17.6 -2.1 13.6 17.7 9.7 3.8 -15.5 -40.9 -42.1
-53.2 -47.3 -29.1 -16 1.9 9.5 13 6.5 0.4 -19.2 -40.3 -50.5
-48.72 -47.22 -32.62 -15.62 -1.32 10.88 14.08 8.08 -0.72 -17.52 -38.02 -46.92
-48.32 -39.72 -29.82 -14.42 -0.52 11.18 14.68 9.38 2.58 -9.52 -34.12 -44.42
-47.32 -42.02 -28.72 -15.12 0.78 11.38 12.98 10.48 0.38 -13.82 -35.62 -45.92
-47.62 -43.42 -29.12 -14.52 -0.42 9.78 12.58 8.38 2.68 -13.32 -39.32 -40.72
-46.32 -44.62 -33.62 -18.82 -2.82 10.28 12.08 7.48 -0.22 -17.32 -40.42 -46.52
-49.72 -45.72 -32.52 -19.02 -0.82 10.68 13.58 10.38 2.98 -13.42 -36.52 -41.92
-50.12 -44.92 -30.12 -16.72 -2.52 10.08 15.38 11.28 2.98 -17.02 -39.42 -45.32
-45.72 -43.82 -29.42 -15.02 0.98 11.18 14.88 9.78 2.48 -15.02 -36.02 -44.22
-48.02 -43.52 -32.32 -12.92 -1.62 11.28 14.08 9.58 0.58 -13.12 -37.42 -43.52
-43.32 -45.12 -35.92 -19.52 -1.12 11.18 13.08 10.48 0.48 -16.42 -38.72 -46.42
-47.12 -40.52 -31.52 -20.52 -2.42 13.08 13.98 8.18 1.78 -19.72 -34.22 -41.42
-44.02 -45.12 -33.32 -16.12 -0.12 11.68 12.68 8.68 -0.62 -18.82 -39.02 -45.32
-48.22 -44.82 -35.12 -18.02 -3.02 9.18 14.18 10.98 2.28 -17.42 -43.52 -45.42
