"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
7.42 11.22 7.62 19.42 10.12 26.92 55.22 32.72 24.22 21.12 9.42 11.62
12.02 7.42 8.32 7.62 10.42 24.72 43.32 49.62 18.92 14.22 9.32 9.82
8.02 5.72 6.02 7.82 12.12 16.82 33.72 24.62 14.22 10.92 7.82 12.12
8.62 7.72 6.12 11.42 5.82 15.52 26.82 29.82 22.72 18.42 8.12 15.82
6.12 9.52 6.82 15.02 10.12 16.82 22.32 24.62 23.22 12.02 9.22 9.52
5.97 5.07 4.47 6.77 10.07 20.37 49.97 36.77 14.87 9.87 12.67 5.37
8.77 5.07 3.97 8.97 12.47 18.27 51.67 25.67 36.17 16.87 7.97 15.87
10.17 9.67 7.57 7.37 5.97 29.07 43.17 25.87 28.07 15.97 11.57 10.17
12.17 15.17 7.47 6.97 14.37 21.07 28.47 62.57 28.17 14.07 8.67 9.97
4.87 5.37 8.17 10.27 7.27 23.17 16.97 18.67 11.67 20.47 7.67 5.67
11.67 9.77 9.17 5.57 10.77 31.07 39.47 37.77 28.07 21.17 26.07 17.07
9.97 8.07 10.17 7.87 11.97 28.97 14.07 15.57 18.77 16.27 18.17 7.37
11.77 13.77 8.27 7.27 8.97 15.67 46.27 46.97 12.77 19.77 5.67 14.87
18.27 8.27 3.47 12.77 3.47 28.17 25.37 27.87 37.47 11.77 3.27 10.57
6.37 3.97 10.47 7.67 7.77 39.07 33.17 49.57 20.37 14.17 11.87 17.67
7.67 5.47 13.47 3.17 13.97 36.47 21.27 16.27 26.87 14.37 7.07 11.87
10.87 7.87 4.17 11.47 9.57 14.27 17.67 26.57 22.97 25.57 8.27 12.17
27.17 15.27 1.57 7.87 12.37 35.07 30.77 24.07 36.47 9.87 7.27 12.67
6.07 6.97 3.07 5.27 11.07 19.77 46.57 39.27 15.97 20.87 7.57 6.57
8.97 7.97 3.97 7.67 3.87 17.27 53.57 25.27 11.57 17.77 22.87 13.57
4.97 8.07 4.47 8.87 5.17 14.77 48.17 36.97 16.87 5.77 4.17 4.37
4.97 7.47 3.57 19.77 4.67 29.67 50.87 36.37 30.77 17.47 6.27 8.37
5.47 10.87 9.77 5.67 5.07 11.27 56.17 31.77 13.47 11.27 7.87 18.77
9.77 7.77 4.97 6.77 21.97 16.67 28.27 20.67 13.97 10.97 5.67 16.77
11.17 11.47 6.77 3.77 6.27 36.37 28.47 28.67 18.07 22.47 3.87 8.77
11.67 5.97 9.07 9.47 13.97 20.37 34.67 22.27 19.77 9.47 11.37 20.07
6.07 5.87 3.47 8.97 6.97 15.17 26.77 25.77 22.97 11.57 6.77 11.37
19.17 7.17 7.37 3.17 7.17 20.87 31.07 36.17 18.17 20.27 8.87 12.87
9.17 3.47 5.57 6.07 12.07 29.17 30.27 63.27 20.67 12.97 11.27 21.07
6.77 18.57 11.57 5.67 14.17 6.97 40.67 53.77 20.87 19.67 15.97 10.27
5.87 9.47 5.37 5.87 12.17 26.07 21.57 27.17 31.17 22.57 9.67 10.97
9.27 4.87 8.37 4.67 9.17 26.07 35.37 35.17 8.87 9.37 14.87 10.97
10.07 14.37 5.67 9.67 4.47 11.87 57.27 46.77 24.87 21.57 6.77 6.07
8.47 14.07 9.27 12.07 10.07 42.47 32.67 40.27 27.37 14.87 11.07 7.87
10.97 9.47 12.67 10.47 20.37 24.37 58.17 38.37 15.07 20.57 8.77 13.17
4.99 8.09 4.49 8.89 5.19 14.79 48.19 36.99 16.89 5.79 4.19 4.39
4.99 7.49 3.59 19.79 4.69 29.69 50.89 36.39 30.79 17.49 6.29 8.39
5.49 10.89 9.79 5.69 5.09 11.29 56.19 31.79 13.49 11.29 7.89 18.79
9.79 7.79 4.99 6.79 21.99 16.69 28.29 20.69 13.99 10.99 5.69 16.79
11.19 11.49 6.79 3.79 6.29 36.39 28.49 28.69 18.09 22.49 3.89 8.79
11.69 5.99 9.09 9.49 13.99 20.39 34.69 22.29 19.79 9.49 11.39 20.09
6.09 5.89 3.49 8.99 6.99 15.19 26.79 25.79 22.99 11.59 6.79 11.39
19.19 7.19 7.39 3.19 7.19 20.89 31.09 36.19 18.19 20.29 8.89 12.89
9.19 3.49 5.59 6.09 12.09 29.19 30.29 63.29 20.69 12.99 11.29 21.09
6.79 18.59 11.59 5.69 14.19 6.99 40.69 53.79 20.89 19.69 15.99 10.29
5.89 9.49 5.39 5.89 12.19 26.09 21.59 27.19 31.19 22.59 9.69 10.99
9.29 4.89 8.39 4.69 9.19 26.09 35.39 35.19 8.89 9.39 14.89 10.99
10.09 14.39 5.69 9.69 4.49 11.89 57.29 46.79 24.89 21.59 6.79 6.09
8.49 14.09 9.29 12.09 10.09 42.49 32.69 40.29 27.39 14.89 11.09 7.89
10.99 9.49 12.69 10.49 20.39 24.39 58.19 38.39 15.09 20.59 8.79 13.19
9.1 6.2 5.4 8.8 12.2 13.8 18.5 34.7 15.8 20.3 7.1 5.6
15.8 6.8 7.6 10.9 10.5 24.4 36.6 33.8 22.1 16.4 10.7 12.5
10.5 9.5 7.8 8.8 10.8 24.8 38.8 34.7 22.5 16.7 10.6 12.5
10.6 9.6 8.1 8.8 10.8 24.3 38 35.4 22.3 16.7 10.7 12.7
10.8 9.8 7.8 8.8 10.8 24.8 37.8 34.8 22.8 16.8 10.8 12.8
10.5 9.8 7.8 8.5 10.8 24.8 37.8 34.8 22.8 16.8 10.8 12.8
10.8 9.8 7.8 8.8 10.8 24.8 37.8 34.8 22.8 16.8 10.8 12.8
10.8 9.8 7.8 8.8 10.8 24.8 37.8 34.8 22.8 16.8 10.8 12.8
10.8 9.8 7.8 8.8 10.8 24.8 37.8 34.8 22.8 16.8 10.8 12.8
10.8 9.8 7.8 8.8 10.8 24.8 37.8 34.8 36.4 9.5 5.5 10.1
7.9 5.8 8.2 5 8.1 27.6 18.6 39.2 28.1 11.6 10.1 6.2
8.8 6.8 5 5.9 8.2 29.9 76.1 38.8 14.5 10.5 9.3 8.1
7.8 8.7 5.4 3.7 6.1 29.2 41 24 23 21.7 6.2 8.7
7.3 5.7 6.7 8.6 10.5 24.4 37 33.8 15.5 11 6.1 9.9
11 7.9 7.3 5.7 8.2 34.6 24.1 32.7 26.5 15.2 6.4 8.2
9.09 6.19 5.39 8.79 12.19 13.79 18.49 34.69 15.79 20.29 7.09 5.59
15.79 6.79 7.59 10.89 10.49 24.39 36.59 33.79 22.09 16.39 10.69 12.49
10.49 9.49 7.79 8.79 10.79 24.79 38.79 34.69 22.49 16.69 10.59 12.49
10.59 9.59 8.09 8.79 10.79 24.29 37.99 35.39 22.29 16.69 10.69 12.69
10.79 9.79 7.79 8.79 10.79 24.79 37.79 34.79 22.79 16.79 10.79 12.79
10.49 9.79 7.79 8.49 10.79 24.79 37.79 34.79 22.79 16.79 10.79 12.79
10.79 9.79 7.79 8.79 10.79 24.79 37.79 34.79 22.79 16.79 10.79 12.79
10.79 9.79 7.79 8.79 10.79 24.79 37.79 34.79 22.79 16.79 10.79 12.79
10.79 9.79 7.79 8.79 10.79 24.79 37.79 34.79 22.79 16.79 10.79 12.79
10.79 9.79 7.79 8.79 10.79 24.79 37.79 34.79 36.39 9.49 5.49 10.09
7.89 5.79 8.19 4.99 8.09 27.59 18.59 39.19 28.09 11.59 10.09 6.19
8.79 6.79 4.99 5.89 8.19 29.89 76.09 38.79 14.49 10.49 9.29 8.09
7.79 8.69 5.39 3.69 6.09 29.19 40.99 23.99 22.99 21.69 6.19 8.69
7.29 5.69 6.69 8.59 10.49 24.39 36.99 33.79 15.49 10.99 6.09 9.89
10.99 7.89 7.29 5.69 8.19 34.59 24.09 32.69 26.49 15.19 6.39 8.19
7.02 9.02 5.92 7.72 17.72 42.52 33.72 23.62 31.12 12.22 10.82 12.62
6.72 11.12 7.52 6.22 5.82 12.62 36.42 30.22 23.42 11.22 12.12 9.32
12.22 11.32 9.62 10.22 5.42 23.92 16.12 40.82 13.42 13.82 10.92 14.12
12.22 11.72 9.52 10.32 9.02 37.42 21.22 22.62 16.92 8.72 7.82 8.42
6.02 8.32 6.62 6.32 8.42 34.32 20.32 15.22 17.22 9.72 5.82 14.32
12.42 11.42 9.42 10.42 12.42 26.42 39.42 36.22 24.52 18.52 12.52 14.22
12.52 11.42 9.32 10.32 12.52 26.62 39.22 36.22 24.92 18.22 12.62 14.32
12.22 11.52 9.22 10.32 12.32 26.22 38.32 35.52 24.62 18.02 12.22 14.32
12.62 11.22 9.22 10.62 12.22 26.52 38.62 35.82 25.82 16.62 9.42 7.32
9.12 11.22 6.32 7.42 11.32 40.92 28.72 27.72 44.42 16.02 11.32 7.22
7.52 11.32 7.72 19.52 10.22 27.02 55.32 32.82 24.32 21.22 9.52 11.72
12.12 7.52 8.42 7.72 10.52 24.82 43.42 49.72 19.02 14.32 9.42 9.92
8.12 5.82 6.12 7.92 12.22 16.92 33.82 24.72 14.32 11.02 7.92 12.22
8.72 7.82 6.22 11.52 5.92 15.62 26.92 29.92 22.82 18.52 8.22 15.92
6.22 9.62 6.92 15.12 10.22 16.92 22.42 24.72 23.32 12.12 9.32 9.62
6.08 5.18 4.58 6.88 10.18 20.48 50.08 36.88 14.98 9.98 12.78 5.48
8.88 5.18 4.08 9.08 12.58 18.38 51.78 25.78 36.28 16.98 8.08 15.98
10.28 9.78 7.68 7.48 6.08 29.18 43.28 25.98 28.18 16.08 11.68 10.28
12.28 15.28 7.58 7.08 14.48 21.18 28.58 62.68 28.28 14.18 8.78 10.08
4.98 5.48 8.28 10.38 7.38 23.28 17.08 18.78 11.78 20.58 7.78 5.78
11.78 9.88 9.28 5.68 10.88 31.18 39.58 37.88 28.18 21.28 26.18 17.18
10.08 8.18 10.28 7.98 12.08 29.08 14.18 15.68 18.88 16.38 18.28 7.48
11.88 13.88 8.38 7.38 9.08 15.78 46.38 47.08 12.88 19.88 5.78 14.98
18.38 8.38 3.58 12.88 3.58 28.28 25.48 27.98 37.58 11.88 3.38 10.68
6.48 4.08 10.58 7.78 7.88 39.18 33.28 49.68 20.48 14.28 11.98 17.78
7.78 5.58 13.58 3.28 14.08 36.58 21.38 16.38 26.98 14.48 7.18 11.98
10.98 7.98 4.28 11.58 9.68 14.38 17.78 26.68 23.08 25.68 8.38 12.28
27.28 15.38 1.68 7.98 12.48 35.18 30.88 24.18 36.58 9.98 7.38 12.78
6.18 7.08 3.18 5.38 11.18 19.88 46.68 39.38 16.08 20.98 7.68 6.68
9.08 8.08 4.08 7.78 3.98 17.38 53.68 25.38 11.68 17.88 22.98 13.68
4.94 8.04 4.44 8.84 5.14 14.74 48.14 36.94 16.84 5.74 4.14 4.34
4.94 7.44 3.54 19.74 4.64 29.64 50.84 36.34 30.74 17.44 6.24 8.34
5.44 10.84 9.74 5.64 5.04 11.24 56.14 31.74 13.44 11.24 7.84 18.74
9.74 7.74 4.94 6.74 21.94 16.64 28.24 20.64 13.94 10.94 5.64 16.74
11.14 11.44 6.74 3.74 6.24 36.34 28.44 28.64 18.04 22.44 3.84 8.74
11.64 5.94 9.04 9.44 13.94 20.34 34.64 22.24 19.74 9.44 11.34 20.04
6.04 5.84 3.44 8.94 6.94 15.14 26.74 25.74 22.94 11.54 6.74 11.34
19.14 7.14 7.34 3.14 7.14 20.84 31.04 36.14 18.14 20.24 8.84 12.84
9.14 3.44 5.54 6.04 12.04 29.14 30.24 63.24 20.64 12.94 11.24 21.04
6.74 18.54 11.54 5.64 14.14 6.94 40.64 53.74 20.84 19.64 15.94 10.24
5.84 9.44 5.34 5.84 12.14 26.04 21.54 27.14 31.14 22.54 9.64 10.94
9.24 4.84 8.34 4.64 9.14 26.04 35.34 35.14 8.84 9.34 14.84 10.94
10.04 14.34 5.64 9.64 4.44 11.84 57.24 46.74 24.84 21.54 6.74 6.04
8.44 14.04 9.24 12.04 10.04 42.44 32.64 40.24 27.34 14.84 11.04 7.84
10.94 9.44 12.64 10.44 20.34 24.34 58.14 38.34 15.04 20.54 8.74 13.14
6.92 8.92 5.82 7.62 17.62 42.42 33.62 23.52 31.02 12.12 10.72 12.52
6.62 11.02 7.42 6.12 5.72 12.52 36.32 30.12 23.32 11.12 12.02 9.22
12.12 11.22 9.52 10.12 5.32 23.82 16.02 40.72 13.32 13.72 10.82 14.02
12.12 11.62 9.42 10.22 8.92 37.32 21.12 22.52 16.82 8.62 7.72 8.32
5.92 8.22 6.52 6.22 8.32 34.22 20.22 15.12 17.12 9.62 5.72 14.22
12.32 11.32 9.32 10.32 12.32 26.32 39.32 36.12 24.42 18.42 12.42 14.12
12.42 11.32 9.22 10.22 12.42 26.52 39.12 36.12 24.82 18.12 12.52 14.22
12.12 11.42 9.12 10.22 12.22 26.12 38.22 35.42 24.52 17.92 12.12 14.22
12.52 11.12 9.12 10.52 12.12 26.42 38.52 35.72 25.72 16.52 9.32 7.22
9.02 11.12 6.22 7.32 11.22 40.82 28.62 27.62 44.32 15.92 11.22 7.12
7.42 11.22 7.62 19.42 10.12 26.92 55.22 32.72 24.22 21.12 9.42 11.62
12.02 7.42 8.32 7.62 10.42 24.72 43.32 49.62 18.92 14.22 9.32 9.82
8.02 5.72 6.02 7.82 12.12 16.82 33.72 24.62 14.22 10.92 7.82 12.12
8.62 7.72 6.12 11.42 5.82 15.52 26.82 29.82 22.72 18.42 8.12 15.82
6.12 9.52 6.82 15.02 10.12 16.82 22.32 24.62 23.22 12.02 9.22 9.52
6.26 9.26 6.36 6.66 19.36 22.16 35.36 35.56 17.76 15.36 9.76 12.56
