"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
3.16 6.26 2.66 7.06 3.36 12.96 46.36 35.16 15.06 3.96 2.36 2.56
3.16 5.66 1.76 17.96 2.86 27.86 49.06 34.56 28.96 15.66 4.46 6.56
3.66 9.06 7.96 3.86 3.26 9.46 54.36 29.96 11.66 9.46 6.06 16.96
7.96 5.96 3.16 4.96 20.16 14.86 26.46 18.86 12.16 9.16 3.86 14.96
9.36 9.66 4.96 1.96 4.46 34.56 26.66 26.86 16.26 20.66 2.06 6.96
9.86 4.16 7.26 7.66 12.16 18.56 32.86 20.46 17.96 7.66 9.56 18.26
4.26 4.06 1.66 7.16 5.16 13.36 24.96 23.96 21.16 9.76 4.96 9.56
17.36 5.36 5.56 1.36 5.36 19.06 29.26 34.36 16.36 18.46 7.06 11.06
7.36 1.66 3.76 4.26 10.26 27.36 28.46 61.46 18.86 11.16 9.46 19.26
4.96 16.76 9.76 3.86 12.36 5.16 38.86 51.96 19.06 17.86 14.16 8.46
4.06 7.66 3.56 4.06 10.36 24.26 19.76 25.36 29.36 20.76 7.86 9.16
7.46 3.06 6.56 2.86 7.36 24.26 33.56 33.36 7.06 7.56 13.06 9.16
8.26 12.56 3.86 7.86 2.66 10.06 55.46 44.96 23.06 19.76 4.96 4.26
6.66 12.26 7.46 10.26 8.26 40.66 30.86 38.46 25.56 13.06 9.26 6.06
9.16 7.66 10.86 8.66 18.56 22.56 56.36 36.56 13.26 18.76 6.96 11.36
4.4 7.4 4.5 4.8 17.5 20.3 33.5 33.7 15.9 13.5 7.9 10.7
9.6 8.5 6.6 7.5 9.4 23 35.9 26.2 10.6 8.4 3.8 8.2
9.5 4 3 2.4 8 15 44.3 17.5 28.4 11.8 6.2 6.9
5 9.6 3.3 2.2 8.6 17.5 16.4 15.1 12.8 9.3 3.5 4.9
5.1 7.7 3.4 4.1 3.9 28 40.5 33.5 22.4 7.2 3.7 8.6
2 5.1 5.9 5.1 6.9 31.1 22 38.5 18 12.7 3.2 7.2
8 12.7 2.5 4.6 4.7 53.5 20.6 47.1 24.1 4.9 3.2 7.4
14.8 6.6 10.1 6.4 2.6 20.2 34.8 21.5 21.2 14.4 8.5 11
5.9 8.1 4.5 9.7 8.3 25.6 26 67.5 26.7 9.1 7.2 8.5
4.4 4.5 8.3 4.5 7.7 29.4 43.7 56.8 14.8 14.4 5.6 4.9
5 5.6 4 4.4 5.2 27 33.3 58 35 8.8 4.2 6.2
6.3 3.1 5.6 3.6 4.9 19 32.6 36.6 23.5 6.4 6 5.1
6.5 3.7 3.7 6.7 24.6 10.8 46.4 45.9 17.7 17.9 6.5 2.9
5.4 6.8 4.3 5.8 14.8 37.8 27.5 42.4 28.1 11.5 5.8 16.8
6.3 4.9 4.2 3.3 6 11.6 46 48.2 16.8 19.9 6.5 10.8
