"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-52.81 -38.51 -29.81 -14.01 -3.01 10.49 15.89 12.09 -0.71 -14.61 -32.01 -43.91
-48.41 -46.51 -36.61 -15.31 -0.11 11.59 12.49 9.69 0.29 -18.21 -37.11 -48.51
-49.21 -47.91 -30.41 -18.81 -0.91 10.49 14.59 11.79 2.09 -16.21 -39.51 -43.41
-50.31 -39.01 -35.21 -17.71 -2.01 13.49 17.89 9.89 3.89 -15.41 -40.31 -41.81
-52.51 -47.01 -29.01 -15.91 1.89 9.59 13.19 6.79 0.59 -18.91 -40.11 -49.91
-50.61 -40.61 -27.61 -15.11 -0.71 11.99 13.59 9.69 2.09 -18.31 -37.91 -36.91
-50.41 -41.91 -33.31 -18.81 -4.51 12.49 14.39 8.19 0.19 -17.71 -39.51 -47.31
-44.51 -39.71 -28.61 -19.81 0.39 12.79 17.79 9.69 1.09 -16.51 -33.01 -51.31
-46.11 -45.11 -28.61 -16.11 -4.41 8.69 14.09 9.49 -0.11 -19.11 -32.81 -42.31
-47.71 -46.21 -32.21 -18.41 -2.01 9.89 11.19 9.09 0.59 -20.31 -41.21 -43.71
-47.51 -43.41 -31.11 -16.21 -0.31 11.59 14.69 11.49 3.19 -13.81 -37.81 -42.91
-48.51 -42.61 -33.21 -13.81 -0.11 10.99 15.29 8.89 1.99 -11.11 -33.81 -50.81
-53.71 -43.31 -35.51 -16.51 1.19 13.29 17.19 9.29 4.59 -11.61 -38.21 -49.71
-52.61 -47.51 -34.31 -13.21 0.29 10.19 16.39 13.19 1.69 -10.91 -39.81 -43.21
-45.21 -43.91 -33.31 -14.01 -1.21 12.59 15.09 12.59 1.99 -11.71 -37.41 -50.21
-52.91 -38.61 -29.91 -14.11 -3.11 10.39 15.79 11.99 -0.81 -14.71 -32.11 -44.01
-48.51 -46.61 -36.71 -15.41 -0.21 11.49 12.39 9.59 0.19 -18.31 -37.21 -48.61
-49.31 -48.01 -30.51 -18.91 -1.01 10.39 14.49 11.69 1.99 -16.31 -39.61 -43.51
-50.41 -39.11 -35.31 -17.81 -2.11 13.39 17.79 9.79 3.79 -15.51 -40.41 -41.91
-52.61 -47.11 -29.11 -16.01 1.79 9.49 13.09 6.69 0.49 -19.01 -40.21 -50.01
