"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-49.85 -35.55 -26.85 -11.05 -0.05 13.45 18.85 15.05 2.25 -11.65 -29.05 -40.95
-45.45 -43.55 -33.65 -12.35 2.85 14.55 15.45 12.65 3.25 -15.25 -34.15 -45.55
-46.25 -44.95 -27.45 -15.85 2.05 13.45 17.55 14.75 5.05 -13.25 -36.55 -40.45
-47.35 -36.05 -32.25 -14.75 0.95 16.45 20.85 12.85 6.85 -12.45 -37.35 -38.85
-49.55 -44.05 -26.05 -12.95 4.85 12.55 16.15 9.75 3.55 -15.95 -37.15 -46.95
-47.33 -40.13 -30.83 -16.23 0.97 14.87 16.57 10.87 4.87 -13.03 -33.13 -41.03
-43.03 -40.03 -28.33 -12.43 1.97 11.37 15.47 11.87 2.07 -13.23 -35.33 -43.13
-42.53 -39.13 -28.93 -15.43 -0.83 12.07 16.07 11.97 3.47 -14.93 -33.13 -40.73
-46.03 -36.63 -30.43 -15.13 0.57 15.07 16.27 12.47 2.37 -14.73 -35.73 -42.93
-45.73 -42.73 -29.93 -14.03 0.17 13.17 18.57 12.27 4.37 -13.43 -33.33 -44.93
-48.13 -45.23 -32.73 -15.93 3.17 13.87 15.37 13.37 3.87 -14.43 -33.03 -38.63
-47.13 -43.63 -29.43 -14.03 2.77 14.67 16.67 11.77 4.77 -9.23 -31.53 -40.83
-42.93 -36.23 -25.03 -10.43 2.07 15.17 17.17 13.07 5.27 -12.53 -37.43 -43.63
-42.63 -44.23 -31.23 -15.13 2.47 15.47 17.97 14.27 3.37 -14.13 -35.53 -39.53
-41.53 -39.63 -28.73 -16.13 1.27 13.67 18.57 11.27 5.37 -14.23 -35.23 -40.73
-45.33 -38.53 -29.13 -13.53 3.87 13.77 19.67 14.87 7.17 -11.03 -32.63 -39.93
-47.73 -40.53 -28.23 -12.03 3.47 11.77 16.77 11.17 3.27 -11.63 -38.33 -41.13
-43.33 -39.93 -28.63 -14.13 3.87 14.47 18.57 12.97 5.07 -13.63 -34.63 -41.93
-44.33 -44.13 -26.43 -12.23 2.57 13.17 17.77 13.07 4.37 -14.33 -35.73 -43.83
-42.43 -39.53 -25.83 -12.23 3.77 14.57 16.37 11.97 4.07 -12.03 -32.33 -35.83
-43.57 -43.37 -29.57 -11.27 -0.57 13.03 15.43 12.23 5.03 -14.77 -35.37 -42.77
-40.97 -42.07 -31.47 -12.57 3.83 14.73 16.83 11.83 3.53 -16.07 -36.37 -42.47
-46.57 -40.57 -28.07 -13.47 -0.27 13.23 15.43 12.93 3.43 -12.77 -30.07 -42.67
-46.57 -44.57 -30.87 -16.67 1.83 12.33 15.53 11.23 2.13 -17.07 -37.97 -39.77
-42.67 -40.87 -30.77 -16.07 2.13 12.93 17.73 14.43 5.43 -12.67 -37.67 -38.67
-38.57 -37.77 -28.47 -11.57 3.23 14.33 16.63 13.13 4.23 -11.87 -32.47 -40.37
-47.77 -38.17 -31.37 -12.17 -0.67 12.03 18.33 12.83 5.33 -14.57 -39.17 -42.87
-43.67 -39.47 -27.27 -15.67 3.33 13.83 17.03 14.83 5.83 -14.07 -31.37 -40.37
-40.07 -43.37 -30.17 -14.27 2.73 12.53 16.83 10.63 2.93 -13.67 -32.67 -41.57
-44.87 -36.77 -29.97 -14.07 1.43 13.73 16.13 11.43 4.63 -14.27 -31.17 -38.27
-45.67 -38.27 -28.47 -13.17 1.53 14.53 16.53 11.93 3.63 -11.57 -34.07 -41.57
-44.27 -41.67 -30.17 -14.67 0.23 12.93 17.83 12.43 2.93 -15.37 -37.47 -44.57
-44.57 -39.17 -28.37 -12.27 3.23 14.83 19.03 11.33 6.13 -11.17 -32.37 -37.37
-44.37 -35.87 -24.47 -14.67 2.13 12.93 15.93 11.83 4.83 -14.67 -35.37 -37.77
-44.37 -40.07 -21.47 -10.77 6.53 15.43 15.23 13.83 3.83 -12.17 -36.57 -42.07
-43.66 -43.46 -29.66 -11.36 -0.66 12.94 15.34 12.14 4.94 -14.86 -35.46 -42.86
-41.06 -42.16 -31.56 -12.66 3.74 14.64 16.74 11.74 3.44 -16.16 -36.46 -42.56
-46.66 -40.66 -28.16 -13.56 -0.36 13.14 15.34 12.84 3.34 -12.86 -30.16 -42.76
-46.66 -44.66 -30.96 -16.76 1.74 12.24 15.44 11.14 2.04 -17.16 -38.06 -39.86
-42.76 -40.96 -30.86 -16.16 2.04 12.84 17.64 14.34 5.34 -12.76 -37.76 -38.76
-38.66 -37.86 -28.56 -11.66 3.14 14.24 16.54 13.04 4.14 -11.96 -32.56 -40.46
-47.86 -38.26 -31.46 -12.26 -0.76 11.94 18.24 12.74 5.24 -14.66 -39.26 -42.96
-43.76 -39.56 -27.36 -15.76 3.24 13.74 16.94 14.74 5.74 -14.16 -31.46 -40.46
-40.16 -43.46 -30.26 -14.36 2.64 12.44 16.74 10.54 2.84 -13.76 -32.76 -41.66
-44.96 -36.86 -30.06 -14.16 1.34 13.64 16.04 11.34 4.54 -14.36 -31.26 -38.36
-45.76 -38.36 -28.56 -13.26 1.44 14.44 16.44 11.84 3.54 -11.66 -34.16 -41.66
-44.36 -41.76 -30.26 -14.76 0.14 12.84 17.74 12.34 2.84 -15.46 -37.56 -44.66
-44.66 -39.26 -28.46 -12.36 3.14 14.74 18.94 11.24 6.04 -11.26 -32.46 -37.46
-44.46 -35.96 -24.56 -14.76 2.04 12.84 15.84 11.74 4.74 -14.76 -35.46 -37.86
-44.46 -40.16 -21.56 -10.86 6.44 15.34 15.14 13.74 3.74 -12.26 -36.66 -42.16
-44.64 -44.84 -28.24 -14.74 0.46 13.06 17.46 14.56 3.26 -8.14 -31.34 -45.84
-42.74 -39.94 -28.94 -11.74 4.36 15.46 20.06 15.06 4.06 -15.24 -35.84 -41.84
-45.74 -44.44 -26.64 -13.74 1.26 13.96 14.86 12.86 4.26 -10.54 -35.24 -46.24
-46.64 -48.34 -31.54 -10.14 2.06 13.86 16.26 14.86 6.96 -9.84 -33.64 -39.54
-40.14 -37.44 -25.04 -7.04 1.96 12.26 17.46 14.16 4.36 -14.94 -37.34 -42.94
-44.44 -35.84 -31.04 -15.54 0.56 14.06 15.16 13.56 6.26 -13.34 -26.04 -47.04
-47.54 -46.44 -28.64 -16.04 0.26 13.86 15.66 11.16 3.06 -15.54 -36.84 -38.04
-47.34 -40.64 -26.34 -14.54 -0.14 12.56 15.06 12.36 2.96 -12.94 -32.94 -42.54
-47.54 -42.54 -29.24 -15.94 0.16 13.06 15.56 13.46 5.86 -13.74 -28.74 -38.54
-40.64 -44.04 -26.44 -15.54 1.36 12.06 16.66 11.56 2.66 -12.14 -34.74 -41.14
-44.14 -41.14 -26.94 -14.94 2.56 10.96 18.66 14.16 5.76 -14.94 -34.04 -40.64
-47.04 -44.24 -33.14 -12.34 4.36 14.36 16.96 12.56 5.96 -8.54 -24.94 -39.04
-46.74 -42.24 -26.34 -11.04 0.16 13.56 15.76 14.06 2.96 -12.14 -33.94 -39.94
-44.14 -38.14 -31.34 -14.54 2.86 13.96 16.86 12.16 1.86 -13.34 -38.44 -41.24
-42.34 -42.24 -24.84 -13.44 -0.84 15.26 16.66 12.76 4.96 -15.24 -31.14 -42.34
