"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
5.08 8.28 5.68 19.68 9.78 28.08 56.08 32.58 22.28 17.98 7.48 8.38
9.58 6.08 5.98 11.28 11.98 30.48 52.78 43.88 24.58 13.78 9.08 6.78
5.58 3.38 5.28 5.88 9.98 21.28 33.58 36.58 13.88 9.68 7.18 9.28
5.18 5.38 5.78 8.18 6.88 18.98 25.88 25.18 15.98 14.28 6.78 10.28
3.68 8.98 4.18 10.88 8.88 30.78 20.18 32.48 28.88 11.28 7.78 7.48
5.98 6.38 5.98 10.78 15.48 41.38 33.58 28.88 26.78 9.68 8.28 8.38
3.98 8.58 4.88 4.18 5.78 14.28 44.58 31.78 20.88 7.68 7.68 5.98
7.68 7.48 9.78 7.08 7.88 20.68 12.98 36.38 17.48 14.28 9.38 8.08
7.68 11.88 8.38 7.68 7.98 32.08 23.28 20.48 17.88 7.68 6.58 6.98
5.68 5.38 4.18 4.58 7.08 35.18 18.88 20.78 14.78 9.38 8.68 10.08
9.38 8.38 7.38 9.38 12.38 27.38 39.38 33.78 23.08 15.98 10.98 9.08
10.68 8.28 6.18 8.28 13.88 30.48 36.58 33.28 28.38 13.38 12.58 10.58
7.68 8.98 5.48 8.28 11.48 25.18 25.28 24.88 24.38 11.28 7.48 10.08
11.78 6.78 5.48 11.98 9.98 28.58 29.08 28.18 20.98 12.18 11.08 5.18
8.48 7.78 4.68 5.48 10.68 34.38 31.08 35.18 42.08 21.48 9.78 4.58
5.08 8.28 5.68 19.68 9.78 28.08 56.08 32.58 22.28 17.98 7.48 8.38
9.58 6.08 5.98 11.28 11.98 30.48 52.78 43.88 24.58 13.78 9.08 6.78
5.58 3.38 5.28 5.88 9.98 21.28 33.58 36.58 13.88 9.68 7.18 9.28
5.18 5.38 5.78 8.18 6.88 18.98 25.88 25.18 15.98 14.28 6.78 10.28
3.68 8.98 4.18 10.88 8.88 30.78 20.18 32.48 28.88 11.28 7.78 7.48
6.63 3.83 3.53 8.23 12.33 15.63 17.43 37.83 12.83 14.03 7.13 3.43
10.13 7.93 6.23 8.53 7.43 20.13 22.53 22.63 12.73 10.13 7.83 6.93
4.73 4.13 6.43 8.33 11.73 26.23 50.93 33.83 17.33 12.73 6.83 7.43
5.93 5.63 9.33 8.33 10.73 19.63 41.23 43.03 14.73 13.33 8.33 9.43
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
4.73 7.23 6.23 4.73 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 21.23 14.23 9.23 10.23
8.23 7.23 6.23 8.23 11.23 26.23 38.23 35.23 34.73 7.43 3.93 7.83
5.53 3.93 6.63 4.33 7.33 29.83 18.93 36.13 27.43 9.03 8.83 4.63
8.53 5.03 3.33 5.03 8.33 27.63 75.63 36.43 18.13 8.03 7.43 7.33
5.13 6.03 3.93 3.33 6.43 38.33 38.83 27.43 23.83 17.83 5.43 6.23
5.83 6.43 5.33 7.73 8.83 30.83 42.63 37.53 15.53 10.13 4.83 7.93
8.73 5.33 7.83 4.33 11.03 32.43 23.43 29.13 27.13 11.93 5.63 5.93
5.62 3.82 4.92 2.52 5.42 22.72 37.52 51.92 23.72 6.62 8.72 3.92
3.32 9.22 5.02 7.52 13.92 38.42 39.02 23.22 15.12 13.22 3.02 7.22
5.72 4.82 4.92 7.32 12.92 20.42 42.42 28.12 25.12 16.22 6.92 7.12
5.62 6.22 6.22 7.12 6.92 26.32 40.42 46.62 8.92 13.22 5.82 11.72
7.42 5.12 4.32 6.02 8.22 26.62 45.22 27.02 16.02 15.82 4.42 6.02
6.32 6.12 4.62 6.22 5.22 32.72 42.92 23.82 21.22 12.82 8.22 8.12
4.92 5.92 4.82 4.22 2.32 26.32 53.42 48.32 12.02 7.52 5.92 8.62
4.32 4.22 8.12 7.32 7.02 53.62 16.32 49.52 22.62 12.82 4.62 9.22
9.52 3.92 7.22 9.62 6.62 34.22 81.52 29.32 28.22 6.72 6.72 10.92
11.72 4.12 2.72 5.42 13.22 29.22 33.82 50.12 20.32 12.32 9.12 9.22
5.92 10.02 6.02 2.52 3.82 15.42 33.92 21.72 10.62 9.72 9.42 8.22
15.72 4.32 1.42 3.02 7.42 30.32 24.72 32.72 18.12 16.32 8.42 13.82
4.22 4.12 2.22 3.22 5.52 38.22 28.22 45.72 24.42 11.02 1.62 5.82
10.52 6.12 9.82 15.82 7.62 13.42 39.22 26.72 26.12 5.82 6.22 4.82
3.62 4.22 6.12 4.62 1.72 38.32 68.02 31.92 20.12 6.22 8.52 2.92
5.71 3.91 5.01 2.61 5.51 22.81 37.61 52.01 23.81 6.71 8.81 4.01
3.41 9.31 5.11 7.61 14.01 38.51 39.11 23.31 15.21 13.31 3.11 7.31
5.81 4.91 5.01 7.41 13.01 20.51 42.51 28.21 25.21 16.31 7.01 7.21
5.71 6.31 6.31 7.21 7.01 26.41 40.51 46.71 9.01 13.31 5.91 11.81
7.51 5.21 4.41 6.11 8.31 26.71 45.31 27.11 16.11 15.91 4.51 6.11
6.41 6.21 4.71 6.31 5.31 32.81 43.01 23.91 21.31 12.91 8.31 8.21
5.01 6.01 4.91 4.31 2.41 26.41 53.51 48.41 12.11 7.61 6.01 8.71
4.41 4.31 8.21 7.41 7.11 53.71 16.41 49.61 22.71 12.91 4.71 9.31
9.61 4.01 7.31 9.71 6.71 34.31 81.61 29.41 28.31 6.81 6.81 11.01
11.81 4.21 2.81 5.51 13.31 29.31 33.91 50.21 20.41 12.41 9.21 9.31
