"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
6.89 10.09 7.49 21.49 11.59 29.89 57.89 34.39 24.09 19.79 9.29 10.19
11.39 7.89 7.79 13.09 13.79 32.29 54.59 45.69 26.39 15.59 10.89 8.59
7.39 5.19 7.09 7.69 11.79 23.09 35.39 38.39 15.69 11.49 8.99 11.09
6.99 7.19 7.59 9.99 8.69 20.79 27.69 26.99 17.79 16.09 8.59 12.09
5.49 10.79 5.99 12.69 10.69 32.59 21.99 34.29 30.69 13.09 9.59 9.29
5.15 5.35 5.15 8.75 13.45 23.45 58.05 36.25 20.45 11.35 11.65 4.75
8.75 5.05 4.45 9.95 14.75 21.35 44.65 22.25 31.95 15.35 7.75 14.55
10.55 8.65 7.85 9.95 7.75 28.85 40.35 29.85 29.35 15.85 11.35 10.55
9.75 10.55 6.35 7.15 17.25 27.55 30.95 53.75 26.25 12.65 8.05 10.95
7.15 5.75 7.35 11.15 8.65 25.85 23.25 19.55 18.75 16.55 10.85 6.25
10.85 10.45 10.15 6.65 12.85 34.85 44.25 38.25 29.25 21.25 26.75 15.65
8.65 7.35 10.55 8.65 15.45 32.15 13.05 17.65 23.25 15.35 17.15 6.75
10.05 11.25 8.25 9.25 11.65 17.55 47.05 46.85 13.35 18.65 6.45 13.25
17.75 8.05 3.65 15.45 5.15 31.35 30.65 28.55 36.35 10.75 4.15 10.95
6.75 4.45 11.45 8.75 11.45 45.55 39.55 48.55 18.45 14.15 12.45 18.05
6.85 5.65 12.05 4.15 16.25 41.65 26.85 19.45 22.55 13.65 7.25 10.25
9.45 6.55 5.15 13.25 10.95 15.45 24.35 29.25 21.05 23.95 9.05 12.05
21.65 11.95 1.95 9.05 13.25 40.45 28.25 28.55 37.85 9.85 8.35 11.85
5.75 7.15 3.15 7.05 14.05 24.85 48.35 37.45 15.75 17.45 9.15 7.05
8.65 6.95 4.95 8.75 5.25 19.65 54.55 24.95 13.95 16.15 18.45 11.05
