"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-50.19 -36.29 -26.89 -10.79 0.31 13.41 18.41 15.21 2.11 -11.39 -28.99 -41.79
-45.59 -44.09 -33.59 -12.09 3.11 14.81 15.41 12.61 3.41 -15.19 -34.29 -46.19
-46.59 -45.29 -27.39 -15.69 2.41 13.51 17.61 14.71 5.31 -13.29 -36.79 -40.89
-47.39 -35.89 -32.39 -14.29 1.31 16.81 20.81 12.91 7.01 -12.09 -38.09 -38.99
-50.49 -44.29 -25.89 -12.69 5.21 12.71 16.11 9.61 3.51 -15.89 -36.99 -47.59
-47.94 -40.24 -30.64 -15.94 1.36 14.76 16.26 10.86 4.96 -13.04 -33.34 -41.44
-42.94 -39.84 -28.44 -12.04 2.36 11.26 15.36 11.96 2.06 -13.04 -35.74 -43.24
-42.44 -38.84 -28.54 -15.04 -0.74 11.96 16.06 12.06 3.46 -14.74 -33.14 -41.04
-45.84 -36.84 -30.34 -14.64 0.86 15.06 16.26 12.36 2.36 -14.84 -35.94 -43.64
-46.14 -43.14 -29.94 -13.44 0.46 13.16 18.46 12.26 4.46 -13.34 -33.84 -45.64
-48.44 -46.14 -32.94 -15.64 3.66 13.96 14.96 13.46 3.86 -14.54 -33.34 -39.04
-47.24 -43.84 -29.54 -13.54 3.16 14.86 16.76 11.76 4.76 -8.94 -31.54 -40.94
-43.54 -35.94 -24.54 -9.64 2.46 15.16 17.06 12.86 5.16 -12.44 -38.04 -43.84
-43.24 -44.94 -31.34 -14.84 2.86 15.46 17.96 14.36 3.16 -14.04 -35.74 -39.84
-41.74 -39.94 -28.74 -15.74 1.46 13.56 18.56 11.16 5.36 -14.24 -35.34 -41.14
-45.54 -38.94 -29.14 -13.14 4.36 13.76 19.66 14.76 7.26 -10.84 -32.54 -40.04
-48.04 -40.74 -28.24 -11.44 3.76 11.76 16.56 11.06 3.26 -11.54 -38.84 -41.44
-43.14 -39.94 -28.54 -13.94 4.36 14.36 18.56 13.06 5.16 -13.54 -34.94 -42.44
-44.64 -44.54 -26.24 -11.74 3.06 13.06 17.66 12.96 4.36 -14.64 -35.94 -44.44
-42.54 -39.94 -25.44 -11.54 4.46 14.86 16.26 11.86 3.96 -11.84 -32.44 -35.74
-43.97 -43.67 -29.57 -10.47 -0.27 12.93 15.13 12.23 5.13 -14.87 -35.37 -43.17
-41.37 -42.37 -31.37 -12.07 4.33 14.73 16.53 11.63 3.43 -16.27 -36.47 -42.77
-47.27 -40.47 -27.97 -12.77 -0.07 13.23 15.23 13.03 3.43 -12.67 -29.67 -43.07
-47.27 -44.97 -30.97 -16.27 2.13 12.33 15.33 11.13 2.13 -17.17 -38.47 -39.67
-42.97 -41.37 -30.87 -15.67 2.53 12.83 17.93 14.63 5.33 -12.57 -38.07 -39.17
-38.47 -37.87 -28.47 -11.07 3.73 14.33 16.43 13.13 3.93 -12.07 -32.97 -40.57
-48.27 -38.27 -31.57 -11.47 -0.37 11.93 18.33 12.73 5.23 -14.97 -39.97 -43.27
-44.07 -39.77 -26.87 -15.27 3.83 13.83 16.83 15.03 6.03 -14.07 -30.77 -40.57
-40.17 -43.57 -30.17 -13.77 3.23 12.43 16.83 10.53 2.83 -13.97 -32.87 -41.87
-45.57 -36.97 -29.87 -13.47 2.03 13.73 15.83 11.43 4.63 -14.27 -31.17 -38.67
-45.97 -38.37 -28.27 -12.77 1.83 14.73 16.53 12.13 3.63 -11.47 -34.37 -41.77
-44.77 -41.57 -30.17 -14.17 0.43 12.83 17.73 12.43 2.83 -15.37 -37.97 -45.17
-44.77 -39.47 -28.37 -11.77 3.73 14.83 19.03 11.23 6.33 -10.97 -32.37 -37.37
-44.47 -35.77 -23.97 -14.27 2.53 12.73 15.83 11.73 4.73 -14.67 -35.37 -37.97
-44.87 -40.27 -21.17 -10.17 7.03 15.53 15.03 13.83 3.63 -11.87 -36.67 -42.27
-44.06 -43.76 -29.66 -10.56 -0.36 12.84 15.04 12.14 5.04 -14.96 -35.46 -43.26
-41.46 -42.46 -31.46 -12.16 4.24 14.64 16.44 11.54 3.34 -16.36 -36.56 -42.86
-47.36 -40.56 -28.06 -12.86 -0.16 13.14 15.14 12.94 3.34 -12.76 -29.76 -43.16
-47.36 -45.06 -31.06 -16.36 2.04 12.24 15.24 11.04 2.04 -17.26 -38.56 -39.76
-43.06 -41.46 -30.96 -15.76 2.44 12.74 17.84 14.54 5.24 -12.66 -38.16 -39.26
-38.56 -37.96 -28.56 -11.16 3.64 14.24 16.34 13.04 3.84 -12.16 -33.06 -40.66
-48.36 -38.36 -31.66 -11.56 -0.46 11.84 18.24 12.64 5.14 -15.06 -40.06 -43.36
-44.16 -39.86 -26.96 -15.36 3.74 13.74 16.74 14.94 5.94 -14.16 -30.86 -40.66
-40.26 -43.66 -30.26 -13.86 3.14 12.34 16.74 10.44 2.74 -14.06 -32.96 -41.96
-45.66 -37.06 -29.96 -13.56 1.94 13.64 15.74 11.34 4.54 -14.36 -31.26 -38.76
-46.06 -38.46 -28.36 -12.86 1.74 14.64 16.44 12.04 3.54 -11.56 -34.46 -41.86
-44.86 -41.66 -30.26 -14.26 0.34 12.74 17.64 12.34 2.74 -15.46 -38.06 -45.26
-44.86 -39.56 -28.46 -11.86 3.64 14.74 18.94 11.14 6.24 -11.06 -32.46 -37.46
-44.56 -35.86 -24.06 -14.36 2.44 12.64 15.74 11.64 4.64 -14.76 -35.46 -38.06
-44.96 -40.36 -21.26 -10.26 6.94 15.44 14.94 13.74 3.54 -11.96 -36.76 -42.36
-45.48 -45.08 -28.08 -14.48 0.92 13.32 17.52 14.62 3.22 -7.98 -31.28 -46.38
-43.18 -39.88 -28.88 -11.48 4.52 15.52 19.92 14.92 4.22 -14.98 -36.18 -42.38
-45.88 -44.88 -26.48 -13.28 1.82 14.02 14.72 12.92 4.32 -10.88 -35.68 -46.98
-47.38 -49.08 -31.48 -9.38 2.52 13.92 16.12 14.82 7.02 -9.38 -34.18 -40.28
-40.48 -37.18 -24.78 -6.68 2.52 12.22 17.62 14.22 4.32 -14.78 -37.28 -43.18
-44.78 -35.38 -31.18 -15.18 0.92 14.22 15.02 13.62 6.42 -13.18 -25.78 -47.98
-48.18 -46.78 -29.08 -15.58 0.62 13.92 15.62 11.12 3.22 -15.48 -36.78 -38.48
-47.68 -41.08 -26.08 -14.08 0.12 12.52 15.02 12.42 2.92 -12.88 -32.98 -43.18
-47.88 -42.58 -29.18 -15.38 0.52 13.12 15.32 13.62 6.02 -13.78 -28.58 -38.68
-40.38 -44.98 -26.78 -15.08 1.82 12.02 16.72 11.72 3.02 -11.88 -34.78 -41.38
-44.28 -41.68 -26.68 -14.48 2.92 10.82 18.62 14.32 6.02 -14.78 -34.28 -40.98
-47.88 -45.28 -32.88 -11.88 4.62 14.42 16.82 12.52 6.32 -8.48 -24.98 -39.38
-47.18 -42.68 -26.28 -10.68 0.72 13.72 15.82 14.22 3.02 -11.98 -33.88 -40.18
-44.98 -38.78 -31.18 -14.08 3.42 14.12 16.82 12.42 1.82 -13.38 -38.88 -41.98
-42.88 -42.68 -24.28 -12.98 -0.38 15.42 16.72 12.92 5.12 -15.18 -31.18 -42.78
-45.47 -45.07 -28.07 -14.47 0.93 13.33 17.53 14.63 3.23 -7.97 -31.27 -46.37
-43.17 -39.87 -28.87 -11.47 4.53 15.53 19.93 14.93 4.23 -14.97 -36.17 -42.37
-45.87 -44.87 -26.47 -13.27 1.83 14.03 14.73 12.93 4.33 -10.87 -35.67 -46.97
-47.37 -49.07 -31.47 -9.37 2.53 13.93 16.13 14.83 7.03 -9.37 -34.17 -40.27
-40.47 -37.17 -24.77 -6.67 2.53 12.23 17.63 14.23 4.33 -14.77 -37.27 -43.17
-44.77 -35.37 -31.17 -15.17 0.93 14.23 15.03 13.63 6.43 -13.17 -25.77 -47.97
-48.17 -46.77 -29.07 -15.57 0.63 13.93 15.63 11.13 3.23 -15.47 -36.77 -38.47
-47.67 -41.07 -26.07 -14.07 0.13 12.53 15.03 12.43 2.93 -12.87 -32.97 -43.17
-47.87 -42.57 -29.17 -15.37 0.53 13.13 15.33 13.63 6.03 -13.77 -28.57 -38.67
-40.37 -44.97 -26.77 -15.07 1.83 12.03 16.73 11.73 3.03 -11.87 -34.77 -41.37
-44.27 -41.67 -26.67 -14.47 2.93 10.83 18.63 14.33 6.03 -14.77 -34.27 -40.97
-47.87 -45.27 -32.87 -11.87 4.63 14.43 16.83 12.53 6.33 -8.47 -24.97 -39.37
-47.17 -42.67 -26.27 -10.67 0.73 13.73 15.83 14.23 3.03 -11.97 -33.87 -40.17
-44.97 -38.77 -31.17 -14.07 3.43 14.13 16.83 12.43 1.83 -13.37 -38.87 -41.97
-42.87 -42.67 -24.27 -12.97 -0.37 15.43 16.73 12.93 5.13 -15.17 -31.17 -42.77
-47.8 -37.7 -24.6 -11.8 2.6 15 16.7 12.9 5.1 -15.3 -34.8 -34.7
-48.4 -39.7 -30.4 -15.5 -1.3 15.5 17.3 11.2 3.3 -14.8 -36.8 -44.6
-41.9 -36.7 -25.5 -16.6 3.6 15.6 20.4 12.7 4.1 -13.7 -29.6 -48.9
-43.2 -42.3 -25.7 -12.5 -1.1 11.5 16.8 12.4 3 -16 -29.6 -39.6
-43.9 -43.5 -29.1 -15.2 1.2 12.9 14.2 12 3.8 -17.1 -38.1 -41.4
-45.2 -41 -27.9 -12.7 3 15 17.6 14.5 6.2 -10.7 -35 -40
-46.5 -40.1 -30.3 -10.5 3.2 13.9 18.2 11.9 5.1 -8.1 -30.7 -48.4
-51.1 -40.5 -32.4 -13.1 4.4 16.4 20.2 12.2 7.7 -8.4 -35.5 -47.2
-50.9 -45 -31.3 -10 3.8 13.1 19.2 16.2 4.7 -7.7 -37.8 -40.5
-42.8 -41.3 -30 -10.8 2.1 15.6 18.5 15.7 5.3 -8.6 -35 -47.6
-50.3 -36.4 -27 -10.9 0.2 13.3 18.3 15.1 2 -11.5 -29.1 -41.9
-45.7 -44.2 -33.7 -12.2 3 14.7 15.3 12.5 3.3 -15.3 -34.4 -46.3
-46.7 -45.4 -27.5 -15.8 2.3 13.4 17.5 14.6 5.2 -13.4 -36.9 -41
-47.5 -36 -32.5 -14.4 1.2 16.7 20.7 12.8 6.9 -12.2 -38.2 -39.1
-50.6 -44.4 -26 -12.8 5.1 12.6 16 9.5 3.4 -16 -37.1 -47.7
-47.96 -40.26 -30.66 -15.96 1.34 14.74 16.24 10.84 4.94 -13.06 -33.36 -41.46
-42.96 -39.86 -28.46 -12.06 2.34 11.24 15.34 11.94 2.04 -13.06 -35.76 -43.26
-42.46 -38.86 -28.56 -15.06 -0.76 11.94 16.04 12.04 3.44 -14.76 -33.16 -41.06
-45.86 -36.86 -30.36 -14.66 0.84 15.04 16.24 12.34 2.34 -14.86 -35.96 -43.66
-46.16 -43.16 -29.96 -13.46 0.44 13.14 18.44 12.24 4.44 -13.36 -33.86 -45.66
-48.46 -46.16 -32.96 -15.66 3.64 13.94 14.94 13.44 3.84 -14.56 -33.36 -39.06
-47.26 -43.86 -29.56 -13.56 3.14 14.84 16.74 11.74 4.74 -8.96 -31.56 -40.96
-43.56 -35.96 -24.56 -9.66 2.44 15.14 17.04 12.84 5.14 -12.46 -38.06 -43.86
-43.26 -44.96 -31.36 -14.86 2.84 15.44 17.94 14.34 3.14 -14.06 -35.76 -39.86
-41.76 -39.96 -28.76 -15.76 1.44 13.54 18.54 11.14 5.34 -14.26 -35.36 -41.16
-45.56 -38.96 -29.16 -13.16 4.34 13.74 19.64 14.74 7.24 -10.86 -32.56 -40.06
-48.06 -40.76 -28.26 -11.46 3.74 11.74 16.54 11.04 3.24 -11.56 -38.86 -41.46
-43.16 -39.96 -28.56 -13.96 4.34 14.34 18.54 13.04 5.14 -13.56 -34.96 -42.46
-44.66 -44.56 -26.26 -11.76 3.04 13.04 17.64 12.94 4.34 -14.66 -35.96 -44.46
-42.56 -39.96 -25.46 -11.56 4.44 14.84 16.24 11.84 3.94 -11.86 -32.46 -35.76
-44.03 -43.73 -29.63 -10.53 -0.33 12.87 15.07 12.17 5.07 -14.93 -35.43 -43.23
-41.43 -42.43 -31.43 -12.13 4.27 14.67 16.47 11.57 3.37 -16.33 -36.53 -42.83
-47.33 -40.53 -28.03 -12.83 -0.13 13.17 15.17 12.97 3.37 -12.73 -29.73 -43.13
-47.33 -45.03 -31.03 -16.33 2.07 12.27 15.27 11.07 2.07 -17.23 -38.53 -39.73
-43.03 -41.43 -30.93 -15.73 2.47 12.77 17.87 14.57 5.27 -12.63 -38.13 -39.23
-38.53 -37.93 -28.53 -11.13 3.67 14.27 16.37 13.07 3.87 -12.13 -33.03 -40.63
-48.33 -38.33 -31.63 -11.53 -0.43 11.87 18.27 12.67 5.17 -15.03 -40.03 -43.33
-44.13 -39.83 -26.93 -15.33 3.77 13.77 16.77 14.97 5.97 -14.13 -30.83 -40.63
-40.23 -43.63 -30.23 -13.83 3.17 12.37 16.77 10.47 2.77 -14.03 -32.93 -41.93
-45.63 -37.03 -29.93 -13.53 1.97 13.67 15.77 11.37 4.57 -14.33 -31.23 -38.73
-46.03 -38.43 -28.33 -12.83 1.77 14.67 16.47 12.07 3.57 -11.53 -34.43 -41.83
-44.83 -41.63 -30.23 -14.23 0.37 12.77 17.67 12.37 2.77 -15.43 -38.03 -45.23
-44.83 -39.53 -28.43 -11.83 3.67 14.77 18.97 11.17 6.27 -11.03 -32.43 -37.43
-44.53 -35.83 -24.03 -14.33 2.47 12.67 15.77 11.67 4.67 -14.73 -35.43 -38.03
-44.93 -40.33 -21.23 -10.23 6.97 15.47 14.97 13.77 3.57 -11.93 -36.73 -42.33
-47.82 -37.72 -24.62 -11.82 2.58 14.98 16.68 12.88 5.08 -15.32 -34.82 -34.72
-48.42 -39.72 -30.42 -15.52 -1.32 15.48 17.28 11.18 3.28 -14.82 -36.82 -44.62
-41.92 -36.72 -25.52 -16.62 3.58 15.58 20.38 12.68 4.08 -13.72 -29.62 -48.92
-43.22 -42.32 -25.72 -12.52 -1.12 11.48 16.78 12.38 2.98 -16.02 -29.62 -39.62
-43.92 -43.52 -29.12 -15.22 1.18 12.88 14.18 11.98 3.78 -17.12 -38.12 -41.42
-45.22 -41.02 -27.92 -12.72 2.98 14.98 17.58 14.48 6.18 -10.72 -35.02 -40.02
-46.52 -40.12 -30.32 -10.52 3.18 13.88 18.18 11.88 5.08 -8.12 -30.72 -48.42
-51.12 -40.52 -32.42 -13.12 4.38 16.38 20.18 12.18 7.68 -8.42 -35.52 -47.22
-50.92 -45.02 -31.32 -10.02 3.78 13.08 19.18 16.18 4.68 -7.72 -37.82 -40.52
-42.82 -41.32 -30.02 -10.82 2.08 15.58 18.48 15.68 5.28 -8.62 -35.02 -47.62
-50.32 -36.42 -27.02 -10.92 0.18 13.28 18.28 15.08 1.98 -11.52 -29.12 -41.92
