"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-45.74 -31.84 -22.44 -6.34 4.76 17.86 22.86 19.66 6.56 -6.94 -24.54 -37.34
-41.14 -39.64 -29.14 -7.64 7.56 19.26 19.86 17.06 7.86 -10.74 -29.84 -41.74
-42.14 -40.84 -22.94 -11.24 6.86 17.96 22.06 19.16 9.76 -8.84 -32.34 -36.44
-42.94 -31.44 -27.94 -9.84 5.76 21.26 25.26 17.36 11.46 -7.64 -33.64 -34.54
-46.04 -39.84 -21.44 -8.24 9.66 17.16 20.56 14.06 7.96 -11.44 -32.54 -43.14
-43.54 -35.84 -26.24 -11.54 5.76 19.16 20.66 15.26 9.36 -8.64 -28.94 -37.04
-38.54 -35.44 -24.04 -7.64 6.76 15.66 19.76 16.36 6.46 -8.64 -31.34 -38.84
-38.04 -34.44 -24.14 -10.64 3.66 16.36 20.46 16.46 7.86 -10.34 -28.74 -36.64
-41.44 -32.44 -25.94 -10.24 5.26 19.46 20.66 16.76 6.76 -10.44 -31.54 -39.24
-41.74 -38.74 -25.54 -9.04 4.86 17.56 22.86 16.66 8.86 -8.94 -29.44 -41.24
-44.04 -41.74 -28.54 -11.24 8.06 18.36 19.36 17.86 8.26 -10.14 -28.94 -34.64
-42.84 -39.44 -25.14 -9.14 7.56 19.26 21.16 16.16 9.16 -4.54 -27.14 -36.54
-39.14 -31.54 -20.14 -5.24 6.86 19.56 21.46 17.26 9.56 -8.04 -33.64 -39.44
-38.84 -40.54 -26.94 -10.44 7.26 19.86 22.36 18.76 7.56 -9.64 -31.34 -35.44
-37.34 -35.54 -24.34 -11.34 5.86 17.96 22.96 15.56 9.76 -9.84 -30.94 -36.74
-41.14 -34.54 -24.74 -8.74 8.76 18.16 24.06 19.16 11.66 -6.44 -28.14 -35.64
-43.64 -36.34 -23.84 -7.04 8.16 16.16 20.96 15.46 7.66 -7.14 -34.44 -37.04
-38.74 -35.54 -24.14 -9.54 8.76 18.76 22.96 17.46 9.56 -9.14 -30.54 -38.04
-40.24 -40.14 -21.84 -7.34 7.46 17.46 22.06 17.36 8.76 -10.24 -31.54 -40.04
-38.14 -35.54 -21.04 -7.14 8.86 19.26 20.66 16.26 8.36 -7.44 -28.04 -31.34
-39.54 -39.24 -25.14 -6.04 4.16 17.36 19.56 16.66 9.56 -10.44 -30.94 -38.74
-36.94 -37.94 -26.94 -7.64 8.76 19.16 20.96 16.06 7.86 -11.84 -32.04 -38.34
-42.84 -36.04 -23.54 -8.34 4.36 17.66 19.66 17.46 7.86 -8.24 -25.24 -38.64
-42.84 -40.54 -26.54 -11.84 6.56 16.76 19.76 15.56 6.56 -12.74 -34.04 -35.24
-38.54 -36.94 -26.44 -11.24 6.96 17.26 22.36 19.06 9.76 -8.14 -33.64 -34.74
-34.04 -33.44 -24.04 -6.64 8.16 18.76 20.86 17.56 8.36 -7.64 -28.54 -36.14
-43.84 -33.84 -27.14 -7.04 4.06 16.36 22.76 17.16 9.66 -10.54 -35.54 -38.84
-39.64 -35.34 -22.44 -10.84 8.26 18.26 21.26 19.46 10.46 -9.64 -26.34 -36.14
-35.74 -39.14 -25.74 -9.34 7.66 16.86 21.26 14.96 7.26 -9.54 -28.44 -37.44
-41.14 -32.54 -25.44 -9.04 6.46 18.16 20.26 15.86 9.06 -9.84 -26.74 -34.24
-41.54 -33.94 -23.84 -8.34 6.26 19.16 20.96 16.56 8.06 -7.04 -29.94 -37.34
-40.34 -37.14 -25.74 -9.74 4.86 17.26 22.16 16.86 7.26 -10.94 -33.54 -40.74
-40.34 -35.04 -23.94 -7.34 8.16 19.26 23.46 15.66 10.76 -6.54 -27.94 -32.94
