"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
4.85 9.35 6.25 19.15 8.75 28.35 60.65 32.95 23.45 19.85 7.85 9.75
10.45 5.65 6.95 7.45 9.85 27.75 50.15 51.25 20.75 12.95 8.55 7.55
5.55 2.95 4.75 5.35 10.65 17.25 33.55 28.85 12.05 8.45 6.45 10.75
5.75 5.45 5.05 8.85 4.15 15.15 24.65 27.15 19.15 16.05 6.35 14.05
3.25 8.65 4.75 12.45 8.35 21.75 18.45 26.75 26.05 10.05 7.75 7.65
6.06 7.26 5.76 7.76 15.86 43.26 34.66 26.86 29.26 10.56 9.56 10.86
4.86 9.56 6.06 4.36 5.06 13.56 41.36 31.86 22.26 9.06 10.06 7.66
9.76 9.16 9.76 7.66 5.66 23.06 15.06 39.96 15.36 13.66 10.16 11.86
9.76 11.26 9.06 7.96 7.76 36.06 22.86 22.26 17.36 7.76 6.96 7.86
5.36 6.36 5.16 4.46 7.06 35.66 20.26 18.36 15.96 9.16 6.96 12.86
10.56 9.56 8.56 8.56 11.56 27.56 40.56 36.36 23.86 16.86 11.86 12.36
11.16 9.46 7.96 8.16 12.16 28.86 39.36 36.16 26.26 15.66 12.56 13.16
9.76 9.86 7.56 8.16 11.16 26.66 34.26 32.46 24.46 14.66 10.16 12.86
11.76 8.76 7.56 9.56 10.66 28.06 35.96 33.96 23.86 13.76 9.56 4.66
7.86 9.06 4.56 4.86 9.96 42.26 28.46 30.46 47.86 18.06 10.46 4.26
4.86 9.36 6.26 19.16 8.76 28.36 60.66 32.96 23.46 19.86 7.86 9.76
10.46 5.66 6.96 7.46 9.86 27.76 50.16 51.26 20.76 12.96 8.56 7.56
5.56 2.96 4.76 5.36 10.66 17.26 33.56 28.86 12.06 8.46 6.46 10.76
5.76 5.46 5.06 8.86 4.16 15.16 24.66 27.16 19.16 16.06 6.36 14.06
3.26 8.66 4.76 12.46 8.36 21.76 18.46 26.76 26.06 10.06 7.76 7.66
7.01 3.61 3.51 7.01 11.51 12.41 14.31 37.21 12.71 17.31 6.01 2.71
13.51 6.31 6.81 8.61 8.51 23.41 32.01 30.41 18.11 13.11 9.31 10.31
7.31 6.51 7.11 7.11 10.21 26.01 44.71 35.41 20.21 14.31 8.81 10.51
7.91 7.21 8.51 7.11 9.81 23.11 40.31 39.51 19.11 14.61 9.61 11.61
9.01 8.01 7.01 7.01 10.01 26.01 39.01 36.01 22.01 15.01 10.01 12.01
7.31 8.01 7.01 5.71 10.01 26.01 39.01 36.01 22.01 15.01 10.01 12.01
9.01 8.01 7.01 7.01 10.01 26.01 39.01 36.01 22.01 15.01 10.01 12.01
9.01 8.01 7.01 7.01 10.01 26.01 39.01 36.01 22.01 15.01 10.01 12.01
9.01 8.01 7.01 7.01 10.01 26.01 39.01 36.01 22.01 15.01 10.01 12.01
9.01 8.01 7.01 7.01 10.01 26.01 39.01 36.01 38.61 6.51 3.11 8.61
5.51 3.51 7.61 2.71 6.21 29.91 15.21 39.71 28.91 8.81 9.31 3.81
7.81 4.71 3.11 3.71 6.71 30.61 86.01 39.61 14.51 7.51 7.91 6.81
5.31 6.61 3.81 1.41 4.31 35.21 41.71 24.11 23.21 20.21 4.51 6.81
5.31 4.71 5.71 6.81 9.11 28.01 41.01 37.11 14.11 9.01 4.11 8.71
9.51 5.81 7.61 3.31 8.11 37.71 20.71 31.51 28.41 13.01 4.91 6.21
5.97 3.77 4.77 2.27 5.37 21.87 36.67 56.07 25.07 6.37 7.57 4.27
3.17 9.07 5.07 6.27 12.77 37.87 41.47 25.77 15.77 14.17 2.47 9.07
6.27 4.97 5.57 6.67 11.47 19.17 43.97 29.07 25.07 15.17 7.17 9.47
6.17 6.37 5.97 5.77 6.67 25.87 39.57 42.47 9.87 14.87 6.27 12.17
6.77 5.07 3.67 4.97 6.77 24.97 44.27 28.07 18.57 15.67 4.57 6.97
6.27 6.17 4.57 5.37 4.07 33.87 36.97 25.27 23.67 14.57 8.07 9.37
5.17 6.67 4.47 3.27 2.17 25.17 54.27 50.07 13.37 7.77 5.67 10.37
3.97 4.47 9.57 6.97 6.37 55.67 17.07 49.27 23.07 12.87 4.77 11.67
9.77 4.17 8.77 8.57 6.17 33.97 89.27 29.57 31.17 7.67 7.27 12.97
14.07 4.47 2.57 5.17 10.97 34.37 34.67 60.57 22.17 13.67 9.37 10.47
5.17 12.97 5.47 1.37 2.27 12.57 39.97 20.27 10.57 10.07 8.77 9.17
18.57 4.97 1.67 3.07 6.37 29.67 25.17 33.87 18.37 16.27 8.87 17.57
5.07 4.57 2.17 2.97 4.47 36.97 30.87 46.67 27.27 11.87 1.77 6.27
11.27 7.17 11.97 13.27 7.07 14.97 34.67 28.77 26.27 6.67 6.87 5.97
4.17 4.77 6.17 4.27 1.67 37.47 70.27 33.57 19.77 6.67 8.67 3.97
6.02 3.82 4.82 2.32 5.42 21.92 36.72 56.12 25.12 6.42 7.62 4.32
3.22 9.12 5.12 6.32 12.82 37.92 41.52 25.82 15.82 14.22 2.52 9.12
6.32 5.02 5.62 6.72 11.52 19.22 44.02 29.12 25.12 15.22 7.22 9.52
6.22 6.42 6.02 5.82 6.72 25.92 39.62 42.52 9.92 14.92 6.32 12.22
6.82 5.12 3.72 5.02 6.82 25.02 44.32 28.12 18.62 15.72 4.62 7.02
6.32 6.22 4.62 5.42 4.12 33.92 37.02 25.32 23.72 14.62 8.12 9.42
5.22 6.72 4.52 3.32 2.22 25.22 54.32 50.12 13.42 7.82 5.72 10.42
4.02 4.52 9.62 7.02 6.42 55.72 17.12 49.32 23.12 12.92 4.82 11.72
9.82 4.22 8.82 8.62 6.22 34.02 89.32 29.62 31.22 7.72 7.32 13.02
14.12 4.52 2.62 5.22 11.02 34.42 34.72 60.62 22.22 13.72 9.42 10.52
5.22 13.02 5.52 1.42 2.32 12.62 40.02 20.32 10.62 10.12 8.82 9.22
18.62 5.02 1.72 3.12 6.42 29.72 25.22 33.92 18.42 16.32 8.92 17.62
5.12 4.62 2.22 3.02 4.52 37.02 30.92 46.72 27.32 11.92 1.82 6.32
11.32 7.22 12.02 13.32 7.12 15.02 34.72 28.82 26.32 6.72 6.92 6.02
4.22 4.82 6.22 4.32 1.72 37.52 70.32 33.62 19.82 6.72 8.72 4.02
4.39 7.59 5.99 4.39 18.99 21.59 32.39 33.19 15.59 13.69 9.49 11.89
8.79 8.29 7.69 6.99 9.39 23.29 36.79 26.89 9.09 8.49 4.79 8.49
11.39 4.49 5.29 3.19 8.99 16.99 48.19 19.49 29.79 11.49 7.99 6.49
4.69 9.09 4.19 2.09 11.09 18.89 17.79 18.29 14.29 9.49 3.99 5.29
5.49 8.29 4.39 4.19 4.39 28.69 44.29 40.59 24.89 7.89 4.99 9.39
2.29 5.49 6.89 5.19 7.99 37.69 26.29 42.29 19.89 12.69 4.09 7.79
8.99 14.49 2.59 4.39 5.59 54.59 20.39 49.99 23.99 6.79 4.69 8.29
14.99 6.89 11.99 6.59 3.19 23.29 36.39 27.99 21.79 14.09 9.99 12.59
5.99 7.89 5.09 9.69 9.79 29.19 33.09 70.99 28.89 8.89 8.29 9.89
