"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-49.8 -35.7 -26.5 -10.6 0.2 13.6 18.9 15.3 2.3 -11.2 -28.7 -41.3
-45.3 -43.5 -33.2 -11.9 3.1 14.9 15.7 12.8 3.4 -14.9 -33.9 -45.6
-46.2 -44.8 -27 -15.5 2.3 13.7 17.8 15 5.3 -12.9 -36.3 -40.5
-47.1 -35.6 -32 -14.2 1.3 16.9 21.1 13.1 7 -12 -37.5 -38.7
-49.9 -43.8 -25.6 -12.6 5.1 12.9 16.4 9.9 3.7 -15.6 -36.7 -47.1
-47.44 -39.74 -30.24 -15.74 1.36 14.96 16.56 10.96 5.06 -12.74 -33.04 -41.14
-42.64 -39.44 -28.14 -12.04 2.06 11.46 15.66 12.16 2.26 -12.74 -35.54 -43.34
-42.44 -38.54 -28.44 -15.14 -0.64 12.26 16.36 12.26 3.66 -14.34 -32.94 -40.84
-45.54 -36.14 -30.24 -14.74 0.66 15.16 16.56 12.66 2.56 -14.54 -35.64 -43.14
-45.64 -42.54 -29.54 -13.34 0.46 13.26 18.76 12.56 4.56 -13.04 -33.34 -44.94
-47.94 -45.44 -32.54 -15.54 3.66 14.06 15.36 13.66 3.96 -14.24 -33.04 -38.34
-46.64 -43.24 -29.14 -13.44 2.96 15.06 17.06 11.96 4.86 -8.54 -30.84 -40.34
-43.24 -35.74 -24.14 -9.74 2.36 15.36 17.46 13.06 5.26 -12.14 -37.74 -43.54
-42.94 -44.34 -30.94 -14.84 2.76 15.66 18.26 14.46 3.26 -13.84 -35.24 -39.34
-41.44 -39.44 -28.34 -15.64 1.36 13.76 18.86 11.46 5.46 -13.94 -34.84 -40.64
-45.04 -38.34 -28.84 -13.14 4.16 13.96 19.96 14.96 7.26 -10.64 -31.94 -39.64
-47.54 -40.34 -27.94 -11.44 3.66 12.16 16.96 11.36 3.36 -11.34 -38.34 -41.14
-42.74 -39.44 -28.14 -13.94 4.16 14.46 18.76 13.26 5.26 -13.24 -34.64 -41.94
-44.44 -43.94 -25.94 -11.74 2.86 13.26 17.76 13.16 4.56 -14.44 -35.64 -43.94
