"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-45.35 -31.25 -22.05 -6.15 4.65 18.05 23.35 19.75 6.75 -6.75 -24.25 -36.85
-40.85 -39.05 -28.75 -7.45 7.55 19.35 20.15 17.25 7.85 -10.45 -29.45 -41.15
-41.75 -40.35 -22.55 -11.05 6.75 18.15 22.25 19.45 9.75 -8.45 -31.85 -36.05
-42.65 -31.15 -27.55 -9.75 5.75 21.35 25.55 17.55 11.45 -7.55 -33.05 -34.25
-45.45 -39.35 -21.15 -8.15 9.55 17.35 20.85 14.35 8.15 -11.15 -32.25 -42.65
-43.04 -35.34 -25.84 -11.34 5.76 19.36 20.96 15.36 9.46 -8.34 -28.64 -36.74
-38.24 -35.04 -23.74 -7.64 6.46 15.86 20.06 16.56 6.66 -8.34 -31.14 -38.94
-38.04 -34.14 -24.04 -10.74 3.76 16.66 20.76 16.66 8.06 -9.94 -28.54 -36.44
-41.14 -31.74 -25.84 -10.34 5.06 19.56 20.96 17.06 6.96 -10.14 -31.24 -38.74
-41.24 -38.14 -25.14 -8.94 4.86 17.66 23.16 16.96 8.96 -8.64 -28.94 -40.54
-43.54 -41.04 -28.14 -11.14 8.06 18.46 19.76 18.06 8.36 -9.84 -28.64 -33.94
-42.24 -38.84 -24.74 -9.04 7.36 19.46 21.46 16.36 9.26 -4.14 -26.44 -35.94
-38.84 -31.34 -19.74 -5.34 6.76 19.76 21.86 17.46 9.66 -7.74 -33.34 -39.14
-38.54 -39.94 -26.54 -10.44 7.16 20.06 22.66 18.86 7.66 -9.44 -30.84 -34.94
-37.04 -35.04 -23.94 -11.24 5.76 18.16 23.26 15.86 9.86 -9.54 -30.44 -36.24
-40.64 -33.94 -24.44 -8.74 8.56 18.36 24.36 19.36 11.66 -6.24 -27.54 -35.24
-43.14 -35.94 -23.54 -7.04 8.06 16.56 21.36 15.76 7.76 -6.94 -33.94 -36.74
-38.34 -35.04 -23.74 -9.54 8.56 18.86 23.16 17.66 9.66 -8.84 -30.24 -37.54
-40.04 -39.54 -21.54 -7.34 7.26 17.66 22.16 17.56 8.96 -10.04 -31.24 -39.54
-37.64 -34.94 -20.84 -7.24 8.76 19.46 20.96 16.46 8.46 -7.24 -27.74 -31.04
-39.04 -38.84 -24.84 -6.04 4.16 17.66 19.86 16.86 9.56 -10.14 -30.74 -38.44
-36.44 -37.44 -26.64 -7.64 8.66 19.26 21.26 16.26 8.06 -11.54 -31.64 -37.94
-42.34 -35.54 -23.34 -8.44 4.46 17.86 20.06 17.66 7.96 -7.84 -24.94 -38.34
-42.64 -40.24 -26.24 -11.74 6.46 17.26 20.16 15.86 6.66 -12.44 -33.44 -35.04
-38.34 -36.24 -26.04 -11.04 6.76 17.46 22.56 19.16 9.86 -7.74 -33.14 -34.34
-33.74 -32.94 -23.74 -6.54 7.96 18.96 21.16 17.66 8.56 -7.34 -27.64 -35.74
-43.44 -33.34 -26.74 -7.04 4.06 16.66 22.96 17.36 9.76 -10.34 -34.94 -38.44
-39.04 -34.74 -22.24 -10.74 8.06 18.46 21.56 19.56 10.46 -9.24 -26.04 -35.84
-35.44 -38.54 -25.44 -9.54 7.56 17.26 21.66 15.26 7.56 -9.14 -28.34 -36.84
-40.74 -32.24 -25.24 -9.04 6.36 18.46 20.66 16.06 9.16 -9.44 -26.24 -33.84
