"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
4.59 9.39 6.29 16.39 8.09 27.29 58.69 31.29 24.49 21.09 7.29 10.89
9.29 5.09 7.29 4.79 8.29 24.39 44.19 51.39 17.59 12.59 7.19 8.59
5.29 3.19 4.19 5.19 10.49 14.69 32.89 21.39 11.99 8.49 5.49 11.59
5.79 5.49 4.19 8.79 3.09 13.09 24.59 28.09 22.69 17.79 5.79 16.69
3.29 7.49 5.29 12.29 8.09 14.39 19.19 21.49 22.89 9.79 6.99 8.09
3.55 3.35 3.45 3.95 8.15 20.45 49.65 34.55 14.75 8.55 10.35 4.85
6.15 3.25 2.55 5.75 10.05 17.95 49.45 22.45 38.65 16.15 5.55 15.95
7.25 8.25 6.75 4.45 3.95 29.75 42.55 24.55 28.65 15.45 9.65 9.95
9.75 14.15 6.75 4.25 13.15 22.75 27.05 66.15 30.45 13.05 6.95 9.05
0.95 3.05 7.95 7.45 5.25 22.85 15.75 15.65 10.55 20.85 5.05 3.55
8.15 7.25 8.25 2.85 9.15 30.75 40.05 38.75 28.85 20.45 23.05 17.05
7.35 6.15 9.45 4.75 9.35 30.55 12.15 13.25 18.35 15.45 16.65 7.35
8.55 11.95 7.75 4.15 7.15 14.65 48.45 46.35 10.65 19.65 3.45 15.45
13.75 6.05 1.95 9.05 0.95 28.65 25.05 26.65 39.55 10.55 1.25 10.35
3.65 2.05 10.35 4.65 5.45 40.95 34.55 49.45 19.75 13.55 9.75 17.55
4.85 3.25 13.75 0.75 12.25 37.95 20.65 14.35 27.65 13.05 4.85 11.65
7.45 5.55 2.85 7.75 7.35 14.05 16.45 24.75 24.25 25.15 6.25 11.95
22.55 13.25 0 4.75 10.65 37.25 31.65 22.85 38.05 8.55 5.25 12.25
3.45 5.15 1.55 2.75 9.05 20.15 48.35 38.75 15.15 20.15 5.55 5.85
6.35 5.95 2.85 4.75 2.05 16.05 54.15 24.05 10.35 17.35 21.15 14.35
6.15 3.75 3.65 5.85 10.45 11.15 14.55 33.65 14.15 20.15 4.55 3.15
12.95 4.25 6.55 7.95 8.65 24.45 36.65 32.95 22.15 15.45 8.75 12.55
7.55 7.55 6.85 5.85 8.85 24.85 38.85 33.75 22.55 15.75 8.65 12.55
7.65 7.75 7.15 5.85 8.85 24.35 38.05 34.45 22.35 15.75 8.75 12.75
7.85 7.85 6.85 5.85 8.85 24.85 37.85 33.85 22.85 15.85 8.85 12.85
7.55 7.85 6.85 5.65 8.85 24.85 37.85 33.85 22.85 15.85 8.85 12.85
7.85 7.85 6.85 5.85 8.85 24.85 37.85 33.85 22.85 15.85 8.85 12.85
7.85 7.85 6.85 5.85 8.85 24.85 37.85 33.85 22.85 15.85 8.85 12.85
7.85 7.85 6.85 5.85 8.85 24.85 37.85 33.85 22.85 15.85 8.85 12.85
7.85 7.85 6.85 5.85 8.85 24.85 37.85 33.85 39.75 7.05 2.75 9.25
4.95 3.25 7.45 2.15 5.75 28.35 14.75 39.05 29.45 9.55 8.05 3.95
5.85 4.45 3.15 3.05 5.85 31.25 84.05 38.55 12.35 8.25 7.15 6.45
4.85 6.55 3.65 0.75 3.55 30.05 41.75 21.05 23.05 21.85 3.65 7.55
4.25 3.05 5.55 5.75 8.65 24.95 37.85 33.45 13.95 8.85 3.55 9.25
8.15 5.95 6.25 2.95 6.05 38.55 20.35 31.65 28.55 14.25 3.95 6.85
3.57 3.37 3.47 3.97 8.17 20.47 49.67 34.57 14.77 8.57 10.37 4.87
6.17 3.27 2.57 5.77 10.07 17.97 49.47 22.47 38.67 16.17 5.57 15.97
7.27 8.27 6.77 4.47 3.97 29.77 42.57 24.57 28.67 15.47 9.67 9.97
9.77 14.17 6.77 4.27 13.17 22.77 27.07 66.17 30.47 13.07 6.97 9.07
0.97 3.07 7.97 7.47 5.27 22.87 15.77 15.67 10.57 20.87 5.07 3.57
8.17 7.27 8.27 2.87 9.17 30.77 40.07 38.77 28.87 20.47 23.07 17.07
7.37 6.17 9.47 4.77 9.37 30.57 12.17 13.27 18.37 15.47 16.67 7.37
8.57 11.97 7.77 4.17 7.17 14.67 48.47 46.37 10.67 19.67 3.47 15.47
13.77 6.07 1.97 9.07 0.97 28.67 25.07 26.67 39.57 10.57 1.27 10.37
