"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
6.52 11.32 8.22 18.32 10.02 29.22 60.62 33.22 26.42 23.02 9.22 12.82
11.22 7.02 9.22 6.72 10.22 26.32 46.12 53.32 19.52 14.52 9.12 10.52
7.22 5.12 6.12 7.12 12.42 16.62 34.82 23.32 13.92 10.42 7.42 13.52
7.72 7.42 6.12 10.72 5.02 15.02 26.52 30.02 24.62 19.72 7.72 18.62
5.22 9.42 7.22 14.22 10.02 16.32 21.12 23.42 24.82 11.72 8.92 10.02
5.48 5.28 5.38 5.88 10.08 22.38 51.58 36.48 16.68 10.48 12.28 6.78
8.08 5.18 4.48 7.68 11.98 19.88 51.38 24.38 40.58 18.08 7.48 17.88
9.18 10.18 8.68 6.38 5.88 31.68 44.48 26.48 30.58 17.38 11.58 11.88
11.68 16.08 8.68 6.18 15.08 24.68 28.98 68.08 32.38 14.98 8.88 10.98
2.88 4.98 9.88 9.38 7.18 24.78 17.68 17.58 12.48 22.78 6.98 5.48
10.08 9.18 10.18 4.78 11.08 32.68 41.98 40.68 30.78 22.38 24.98 18.98
9.28 8.08 11.38 6.68 11.28 32.48 14.08 15.18 20.28 17.38 18.58 9.28
10.48 13.88 9.68 6.08 9.08 16.58 50.38 48.28 12.58 21.58 5.38 17.38
15.68 7.98 3.88 10.98 2.88 30.58 26.98 28.58 41.48 12.48 3.18 12.28
5.58 3.98 12.28 6.58 7.38 42.88 36.48 51.38 21.68 15.48 11.68 19.48
6.78 5.18 15.68 2.68 14.18 39.88 22.58 16.28 29.58 14.98 6.78 13.58
9.38 7.48 4.78 9.68 9.28 15.98 18.38 26.68 26.18 27.08 8.18 13.88
24.48 15.18 1.78 6.68 12.58 39.18 33.58 24.78 39.98 10.48 7.18 14.18
5.38 7.08 3.48 4.68 10.98 22.08 50.28 40.68 17.08 22.08 7.48 7.78
8.28 7.88 4.78 6.68 3.98 17.98 56.08 25.98 12.28 19.28 23.08 16.28
4.52 8.02 5.02 8.02 5.42 15.72 51.02 38.12 17.72 6.22 4.22 5.42
4.52 7.42 4.02 17.22 4.82 30.52 52.52 36.52 34.02 17.92 6.32 10.32
4.82 11.22 11.22 5.12 5.12 11.82 57.52 31.92 14.32 11.72 8.22 22.12
8.82 7.92 5.32 6.02 22.52 18.12 30.92 21.52 14.92 11.72 5.62 20.22
10.22 11.52 7.52 3.42 6.22 39.22 31.02 29.12 18.62 24.02 3.72 10.52
10.72 6.12 10.02 7.62 14.02 20.82 35.72 23.92 20.32 10.02 11.52 23.22
5.32 6.02 3.82 7.82 6.52 16.22 27.22 27.12 25.42 11.82 6.52 12.72
17.52 7.32 8.52 2.82 7.02 22.72 33.12 38.42 19.72 21.62 9.12 15.32
8.22 3.82 6.22 5.42 12.12 32.52 31.12 64.62 23.22 13.52 11.02 24.52
6.02 17.82 13.32 5.02 14.22 7.22 44.42 57.62 23.02 21.32 16.02 11.62
5.32 9.82 6.12 5.42 12.32 28.32 23.02 29.32 34.92 24.22 9.42 13.32
8.42 5.02 9.42 4.12 9.22 28.02 38.12 36.22 9.12 9.92 15.12 12.52
9.12 14.52 6.42 8.52 4.12 13.22 61.52 46.52 26.62 22.42 6.92 7.52
