"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-49.74 -35.54 -26.64 -10.84 -0.04 13.46 18.96 15.16 2.26 -11.54 -28.94 -41.04
-45.34 -43.44 -33.24 -12.14 2.86 14.56 15.56 12.76 3.26 -15.14 -34.04 -45.44
-46.14 -44.74 -27.14 -15.64 2.06 13.46 17.66 14.86 5.06 -13.14 -36.44 -40.44
-47.24 -35.94 -31.94 -14.54 0.96 16.46 20.96 12.96 6.86 -12.34 -37.34 -38.74
-49.54 -43.84 -25.74 -12.84 4.86 12.56 16.26 9.86 3.56 -15.84 -36.94 -46.84
-47.23 -39.83 -30.33 -15.93 1.07 14.67 16.47 10.97 4.87 -12.93 -33.13 -41.13
-42.73 -39.63 -28.23 -12.33 1.77 11.37 15.57 11.97 2.17 -13.03 -35.53 -43.23
-42.63 -38.83 -28.63 -15.33 -0.73 12.07 16.27 12.07 3.47 -14.63 -33.13 -40.83
-45.63 -36.43 -30.23 -14.93 0.47 14.97 16.57 12.57 2.57 -14.73 -35.73 -43.03
-45.63 -42.53 -29.63 -13.63 0.17 13.07 18.67 12.47 4.37 -13.23 -33.43 -44.73
-47.83 -45.23 -32.53 -15.73 3.27 13.77 15.37 13.47 3.87 -14.43 -33.03 -38.43
-46.63 -43.33 -29.13 -13.73 2.67 14.77 16.97 11.87 4.77 -8.93 -31.03 -40.43
-43.13 -36.03 -24.43 -10.23 2.07 15.17 17.37 12.97 5.17 -12.33 -37.63 -43.53
-42.83 -44.23 -30.93 -15.03 2.57 15.47 18.07 14.27 3.27 -14.03 -35.33 -39.43
-41.43 -39.53 -28.43 -15.83 1.17 13.57 18.67 11.37 5.27 -14.13 -34.93 -40.63
-45.03 -38.43 -28.83 -13.43 3.77 13.77 19.77 14.87 7.17 -10.93 -32.13 -39.63
-47.43 -40.43 -28.03 -11.83 3.37 11.97 16.87 11.27 3.27 -11.63 -38.23 -41.13
-42.93 -39.63 -28.23 -14.13 3.77 14.27 18.57 13.07 5.17 -13.43 -34.73 -41.93
-44.33 -43.93 -26.13 -12.13 2.57 13.07 17.67 13.07 4.47 -14.53 -35.63 -43.73
-42.03 -39.43 -25.53 -11.93 3.87 14.77 16.57 11.97 4.07 -11.93 -32.33 -35.63
-43.47 -43.17 -29.27 -10.97 -0.47 13.13 15.43 12.33 5.03 -14.67 -35.27 -42.77
-40.97 -41.87 -31.07 -12.47 3.83 14.63 16.83 11.83 3.53 -16.07 -36.17 -42.37
-46.67 -40.17 -27.87 -13.17 -0.07 13.23 15.53 13.13 3.43 -12.57 -29.77 -42.67
-46.87 -44.67 -30.67 -16.37 1.73 12.63 15.73 11.33 2.23 -16.97 -37.87 -39.67
-42.77 -40.77 -30.47 -15.67 2.03 12.83 18.03 14.53 5.33 -12.47 -37.47 -38.87
-38.37 -37.57 -28.27 -11.37 3.23 14.33 16.63 13.13 4.13 -11.97 -32.27 -40.27
-47.67 -37.87 -31.17 -11.87 -0.67 12.03 18.33 12.83 5.23 -14.77 -39.17 -42.77
-43.57 -39.27 -26.77 -15.47 3.23 13.73 17.03 14.93 5.83 -13.87 -30.77 -40.27
-39.97 -42.97 -29.97 -14.27 2.73 12.63 17.13 10.73 3.03 -13.67 -32.87 -41.27
-45.07 -36.87 -29.77 -13.77 1.63 13.83 16.13 11.53 4.63 -14.07 -30.97 -38.37
-45.57 -37.97 -28.17 -13.07 1.53 14.53 16.73 12.13 3.63 -11.37 -33.97 -41.47
-44.37 -41.37 -29.97 -14.27 0.23 12.93 17.83 12.53 2.93 -15.07 -37.57 -44.37
